//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
FriendLiNKLoginFailed,Kunne ikke logge ind på Facebook. Tjek din internetforbindelse og log-ind information.
Do It,Gør det
Restart?,Start forfra?
Continue Details,Prøv runden igen med en opsupplering af liv og penge.
Restart Details,Er du sikker på at du vil slutte og genstarte?
Insta-Monkey!,Insta-abe!
Power!,Kraft!
Optimizing,Optimiserer...
Task Load Asset Bundles,Downloader nyt indhold
Task Load global scene,Træner aber...
Task Get server time,Holder pause...
Task Set up rendering,Puster Bloons op...
Task Set up cameras,Samler bananer...
Task Load game model,Forbereder dartpile...
Task Bake meshes,Beskærer træerne...
Task Download sku settings,Slipper Abe-solguden løs...
Task Load fonts,Vækker Solguden...
Task Localise,Hidkalder helte...
Loading Step,Trin {0} af {1}…
Task failed,fejlet
downloading,downloader
Waiting for internet connection,venter på internetforbindelse...
parsing,afkoder
Back up Successful!,Succes!
Backing Up Data,Laver sikkerhedskopi...
Failed to Backup,Fejlet
Quit Game,Slut spillet?
Quit Question,"Er du sikker på, at du vil slutte spillet?"
Quit Cancel,Afvis
Quit Confirmed,Slut
IAP Failed PurchasingUnavailableAndroid,Log på med din Google konto for at foretage et køb
Gift received,Gave modtaget
Unlocked,Låst op
Upgrade info,Opgraderings-info
Tap and hold,Tryk og hold opgraderings-ikoner for mere info!
iveplayedbefore,Jeg Har Spillet Før
notnow,Ikke Nu
Knowledge Unlock,Lås Op For Kundskaber Nu
New Version,Ny Udgave
Update now,Aberne kræver nyt indhold og fejlretninger. Opdater venligst nu!
Update soon,Der er en ny opdatering. Få fat i den nu!
keep playing,Fortsæt Spillet
playing on another device,Logget Ind På En Anden Enhed
Applies To This Monkey Only,Gælder kun for denne abe.
Applies For This Game Only,Gælder kun for dette spil.
All Knowledge On,Slå Abekundskab til
All Knowledge Off,Slå Abekundskab til
Bonus Rewards,Bonus belønninger:
FBFriends,Venner
NewLabel,Nyt
RateGameTitle,Vurder os nu!
RateGameBody,Nyder du spillet? Brug et øjeblik på at bedømme os nu!
UpdatePanelClose,Luk
UpdatePanelUpdate,Opdater
Advanced Daily Challenge,Avanceret udfordring
Max,Max
Bloon Health Increased,Keramikliv forøget
Bloon Health Decreased,Keramikliv formindsket
Bloon Speed Increased,Bloon-hastighed øget
Bloon Speed Decreased,Bloon-hastighed sænket
Monkey Knowledge Disabled,Abe-kundskab slået fra
No Lives Lost,Ingen liv tabt
ContinuePrevious,Fortsæt tidligere
Monkeys Excluded,Aber ekskluderede
Build Map Object,Byg for ${0}
Hero Audio Toggle,Helte-audio
RequiresBananaFarm,Kræver bananfarm
Respec All Monkey Knowledge Button,Genindstil AL abekundskab
Respec Monkey Knowledge Confirm Title,Genindstil abekundskab?
Respec Monkey Knowledge Confirm Body,Genindstiller al abekundskab så du kan fordele alle abekundskabs-point igen. Abepenge brugt på at låse op for en kundskab forbliver investeret her.
Respec Button,Genindstil
Insta Monkeys UI Visibility,Insta'aber
CoopQuickMatch,Kvik-kamp
CoopCreateMatch,Opret kamp
CoopJoinMatch,Deltag i en kamp
CoopTwoPlayer,2 spillere
CoopThreePlayer,3 spillere
CoopFourPlayer,4 spillere
CoopTitle,Samarbejde
CoopLookingForMatch,Leder efter spil…
CoopEnterMatchCode,Indtast kode:
CoopPlayers,Spillere:
CoopTrackType,Banesværhedsgrad:
CoopTrackDifficulty,Spil sværhedsgrad:
CoopSettings,Indstillinger:
CoopCopyCode,Kopiér kode:
CoopPrivate,Privat
CoopPublic,Offentlig
Mode,Spil-modes
Ready,Klar!
CoopCalloutTowersPositive,Byggemester
CoopCalloutTowersNegative,Mindre er mere
CoopCalloutPopsPositive,Springmester
CoopCalloutPopsNegative,Spring-pacifist
CoopCalloutMOABsPositive,Boss-evner
CoopCalloutMOABsNegative,Hvilke MOABs?
CoopCalloutEcoPositive,Finansabe
CoopCalloutEcoNegative,Ingen bananer til dig
CoopCalloutAbilitiesPositive,Aktivator
CoopCalloutPowersPositive,Fuld knald på
CoopCalloutInstasPositive,Insta'vinder
CoopMonkeyStar,Abestjerne
CoopStatsTowers,Tårne placeret
CoopStatsPops,Bloons sprunget
CoopStatsEco,Penge tjent
CoopStatsMOABs,MOABs sprunget
CoopStatsAbilities,Evner anvendt
CoopStatsPowers,Kræfter anvendt
CoopStatsInstas,Instas anvendt
TechBot,Tek Bot
EnergisingTotem,Opkvikkende totem
TechBot Description,"Tek Bot kan aktivere dine evner for dig, så snart de er klar til optimalt brug."
EnergisingTotem Description,Lad det gå lidt kvikt! Denne totem vil øge angrebshastigheden for alle aber indenfor rækkevidde med 25 %. Effekten varer i 5 runder og kan genoplades.
Recharge,Genoplad
InvalidCode,Indtast en gyldig kode
SearchingForPlayer,Søger efter spiller…
WaitingForPlayer,Venter på spiller…
Request,Anmod om $
CyberQuincySkinDescription,"Da Quincy blev såret af en forbryderisk DDT, frygtede mange det værste. Men dr. Abe vidste, at de havde teknologien, og at de kunne genopbygge ham. Ham er Quincy - udviklet fra Quincy."
CyberQuincySkinName,Cyper Quincy-udseende
CashRequested,${0} har anmodet om penge
CashReceived,${0} har sendt dig ${1} penge
CountDownTimer,Spillet starter om…
Achievement 51 Name,Samarbejde
Achievement 51 Description,Gennemfør 1 bane i samarbejde
Achievement 52 Name,Fire gange så sjovt
Achievement 52 Description,Gennemfør 1 bane i samarbejde mellem 4 spillere
Achievement 53 Name,Tredobbelt trussel
Achievement 53 Description,Gennemfør 1 bane i samarbejde mellem 3 spillere
Achievement 54 Name,Samarbejd!
Achievement 54 Description,Få 4 helte på skærmen på én gang
Achievement 55 Name,Når lokummet brænder..
Achievement 55 Description,Vind 10 spil på svær sværhedsgrad i Co-op mode
Achievement 56 Name,Venlig velgører
Achievement 56 Description,Giv 10.000 penge væk i spiltilstanden Samarbejde
Achievement 57 Name,Generøs velgører
Achievement 57 Description,Giv 50.000 penge væk i spiltilstanden Samarbejde
Achievement 58 Name,Abe-bidragyder
Achievement 58 Description,Giv 100.000 penge væk i spiltilstanden Samarbejde
Achievement 59 Name,Abe-filantrop
Achievement 59 Description,Giv 1.000.000 penge væk i spiltilstanden Samarbejde
Achievement 60 Name,Del kræfter
Achievement 60 Description,Brug 10 kræfter i spiltilstanden Samarbejde
Achievement 61 Name,Overvældende kræfter!
Achievement 61 Description,Brug 100 kræfter i spiltilstanden Samarbejde
Achievement 62 Name,Insta-forsvar
Achievement 62 Description,Brug 5 Insta'aber i spiltilstanden Samarbejde
Achievement 63 Name,Sammen springer vi
Achievement 63 Description,Spring 10.000.000 bloons i spiltilstanden Samarbejde
StaggeredMortarShot,Forskudt
TT_TargetSelectedPoint,Indstil mål
MortarMessage,[I] til indstillet mål
RaceEvent,Løbsbegivenhed
TopBadgeRewards,Belønninger for topmedalje
RaceButton,Løb!
RaceRewards,Løbsbelønninger
Leaderboard,Førertavle
RaceEventTrigger,"Timeren starter, når du trykker på Spil. Begynd næste runde med det samme for at forbedre din tid, men pas på: Du kan ikke gemme i et løb, så prøv at holde ud til det sidste. Bedste tid vinder på den globale førertavle - held og lykke!"
ScientistGwendolinSkinName,Skin til Videnskabskvinden Gwendolin
ScientistGwendolinSkinDescription,"Hvis mine beregninger er korrekte, vil vi se noget seriøst brænt gummi, når denne baby rammer 1.121 grader Celsius!"
RaceAgain,Kør igen
RaceVictoryText,Godt spillet! Prøv nu om du kan slå den tid og få en bedre placering på førertavlen!
RaceNewBestTime,Ny bedste tid!
RaceLeaderboard,Førertavler for løb
RaceCurrentRewards,Nuværende belønninger:
RaceRewardsButton,Belønninger
Click & Drop,Klik og placer
Screen Size,Vinduesstørrelse
Fullscreen,Fuld skærm
Moab Health Increased,Moab-liv øget
Moab Health Decreased,Moab-liv reduceret
Selling Disabled,Salg deaktiveret
Powers Disabled,Kræfter deaktiveret
No Continues,Ingen fortsættelser
Switching Resolution Body,"Skift af opløsninger kræver, at spillet genindlæses."
Switching Resolution Title,Skifter opløsning
RaceEventBanner,En løbsbegivenhed er klar
RaceEventBannerRewards,Vind medaljer og trofæer
RacePreviousBestTime,Bedste tid:
RaceAgainQuestion,Kør igen?
RaceAgainDescription,"Kør nu, og prøv at forbedre din tid!"
TrophiesEarned,Trofæer vundet:
FreeEntryIn,Gratis adgang i:
RaceSubmissionFail,Kan ikke indsende løbsresultater
LeaderboardRank,Rang
LeaderboardPlayerName,Spillernavn
LeaderboardBadges,Medaljer
LeaderboardBestTime,Bedste tid:
RaceEventEndsIn,Begivenhed slutter om:
LoadingPlayer,Indlæser spiller
Rank1st,1
Rank2nd,2
Rank3rd,3
RewardsTopPercent,Top {0}%
RaceEventEnded,Løbsbegivenheden er slut
RaceFinishedPlaceAndTime,Du afsluttede som {0} med en bedste tid på {1}
Heartstopper Ability,Hjertestandser
Sacrificial Totem Ability,Offer-totem
MOAB Hex Ability,MOAB-forbandelse
RaceClock,Løbsur
LoginRequiredTitle,Du skal logge ind
LoginRequiredBody,Du skal være logget på for at få adgang til dette indhold
EventRewardsTitle,Begivenhedsbelønning
TT_FollowMouse,Følg musen
SteamLoadingMessage,Åbner for aktiver
SentaiCaptainChurchillSkinName,Sentai Churchill Skin
SentaiCaptainChurchillSkinDescription,Må kraften fra super megaturbo overlys kvante-galaktiske laserbomber beskytte dig!
KartsNDarts,Gocarts-og-Darts
Upgrade Path 1,Opgradér Sti 1
Upgrade Path 2,Opgradér Sti 2
Upgrade Path 3,Opgradér Sti 3
ChangeTargeting,Skift Målsøgning
ReverseChangeTargeting,Genindstil Målsøgning
PauseDeselect,Pause/Fravælg
PlayFastForward,Spil/Hurtigt Fremad
SendNextRound,Send Næste Runde (Race)
Activated Ability 1,Aktiveret Evne 1
Activated Ability 2,Aktiveret Evne 2
Activated Ability 3,Aktiveret Evne 3
Activated Ability 4,Aktiveret Evne 4
Activated Ability 5,Aktiveret Evne 5
Activated Ability 6,Aktiveret Evne 6
Activated Ability 7,Aktiveret Evne 7
Activated Ability 8,Aktiveret Evne 8
Activated Ability 9,Aktiveret Evne 9
Activated Ability 10,Aktiveret Evne 10
Activated Ability 11,Aktiveret Evne 11
Activated Ability 12,Aktiveret Evne 12
SendRedBloon,Send Rød Bloon
SendBlueBloon,Send Blå Bloon
SendGreenBloon,Send Grøn Bloon
SendYellowBloon,Send Gul Bloon
SendPinkBloon,Send Pink Bloon
SendBlackBloon,Send Sort Bloon
SendPurpleBloon,Send Lilla Bloon
SendWhiteBloon,Send Hvid Bloon
SendLeadBloon,Send Bly Bloon
SendZebraBloon,Send Zebra Bloon
SendRainbowBloon,Send Regnbue Bloon
SendCeramicBloon,Send Keramik Bloon
SendTestBloon,Send Test Bloon
SendMoabBloon,Send MOAB Bloon
SendBfbBloon,Send BFB Bloon
SendZomgBloon,Send ZOMG Bloon
SendDdtBloon,Send DDT Bloon
SendBadBloon,Send BAD Bloon
RestoreDefaults,Genindstil Standardindstillinger
SaveHotkeyChanges,Gem Hotkey Ændringer?
Hotkeys,Hotkeys
Monkeys,Aber
Gameplay,Spil
Revert,Gå tilbage
Save,Gem
HotkeyModeDescription,Hotkeys kan kun bruges i Træk og slip mode
DemoSplashText,Denne udgave af Bloons TD 6 er lavet specielt til demonstrationsformål
EditorClearSaveProgressWarning,"Udfordringen indeholder modificeringer som ændrer spillet, dette vil slette det nuværende fremskridt i dit gemte spil."
EditorInfiniteMaxTowers,Ubegrænset
EditorDefaultValue,Standard
EditorLoadingChallenge,Indlæser...
EditorGeneratingCode,Genererer...
EditorEnterCode,Indtast kode
EditorShareError,Der var et problem med at dele udfordringen
EditorSubmitError,Der var et problem med at indsende udfordringen
EditorLoadError,Der opstod et problem med at indlæse udfordringen
EditorLevelLockMsg,Udfordringseditoren låses op for ved Niveau {0}
EditorCreateChallenge,Lav en udfordring
EditorPlayChallenge,Spil udfordring
EditorEditChallenge,Rediger udfordring
EditorShare,Del
EditorShareChallenge,Del udfordring:
EditorSubmit,Indsend
EditorChallengeCode,Udfordringskode
EditorEnterChallengeCode,Indtast udfordringskode
EditorSubmissionForm,Indsendelsesformular
EditorSubmissionDescription,Indsend udfordringer til Ninja Kiwi for mulig udtagelse for fremtidige Daglige eller Avancerede udfordringer
EditorFridayStinger,Farlig fredag
EditorRemainAnonymous,Forbliv anonym
EditorChallengeEditor,Udfordringseditor
EditorUndo,Gå tilbage
EditorReset,Genindstil
EditorRandom,Tilfældig
EditorDifficulty,Sværhedsgrad:
EditorGameMode,Spilmode:
EditorStartingCash,Startpenge:
EditorStartingLives,Startliv:
EditorMaxLives,Maksimum antal liv:
EditorStartRound,Startrunde:
EditorEndRound,Slutrunde:
EditorMonkeysExcluded,Ekskluderede aber:
EditorMonkeysIncluded,Inkluderede aber:
EditorMaxMonkeys,Maksimum antal aber:
EditorAdd,Tilføj
EditorBloonSpeed,Bloon hastighed
EditorMoabSpeed,Moab hastighed
EditorCeramicHealth,Keramikliv
EditorMoabHealth,Moabliv
EditorPowers,Kræfter:
EditorSelling,Sælger:
EditorMonkeyKnowledge,Abekundskab:
EditorContinues,Fortsætter:
EditorLockedSubmitButtonDescription,Du har allerede indsendt denne udfordring
EditorLockedShareButtonDescription,"For at dele din udfordring, må du bevise, at det er muligt at nå vinderskærmen i testmode!"
ConflictScreenChoose,Vælg et gemt spil
ConflictThisDevice,Denne enhed
ConflictCloud,På skyen
ConflictTimeHours,Gemt for {0} timer siden
ConflictUseButton,Brug
ConflictNoData,Ingen data
ConflictTimeMinutes,Gemt for {0} minutter siden
ConflictTimeSeconds,Gemt for {0} sekunder siden
ConflictTimeDays,Gemt for {0} dage siden
FasterMoabs,Moab fart forøget
SlowerMoabs,Moab fart formindsket
BikerBonesSkinName,Knoglerytterskin
BikerBonesSkinDescription,Solgudens vrede er intet i forhold til Knoglerytters raseri!
PatsPond,Pats pøl
InappropriateChallengeName,Brug venligst et mere passende navn til udfordringen og prøv igen
DCVictoryBody,Tillykke! Du har gennemført {0}!
EditorCreateVictoryBody,Tillykke! Du kan nu dele udfordringen med andre!
EditorOlderVersion,Denne udfording blev lavet i udgave {0} og kan måske ikke spilles længere
EditorNewerVersion,"Denne udfording blev lavet i en nyere udgave af spillet, opdater til nyeste udgave af spillet for at fortsætte"
DefeatScreenRetryLastRound,Prøv sidste runde igen
CoopDoubleCash,(kun enkeltspiller)
EditorThanksForSubmission,"Tak for din indsendelse og fordi du gør Bloons TD6 endnu bedre! Vi håber at kunne tilføje din udfordring til vores samling i fremtiden, hvis den bliver udvalgt!"
SpringSpring,Hop ud i foråret
ObynOceanGuardianSkinName,Havets vogter-skin
ObynOceanGuardianSkinDescription,"Vi kom fra havet, og vender tilbage til havet."
CollectionEventHeader,Samlings-begivenhed
CoopTriggerText,"Alle co-op spil deler penge og helte-xp lige. For dette spil, spiller du: {0} - {1}"
Achievement 64 Name,Store bloons
Achievement 64 Description,Pat kan lide at kramme store bloons
OptionsExtras,Ekstra
DoubleCashHelper,Du kan finde Dobbeltpenge-mode her
BigBloonsMode,Store bloons
CollectionMonkeyText,Optjen samlingspræmier ved at sejre på en hvilken som helst bane!
CoopQuickGame,Hurtigt spil
CoopMediumGame,Mellemlangt spil
CoopLongGame,Langt spil
CoopContinuePrompt,Spillet fortsætter om ...
CoopRestartPrompt,Spillet starter forfra om ...
CoopFreeplayPrompt,Gratis spil starter om ...
CollectionRewardsDelivered,Dine Samlings-begivenheds præmier er blevet åbnet og kan findes i dit Insta'abe lager! 
CoopSyncMessage,Synkroniserer med andre spillere ...
CoopPlayerLeftMessage,har forladt spillet
CollectionEventEnded,Samlings-begivenheden er slut
CoopPublicGameStart,Spillet starter snart ...
CalloutMasterBuild,Bygge-mester
CalloutLessIsMore,Lidt er godt
CalloutPopMaster,Spræng-mester
CalloutPopPacifist,Spræng-pacifist
CalloutBossSkillz,Boss-besejrer
CalloutWhatMOABs,Hvaffor nogen MOABs?
CalloutMonkeyFinancier,Abe-financier
CalloutNoBananas4U,Du får nul bananer
CalloutActivator,Aktivator
CalloutPoweredUp,Ladt op
CalloutInstaWinner,Hurtig-vinder
CalloutMasterBuildDesc,{0} Tårne placeret
CalloutLessIsMoreDesc,{0}  Tårne placeret
CalloutPopMasterDesc,{0} Bloons sprængt
CalloutPopPacifistDesc,{0} Bloons sprængt
CalloutBossSkillzDesc,{0} MOABs sprængt
CalloutWhatMOABsDesc,{0} MOABs sprængt
CalloutMonkeyFinancierDesc,{0} Penge genereret
CalloutNoBananas4UDesc,{0} Penge genereret
CalloutActivatorDesc,{0} Kundskaber brugt
CalloutPoweredUpDesc,{0} Kræfter brugt
CalloutInstaWinnerDesc,{0} Insta'aber brugt
CoopLobbyNotFound,Spillet kunne ikke findes
CoopLobbyIsFull,Spillet er fyldt
CoopLobbyNotCompatible,"Disse spilversioner er inkompatible, prøv at opdatere spillet."
CheckInternet,Kan ikke lave en forbindelse. Tjek din internetforbindelse.
SacrificialTotem,Ofrings-totem
SandboxSetRound,Sæt runde:
SandboxSpacing,Mellemrum:
SandboxCount,Antal:
CoopDisconnected,Ikke tilkoblet
CoopDisconnectedMessage,Desværre har dit spil tabt forbindelsen. Gå tilbage til hovedmenuen.
CoopCreatingLobby,Skaber spillet...
CoopHostDisconnected,Spilleren som skabte spillet har mistet forbindelsen. Gå tilbage til hovedmenuen.
CoopNoPublicOption,Disse spilindstillinger kan kun bruges i en privat kamp
CoopBuildZoneMessage,Byg dine abetårne på det grønne område
Cargo,Last
BenJamminSkinName,Benjammer DJ-skin
BenJamminSkinDescription,Den her fest bliver MEGASEJ!
EditorAllCamo,Alle camo
EditorAllRegrow,Alle regen
AllCamoDescription,All non-MOAB bloons er camo
AllRegrowDescription,All non-MOAB bloons er regen
CoopGiveCashText,Giv
CoopWaitingMessage,Venter på andre spillere...
CoopReconnectMessage,Forbinder til dit spil...
Achievement 65 Name,Alkymistermand og Klæbedrengen
Achievement 65 Description,"Du har den sat på M for mini, men den skulle stå på W for wumbo"
SmudgeCattSkinName,Smudge Catt skin
SmudgeCattSkinDescription,"Smudge Catts hypnotiske blik bønfalder dig om at springe alle de kat-astrofale bloons. Hun tørster efter hævn, og kunne også godt spise lidt Catt-e-mad."
Workshop,Værksted
SmallBloonsMode,Små bloons
Achievement 66 Name,2TC
Achievement 66 Description,Vind et spil på CHIMPS-sværhedsgrad med kun 2 abetårne
Achievement 67 Name,Et knips med fingrene
Achievement 67 Description,Vind et spil med nøjagtigt halvdelen af dine start-liv tilbage og halvdelen af dine start-penge tilbage
Achievement 68 Name,Dybe lommer
Achievement 68 Description,Send $500.000 til en allieret i Co-op på en gang
Achievement 69 Name,Bloonlandsringen 500
Achievement 69 Description,Vær med i 500 løb
Achievement 70 Name,Årets Nybegynder
Achievement 70 Description,Færdiggør et løb på under 10 minutter
Achievement 71 Name,Habil
Achievement 71 Description,Færdiggør et løb på under 5 minutter
Achievement 72 Name,Suveræn
Achievement 72 Description,Færdiggør et løb på under 3 minutter
Achievement 73 Name,Den største udfordring
Achievement 73 Description,Skab eller spil 200 udfordringer
Achievement 74 Name,For lækker
Achievement 74 Description,Vind 100 spil uden at bruge et helte-skin
Achievement 75 Name,Økuller
Achievement 75 Description,Spring {0} Bloons på Halvøen
Achievement 76 Name,Bloon Mester Springkymist
Achievement 76 Description,Gør 1 milliard skade med Bloon Mester Alkymist
Achievement 77 Name,Jeg kan godt se dig
Achievement 77 Description,Afslør {0} Bloons ved at bruge Flimren
Achievement 78 Name,Tetrimino
Achievement 78 Description,Placer 50 abetårne på en bane på en gang
Achievement 79 Name,Pengeregn
Achievement 79 Description,Brug Finans-kanalisering for at få {0}
Achievement 80 Name,Alle for en og en og en
Achievement 80 Description,Vind et spil med kun 1 abetårn på banen på Svær sværhedsgrad
Achievement 81 Name,Livets mester
Achievement 81 Description,Eje 1000 liv på en gang i et enkelt spil
Achievement 82 Name,Regnbuer er magiske
Achievement 82 Description,Spring {0} Regnbue-bloons med magiske aber
Emote.Hi,Hej!
Emote.Welldone,Godt gjort
Emote.Ready,Klar!
Emote.Slow,Langsomt!
Emote.Thanks,Tak
Emote.AFK,AFK
Emote.Sorry,Undskyld!
Emote.Goodjob,Godt klaret
Emote.Gg,GG
Emote.Freeplay,Frit spil
Emote.Eco,Øko
CoopGameUnavailable,Spillet er ikke længere tilgængeligt
CalloutHeadDetective,Falkeblik
CalloutHeadDetectiveDesc,{0} Camo Bloons sprunget
CalloutMetalMuncher,Bly-bider
CalloutMetalMuncherDesc,{0} Bly-Bloons sprunget
CalloutFumigator,Skadedyrsbekæmperen
CalloutFumigatorDesc,{0} Regen Bloons sprunget
CalloutFiredUp,Ild i rumpen
CalloutFiredUpDesc,{0} Keramik Bloons sprunget
CalloutBfbBrawler,BFB Banker
CalloutBfbBrawlerDesc,{0} BFBs sprunget
CalloutZomgZapper,ZOMG Zapper
CalloutZomgZapperDesc,{0} ZOMGs sprunget
CalloutDdtDestroyer,DDT Destruktør
CalloutDdtDestroyerDesc,{0} DDTs sprunget
CalloutMostGenerous,Mest gavmilde
CalloutMostGenerousDesc,{0} Penge givet
CoopDailyChallenge,Co-op daglig udfordring
Spillway,Afløbskanal
Sentry,Vagtpost
SentryBoom,Bum-vagtpost
SentryCrushing,Pig-kugle vagtpost
SentryCold,Kold vagtpost
SentryEnergy,Energi-vagtpost
SentryParagon,Mønster-vagtpost
EditorNumberOfPlayers,Antal spillere
EditorCoopAreaDivision,Co-op Areal-opdeling
InvalidTarget,Ugyldigt mål
Adora,Adora
Adora Short Description,Ypperstepræstinde
Adora Description,Adoras hengivelse tvinger hende til at bekæmpe bloons med en frygtelig hævntørst.
Adora Level 1 Description,Den Guddommelige tordenkile opsøger mål og tilintetgør dem.
Adora Level 2 Description,Øget angrebsrækkevidde.
Adora Level 3 Description,"Lysets lange arm: Øger kraftigt angrebsrækkevidden og styrken i kort tid, og skader alle typer bloons."
Adora Level 4 Description,Affyrer dobbelte guddommelige tordenkiler.
Adora Level 5 Description,Guddommelige tordenkiler springer flere bloons.
Adora Level 6 Description,Affyrer 3 guddommelige tordenkiler ad gangen.
Adora Level 7 Description,Blodoffer: Du kan ofre et udvalgt tårn for at give Adora store mængder XP og øge hendes angrebs-rækkevidde og skudhastighed i  kort tid.
Adora Level 8 Description,Affyrer 4 Guddommelige tordenkiler ad gangen.
Adora Level 9 Description,Øget angrebsrækkevidde.
Adora Level 10 Description,Kuglelyn: Frembringer en kraftig energikugle som destruerer bloons.
Adora Level 11 Description,Adora øger sin angrebshastighed.
Adora Level 12 Description,Affyrer 5 guddommelige tordenkiler ad gangen.
Adora Level 13 Description,Guddommelige tordenkiler springer endnu flere bloons.
Adora Level 14 Description,Affyrer 6 guddommelige tordenkiler ad gangen.
Adora Level 15 Description,Guddommelige tordenkiler brænder igennem et ekstra bloon-lag
Adora Level 16 Description,Lysets Lange Arm bliver endnu mere dødbringende
Adora Level 17 Description,Adora øger sin angrebshastighed endnu mere.
Adora Level 18 Description,Affyrer 8 guddommelige tordenkiler ad gangen.
Adora Level 19 Description,Øget angrebsrækkevidde.
Adora Level 20 Description,"Kuglelyn er stærkt forbedret, plus øget skudhastighed, rækkevidde og varighed af Tempeloffer-bonusser."
Carved,Udskåret
BloodyPuddles,Prøvelser i pytvis
TechBotRequiresAbility,Kræver et abetårn med aktiverede evner
AdorasTemple,Adoras tempel
WinterPark,Vinter park
FustyTheSnowmanSkinName,Snemanden Fusty
FustyTheSnowmanSkinDescription,Var en springglad sjæl
WorkshopReverseMotor,Aktiver omvendt-motor
WorkshopTrackExtensions,Aktiver baneforlængelser
Achievement 83 Name,Besynderlig nuttet
Achievement 83 Description,Når det hele flasker sig
Achievement 84 Name,Joshs konstant
Achievement 84 Description,Vind en runde på en ekspertbane i CHIMPS med $40.870 brugt på 1 sømfabrik
Achievement 85 Name,Hvad kostede det? - Alt:
Achievement 85 Description,Giv hver eneste tårn-type i spillet som en ofring til templet.
Achievement 86 Name,2 Megaspring
Achievement 86 Description,Spil et CHIMPS-spil med mere end 2 millioner skade uddelt af et enkelt tårn
Achievement 87 Name,En på kassen
Achievement 87 Description,Luk op for en diamantkasse i en Samlingsbegivenhed
Achievement 88 Name,Ødelæggelsens akse
Achievement 88 Description,Brug en af hver T5 snigskytter i et CHIMPS-spil
Achievement 89 Name,Tårnets vogter
Achievement 89 Description,Vær i besiddelse af 200 insta-aber på en gang
Achievement 90 Name,Et år undervejs
Achievement 90 Description,Luk op for en daglig kasse 365 gange
Achievement 91 Name,Kali Maaaaaaaa
Achievement 91 Description,Opnå 10 runder for Adora i første runde
Blood Sacrifice Ability,Blodoffer
Blood Sacrifice Ability Description,Du kan ofre et udvalgt tårn for at give Adora store mængder XP og øge hendes angrebs-rækkevidde og skudhastighed i  kort tid.
The Long Arm of Light Ability,Lysets lange arm
The Long Arm of Light Ability Description,"Giver en stor forøgelse af angrebsrækkevidden og kraft i kort tid, og skader alle bloon-typer."
Ball of Light Ability,Kuglelyn
Ball of Light Ability Description,Frembringer en kraftig kugle af energi til at smadre bloons.
SunAvatarMini,Solavatar
TrueSunAvatarMini,Solavatar
ComeOnEverybody,"Kom så, allesammen!"
ComeOnEverybodyDescription,"Primærtårn angriber 5% hurtigere, hvis alle er under niveau 3, og koster 5% mindre hvis alle er under niveau 3 eller 4"
Wingmonkey,Wingabe
WingmonkeyDescription,Avanceret flydirigering som koordinerer flere Abe-esser i forskudte angrebsbaner
TT_Wingmonkey,Wingabe
TinyTornadoes,Små tornadoer
TinyTornadoesDescription,Druide-tornadoer føder 3 mindre tornadoer når de udløber
HealthyBananas,Sunde bananer
HealthyBananasDescription,Markedspladsen producerer nu 1 liv pr runde og Centralmarkeder producerer 3
WeakPoint,Svagt punkt
WeakPointDescription,Alle helte udretter +1 skade på keramiske og forstærkede bloons
WolfpackQuincySkinName,Ulvekobbel-Quincy
WolfpackQuincySkinDescription,"Fra dengang i gamle dage, hvor alle jægere var stærke og koblet var endnu stærkere, her er Quincy, Quincys forfader."
Infernal,Djævelsk
DownloadButton,Download
DownloadDescription,Downloader extra filer. Wi-fi er anbefalet. Data størrelse {0}MB
ViewCollectionButton,Se samlingen
ViewInventoryButton,Se lagerlisten
CollectionDescription,Insta'aber forbliver synlige i din samling selv efter de er brugt.
CollectionNoInventory,"Insta'aber fra Daglige Kister, Udfordringer, og begivenheder kan ses her."
MatchIncompatible,Spil-typerne er ikke kompatible.
CollectionEventBonusRewards,Bonus belønninger
SteamOverlay,Steam Overlay og login kræves for at foretage køb.
CollectionEventFeaturedInstas,Insta'aber
CollectionEventChangesIn,Skifter om:
CollectionEventChooseInsta,Vælg Insta'abe
JoanOfArcAdoraSkinName,Jeanne d'Arc Adora
JoanOfArcAdoraSkinDescription,Alle slag vindes eller tabes først i sindet.
EditorRules,Regler
EditorModifiers,Modificeringer
PathRestricted,Sti spærret
UpgradeRestricted,Opgradering spærret
ChallengeEditorRestrict,Spær
ConfirmApplyAll,Anvend disse restriktioner på alle tilgængelige abetårne?
ConfirmResetAll,Genindstil alle tilgængelige abetårne til 5-5-5?
Geared,Gearet
ChallengeEditorTowerRestrictions,Tårn-restriktioner.
ChallengeEditorApplyAll,Giv til alle
ChallengeEditorResetAll,Geninstil alle
CandyFalls,Bolsje-vandfaldene
HarlegwenGwendolinSkinName,Harlegwen skin
HarlegwenGwendolinSkinDescription,Jeg kan være yderst besværlig!
CoopLobbyHackerDetected,Spil kan ikke oprettes på grund af inkompatibilitet. Gå til http://ninja.kiwi/btd6_coop for at få hjælp.
TechBotSetAmbush,Forbered bagholdsangreb
TechBotSetAmbushInstruction,Vælg et sted tæt på banen for bagholdsangrebet
AmbushTech,Bagholdsangreb Tek
AmbushTechDescription,"Tek bot får en målsøgnings-mode, som kun starter når der kommer bloons på et bestemt sted på banen."
DoorGunner,Dør-skytte
