//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
CoopEmoteAnimationSirenShortName,Syrena
CoopEmoteAnimationLoveHeartsShortName,Serduszka
CoopEmoteIconNoCashDropsShortName,Żadnych zrzutów kasy
CoopEmoteTextWhyShortName,Tekst Czemu?!
CoopEmoteSoundAirhornShortName,Klakson
CoopEmoteTextAllIsFineShortName,Tekst Wszystko gra
CoopEmoteIconStopShortName,Stop
CoopEmoteIconDangerShortName,Zagrożenie
GameUIUpgradesDisplayNamedMonkeysShortName,Małpie imiona
GameUIMusicTrackMusicTitleFiestaMixName,Szafa grająca: Temat przewodni – Fiesta Mix
GameUIMusicTrackMusicTitleFiestaMixShortName,Przewodni – Fiesta
GameUIMusicTrackMusicTitleFiestaMixDescription,Imprezuj i graj z tanecznym remiksem tematu przewodniego.\nWłącz muzykę w Szafie grającej przez Ustawienia Menu Głównego
GameUIMusicTrackMusicSunshineGameboyMixName,Szafa grająca: Słoneczna serenada – Gameboy Mix
GameUIMusicTrackMusicSunshineGameboyMixShortName,Serenada – Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,Udaj się w 8-bitową podróż ze Słoneczną serenadą w oldskulowym remiksie.\nWłącz muzykę w Szafie grającej przez Ustawienia Menu Głównego
GameUIMusicTrackMusicTropicalComplextroMixName,Szafa grająca: Tropikalny karnawał – Complextro Mix
GameUIMusicTrackMusicTropicalComplextroMixShortName,Karnawał – Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,"Małpki kochają przekłuwanie do dobrego complextrowego bitu, a Tropikalny karnawał nie rozczarowuje.\nWłącz muzykę w Szafie grającej przez Ustawienia Menu Głównego"
GameUIMusicTrackMusicTribesFunkedMixName,Szafa grająca: Plemiona i problemy – Funked Mix
GameUIMusicTrackMusicTribesFunkedMixShortName,Plemiona – Funk
GameUIMusicTrackMusicTribesFunkedMixDescription,"Przy tylu małpkach nie może zabraknąć funku. Załóż szeroki kołnierz, złote łańcuchy i zaszalej do świetnego remiksu.\nWłącz muzykę w Szafie grającej przez Ustawienia Menu Głównego"
GameUIProfileAvatar13Name,Niestandardowy awatar – Motocyklista Bones
GameUIProfileAvatar13ShortName,Awatar Motocyklista Bones
GameUIProfileAvatar13Description,„Jestem małpią zemstą!”\nUstaw awatar gracza przez portret awatara w Menu Głównym
GameUIProfileAvatar14Name,Niestandardowy awatar – Tonik transformujący alchemika
GameUIProfileAvatar14ShortName,Awatar Transformujący
GameUIProfileAvatar14Description,Najlepszy tonik to mocny tonik.\nUstaw awatar gracza przez portret awatara w Menu Głównym
GameUIProfileAvatar15Name,Niestandardowy awatar – Druid ducha lasu
GameUIProfileAvatar15ShortName,Awatar Druida lasu
GameUIProfileAvatar15Description,Pokaż spokój druida i jedność z naturą.\nUstaw awatar gracza przez portret awatara w Menu Głównym
GameUIProfileAvatar16Name,Niestandardowy awatar – Bierz ich! Pat
GameUIProfileAvatar16ShortName,Awatar Pat Fusty
GameUIProfileAvatar16Description,Nic lepiej nie portretuje wielkiej małpki.\nUstaw awatar gracza przez portret awatara w Menu Głównym
GameUIProfileAvatar17Name,Niestandardowy awatar – Lepszy profil Ezili
GameUIProfileAvatar17ShortName,Awatar Ezili
GameUIProfileAvatar17Description,Ezili nigdy nie wyglądała tak dobrze.\nUstaw awatar gracza przez portret awatara w Menu Głównym
GameUIProfileAvatar18Name,Awatar specjalny – Churchill w akcji
GameUIProfileAvatar18ShortName,Awatar Churchill
GameUIProfileAvatar18Description,"To może być twój patriotyczny obowiązek, by oddać hołd małpim bohaterom w ogniu walki.\nUstaw awatar gracza przez portret awatara w Menu Głównym"
MonkeyNameHeader,Edytuj imię małpki
MonkeyNameInstruction,"Wybierz swoje imię dla pierwszej małpki każdego typu. Ogranicz się do 20 znaków i 2 wersów dla optymalnego wyświetlania. Użyj spacji, by oddzielić wersy"
OdysseyCompleteDescription,"Gratulacje, odważny poszukiwaczu przygód! Ukończyłeś odyseję i zdobyłeś te nagrody!"
HeroBoosterDescription,Doładować bohatera natychmiast do poziomu 10?
InappropriateNamedMonkeyName,Wybierz stosowniejsze imię dla małpki
PatchNotesLink,Pełnych informacji o aktualizacji szukaj tu:
TrophyPurchaseConfirmation,Zakupić {0} z {1} trofeów?
TrophyPurchaseInsufficient,"Brakuje ci trofeów, by zakupić ten przedmiot. Zdobądź więcej na wyścigach i w trybie odysei."
TrophyStoreBought,Kupione
LotusIsland,Wyspa Lotosów
OctoJonesStrikerJonesSkinName,Skórka Oktojonesa
OctoJonesStrikerJonesSkinDescription,Ja jestem morzem!
OdysseyRestartVoyage,Restartuj podróż
CoopEmoteTextAmazingWord,Niesamowite!
CoopEmoteTextPerfectTimingWord,W punkt
CoopEmoteTextWhyWord,Czemu?!
CoopEmoteTextAllIsFineWord,Wszystko gra
PlayerStatsTimesUpgraded,Czasy ulepszone
PlayerStatsTimesSacrificed,Czasy poświęcone
TrophyStoreInfoHeader,Info o sklepie z trofeami
TrophyStoreInfoBody,"Sklep z trofeami to dom wielu świetnych ulepszeń wizualnych!\n• Zdobywaj trofea za ukończenie odysei, miejsca w wyścigach i pokonywanie bossów\n• Większość zakupionych przedmiotów można uruchomić i wyłączyć w zakładce Ekwipunek\n• Zakupione kawałki muzycz"
RestartOdysseyBody,Na pewno chcesz zrestartować odyseję?
OdysseyBannerRewards,Zdobywaj nagrody i trofea!
UpdateNotes,O aktualizacji
OdysseyEventEnded,Odyseja zakończyła się!
NamedMonkeysAll,Wszystko
NamedMonkeysTitle,Nazwane małpki
PlayerStatsLifetimeTrophies,Życiowe trofea
OdysseyCompletedRewards,Ukończone!
OdysseyCrewReset,Na pewno chcesz zresetować swoją załogę?
Etienne,Etienne
Etienne Short Description,Operator drona
Etienne Description,Ten technologiczny bohater może podążać za blonami za pomocą zdalnie sterowanego drona.
Etienne Level 1 Description,Lata małym śmiercionośnym dronem i strzela w blony.
Etienne Level 2 Description,Zasięg Etienne'a się zwiększył.
Etienne Level 3 Description,"Rój dronów: Etienne wypuszcza 4 tymczasowe drony, by siać spustoszenie wśród blonów."
Etienne Level 4 Description,Drony zyskują większą moc przekłucia.
Etienne Level 5 Description,Zwiększona prędkość ataku i kamera na podczerwień pozwala dronom strzelać w kamuflażowe blony.
Etienne Level 6 Description,Zredukowane odnowienie dla umiejętności rój dronów.
Etienne Level 7 Description,Etienne teraz kontroluje 2 drony na raz.
Etienne Level 8 Description,BSP: wszystkie małpki zyskują wykrywanie blonów kamuflażowych.
Etienne Level 9 Description,Drony przekłuwają dodatkową warstwę blonów.
Etienne Level 10 Description,BBSP: wysokościowy dron obserwacyjny na krótki czas staje się niszczycielskim dronem bojowym.
Etienne Level 11 Description,Etienne zyskuje trzeciego drona do kontrolowania.
Etienne Level 12 Description,Ulepszenia dronów! Zwiększona siła przekłucia i prędkość lotu.
Etienne Level 13 Description,Zredukowane odnowienie dla umiejętności BBSP.
Etienne Level 14 Description,Znacznie zwiększone obrażenia od dronów.
Etienne Level 15 Description,Znacznie zwiększone obrażenia i czas działania BBSP.
Etienne Level 16 Description,"Poprawiony zasięg Etienne'a, siła przekłucia dronów i odnowienie Roju dronów."
Etienne Level 17 Description,Znów znacznie zwiększone obrażenia BBSP!
Etienne Level 18 Description,Zwiększone obrażenia od dronów.
Etienne Level 19 Description,Etienne teraz kontroluje 4 drony przez cały czas!
Etienne Level 20 Description,Perma-BBSP: dron obserwacyjny staje się stałym dronem bojowym. Po aktywacji przez krótki czas jest potężniejszy i może przekłuwać wszystkie typy blonów.
Drone Swarm Ability,Rój dronów
Drone Swarm Ability Description,"Etienne wypuszcza jeszcze 4 tymczasowe drony, by siać spustoszenie wśród blonów."
UCAV Ability,BBSP
UCAV Ability Description,Wysokościowy dron obserwacyjny na krótki czas staje się niszczycielskim dronem bojowym.
Mesa,Mesa
DreadPirateBrickellAdmiralBrickellSkinName,Skórka Przerażająca piratka Brickell
DreadPirateBrickellAdmiralBrickellSkinDescription,Królowa Siedmiu Mórz znów żegluje!
No Insta Reward,Brak nagrody za rundę 100
GameUIProfileAvatar19Name,Niestandardowy awatar – Poważna mina Adory
GameUIProfileAvatar19ShortName,Awatar Adora
GameUIProfileAvatar19Description,"Adora pokazuje, że poważnie podchodzi do sprawy i tak też działa ten awatar."
GameUIProfileAvatar20Name,Niestandardowy awatar – Inżynier radę da
GameUIProfileAvatar20ShortName,Awatar Inżynier
GameUIProfileAvatar20Description,"Miłość do własnego zawodu to już połowa sukcesu, a inżynier z radością przyszpili więcej blonów"
GameUIProfileAvatar21Name,Niestandardowy awatar – Brickell C&B
GameUIProfileAvatar21ShortName,Awatar Brickell
GameUIProfileAvatar21Description,"Admirał Brickell prowadząca flotę do zwycięstwa, w czerni i bieli"
GameUIProfileAvatar22Name,Niestandardowy awatar – Ikoniczny DJ Ben
GameUIProfileAvatar22ShortName,Awatar DJ Ben
GameUIProfileAvatar22Description,DJ Benjammin w swoim charakterystycznym stylu
HeroesObynPetWolfName,Zwierzak wilczy duch Obyna
HeroesObynPetWolfShortName,Wilczy duch Obyna
HeroesObynPetWolfDescription,"Duchy lasu zawsze się budzą, gdy w pobliżu jest magiczny wilczy duch Obyna. Tylko oryginalny Obyn"
HeroesEziliPetFrogName,Zwierzak żaba Ezili
HeroesEziliPetFrogShortName,Zwierzak żaba Ezili
HeroesEziliPetFrogDescription,"Ezili przysięga, że to żaden stereotyp voodoo – po prostu uważa, że ta żaba jest najfajniejsza. Tylko oryginalna Ezili"
BloonsAllBloonsPopsBarrelOfMonkeysName,Efekt przekłucia Więcej małpek
BloonsAllBloonsPopsBarrelOfMonkeysShortName,Efekt przekłucia Małpki
BloonsAllBloonsPopsBarrelOfMonkeysDescription,"Nigdy zbyt wiele małpek! Spraw, by po każdym przekłuciu pojawiały się kolorowe małpie efekty"
BloonsAllBloonsTopHatsName,Blony w cylindrach
BloonsAllBloonsTopHatsShortName,Cylindry
BloonsAllBloonsTopHatsDescription,Dodaj blonom trochę elegancji z ponadczasowym nakryciem głowy.
CoopEmoteSoundCricketsName,Efekt dźwiękowy Świerszcze
CoopEmoteSoundCricketsShortName,Świerszcze
CoopEmoteSoundCricketsDescription,To dźwięk czternastej zignorowanej prośby o kasę
CoopEmoteAnimationSparklingHeartsName,Emotka Migoczące serca
CoopEmoteAnimationSparklingHeartsShortName,Migoczące serca
CoopEmoteAnimationSparklingHeartsDescription,Są serca. I są migoczące serca. Niektórzy z nas znają różnicę
CoopEmoteTextLetsGoName,Emotka z tekstem Do dzieła
CoopEmoteTextLetsGoShortName,Do dzieła
CoopEmoteTextLetsGoDescription,Aż kipisz entuzjazmem? Gotowy do przekłuwania bez końca? Więc do dzieła!
CoopEmoteTextOKName,Emotka z tekstem OK
CoopEmoteTextOKShortName,OK
CoopEmoteTextOKDescription,Idealny na każdą okazję. Komunikuj się jak najmniejszą liczbą liter!
OdysseyExtremeModeConfirmCrew,Twoja załoga na ekstremalną odyseję liczy mniej niż maksimum członków. Jesteś tego pewien?
OdysseyAllHeroesText,Wszyscy bohaterowie
OdysseyAllTowersText,Wszystkie małpie wieże
OdysseyAllPowersText,Wszystkie moce
CoopEmoteTextOKWord,OK
CoopEmoteTextLetsGoWord,Do dzieła!
OdysseyExtremeModeTitle,Tryb ekstremalny!
OdysseyExtremeModeDescription,• W trybie ekstremalnym nie możesz zmieniać małpiej załogi\n• Po umieszczeniu małpie wieże zostają zużyte i nie można ich wykorzystać ponownie
OdysseyCrewRemaining,Pozostała załoga:
SaveVersionConflict,Konflikt zapisywanej wersji
SaveVersionConflictDescription,"Posiadasz zapis z nowszej wersji gry, niż ta, w którą grasz teraz.\nZaktualizuj tę wersję, by nie stracić wszystkich postępów."
OdysseyStatsLivesRemaining,Pozostałe życia
OdysseyStatsTimeTaken,Czas poświęcony
OdysseyStatsTotalMonkeysPlaced,Wszystkie rozmieszczone małpie wieże
OdysseyStatsTotalPowersUsed,Wszystkie użyte moce
BloonsZOMGSkinSteampunkName,ZOMG steampunk
BloonsZOMGSkinSteampunkShortName,ZOMG steampunk
BloonsZOMGSkinSteampunkDescription,"Odpalaj silniki parowe, wypoleruj monokla i szykuj się na przygodę!"
BloonsBFBSkinSciFiName,BLB sci-fi
BloonsBFBSkinSciFiShortName,BLB sci-fi
BloonsBFBSkinSciFiDescription,Czerwony alarm! BLB ma blastery ustawione na koniec gry!
TT_DivideAndConquer,Dziel i rządź
TT_ZoneDefense,Obrona strefowa
GameUIMusicTrackMusicSunsetSilentNightMixName,Szafa grająca: Samba zachodzącego słońca – Silent Night Mix
GameUIMusicTrackMusicSunsetSilentNightMixShortName,Zachodzące słońce – Silent Night
GameUIMusicTrackMusicSunsetSilentNightMixDescription,"Spokojny kawałek, który łagodzi intensywność – idealny na nocne lub poranne rozgrywki"
ShowLocalNetworkGames,Pokaż gry w twojej lokalnej sieci
OdysseyReplayOdyssey,Zagraj ponownie w odyseję
OdysseyWarnNoTowers,Uwaga! Nie będziesz mieć żadnych małpek do wykorzystania na wyspie {0}. Na pewno chcesz kontynuować?
CoopLobbyNotAvailable,Lobby niedostępne
NotAvailable,Niedostępne
Achievement 93 Name,Poszukiwacz przygód
Achievement 93 Description,Ukończ odyseję
Achievement 94 Name,Wprawiony poszukiwacz
Achievement 94 Description,Ukończ trudną odyseję
Achievement 95 Name,Odkryj wszystko
Achievement 95 Description,Ukończ trzy poziomy trudności jednej odysei
Achievement 96 Name,12 zadań Małpkolesa
Achievement 96 Description,Ukończ 12 różnych odysei
Achievement 97 Name,Modyseusz początki
Achievement 97 Description,Ukończ 50 odysei
Achievement 98 Name,Modyseusz na zawsze
Achievement 98 Description,Ukończ 100 odysei
Achievement 99 Name,Pełna prędkość!
Achievement 99 Description,Ukończ odyseję w mniej niż godzinę
Achievement 100 Name,Ten blask
Achievement 100 Description,Zakup przedmiot ze sklepu z trofeami
Achievement 101 Name,"Więcej bohaterów, więcej problemów"
Achievement 101 Description,Ukończ odyseję bez bohatera
Heroes Available:,Dostępni bohaterowie:
Encrypted,Zaszyfrowane
TT_Locked,Zablokowane
TT_Normal,Normalne
JukeboxLoopTrack,Zapętl utwór
TrophyStoreLimitedTime,Ograniczony czas
TowerProjectileBombshooterPumpkinName,Bomby dyniowe działa bombowego
TowerProjectileBombshooterPumpkinShortName,Bomby dyniowe
TowerProjectileBombshooterPumpkinDescription,"Zapomnij o lampionach z dyni, działa bombowe teraz mogą strzelać wybuchowymi dyniami! "
TowerPetSupermonkeyBatName,Zwierzak nietoperz supermałpki
TowerPetSupermonkeyBatShortName,Nietoperz supermałpki
TowerPetSupermonkeyBatDescription,Przerażająco słodki czy słodko przerażający? Każda supermałpka potrzebuje nietoperza
BloonsBADSkinBonesName,WSZ szkieletor
BloonsBADSkinBonesShortName,WSZ szkieletor
BloonsBADSkinBonesDescription,"Wpatruj się z zachwytem w upiornego WSZ szkieletora. Albo powiedz znajomym, że to nowa klasa MOAB-a"
BloonsAllBloonsDecalAxeName,Blony z siekierą
BloonsAllBloonsDecalAxeShortName,Blony z siekierą
BloonsAllBloonsDecalAxeDescription,Klasyczny halloweenowy kostium w uniwersalnym rozmiarze dla wszystkich blonów! Ograniczony czasowo przedmiot kolekcjonerski!
CoopEmoteSoundScreamName,Efekt dźwiękowy Krzyk
CoopEmoteSoundScreamShortName,Krzyk
CoopEmoteSoundScreamDescription,"Krzycz z niedowierzania, ze śmiechu, albo krzycz na Gracza 3 za niepodzielenie się kasą! Horror!"
CoopEmoteTextRound100Name,Emotka z tekstem Runda 100
CoopEmoteTextRound100ShortName,Runda 100
CoopEmoteTextRound100Description,"Daj znać innym, że chcesz dojść do rundy 100, pokonać WSZ i zdobyć natychmiastową!"
GameUIPowerSkinSuperVampireStormName,Niestandardowa moc – Super burza wampirów
GameUIPowerSkinSuperVampireStormShortName,Super burza wampirów
GameUIPowerSkinSuperVampireStormDescription,"Zmieć blony w stylu wampirów, z rojem nietoperzy"
GameUIProfileAvatar23Name,Niestandardowy awatar – Bystry Etienne
GameUIProfileAvatar23ShortName,Awatar Etienne
GameUIProfileAvatar23Description,"Najlepszy w klasie i gotowy do lotu, Etienne na stanowisku!"
GameUIProfileAvatar24Name,Niestandardowy awatar – Moździerz GJ
GameUIProfileAvatar24ShortName,Awatar Moździerz
GameUIProfileAvatar24Description,Gwarancja Jakości ciężkiej artylerii to nie małpi biznes!
GameUIProfileAvatar25Name,Niestandardowy awatar – Frankenmałpka
GameUIProfileAvatar25ShortName,Awatar Frankenmałpka
GameUIProfileAvatar25Description,Ulubione słowo Frankenmałpki to „blooooooony”. Ograniczony czasowo przedmiot kolekcjonerski!
GameUIProfileAvatar26Name,Niestandardowy awatar – Wilkomałpka
GameUIProfileAvatar26ShortName,Awatar Wilkomałpka
GameUIProfileAvatar26Description,Najfajniejszy awatar w szkole – nastoletnia Wilkomałpka to najmodniejszy dzieciak w okolicy. Ograniczony czasowo przedmiot kolekcjonerski!
GameOverScreen,Koniec gry
TowerProjectileBananaFarmCandyCornName,Cukrowe kukurydze z bananowej farmy
TowerProjectileBananaFarmCandyCornShortName,Cukrowe kukurydze z farmy
TowerProjectileBananaFarmCandyCornDescription,"Banany są słodkie, ale cukrowe kukurydze jeszcze bardziej osładzają grę. Ograniczony czasowo przedmiot kolekcjonerski!"
GameUIPowerSkinHalloweenFarmerName,Niestandardowa moc – Ponury farmer
GameUIPowerSkinHalloweenFarmerShortName,Ponury farmer
GameUIPowerSkinHalloweenFarmerDescription,"Dzwoni dzwon dla twoich plonów, a ponury farmer jest tu, by je zebrać. Ograniczony czasowo przedmiot kolekcjonerski!"
GameUIPowerSkinCoffinDropName,Niestandardowa moc – Zrzut trumny
GameUIPowerSkinCoffinDropShortName,Zrzut trumny
GameUIPowerSkinCoffinDropDescription,"Teraz w modzie są dostawy nietoperzy pełne kasy, a drony są przestarzałe jak poprzednia aktualizacja. Ograniczony czasowo przedmiot kolekcjonerski!"
GameUIMusicTrackMusicFiestaSynthwaveMixName,Szafa grająca: Fiesta Flamenco – Synthwave Mix
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,Flamenco – Synthwave
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,Twój ulubiony kawałek Flamenco w stylu lat 80. Bujny fryz opcjonalny!
TowerProjectileMonkeyAceBonesName,Kostne rzutki małpki pilota
TowerProjectileMonkeyAceBonesShortName,Kostne rzutki pilota
TowerProjectileMonkeyAceBonesDescription,Spuść deszcz upiornych kostnych rzutek za pomocą wszystkich małpek pilotów. Ograniczony czasowo przedmiot kolekcjonerski!
TowerPetMonkeySubRubberDuckName,Zwierzak gumowa kaczuszka podwodnej małpki
TowerPetMonkeySubRubberDuckShortName,Zwierzak kaczuszka podwodnej małpki
TowerPetMonkeySubRubberDuckDescription,"Kwa, kwa, zwierzak dla podwodniaka! Słodkie gumowe kaczki dla wszystkich podwodnych małpek. Kwa!"
PlayerStatsNecroBloons,Reanimowane nekromanckie blony
Achievement 102 Name,Pulchne małpki
Achievement 102 Description,Lubię duże i pulchniutkie
Achievement 103 Name,Łamacze przysięgi
Achievement 103 Description,Reanimuj 250 000 blonów do walki po twojej stronie za pomocą czarodzieja nekromanty
HiddenAchievementQuestionMarkString,???
Achievement 104 Name,Życie na krawędzi
Achievement 104 Description,Wygraj dowolną grę bez SKiMMPS lub na poziomie nieprzekłuwalnym z 1 życiem.
Achievement 105 Name,Szalony piątek
Achievement 105 Description,Wykorzystaj 100 razy umiejętność toniku transformującego alchemika
PlayerStatsTransformingTonics,Wykorzystane toniki transformujące
Achievement 106 Name,Fanklub małpki
Achievement 106 Description,"Stwórz albo zaloguj się na konto Ninja Kiwi, by zapisać postępy"
Total Transformation Ability,Totalna transformacja
Jungles Bounty Ability,Nagroda dżungli
Spirit of the Forest Ability,Duch lasu
Ultraboost Ability,Ultrawzmacniacz
Dark Knight Ability,Skok mroku
Dark Champion Ability,Skok mroku
Door Gunner Ability,Podniebny strzelec
SearchText,Szukaj...
DartlingGunnerLockedIn,Zamknięte!
TowerEffectAllMonkeysPlacementUpgradesGhostsName,Efekty umieszczania i ulepszania Duchy
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,Efekt ulepszania Duchy
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,Dodaj nadprzyrodzonego uroku do każdej rozmieszczonej małpiej wieży i ulepszenia z nowym efektem duchów
BloonsAllBloonsPopsBonesName,Efekt przekłucia Kości
BloonsAllBloonsPopsBonesShortName,Efekt przekłucia Kości
BloonsAllBloonsPopsBonesDescription,Czy blony mają kości? Bloanatom chciałby wiedzieć! Ograniczony czasowo przedmiot kolekcjonerski!
OdysseyThemeBloonRush,Napływ blonów
OdysseyThemeSpecificBloonRush,{0} napływ blonów
OdysseyThemeMegaBloon,Mega {0}
OdysseyThemeRoundMashUp,Mashup rundy
OdysseyThemeRoundMixUp,Remiks rundy
OdysseyThemeEntryMixUp,Remiks wejścia
OdysseyStars,Gwiazdy
DisableNudgeMode,Wyłącz tryb popchnięcia
More Pops To Open,Więcej przekłuć do otwarcia!
Most Pops Tip,"Zdobądź najwięcej przekłuć grach trybu średniego, trudnego i wolnej rozgrywce!"
btd6_churchillbundle,Pakiet bohatera
btd6_churchillbundle Description,• Bohater\n\n• Skórka bohatera\n\n• Animacja rozmieszczenia\n\n• Awatar
btd6_ezilibundle,Pakiet bohatera
btd6_ezilibundle Description,• Bohater\n\n• Skórka bohatera\n\n• Zwierzak bohatera\n\n• Awatar
btd6_benjaminbundle,Pakiet bohatera
btd6_benjaminbundle Description,• Bohater\n\n• Skórka bohatera\n\n• Animacja rozmieszczenia\n\n• Awatar
btd6_patfustybundle,Pakiet bohatera
btd6_patfustybundle Description,• Bohater\n\n• Skórka bohatera\n\n• Zwierzak bohatera\n\n• Awatar
Red,Czerwony
Blue,Niebieski
Green,Zielony
Yellow,Żółty
Pink,Różowy
Purple,Fioletowy
Lead,Ołowiany
Black,Czarny
White,Biały
Zebra,Pasiaty
Rainbow,Tęczowy
Ceramic,Ceramiczny
MOAB,MOAB
BFB,BLB
ZOMG,ZOMG
DDT,MST
BAD,WSZ
Insta Monkey Collection,Kolekcja małpek natychmiastowych
Most Experienced Monkey,Najbardziej doświadczona małpka
Most Experienced Monkey Xp,Najbardziej doświadczona małpka PD
Collection Chests Opened,Kolekcja otwartych skrzyń
btd6_moremoneypack_sale,Wyprzedaż paczki większej kasy!
btd6_moremoneypack_sale Description,"Wszystkie odpowiednie moce, by szybko zarobić – 20 zrzutów kasy, 5 małpich farmerów i 5 przepychów. Dostępne przez określony czas!"
EditorRegrowSpeed,Tempo odrastania
HeroBundle,Pakiet bohatera
GetItAllNow,Zdobądź wszystko teraz!
PlacementAnimation,Animacja rozmieszczenia
XFactor,Faktor X
Skates,Łyżwy
DartlingGunner Short Description,Militarna małpka
btd6_starterheroskinbundle Description,• 2 skórki Quincy\n• 2 skórki Gwen\n• 2 skórki Striker\n• 2 skórki Obyn
btd6_starterheroskinbundle,Mega pakiet
ObynMountainGuardianSkinName,Skórka górskiego strażnika
ObynMountainGuardianSkinDescription,Duchy gór się przebudziły.
HeroesPatPetPenguinName,Zwierzak pingwin bałwanka Fusty'ego
HeroesPatPetPenguinShortName,Zwierzak pingwin bałwanka
HeroesPatPetPenguinDescription,Pingwiny to najlepsi kumple bałwanków! Chociaż ten chyba coś knuje... Tylko bałwanek Fusty. Ograniczony czasowo przedmiot kolekcjonerski!
HeroesAdmiralBrickellPetParrotName,Zwierzak papuga Brickell
HeroesAdmiralBrickellPetParrotShortName,Papuga Brickell
HeroesAdmiralBrickellPetParrotDescription,"Gwak! Ahoj, blony, ahoj, blony! Tylko przerażająca piratka Brickell"
TowerPetMonkeyVillageElfName,Zwierzak elf małpiej wioski
TowerPetMonkeyVillageElfShortName,Elf z wioski
TowerPetMonkeyVillageElfDescription,"To jak elf na półce, tylko włochaty i z ogonem. Lubi zostawiać „prezenty” w wiosce. Ograniczony czasowo przedmiot kolekcjonerski!"
TowerEffectAllMonkeysPlacementUpgradesPresentsName,Efekty umieszczania i ulepszania Prezenty
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,Efekt ulepszania Prezenty
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,"Każdy dzień jest jak gwiazdka, gdy twoje ulepszenia eksplodują prezentami! Ograniczony czasowo przedmiot kolekcjonerski!"
TowerProjectileBoomerangCandyCaneName,Cukrowe laski bumerangowej małpki
TowerProjectileBoomerangCandyCaneShortName,Cukrowe bumerangi
TowerProjectileBoomerangCandyCaneDescription,Przekłuwaj blony pysznymi cukrowymi laskami! Ograniczony czasowo przedmiot kolekcjonerski!
BloonsAllBloonsSantaHatsName,Czapki Mikołaja
BloonsAllBloonsSantaHatsShortName,Czapki Mikołaja
BloonsAllBloonsSantaHatsDescription,"Blony + czapki Mikołaja, wizja z najgorszych snów czy najlepszy prezent? Ograniczony czasowo przedmiot kolekcjonerski!"
BloonsAllBloonsRudolphNoseName,Naklejka Czerwony nos
BloonsAllBloonsRudolphNoseShortName,Czerwony nos
BloonsAllBloonsRudolphNoseDescription,Niech oświetlą drogę innym blonom – udekoruj MOAB-y świecącymi nosami! Ograniczony czasowo przedmiot kolekcjonerski!
BloonsAllBloonsPopsSnowflakesName,Efekt przekłucia Śnieżynki
BloonsAllBloonsPopsSnowflakesShortName,Efekt przekłucia Śnieżynki
BloonsAllBloonsPopsSnowflakesDescription,Zrób z każdego blona po przekłuciu wyjątkową śnieżynkę!
BloonsMOABSkinGlacierName,Zlodowaciały MOAB
BloonsMOABSkinGlacierShortName,Zlodowaciały MOAB
BloonsMOABSkinGlacierDescription,Jaskiniowe małpki ostrzegają inne małpki. Wielki blon nadejdzie. Wielki blon zimny jak lód. Jaskiniowe małpki głodne. Masz banana?
CoopEmoteAnimationHappyHolidaysName,Emotka Wesołych Świąt
CoopEmoteAnimationHappyHolidaysShortName,Wesołych Świąt
CoopEmoteAnimationHappyHolidaysDescription,Życz wszystkim Wesołych Świąt z tą ograniczoną czasowo kolekcjonerską emotką!
CoopEmoteAnimationCelebrationName,Emotka Świętowanie
CoopEmoteAnimationCelebrationShortName,Świętowanie
CoopEmoteAnimationCelebrationDescription,Odliczaj do Nowego Roku i zrób postanowienie nowego rekordu rundy
CoopEmoteAnimationFacepalmName,Emotka Facepalm
CoopEmoteAnimationFacepalmShortName,Facepalm
CoopEmoteAnimationFacepalmDescription,Ben nie dzieli się kasą? Quincy przepuszcza blony? Facepalmy Ezili pasują do wielu sytuacji!
GameUIPowerSkinBaubleMineName,Niestandardowa moc – Mina bombka
GameUIPowerSkinBaubleMineShortName,Mina bombka
GameUIPowerSkinBaubleMineDescription,Wysadzaj MOAB-y i dekoruj choinkę! Ograniczony czasowo przedmiot kolekcjonerski!
GameUIPowerSkinRetroTechbotName,Niestandardowa moc – Retro techbot
GameUIPowerSkinRetroTechbotShortName,Retro techbot
GameUIPowerSkinRetroTechbotDescription,Kontroluj swoje aktywowane zdolności z kapitalnym retro techbotem. Ograniczony czasowo przedmiot kolekcjonerski!
GameUIPowerSkinIcebergPontoonName,Niestandardowa moc – Lodowcowy ponton
GameUIPowerSkinIcebergPontoonShortName,Lodowcowy ponton
GameUIPowerSkinIcebergPontoonDescription,"Patrz, jak wszystkie twoje problemy z blonami rozpuszczają się za pomocą superfajnego lodowcowego pontonu."
GameUIProfileAvatar27Name,Niestandardowy awatar – Małpka pilot
GameUIProfileAvatar27ShortName,Awatar Małpka pilot
GameUIProfileAvatar27Description,Małpka pilot na ratunek! Podbij przestworza z tym wspaniałym awatarem
GameUIProfileAvatar28Name,Niestandardowy awatar – Strzelec rzutkowy
GameUIProfileAvatar28ShortName,Awatar Strzelec rzutkowy
