//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
WeakPoint,Svakt punkt
WeakPointDescription,Alle helter påfører +1 skade til keramiske og forsterkede bloons
WolfpackQuincySkinName,Ulveflokk-Quincy
WolfpackQuincySkinDescription,"Fra villere dager, da alle jegere var sterke og flokken enda sterkere – han er Ulveflokk-Quincy, forfaderen til Quincy."
Infernal,Infernalsk
DownloadButton,Last ned
DownloadDescription,Oppdaterte filer kreves for å spille. WiFi anbefales. Datastørrelse {0} MB
ViewCollectionButton,Vis samlingen
ViewInventoryButton,Vis lageret
CollectionDescription,Hurtig-aper forblir synlige i samlingen etter bruk.
CollectionNoInventory,"Hurtig-aper fra daglige kister, utfordringer og hendelser vises her."
MatchIncompatible,Spilltyper er ikke kompatible
CollectionEventBonusRewards,Bonusbelønninger
SteamOverlay,Steam-overlegg og -pålogging kreves for kjøp.
CollectionEventFeaturedInstas,Framhevede hurtig-aper
CollectionEventChangesIn,Endres om:
CollectionEventChooseInsta,Velg framhevet hurtig-ape
JoanOfArcAdoraSkinName,Jeanne d'Arc-adora
JoanOfArcAdoraSkinDescription,Alle kamper vinnes eller tapes i hodet.
EditorRules,Regler
EditorModifiers,Modifikatorer
PathRestricted,Begrenset bane
UpgradeRestricted,Begrenset oppgradering
ChallengeEditorRestrict,Begrens
ConfirmApplyAll,Bruk disse begrensningene på alle tilgjengelige apetårn?
ConfirmResetAll,Tilbakestill alle tilgjengelige apetårn til 5-5-5?
Geared,Tannjuling
ChallengeEditorTowerRestrictions,Tårnrestriksjoner
ChallengeEditorApplyAll,Påfør alle
ChallengeEditorResetAll,Tilbakestill alle
CandyFalls,Godtefoss
HarlegwenGwendolinSkinName,Gærne Gwen-drakt
HarlegwenGwendolinSkinDescription,De kjenner meg som svært rampete!
CoopLobbyHackerDetected,"Kunne ikke bli med i spillet, inkompatibilitet oppdaget. For hjelp, vennligst besøk http://ninja.kiwi/btd6_coop"
TechBotSetAmbush,Angi Bakholdsangrep
TechBotSetAmbushInstruction,Velg området for Bakholdsangrep nærme banen
AmbushTech,Bakholdsangrepsteknologi
AmbushTechDescription,Tek-bot får en målsøkende mulighet til å utløses kun når bloons kommer inn i et spesifikt område på banen.
DoorGunner,Dørvakttårn
DoorGunnerDescription,Spesial-popperasjon-helikopter tillater Apetårn av nivå 4 og lavere å angripe bloons mens det svever.
DoorGunnerDenied,Kunne ikke gjøre dette tårnet til et Dørvakttårn
AmbidextrousRangs,Tohendige 'ranger
AmbidextrousRangsDescription,Kunnskap og trening lar Bumerang-aper bytte kastehånd for å optimalisere angrepene sine på tvers av banen.
BoomerangTargetingSwitchHands,Bytt hånd
VineRupture,Rankeruptur
VineRuptureDescription,"Gir Skogens ånd-druiden en ny evne til å rumpere alle ranker på banen, og påføre store skader på alle bloons som ikke er bly-bloons. Nye ranker vil vokse tilbake etter hver Ruptur."
BankDeposits,Bankinnskudd
BankDepositsDescription,Apebanker på gren 4 og høyere  kan ta innskudd fra tilgjengelig spillvaluta.
MonkeyBankDeposit,Innskudd
Achievement 92 Name,Gullbillett
Achievement 92 Description,Bloompa-loompa-doompa-di-do!
SmallMonkeysMode,Små aper
CaveMonkey,Huleboende ape
DarkKnightDarkshift,[I] for å Mørkehoppe innen rekkevidde
DarkChampionDarkshift,[I] for å Mørkehoppe til et gyldig sted
SmallTowersMode,Små apetårn
BigTowersMode,Store apetårn
UpdatePopupTitle,Oppdatering 35!
UpdatePopupDescription,"Nytt år, ny oppdatering!\n• Begi deg ut i de skyggelagte kammerne på det nye ekspertkartet «Mørke fangehull». Designet er lagd av vinneren av fellesskapets kartkonkurranse, Lars_Overwick.\n• Driv bloonsene ut av byen på det nye nybegynnerkartet «Midt i veien».\n• La noen av bloonsene få føle på et enormt trykk fra den nye Pat Fusty-drakten «Kaiju Pat»!\n• Trofégjenstander i butikken, endringer, balanseringer og mye mer!"
ResetDailyChest,Tilbakestill den Daglige kisten
JukeboxName,Jukeboks
EnableFunction,Aktiver
JukeboxSongs,Sanger
JukeboxPlaylist,Spilleliste
JukeboxAddAll,Legg til alle
JukeboxRemoveAll,Fjern alle
MonkeysLeft,Gjenværende aper
ChallengeRules,Regler for utfordring
JukeboxMusicFiestaMain,Flammefiesta
JukeboxMusicSunshineMain,Solskinnsserenade
JukeboxMusicSunsetMain,Solnedgangssamba
JukeboxMusicTropicalMain,Tropiske spillopper
JukeboxMusicTribesMain,Fanfare og forpliktelser
JukeboxMusicWinterMain,Vinternetter
JukeboxMusicJazzMain,Jazz-tema
DoorGunnerSelect,Velg et tårn som Dørvakttårn
PlayerStatsSettings,Spillerstatistikker
PlayerStatsPublicStats,Offentlige statistikker
HiddenAchievements,Skjulte prestasjoner
PlayerStatsTopHeroes,Topphelter
PlayerStatsTopMonkeys,Toppaper
PlayerStatsGamesPlayed,Spilte spill
PlayerStatsGamesWon,Vunnede spill
PlayerStatsHighestRound,Høyeste runde
PlayerStatsMonkeysPlaced,Plasserte aper
PlayerStatsPopCount,Totalt antall poppinger
PlayerStatsCoopPopCount,Totalt antall samarbeidspoppinger
PlayerStatsCamoPopped,Poppede kamuflerte bloons
PlayerStatsLeadPopped,Poppede bly-bloons
PlayerStatsPurplePopped,Poppede lilla bloons
PlayerStatsRegrowPopped,Poppede gjenvoksende bloons
PlayerStatsCeramicPopped,Poppede keramiske bloons
PlayerStatsMoabsPopped,Poppede MOAB-er
PlayerStatsBfbsPopped,Poppede BFB-er
PlayerStatsZomgsPopped,Poppede ZOMG-er
PlayerStatsDdtsPopped,Poppede DDT-er
PlayerStatsBadsPopped,Poppede BAD-er
PlayerStatsBloonsLeaked,Bloons som kom seg gjennom
PlayerStatsCashGenerated,Penger generert
PlayerStatsCashGifted,Penger gitt vekk
PlayerStatsAbilitiesUsed,Evner brukt
PlayerStatsPowersUsed,Krefter brukt
PlayerStatsInstaMonkeysUsed,Insta-aper brukt
PlayerStatsDailysOpened,Daglige belønningskister åpnet
PlayerStatsChallengesCompleted,Fullførte utfordringer
PlayerStatsMaxPublicSelected,Maksimalt antall offentlige statistikker er valgt. Du må huke av en eller flere før du legger til nye.
PlayerStatsOdysseysCompleted,Fullførte odysséer
PlayerStatsMedals,Medaljer
PlayerStatsAvatar,Avatar
PlayerStatsOverallStats,Totale statistikker
PlayerStatsSharing,Deler {0}/7
JukeboxMusicThemeMain,Hovedtema
et_odysseytitle,Odyssé-evenement!
et_odysseydescription,"Velkommen! Hver Odyssé er en serie sammenkoblede baner og utfordringer med troféer og andre belønninger! Hovedregler:\n• Livene gjelder på tvers av alle baner\n• Når en Odyssé er i gang, kan du ikke bytte ut mannskapet ditt eller endre vanskelighetsgraden med mindre du starter på nytt\n• Tjen deg troféer og andre belønninger etter å ha beseiret den siste banen\n• Trofébelønninger er ikke kumulative - Vanskelig Odyssé har maks. Troféer"
OdysseyEventName,Odyssé-evenement
OdysseyThemeCustomRules,Egentilpassede regler
OdysseyThemeRapidBloons,Raske bloons
OdysseyThemeNoReturn,Ingen retur-policy
OdysseyThemeInstructions,Instruksjoner medfølger ikke
OdysseyThemeFasterHigher,Raskere. Høyere. Sterkere.
OdysseyThemeGottaGoFast,Kjapt må det gå
OdysseyThemeAllCamo,"Full kamuflasje, hele tiden"
OdysseyThemeAllRegrow,"Full gjenvoksing, hele tiden"
OdysseyThemeFastTrack,Hurtigbane
OdysseyThemeHighlander,Høylandsodyssé
OdysseyThemeMonkeyTeams,Apelag
OdysseyThemeExtremeOdyssey,Ekstrem Odyssé
OdysseyLives,Liv:
OdysseyLife,{0} liv!
OdysseyLivesLeft,Liv igjen:
OdysseyStart,Start odysséen
CollectAll,Samle alle
OdysseyThemeSlowButDeadly,"Treig, men dødsfarlig"
OdysseyIslandRules,Øyregler
OdysseyCrew,Mannskap
OdysseyCrewDetails,Mannskapsdetaljer
OdysseyCrewDetailsSubtext,Sett sammen et mannskap bestående av apene og kreftene valgt av skjebnen
OdysseySeats,Seter: {0}
OdysseyMax,Maks: {0}
OdysseyPowersAvailable,Tilgjengelige krefter:
OdysseySpaces,Plasser: {0}
OdysseySelectCrew,Velg mannskapet ditt
OdysseyTotal,Totalt: {0}
OdysseyPlay,Spill
OdysseyContinue,Fortsett odysséen
OdysseyAddCrew,Vennligst legg til flere aper i mannskapet ditt for å begynne odysséen
LeaderboardHacker,Ingen data ble funnet.
Bazaar,Basar
FloodedValley,Flomfylt dal
AdmiralBrickell,Admiral Brickell
AdmiralBrickell Short Description,Sjøkommandant
AdmiralBrickell Description,Kommander alle dine vannbaserte aper for å oppnå klar seier. Krever vann for å plassere.
AdmiralBrickell Level 1 Description,Frigjør mektige sjøminer som retter seg mot bloons og ødelegger dem.
AdmiralBrickell Level 2 Description,Økt angrepshastighet.
AdmiralBrickell Level 3 Description,Marinetaktikker: Øker i kort tid angrepshastigheten betydelig til Brickel og vannbaserte aper.
AdmiralBrickell Level 4 Description,Mer poppekraft for sjøminer.
AdmiralBrickell Level 5 Description,Marinetaktikker øker poppekraften og lar påvirkede aper treffe alle bloon-typer unntatt kamuflerte bloons.
AdmiralBrickell Level 6 Description,Øker skaden til sjøminer og pistolangrep.
AdmiralBrickell Level 7 Description,Hurtigkjede: Sjøminer sprenges kjappere i en kort periode. Brickell får økt angrepsrekkevidde og oppdagelse av kamuflerte bloons.
AdmiralBrickell Level 8 Description,Med marinetaktikk kan påvirkede aper treffe kamuflerte bloons. Vanntårn i radius får ekstra gjennomtrening.
AdmiralBrickell Level 9 Description,Sjøminer gir ekstra skade.
AdmiralBrickell Level 10 Description,Megamine: En masseødeleggende mine plasseres i et vannområde som utløses av MOAB-klasse bloons og lamslår bloons i nærheten. Megaminen varer i 3 runder.
AdmiralBrickell Level 11 Description,Raskere utsettingshastighet og -frekvens for sjøminer.
AdmiralBrickell Level 12 Description,"Økt hastighet og skade for pistolangrep, samt økt skade for sjøminer."
AdmiralBrickell Level 13 Description,Megaminens nedkjølingstid reduseres.
AdmiralBrickell Level 14 Description,Marinetaktikkers varighet økes.
AdmiralBrickell Level 15 Description,"Forsterkede sjøminer har større ekplosjoner, kan skade svarte bloons og fjerne kamuflasjeegenskapen. Pistol påfører mer skade."
AdmiralBrickell Level 16 Description,Sjøminers angreps- og utsettingsrekkevidde økes noe.
AdmiralBrickell Level 17 Description,Sjøminer påfører massiv økt skade. Pistol påfører mer skade.
AdmiralBrickell Level 18 Description,Megaminens nedkjølingstid reduseres enda mer.
AdmiralBrickell Level 19 Description,Marinetaktikker påvirker alle vannbaserte tårn overalt.
AdmiralBrickell Level 20 Description,Megaminen utleverer massivt økende skader og forlenget lamslåelse.
btd6_moremoneypack,Mer for pengene-pakke
btd6_moremoneypack Description,"Alle krefter man trenger for å skaffe raske penger - 20 pengedropp, 5 apebønder, samt 5 praktikanter! Kun tilgjengelig i en begrenset tidsperiode!"
HeroesQuincyCyberQuincyPlacementFireworksName,Cyber-Quincy Fyrverkeri – posisjoner og oppgrader
HeroesQuincyCyberQuincyPlacementFireworksDescription,Alle vet at det er fyrverkeri i luften når Quincy kommer på banen. Kun Cyber-Quincy
HeroesAdoraPlacementSunbeamName,Adora Solstråle – posisjoner og oppgrader
HeroesAdoraPlacementSunbeamDescription,Adora fortjener en guddommelig ankomst. Kun original Adora
HeroesChurchillPlacementTankDropName,Churchill Tankdropp – posisjoner og oppgrader
HeroesChurchillPlacementTankDropDescription,Det er ikke mye som slår 65 tonn med Churchill-storhet som smeller ned på slagmarken. Kun original Churchill
HeroesBenjamminDJSkinPlacementPartyLightsName,DJ Benjammin Festlys – posisjoner og oppgrader
HeroesBenjamminDJSkinPlacementPartyLightsDescription,Skru opp festlysene til full kraft! Kun DJ Benjammin
HeroesStrikerJonesPlacementParadropName,Striker Jones Paradropp – posisjoner og oppgrader
HeroesStrikerJonesPlacementParadropDescription,Alle de kuleste apene ankommer banen via fallskjerm. Kun original Striker-Jones
HeroesQuincyPetDadOfQuincyName,Kjæledyret Quincys far
HeroesQuincyPetDadOfQuincyDescription,Quincys sønn er ikke komplett uten Quincys far. Kun original Quincy
HeroesGwendolinPetFirefoxName,Gwendolins ildrev
HeroesGwendolinPetFirefoxDescription,Denne nusselige ildreven holder seg nær Gwendolin. Kun original Gwendolin
BloonsMOABSkinFootballName,Gridiron fotball-MOAB
BloonsMOABSkinFootballDescription,MOAB-er kan virke enklere å ta seg av hvis de ser ut som fotballer
BloonsBFBSkinPizzaName,Pizza BFB
BloonsBFBSkinPizzaDescription,Hva ser vel bedre ut enn en BFB i form av et pizzastykke?
BloonsZOMGSkinWatermelonName,Vannmelon-ZOMG
BloonsZOMGSkinWatermelonDescription,Motiverer deg til å ville knuse denne bloonen enda hardere
BloonsMOABSkinMaulerName,Knusende MOAB
BloonsMOABSkinMaulerDescription,"Hvis du ikke kan slå dem, bli med dem"
BloonsMOABSkinPufferFishName,Kulefisk-MOAB
BloonsMOABSkinPufferFishDescription,Denne MOAB-en blåser seg opp før du blåser den til fillebiter
BloonsAllBloonsDecalGooglyEyesName,Dirrende øyne-bloons
BloonsAllBloonsDecalGooglyEyesDescription,Disse dirrende øynene virker helt naturlig på vanlige og MOAB-klasse bloons
BloonsDDTSkinSharkName,Hai-DDT
BloonsDDTSkinSharkDescription,Det skader vel ikke at DDT ser farlig ut når du vet at det er ute med deg
BloonsAllBloonsPopsConfettiName,Konfetti-pop FX
BloonsAllBloonsPopsConfettiDescription,Apene dine er mer arbeidslystne når de får spesiell konfetti-pop og lydeffekter
BloonsBADSkinPinataName,Pinata-BAD
BloonsBADSkinPinataDescription,"Ingenting er skumlere enn en stor, lilla pinata, full av godte-popeffekter"
CoopEmoteAnimationDiscoBallName,Diskokuleanimasjon
CoopEmoteAnimationDiscoBallDescription,Få liv i enhver samarbeidsrunde. Kun DJ Benjamin elsker denne effekten
CoopEmoteAnimationConfettiName,Konfettikanon-animasjon
CoopEmoteAnimationConfettiDescription,Fyr av en konfettikanon under en samarbeidsrunde. Påvirker ikke spillet. Apene er mer fornøyde.
CoopEmoteTextAmazingName,Utrolig-tekstikon
CoopEmoteTextAmazingDescription,"Fortell andre spillere at innsatsen deres var Utrolig, eller at det du nettopp gjorde var så Utrolig at de burde være takknemmelige for at du var snill nok til å vise dem hvordan man er Utrolig"
CoopEmoteTextPerfectTimingName,Perfekt timing-tekstikon
CoopEmoteTextPerfectTimingDescription,"Når det passer som best, skrik ut Perfekt timing! Masse muligheter for ironisk bruk"
CoopEmoteAnimationSirenName,Sirenelydeffekt
CoopEmoteAnimationSirenDescription,Slå på sirenene for å minne lagkameratene dine om vanskelighetene som er i vente! Eller at du er nødt til å stikke for å lage et smørbrød
CoopEmoteAnimationLoveHeartsName,Kjærlige hjerter-animasjon
CoopEmoteAnimationLoveHeartsDescription,Disse søte hjertene fortelle lagkameratene dine hvor mye du setter pris på dem. Påvirker ikke spillet
CoopEmoteIconNoCashDropsName,Ingen pengedropp-tekstikon
CoopEmoteIconNoCashDropsDescription,Når du virkelig ikke vil ha pengedropp på begynnelsen av spillet. Eller for bruk på motsatt-dagen når du har veldig lyst på dem
CoopEmoteTextWhyName,Hvorfor?!-tekstikon
CoopEmoteTextWhyDescription,Fordi noen ganger må du bare spørre hvorfor
CoopEmoteSoundAirhornName,Lufthorn-lydeffekt
CoopEmoteSoundAirhornDescription,"Det finnes ingen gode grunner til å bruke denne, men det betyr ikke at det ikke kan være morsomt ..."
CoopEmoteTextAllIsFineName,Alt er vel-tekstikon
CoopEmoteTextAllIsFineDescription,Du trenger ikke engang en meme-generator for å utnytte alle mulighetene hvor det egner seg å bruke denne
CoopEmoteIconStopName,Stopp-tekstikon
CoopEmoteIconStopDescription,Dette standard skiltikonet lar deg kjefte på lagkamerater når de foretar dårlige valg
CoopEmoteIconDangerName,Fare-tekstikon
CoopEmoteIconDangerDescription,Et animert fareskilt lar deg si fra til lagkamerater når de gjør besynderlige valg
GameUIUpgradesDisplayNamedMonkeysName,Apenavn
GameUIUpgradesDisplayNamedMonkeysDescription,"Navngi én enkelt ape fra hver Apetårntype! Den første apen du plasserer av en tårntype vil være den navngitte apen som vil registrere sine individuelle livstidsstatistikker! Rediger apenavn i oppgraderingspanelet i spillet, og sjekk statistikker via profilen i hovedmenyen."
TrophyHeader,Trofébutikk
TrophyTabHeroes,Helter
TrophyTabMonkeys,Aper
TrophyTabBloons,Bloons
TrophyTabCoop,Samarbeid
TrophyTabGameUI,Spill og brukergrensesnitt
TrophyTabFeatured,Promotert
TrophyTabInventory,Inventar
TrophyTrophiesEarned,Opptjente troféer:
Naval Tactics Ability,Marinetaktikker
Naval Tactics Ability Description,Øker betraktelig angrepshastigheten til nærliggende vannbaserte aper i en kort tidsperiode.
Mega Mine Ability,Megamine
Mega Mine Ability Description,Utplasserer en ødeleggende Megamine som utløses av MOAB-klasse bloons og lamslår bloons i nærheten.
Confirm,Bekreft
PlayerStatsTimesPlaced,Antall ganger plassert
Trophies,Troféer
RewardsTop50,Topp 50
OdysseyMapComplete,Øya {0} fullført!
OdysseyComplete,Odyssén er fullført!
HeroesQuincyCyberQuincyPlacementFireworksShortName,Fyrverkeri for Cyber
HeroesAdoraPlacementSunbeamShortName,Solstråle for Adora
HeroesChurchillPlacementTankDropShortName,Tanksdropp for Churchill
HeroesBenjamminDJSkinPlacementPartyLightsShortName,Festbelysning for DJ Ben
HeroesStrikerJonesPlacementParadropShortName,Fallskjermdropp for Striker
HeroesQuincyPetDadOfQuincyShortName,Faren til Quincy
HeroesGwendolinPetFirefoxShortName,Ildreven til Gwen
BloonsMOABSkinFootballShortName,Fotball-MOAB
BloonsBFBSkinPizzaShortName,Pizza BFB
BloonsZOMGSkinWatermelonShortName,Vannmelon-ZOMG
BloonsMOABSkinMaulerShortName,Knusende MOAB
BloonsMOABSkinPufferFishShortName,Kulefisk-MOAB
BloonsAllBloonsDecalGooglyEyesShortName,Dirrende øyne
BloonsDDTSkinSharkShortName,Hai-DDT
BloonsAllBloonsPopsConfettiShortName,Konfettipop FX
BloonsBADSkinPinataShortName,Pinata-BAD
CoopEmoteAnimationDiscoBallShortName,Diskokule
CoopEmoteAnimationConfettiShortName,Konfettikanon
CoopEmoteTextAmazingShortName,Utrolig-tekst
CoopEmoteTextPerfectTimingShortName,Perfekt timing-tekst
CoopEmoteAnimationSirenShortName,Sirene
CoopEmoteAnimationLoveHeartsShortName,Kjærlighetshjerter
CoopEmoteIconNoCashDropsShortName,Ingen pengedropp
CoopEmoteTextWhyShortName,Hvorfor?-tekst
CoopEmoteSoundAirhornShortName,Lufthorn
CoopEmoteTextAllIsFineShortName,Alt er fint-tekst
CoopEmoteIconStopShortName,Stopp
CoopEmoteIconDangerShortName,Fare
GameUIUpgradesDisplayNamedMonkeysShortName,Apenavn
GameUIMusicTrackMusicTitleFiestaMixName,Jukeboks: Hovedtema - Fiesta-miks
GameUIMusicTrackMusicTitleFiestaMixShortName,Hoved - Fiesta
GameUIMusicTrackMusicTitleFiestaMixDescription,Ha det gøy mens du spiller med denne danseremiksen av hovedtemaet for Tid for fest. \nAktiver musikk via jukeboksen i hovedmenyens innstillinger
GameUIMusicTrackMusicSunshineGameboyMixName,Jukeboks: Solskinnsserenade - Gameboy-miks
GameUIMusicTrackMusicSunshineGameboyMixShortName,Serenade - Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,Nyt 8-bit-nostalgien med en «old school» miks av  Solskinnsserenaden \nAktiver musikk via jukeboksen i hovedmenyens innstillinger
GameUIMusicTrackMusicTropicalComplextroMixName,Jukeboks: Tropiske spillopper - Complextro-miks
GameUIMusicTrackMusicTropicalComplextroMixShortName,Spillopper - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,"Aper elsker en real complextro-beat når de popper, og remiksen av Tropiske spillopper skuffer ikke. \nAktiver musikk via jukeboksen i hovedmenyens innstillinger"
GameUIMusicTrackMusicTribesFunkedMixName,Jukeboks: Fanfare og forpliktelser - Funky miks
GameUIMusicTrackMusicTribesFunkedMixShortName,Fanfare - Funky
GameUIMusicTrackMusicTribesFunkedMixDescription,Det blir funky når så mange aper er på samme sted. Finn frem blinget og kom i humør med denne groovy remiksen. \nAktiver musikk via jukeboksen i hovedmenyens innstillinger
GameUIProfileAvatar13Name,Tilpasset avatar - Syklistbein
GameUIProfileAvatar13ShortName,Avatar for Syklistbein
GameUIProfileAvatar13Description,«Jeg er apenes hevn!»\nAngi spilleravataren din via hovedmenyens avatarportrett
GameUIProfileAvatar14Name,Tilpasset avatar - Transformerende tonikum-alkymist
GameUIProfileAvatar14ShortName,Transformerende avatar
GameUIProfileAvatar14Description,Tonikum er best som sterkt.\nAngi spilleravataren din via hovedmenyens avatarportrett
GameUIProfileAvatar15Name,Tilpasset avatar - Skogsånd-druide
GameUIProfileAvatar15ShortName,Avatar for Skogsdruide
GameUIProfileAvatar15Description,Plei sjelen og føl deg ett med naturen \nAngi spilleravataren din via hovedmenyens avatarportrett
GameUIProfileAvatar16Name,Tilpasset avatar - Ta dem! Pat
GameUIProfileAvatar16ShortName,Avatar for Pat Fusty
GameUIProfileAvatar16Description,Dette er en diger ape.\nAngi spilleravataren din via hovedmenyens avatarportrett
GameUIProfileAvatar17Name,Tilpasset avatar - Elegant Ezili
GameUIProfileAvatar17ShortName,Avatar for Ezili
GameUIProfileAvatar17Description,Ezili har aldri tatt seg bedre ut.\nAngi spilleravataren din via hovedmenyens avatarportrett
GameUIProfileAvatar18Name,Tilpasset avatar - Churchill i kampens hete
GameUIProfileAvatar18ShortName,Avatar for Churchill
GameUIProfileAvatar18Description,Hyll apeheltene som går på slagmarken for deg.\nAngi spilleravataren via hovedmenyens avatarportrett
MonkeyNameHeader,Rediger apenavn
MonkeyNameInstruction,Velg et egendefinert navn for den første apen av hver tårntype. Navn må være maks. 20 tegn og 2 linjer for optimal visning. Bruk mellomromstasten for å separere linjer
OdysseyCompleteDescription,"Gratulerer, modige eventyrer! Du har fullført Odysséen og tjent deg disse belønningene!"
HeroBoosterDescription,Gjør helten til nivå 10 med én gang?
InappropriateNamedMonkeyName,Vennligst velg et mer passende apenavn
PatchNotesLink,"For fullstendige oppdateringsmerknader, se:"
TrophyPurchaseConfirmation,Kjøp {0} for {1} troféer?
TrophyPurchaseInsufficient,Du har ikke nok troféer til å kjøpe dette elementet. Få flere fra kappløp og Odyssé-modus.
TrophyStoreBought,Kjøpt
LotusIsland,Lotusøya
OctoJonesStrikerJonesSkinName,Oktojoner-utseende
OctoJonesStrikerJonesSkinDescription,Jeg er havet!
OdysseyRestartVoyage,Start reisen på nytt
CoopEmoteTextAmazingWord,Utrolig!
CoopEmoteTextPerfectTimingWord,Perfekt timing
CoopEmoteTextWhyWord,Hvorfor?!
CoopEmoteTextAllIsFineWord,Alt er fint
PlayerStatsTimesUpgraded,Antall ganger oppgradert
PlayerStatsTimesSacrificed,Antall ganger ofret
TrophyStoreInfoHeader,Info om Trofébutikken
TrophyStoreInfoBody,"Trofébutikken har mange flotte kosmetiske oppgraderinger å by på!\n• Tjen deg trofeer ved å fullføre Odysseys, gjøre det bra i løp og slå Sjefer\n• De fleste kjøpte elementer kan aktiveres og deaktiveres via Inventar-fanen\n• Kjøpte musikkspor vises i Jukeboksen\n• Kjøpte avatarer og bannere vises på hovedmenyprofilen din\n• Navngitte aper redigeres via oppgraderingspanelet i spillet"
RestartOdysseyBody,Er du sikker på at du vil starte Odysséen på nytt?
OdysseyBannerRewards,Tjen deg belønninger og troféer!
UpdateNotes,Oppdateringsmerknader
OdysseyEventEnded,Odyssé-begivenheten er over!
NamedMonkeysAll,Alle
NamedMonkeysTitle,Navngitte aper
PlayerStatsLifetimeTrophies,Trofeer for alltid
OdysseyCompletedRewards,Fullført!
OdysseyCrewReset,Er du sikker på at du vil nullstille Mannskapet ditt?
Etienne,Etienne
Etienne Short Description,Dronefører
Etienne Description,Denne høyteknologiske helten kan forfølge bloons hvor enn de går med den fjernstyrte dronen sin.
Etienne Level 1 Description,Flyr rundt på en liten drone som skyter i hjel bloons.
Etienne Level 2 Description,Etiennes rekkevidde ble økt.
Etienne Level 3 Description,Dronesverm: Etienne fyrer av gårde 4 ekstra midlertidige droner for å gjøre slutt på de herskens bloonsene.
Etienne Level 4 Description,Droner øker i poppekraft.
Etienne Level 5 Description,"Droner får økt angrepshastighet, mens infrarødt kamera lar dem skyte kamuflerte bloons"
Etienne Level 6 Description,Nedkjølingstiden for Dronesverm ble redusert.
Etienne Level 7 Description,Etienne styrer nå 2 droner på samme tid.
Etienne Level 8 Description,UAV: alle aper får bedre deteksjon av kamuflerte bloons.
Etienne Level 9 Description,Droner popper ett ekstra bloon-lag.
Etienne Level 10 Description,UCAV: høytflyvende overvåkingsdroner blir knusende kampdroner i en kort periode.
Etienne Level 11 Description,Etienne får seg en tredje drone å styre.
Etienne Level 12 Description,Droneoppgraderinger! Økt poppekraft og flyvehastighet.
Etienne Level 13 Description,Nedkjølingstiden for UCAV ble redusert.
Etienne Level 14 Description,Droner får betraktelig økt angrepskraft.
Etienne Level 15 Description,UCAV-skadeomfang og varighet økes kraftig.
Etienne Level 16 Description,"Etiennes rekkevidde, dronepoppekraft og Dronesverm-nedkjøling er forbedret."
Etienne Level 17 Description,UCAV-skadeomfang økes drastisk igjen!
Etienne Level 18 Description,Droners skadeomfang økes.
Etienne Level 19 Description,Etienne styrer nå 4 droner samtidig!
Etienne Level 20 Description,"Perma-UCAV: Overvåkningsdronen blir en permanent UCAV. Når dette aktiveres, blir dronen enda mer ødeleggende i en kort periode hvor den kan poppe alle bloontyper."
Drone Swarm Ability,Dronesverm
Drone Swarm Ability Description,Etienne fyrer av gårde 4 ekstra midlertidige droner for å ta has på de lusne bloonsene.
UCAV Ability,UCAV
UCAV Ability Description,Høytflyvende overvåkingsdroner blir knusende kampdroner i en kort periode.
Mesa,Mesa
DreadPirateBrickellAdmiralBrickellSkinName,Fryktpiraten Brickell-drakt
DreadPirateBrickellAdmiralBrickellSkinDescription,Dronningen av de Syv hav seiler igjen!
No Insta Reward,Ingen Runde 100-belønning
GameUIProfileAvatar19Name,Tilpasset avatar - Adoras hvileansikt
GameUIProfileAvatar19ShortName,Adora-avatar
GameUIProfileAvatar19Description,"Adora mener alvor, og det samme kan sies om å bruke denne avataren"
GameUIProfileAvatar20Name,"Tilpasset avatar - Ja, vi er ingeniører"
GameUIProfileAvatar20ShortName,Ingeniør-avatar
GameUIProfileAvatar20Description,"Det er viktig å like jobben sin, og denne ingeniøren er mer enn glad for å gjøre slutt på flere bloons"
GameUIProfileAvatar21Name,Tilpasset avatar - sort/hvit Brickell
GameUIProfileAvatar21ShortName,Brickell-avatar
GameUIProfileAvatar21Description,"Admiral Brickell kommanderer flåten sin mot seier, i sort/hvitt."
GameUIProfileAvatar22Name,Tilpasset avatar - Ikonisk DJ Ben
GameUIProfileAvatar22ShortName,DJ Ben-avatar
GameUIProfileAvatar22Description,DJ Benjammin i sin ikoniske signaturstil
HeroesObynPetWolfName,Obyns spøkelsesulv-kjæledyr
HeroesObynPetWolfShortName,Obyns spøkelsesulv
HeroesObynPetWolfDescription,Skogsåndene er alltid klare for kamp med Obyns fortryllende spøkelsesulv i nærheten. Kun original Obyn
HeroesEziliPetFrogName,Ezilis frosk som kjæledyr
HeroesEziliPetFrogShortName,Ezilis frosk
HeroesEziliPetFrogDescription,Ezili sverger på at det ikke er en voodoo-stereotypi - hun bare elsker denne frosken. Kun original Ezili
BloonsAllBloonsPopsBarrelOfMonkeysName,Fler' aper Pop FX
BloonsAllBloonsPopsBarrelOfMonkeysShortName,Aper Pop FX
BloonsAllBloonsPopsBarrelOfMonkeysDescription,Det kan aldri være for mange aper! Nå kan du se fargerike apeeffekter hver gang du popper bloons
BloonsAllBloonsTopHatsName,Adel-bloons med høyhatt
BloonsAllBloonsTopHatsShortName,Høyhatter
