//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
CoopCalloutTowersNegative,น้อยแต่มาก
CoopCalloutPopsPositive,นักทำลายลูกโป่ง
CoopCalloutPopsNegative,นักสันติกับลูกโป่ง
CoopCalloutMOABsPositive,สกิลขั้นเทพ
CoopCalloutMOABsNegative,ตัว MOAB อะไร
CoopCalloutEcoPositive,นักการเงินลิง
CoopCalloutEcoNegative,ไม่มีกล้วยสำหรับเธอ
CoopCalloutAbilitiesPositive,ตัวกระตุ้น
CoopCalloutPowersPositive,พลังสูง
CoopCalloutInstasPositive,ผู้ชนะอินสตา
CoopMonkeyStar,มังกี้สตาร์
CoopStatsTowers,วางทาวเวอร์
CoopStatsPops,นับเสียงแตก
CoopStatsEco,ปั่นเงิน
CoopStatsMOABs,MOAB แตกแล้ว
CoopStatsAbilities,ความสามารถที่ใช้
CoopStatsPowers,พลังที่ใช้
CoopStatsInstas,อินสตาที่ใช้
TechBot,เทคบอท
EnergisingTotem,เพิ่มพลังโทเทม
TechBot Description,เทคบอทสามารถเปิดใช้งานความสามารถของคุณได้ ทันทีที่พร้อมสำหรับประสิทธิภาพสูงสุด
EnergisingTotem Description,มาเติมพลังกันเถอะ! โทเท็มนี้จะเพิ่มความเร็วในการโจมตีของลิงทุกตัวในระยะ 25% ใช้งานได้ 5 รอบและสามารถชาร์จใหม่ได้
Recharge,ชาร์จอีกครั้ง
InvalidCode,กรุณาใส่รหัสที่ถูกต้อง
SearchingForPlayer,กำลังค้นหาผู้เล่น...
WaitingForPlayer,รอผู้เล่น...
Request,ต้องมี $
CyberQuincySkinDescription,เมื่อควินซีได้รับบาดเจ็บจาก DDT ชั่วร้าย หลายคนกลัวว่าจะเกิดเรื่องเลวร้าย แต่ดร.มังกี้รู้ว่าพวกเขามีเทคโนโลยีที่สามารถช่วยสร้างควินซีขึ้นมาใหม่ได้ เขาคือควินซี ผู้วิวัฒนาการมาจากควินซี
CyberQuincySkinName,สกินไซเบอร์ควินซี่
CashRequested,${0} ได้ขอเงิน
CashReceived,${0} ได้ส่งเงิน ${1} ให้คุณแล้ว
CountDownTimer,เกมเริ่มต้นใน...
Achievement 51 Name,ความร่วมมือ
Achievement 51 Description,เอาชนะ 1 แผนที่ในโหมด Co-op
Achievement 52 Name,ความสนุกสี่เท่า
Achievement 52 Description,เอาชนะ 1 แผนที่ในโหมด Co-op มีผู้เล่น 4 คน
Achievement 53 Name,คำขู่สามเท่า
Achievement 53 Description,เอาชนะ 1 แผนที่ในโหมด Co-op มีผู้เล่น 3 คน
Achievement 54 Name,ร่วมมือ!
Achievement 54 Description,มีฮีโร่ 4 ตัวบนหน้าจอพร้อมกัน
Achievement 55 Name,สถานการณ์ลำบากสร้างคน...
Achievement 55 Description,ชนะ 10 เกมด้วยความยากระดับยากมากในโหมด Co-op
Achievement 56 Name,ผู้บริจาค
Achievement 56 Description,"ให้เงิน 10,000 ในโหมด Co-op"
Achievement 57 Name,ผู้บริจาคใจป้ำ
Achievement 57 Description,"ให้เงิน 50,000 ในโหมด Co-op"
Achievement 58 Name,ลิงผู้สนับสนุน
Achievement 58 Description,"ให้เงิน 100,000 ในโหมด Co-op"
Achievement 59 Name,ลิงใจบุญ
Achievement 59 Description,"ให้เงิน 1,000,000 ในโหมด Co-op"
Achievement 60 Name,พลังแห่งการให้
Achievement 60 Description,ใช้พลัง 10 ในโหมด Co-op
Achievement 61 Name,พลังล้นเหลือ!
Achievement 61 Description,ใช้พลัง 100 ในโหมด Co-op
Achievement 62 Name,ป้องกันทันที
Achievement 62 Description,ใช้ ลิง Insta 5 ตัวในโหมด Co-op
Achievement 63 Name,ร่วมกันทำให้แตก
Achievement 63 Description,"ทำให้ลูกโป่ง 10,000,000 แตกในโหมด Co-op"
StaggeredMortarShot,เซ
TT_TargetSelectedPoint,ตั้งเป้า
MortarMessage,[I] เพื่อกำหนดเป้าหมาย
RaceEvent,อีเว้นท์การแข่งขัน
TopBadgeRewards,รางวัลเหรียญตรายอดนิยม
RaceButton,แข่ง!
RaceRewards,รางวัลการแข่งขัน
Leaderboard,กระดานผู้นำ
RaceEventTrigger,ตัวจับเวลาเริ่มต้นเมื่อคุณกดเล่น เล่นรอบต่อไปให้จบไวๆ เพื่อปรับปรุงเวลาของคุณ แต่ระวัง! เกมการแข่งขันจะไม่บันทึก ดังนั้นพยายามอย่าออกจากเกมกลางคัน ผุ้ทำเวลาดีที่สุดชนะบนกระดานผู้นำโลก ขอให้โชคดี!
ScientistGwendolinSkinName,สกินนักวิทยาศาสตร์เกวนโดลิน
ScientistGwendolinSkinDescription,ถ้าการคำนวณของฉันถูกต้อง เมื่อลูกน้อยคนนี้มีอุณหภูมิ 1121 องศาเซนติเกรด เราจะเห็นยางไหม้ร้ายแรง!
RaceAgain,แข่งอีกครั้ง
RaceVictoryText,จบสวย! ตอนนี้พยายามเอาชนะเวลาที่ดีที่สุดเพื่อเลื่อนขึ้นกระดานผู้นำ!
RaceNewBestTime,เวลาที่ดีที่สุดอันใหม่!
RaceLeaderboard,กระดานผู้นำการแข่งขัน
RaceCurrentRewards,รางวัลปัจจุบัน:
RaceRewardsButton,รางวัล
Click & Drop,คลิกและวาง
Screen Size,ขนาดหน้าจอ
Fullscreen,เต็มจอ
Moab Health Increased,พลังชีวิต MOAB เพิ่มขึ้น
Moab Health Decreased,พลังชีวิต MOAB ลดลง
Selling Disabled,การขายถูกปิดใช้งาน
Powers Disabled,พลังถูกปิดใช้งาน
No Continues,ไม่ดำเนินการต่อ
Switching Resolution Body,เมื่อเปลี่นความละเอียดของหน้าจอ ต้องโหลดเกมใหม่
Switching Resolution Title,เปลี่ยนความละเอียดของหน้าจอ
RaceEventBanner,มีอีเว้นท์การแข่งขันตอนนี้
RaceEventBannerRewards,รับเหรียญตราและถ้วยรางวัล!
RacePreviousBestTime,เวลาที่ดีที่สุด:
RaceAgainQuestion,แข่งอีกครั้งหรือไม่
RaceAgainDescription,แข่งตอนนี้ และพยายามปรับปรุงเวลาของคุณ!
TrophiesEarned,ถ้วยรางวัลที่ได้รับ:
FreeEntryIn,เข้าฟรีใน:
RaceSubmissionFail,ไม่สามารถส่งผลการแข่งขันได้
LeaderboardRank,อันดับ
LeaderboardPlayerName,ชื่อผู้เล่น
LeaderboardBadges,เหรียญตรา
LeaderboardBestTime,เวลาที่ดีที่สุด
RaceEventEndsIn,อีเว้นท์สิ้นสุดใน:
LoadingPlayer,กำลังโหลดผู้เล่น
Rank1st,ที่ 1
Rank2nd,ที่ 2
Rank3rd,ที่ 3
RewardsTopPercent,ระดับบน {0}%
RaceEventEnded,อีเว้นท์การแข่งขันสิ้นสุดลงแล้ว!
RaceFinishedPlaceAndTime,คุณจบ {0} ด้วยเวลาที่ดีที่สุดคือ {1}
Heartstopper Ability,ใจหยุดเต้น
Sacrificial Totem Ability,สังเวยโทเทม
MOAB Hex Ability,MOAB Hex
RaceClock,นาฬิกาแข่ง
LoginRequiredTitle,จำเป็นต้องเข้าสู่ระบบ
LoginRequiredBody,คุณต้องเข้าสู่ระบบเพื่อเข้าถึงคุณสมบัตินี้
EventRewardsTitle,รางวัลอีเว้นท์
TT_FollowMouse,ไปตามเมาส์
SteamLoadingMessage,กำลังเปิดดูของ
SentaiCaptainChurchillSkinName,เซนไต เชอร์ชิล สกิน
SentaiCaptainChurchillSkinDescription,ขอให้พลังของระเบิดเลเซอร์ควันตัมแม็กนาความเร็วแสงเทอร์โบซูเปอร์เบิ้ม ปกป้องคุณ!
KartsNDarts,สนามแข่งรถ
Upgrade Path 1,อัปเกรดเส้นทาง 1
Upgrade Path 2,อัปเกรดเส้นทาง 2
Upgrade Path 3,อัปเกรดเส้นทาง 3
ChangeTargeting,เปลี่ยนการกำหนดเป้าหมาย
ReverseChangeTargeting,ย้อนกลับเปลี่ยนการกำหนดเป้าหมาย
PauseDeselect,หยุดชั่วคราว/ยกเลิกการเลือก
PlayFastForward,เล่น/เร่งไปข้างหน้า
SendNextRound,ส่งรอบถัดไป (การแข่งขัน)
Activated Ability 1,เปิดใช้งานความสามารถ 1
Activated Ability 2,เปิดใช้งานความสามารถ 2
Activated Ability 3,เปิดใช้งานความสามารถ 3
Activated Ability 4,เปิดใช้งานความสามารถ 4
Activated Ability 5,เปิดใช้งานความสามารถ 5
Activated Ability 6,เปิดใช้งานความสามารถ 6
Activated Ability 7,เปิดใช้งานความสามารถ7
Activated Ability 8,เปิดใช้งานความสามารถ 8
Activated Ability 9,เปิดใช้งานความสามารถ 9
Activated Ability 10,เปิดใช้งานความสามารถ 10
Activated Ability 11,เปิดใช้งานความสามารถ 11
Activated Ability 12,เปิดใช้งานความสามารถ 12
SendRedBloon,ส่งลูกโป่งแดง
SendBlueBloon,ส่งลูกโป่งฟ้า
SendGreenBloon,ส่งลูกโป่งเขียว
SendYellowBloon,ส่งลูกโป่งเหลือง
SendPinkBloon,ส่งลูกโป่งชมพู
SendBlackBloon,ส่งลูกโป่งดำ
SendPurpleBloon,ส่งลูกโป่งม่วง
SendWhiteBloon,ส่งลูกโป่งขาว
SendLeadBloon,ส่งลูกโป่งตะกั่ว
SendZebraBloon,ส่งลูกโป่งม้าลาย
SendRainbowBloon,ส่งลูกโป่งสีรุ้ง
SendCeramicBloon,ส่งลูกโป่งเซรามิค
SendTestBloon,ส่งลูกโป่งทดสอบ
SendMoabBloon,ส่งลูกโป่ง MOAB
SendBfbBloon,ส่งลูกโป่ง BFB
SendZomgBloon,ส่งลูกโป่ง ZOMG
SendDdtBloon,ส่งลูกโป่ง DDT
SendBadBloon,ส่งลูกโป่ง BAD
RestoreDefaults,เรียกคืนค่าเริ่มต้น
SaveHotkeyChanges,บันทึกการเปลี่ยนแปลงปุ่มลัดหรือไม่
Hotkeys,ปุ่มลัด
Monkeys,ลิง
Gameplay,การเล่นเกม
Revert,ย้อนกลับ
Save,บันทึก
HotkeyModeDescription,ปุ่มลัดสามารถใช้ได้เฉพาะในโหมดคลิกแล้ววาง
DemoSplashText,ลูกโป่ง TD 6 เวอร์ชันนี้สร้างขึ้นเพื่อการสาธิตโดยเฉพาะ
EditorClearSaveProgressWarning,ชาเลนจ์ของคุณมีการปรับเปลี่ยนรูปแบบการเล่น ซึ่งจะล้างความคืบหน้าในการบันทึกในเกมในปัจจุบันของคุณ
EditorInfiniteMaxTowers,ไม่จำกัด
EditorDefaultValue,ค่าเริ่มต้น
EditorLoadingChallenge,กำลังโหลด...
EditorGeneratingCode,กำลังสร้าง...
EditorEnterCode,ใส่รหัส
EditorShareError,พบปัญหาในการแชร์ชาเลนจ์นี้
EditorSubmitError,พบปัญหาในการส่งชาเลนจ์นี้
EditorLoadError,พบปัญหาในการโหลดชาเลนจ์นี้
EditorLevelLockMsg,ตัวแก้ไขชาเลนจ์จะปลดล็อกที่ระดับ {0}
EditorCreateChallenge,สร้างชาเลนจ์
EditorPlayChallenge,เล่นชาเลนจ์
EditorEditChallenge,แก้ไขการท้าทาง
EditorShare,แบ่งปัน
EditorShareChallenge,แบ่งปันชาเลนจ์:
EditorSubmit,ส่ง
EditorChallengeCode,รหัสชาเลนจ์:
EditorEnterChallengeCode,ใส่รหัสการชาเลนจ์:
EditorSubmissionForm,แบบฟอร์มการส่ง
EditorSubmissionDescription,ส่งชาเลนจ์ของคุณให้ Ninja Kiwi เพื่อพิจารณาในการออกแบบชาเลนจ์ประจำวันหรือขั้นสูงในอนาคต
EditorFridayStinger,ศึกประจำวันศุกร์
EditorRemainAnonymous,ไม่ระบุชื่อ
EditorChallengeEditor,ตัวแก้ไขชาเลนจ์
EditorUndo,เลิกทำ
EditorReset,รีเซ็ต
EditorRandom,สุ่ม
EditorDifficulty,ความยาก:
EditorGameMode,โหมดเกม:
EditorStartingCash,เงินเริ่มต้น:
EditorStartingLives,ชีวิตเริ่ม:
EditorMaxLives,ชีวิตสูงสุด:
EditorStartRound,เริ่มรอบ:
EditorEndRound,จบรอบ:
EditorMonkeysExcluded,ไม่รวมลิง
EditorMonkeysIncluded,รวมลิง
EditorMaxMonkeys,ลิงสูงสุด:
EditorAdd,เพิ่ม
EditorBloonSpeed,ความเร็วลูกโป่ง
EditorMoabSpeed,ความเร็ว MOAB
EditorCeramicHealth,พลังชีวิตของเซรามิก
EditorMoabHealth,สุขภาพ MOAB
EditorPowers,พลัง:
EditorSelling,ขาย:
EditorMonkeyKnowledge,ความรู้ลิง:
EditorContinues,ดำเนินการต่อ:
EditorLockedSubmitButtonDescription,คุณได้ส่งชาเลนจ์นี้แล้ว
EditorLockedShareButtonDescription,ในการแบ่งปันชาเลนจ์ของคุณ คุณต้องพิสูจน์ว่า ชาเลนจ์ของคุณสามารถทำให้สำเร็จได้ โดยเล่นให้ถึงหน้าจอชัยชนะในโหมดทดสอบ!
ConflictScreenChoose,เลือกเกมที่บันทึกไว้
ConflictThisDevice,เครื่องมือนี้
ConflictCloud,บนคลาวด์
ConflictUseButton,ใช้
ConflictNoData,ไม่มีข้อมูล
ConflictTimeSeconds,บันทึกเมื่อ {0} วินาทีที่แล้ว
ConflictTimeMinutes,บันทึกเมื่อ {0} นาทีที่แล้ว
ConflictTimeHours,บันทึกเมื่อ {0} ชั่วโมงที่แล้ว
ConflictTimeDays,บันทึกเมื่อ {0} วันที่แล้ว
FasterMoabs,ความเร็ว MOAB เพิ่มขึ้น
SlowerMoabs,ความเร็ว MOAB ลดลง
BikerBonesSkinName,สกินนักบิดโครงกระดูก
BikerBonesSkinDescription,แม้แต่เทพแห่งดวงอาทิตย์ก็ยังไม่มีความพิโรธเหมือนนักบิดโครงกระดูก!
PatsPond,บ่อน้ำของแพ็ท
InappropriateChallengeName,โปรดเลือกชื่อชาเลนจ์ที่เหมาะสมกว่านี้
DCVictoryBody,ยินดีด้วย! คุณทำสำเร็จแล้ว {0}!
EditorCreateVictoryBody,ยินดีด้วย! ตอนนี้คุณสามารถแบ่งปันชาเลนจ์ของคุณกับผู้เล่นคนอื่นได้แล้ว!
EditorOlderVersion,ชาเลนจ์นี้สร้างขึ้นในเวอร์ชัน {0} และอาจไม่สามารถเล่นได้อีกต่อไป
EditorNewerVersion,ชาเลนจ์นี้สร้างขึ้นในเกมเวอร์ชันใหม่ โปรดอัปเดตเป็นเวอร์ชันล่าสุดเพื่อเล่นเกมนี้
DefeatScreenRetryLastRound,ลองรอบสุดท้าย
CoopDoubleCash,(ผู้เล่นคนเดียวเท่านั้น)
EditorThanksForSubmission,ขอบคุณที่ส่งชาเลนจ์และทำให้ Bloons TD6 เป็นเกมที่สนุกยิ่งขึ้น! เราหวังว่าจะเห็นชาเลนจ์ของคุณในเกมเร็วๆ นี้หากได้รับเลือก!
SpringSpring,ฤดูใบไม้ผลิ
ObynOceanGuardianSkinName,สกินผู้พิทักษ์มหาสมุทร
ObynOceanGuardianSkinDescription,เรามาจากมหาสมุทร และเราจะกลับไปยังมหาสมุทร
CollectionEventHeader,อีเว้นท์สะสม
CoopTriggerText,เกม Co-op ทั้งหมดแบ่งเงิน และ xp ฮีโร่อย่างเท่าเทียมกัน สำหรับเกมนี้ คุณกำลังเล่น: {0} - {1}
Achievement 64 Name,ลูกโป่งใหญ่
Achievement 64 Description,แพ็ทชอบกอดลูกโป่งใหญ่มากกว่า
OptionsExtras,พิเศษ
DoubleCashHelper,คุณสามารถเจอ โหมดเงินคูณสองได้ที่นี่
BigBloonsMode,ลูกโป่งใหญ่
CollectionMonkeyText,รับรางวัลคอลเลกชันด้วยการชนะแผนที่ใดก็ได้!
CoopQuickGame,เกมเร็ว
CoopMediumGame,เกมปานกลาง
CoopLongGame,เกมยาว
CoopContinuePrompt,เกมดำเนินต่อไปใน ...
CoopRestartPrompt,เกมรีสตาร์ทใน ...
CoopFreeplayPrompt,เล่นฟรีเริ่มใน ...
CollectionRewardsDelivered,รางวัลอีเว้นท์สะสมของคุณถูกแกะกล่องแล้วและอยู่ในคลังลิงอินสตาของคุณ!
CoopSyncMessage,กำลังเชื่อมกับผู้เล่นอื่น ...
CoopPlayerLeftMessage,ออกจากเกมแล้ว
CollectionEventEnded,อีเว้นท์สะสมสิ้นสุดแล้ว
CoopPublicGameStart,เกมเริ่มเร็ว ๆ นี้ ...
CalloutMasterBuild,นักก่อสร้างตัวยง
CalloutLessIsMore,น้อยแต่มาก
CalloutPopMaster,นักทำลายลูกโป่ง
CalloutPopPacifist,นักสันติกับลูกโป่ง
CalloutBossSkillz,สกิลขั้นเทพ
CalloutWhatMOABs,ตัว MOAB คืออะไร
CalloutMonkeyFinancier,นักการเงินลิง
CalloutNoBananas4U,ไม่มีกล้วยสำหรับเธอ
CalloutActivator,ตัวกระตุ้น
CalloutPoweredUp,เพิ่มพลัง
CalloutInstaWinner,ผู้ชนะอินสตา
CalloutMasterBuildDesc,ทาวเวอร์ถูกวาง {0} 
CalloutLessIsMoreDesc,ทาวเวอร์ถูกวาง {0} 
CalloutPopMasterDesc,ลูกโป่งแตก {0}
CalloutPopPacifistDesc,ลูกโป่งแตก {0}
CalloutBossSkillzDesc,MOAB แตก {0}
CalloutWhatMOABsDesc,MOAB แตก {0}
CalloutMonkeyFinancierDesc,ปั่นเงิน {0}
CalloutNoBananas4UDesc,ปั่นเงิน {0}
CalloutActivatorDesc,ความสามารถที่ใช้ {0} 
CalloutPoweredUpDesc,พลังที่ใช้ {0} 
CalloutInstaWinnerDesc,ใช้ลิงอินสตา {0} 
CoopLobbyNotFound,หาเกมไม่เจอ
CoopLobbyIsFull,เกมเต็มแล้ว
CoopLobbyNotCompatible,เวอร์ชันของเกมเข้ากันไม่ได้ ลองอัปเดตเกม
CheckInternet,ไม่สามารถเชื่อมต่อ โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ต
SacrificialTotem,โทเทมสังเวย
SandboxSetRound,รอบตั้งไว้:
SandboxSpacing,ระยะห่าง:
SandboxCount,จำนวน:
CoopDisconnected,หยุดการเชื่อมต่อ
CoopDisconnectedMessage,ขออภัย เกมของคุณขาดการเชื่อมต่อ กรุณากลับไปที่เมนูหลัก
CoopCreatingLobby,กำลังสร้างเกม...
CoopHostDisconnected,ผู้เล่นที่สร้างเกมได้ตัดการเชื่อมต่อ
CoopNoPublicOption,การตั้งค่าเกมเหล่านี้สามารถเล่นได้เฉพาะในแมตช์ส่วนตัว
CoopBuildZoneMessage,สร้างทาวเวอร์ลิงของคุณในพื้นที่สีเขียว
Cargo,คลังสินค้า
BenJamminSkinName,สกินเบนจามินดีเจ
BenJamminSkinDescription,ปาร์ตี้นี้จะต้องปัง!
EditorAllCamo,ลายพรางทั้งหมด
EditorAllRegrow,เกิดใหม่ทั้งหมด
AllCamoDescription,ลูกโป่งที่ไม่ใช่ MOAB ทั้งหมดเป็นลายพราง
AllRegrowDescription,ลูกโป่งที่ไม่ใช่ MOAB ทั้งหมดเกิดใหม่
CoopGiveCashText,ให้
CoopWaitingMessage,กำลังรอผู้เล่นคนอื่น ...
CoopReconnectMessage,กำลังเชื่อมต่อเกมของคุณ ...
Achievement 65 Name,นักแปรธาตุและเจ้าหนูจอมตบลูกโป่ง
Achievement 65 Description,คุณแปรธาตุเป็นตัว ด แทนคำว่าดำ แต่ว่ามันควรจะเป็นตัว ค แทนคำว่า ค๋าว 
SmudgeCattSkinName,สกินแมวมอมแมม
SmudgeCattSkinDescription,การสะกดจิตของแมวมอมแมมทำให้คุณเจาะลูกโป่งสีแดงเลือดทั้งหมด เธอกระหายการล้างแค้น และหิวอาหารแมว
Workshop,เวิร์คช็อป
SmallBloonsMode,ลูกโป่งเล็ก
Achievement 66 Name,2TC
Achievement 66 Description,จบเกมในระดับความยากระดับ CHIMPS ด้วยทาวเวอร์ลิงเพียง 2 แห่ง
Achievement 67 Name,ดีดนิ้วของคุณ
Achievement 67 Description,จบเกมโดยเหลือชีวิตครึ่งหนึ่งของชีวิตเริ่มต้นและเหลือเงินครึ่งนึงของเงินเริ่มต้น
Achievement 68 Name,บิล เกรทส์
Achievement 68 Description,"ส่ง $500,000 ให้พันธมิตรใน co-op ในคราวเดียว"
Achievement 69 Name,ลูกโป่งโทน่า 500
Achievement 69 Description,รับสิทธิ์เข้าร่วมการแข่งขัน 500 รายการ
Achievement 70 Name,มือใหม่แห่งปี
Achievement 70 Description,จบการแข่งขันภายใน 10 นาที
Achievement 71 Name,ดาวรุ่ง
Achievement 71 Description,จบการแข่งขันภายใน 5 นาที
Achievement 72 Name,ท็อปฟอร์ม
Achievement 72 Description,จบการแข่งขันภายใน 3 นาที
Achievement 73 Name,ความท้าทายที่ยิ่งใหญ่ที่สุด
Achievement 73 Description,สร้างหรือเล่น 200 ชาเลนจ์
Achievement 74 Name,หล่อมาก
Achievement 74 Description,ชนะ 100 เกมโดยใช้สกินของฮีโร่ตัวใดก็ได้
Achievement 75 Name,ช่องเขาลูกโป่ง
Achievement 75 Description,เจาะ {0} ลูกโป่งบนเพนิซูลา
Achievement 76 Name,ปรามาจารย์ด้านลูกโป่งผู้เลื่องชื่อ
Achievement 76 Description,สร้างความเสียหาย 1 พันล้านด้วยนักเล่นแร่แปรธาตุด้านลูกโป่งระดับปรามาจารย์
Achievement 77 Name,ฉันเห็นนะ
Achievement 77 Description,เปิดเผยลูกโป่ง {0} ลูกโดยใช้ชิมเมอร์
Achievement 78 Name,กองทัพทาวเวอร์
Achievement 78 Description,วางทาวเวอร์ลิง 50 แห่งบนแผนที่พร้อมกันทีเดียว
Achievement 79 Name,เงินจากสวรรค์
Achievement 79 Description,ใช้เงินทุนเพื่อรับ {0}
Achievement 80 Name,หนึ่งคนสู้ตาย
Achievement 80 Description,ชนะเกมโดยมีเพียงหอลิง 1 แห่ง บนหน้าจอเมื่อใดก็ได้ในเกมระดับความยากมาก
Achievement 81 Name,ปรมาจารย์แห่งชีวิต
Achievement 81 Description,"มี 1,000 ชีวิตพร้อมกันในเกมเดียว"
Achievement 82 Name,สายรุ้งคือเวทมนตร์
Achievement 82 Description,เจาะลูกโป่งสายรุ้ง {0} ลูกด้วยลิงเวทย์มนต์
Emote.Hi,สวัสดี!
Emote.Welldone,ทำได้ดี
Emote.Ready,พร้อม!
Emote.Slow,ช้า!
Emote.Thanks,ขอบคุณ
Emote.AFK,AFK
Emote.Sorry,ขอโทษ!
Emote.Goodjob,ดีมาก
Emote.Gg,GG
Emote.Freeplay,เล่นฟรี
Emote.Eco,อีโค
CoopGameUnavailable,เกมนี้ไม่มีให้บริการอีกต่อไป
CalloutHeadDetective,หัวหน้านักสืบ
CalloutHeadDetectiveDesc,ลูกโป่งลายพรางแตก {0} ลูก
CalloutMetalMuncher,นักบดโลหะ
CalloutMetalMuncherDesc,ลูกโป่งตะกั่วแตก {0} ลูก
CalloutFumigator,เครื่องรมควัน
CalloutFumigatorDesc,ลูกโป่งเกิดใหม่แตก {0} ลูก
CalloutFiredUp,เผาให้เกรียม
CalloutFiredUpDesc,เซรามิกแตก {0} ลูก
CalloutBfbBrawler,นักสู้ BFB
CalloutBfbBrawlerDesc,BFB แตก {0} ลูก
CalloutZomgZapper,นักปราบ ZOMG
CalloutZomgZapperDesc,ZOMG แตก {0} ลูก
CalloutDdtDestroyer,นักพิฆาต DDT
CalloutDdtDestroyerDesc,DDT แตก {0} ลูก
CalloutMostGenerous,ใจกว้างที่สุด
CalloutMostGenerousDesc,เงินของขวัญ {0} 
CoopDailyChallenge,Co-op ชาเลนจ์รายวัน
Spillway,ทางระบายน้ำ
Sentry,ยาม
SentryBoom,ป้อมปืน
SentryCrushing,ป้อมบดขยี้
SentryCold,ป้อมเย็น
SentryEnergy,ป้อมพลังงาน
SentryParagon,ป้อมแชมเปี้ยน
EditorNumberOfPlayers,จำนวนผู้เล่น
EditorCoopAreaDivision,แยกแผนที่
InvalidTarget,เป้าหมายไม่ถูกต้อง
Adora,อดอร่า
Adora Short Description,มหาปุโรหิต
Adora Description,ความทุ่มเทของอันโดร่าทำให้เธอต้องโจมตีลูกโป่งด้วยความแค้นแรงกล้า
Adora Level 1 Description,สายฟ้าจะติดตามและทำลาย
Adora Level 2 Description,เพิ่มระยะการโจมตี
Adora Level 3 Description,ลำแสงยาว: เพิ่มระยะการโจมตีและพลังอย่างมากในช่วงเวลาสั้นๆ และสร้างความเสียหายให้กับลูกโป่งทุกชนิด
Adora Level 4 Description,ยิงสายฟ้า สองครั้ง
Adora Level 5 Description,สายฟ้าศักดิ์สิทธิ์เจาะผ่านลูกโป่งมากขึ้น
Adora Level 6 Description,ยิงสายฟ้า 3 ลูกพร้อมกัน
Adora Level 7 Description,สังเวยเลือด: เสียสละทาวเวอร์เป้าหมายเพื่อให้ อดอร่าได้รับ XP เป็นจำนวนมาก และเพิ่มระยะการโจมตีและอัตราการยิงของเธอในช่วงเวลาสั้นๆ
Adora Level 8 Description,ยิงสายฟ้า 4 ลูกพร้อมกัน
Adora Level 9 Description,เพิ่มระยะโจมตีและทำดาเมจแรงขึ้นกับบลูนเสริมเกราะ
Adora Level 10 Description,ลูกบอลแห่งแสง: นำลูกบอลพลังงานอันทรงพลังออกมาเพื่อโจมตีลูกโป่ง
Adora Level 11 Description,อดอร่าเพิ่มความเร็วในการโจมตี
Adora Level 12 Description,ยิงสายฟ้า 5 ลูกพร้อมกัน
Adora Level 13 Description,สายฟ้าศักดิ์สิทธิ์ทะลวงบลูนได้มากกว่าเดิม ทำดาเมจกับบลูนเสริมเกราะแรงขึ้น
Adora Level 14 Description,ยิงสายฟ้า 6 ลูกพร้อมกัน
Adora Level 15 Description,สายฟ้าเผาไหม้ผ่านชั้นลูกโป่งพิเศษ และลูกบอลแห่งแสงสร้างความเสียหายมากขึ้น
Adora Level 16 Description,แสงยาวอันตรายยิ่งกว่าเดิม
Adora Level 17 Description,อดอร่าเพิ่มความเร็วในการโจมตีมากยิ่งขึ้น
Adora Level 18 Description,ยิงสายฟ้า 8 ลูกพร้อมกัน
Adora Level 19 Description,เพิ่มระยะโจมตี ทำดาเมจกับบลูนเสริมเกราะแรงขึ้น
Adora Level 20 Description,ลูกบอลแห่งแสงได้รับการปรับปรุงมากขึ้น และอัตราการยิง ระยะยิง และระยะเวลาเพิ่มขึ้นจากการสังเวย
Carved,แกะสลัก
BloodyPuddles,แอ่งเลือด
TechBotRequiresAbility,ต้องใช้ทาวเวอร์ลิงที่เปิดใช้งานความสามารถ
AdorasTemple,วิหารของอดอร่า
WinterPark,สวนฤดูหนาว
FustyTheSnowmanSkinName,สกินมนุษย์หิมะฟัสตี้
FustyTheSnowmanSkinDescription,เป็นจิตวิญญาณแห่งความสุขของดอกป๊อปปี้
WorkshopReverseMotor,เปิดใช้งานมอเตอร์ถอยหลัง
WorkshopTrackExtensions,เปิดใช้งานส่วนขยายแทร็ก
Achievement 83 Name,น่ารักแบบแปลกๆ
Achievement 83 Description,เมื่อดาวเคราะห์เรียงตัวกันอย่างสวยงาม
Achievement 84 Name,ค่าคงที่ของจอช
Achievement 84 Description,"อะ-อะ-เอาชนะแผนที่ระดับเชี่ยวชาญบน CHIMPS โดยใช้เงิน $40,870 หรือมากกว่าในโรงงานตะปู 1 แห่ง"
Achievement 85 Name,ต้องแลกกับอะไร? - ทุกอย่าง
Achievement 85 Description,เสียสละหอยคอยทุกประเภทในเกมเพื่อไปที่วิหาร
Achievement 86 Name,เมกาป๊อป 2 
Achievement 86 Description,จบเกม CHIMPS ด้วยความเสียหายมากกว่า 2 ล้านที่เกิดจากทาวเวอร์เดียว
Achievement 87 Name,ได้เวลาเปิดลัง
Achievement 87 Description,เปิดกล่องเพชรในงานสะสมใดๆ
Achievement 88 Name,เส้นแห่งความหายนะ
Achievement 88 Description,มีสไนเปอร์ T5 อย่างละตัวในเกมเดียวของ CHIMPS
Achievement 89 Name,ผู้ดูแลทาวเวอร์
Achievement 89 Description,มีลิงอินสตา 200 ตัว ในคลังของคุณในครั้งเดียว
