//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
DoubleCashHelper,ここにはダブルキャッシュモードがある
BigBloonsMode,ビッグブルーン
CollectionMonkeyText,好きなマップで勝利をおさめ、コレクション報酬を獲得しよう！
CoopQuickGame,短いゲーム
CoopMediumGame,中くらいのゲーム
CoopLongGame,長いゲーム
CoopContinuePrompt,ゲームの継続まであと…
CoopRestartPrompt,ゲームの再開まであと…
CoopFreeplayPrompt,フリープレイ開始まであと…
CollectionRewardsDelivered,コレクションイベントの報酬が箱から出され、インスタモンキーのインベントリの中にある！
CoopSyncMessage,他のプレイヤーと同期化中…
CoopPlayerLeftMessage,がゲームから退出した 
CollectionEventEnded,コレクションイベントは終了した
CoopPublicGameStart,ゲームがもうすぐ始まるよ…
CalloutMasterBuild,マスタービルダー
CalloutLessIsMore,ほどほどに
CalloutPopMaster,ポップマスター
CalloutPopPacifist,ポップ平和主義者
CalloutBossSkillz,ボススキルず
CalloutWhatMOABs,MOABって何？
CalloutMonkeyFinancier,モンキーフィナンシェ
CalloutNoBananas4U,バナナあげないヨン
CalloutActivator,アクティベータ
CalloutPoweredUp,パワーアップ済み
CalloutInstaWinner,インスタ勝者
CalloutMasterBuildDesc,{0}基のタワーを設置した
CalloutLessIsMoreDesc,{0}基のタワーを設置した
CalloutPopMasterDesc,{0}個のブルーンを割った
CalloutPopPacifistDesc,{0}個のブルーンを割った
CalloutBossSkillzDesc,{0}個のMOABを割った
CalloutWhatMOABsDesc,{0}個のMOABを割った
CalloutMonkeyFinancierDesc,{0}キャッシュを生成した
CalloutNoBananas4UDesc,{0}キャッシュを生成した
CalloutActivatorDesc,{0}個の能力を使った
CalloutPoweredUpDesc,{0}個のパワーを使った
CalloutInstaWinnerDesc,{0}匹のインスタモンキーを使った
CoopLobbyNotFound,ゲームが見つかりません
CoopLobbyIsFull,ゲームは満員です
CoopLobbyNotCompatible,ゲームのバージョンに適合性がありませんので、ゲームをアップデートしてみてください。
CheckInternet,接続できません。インターネットへの接続をご確認ください。
SacrificialTotem,いけにえのトーテム
SandboxSetRound,セットラウンド：
SandboxSpacing,スペーシング：
SandboxCount,カウント：
CoopDisconnected,切断された
CoopDisconnectedMessage,残念ながら、ゲームの接続が切れてしまいました。メインメニューに戻ってください。
CoopCreatingLobby,ゲームを作成中…
CoopHostDisconnected,ゲームを作成したプレイヤーとの接続が切れました
CoopNoPublicOption,これらのゲーム設定は、プライベートマッチでのみプレイできます
CoopBuildZoneMessage,緑のエリアにモンキータワーを建てよう
Cargo,カーゴ
BenJamminSkinName,ノリノリDJベンジャミンのスキン
BenJamminSkinDescription,このパーティーは、はじけちゃう！
EditorAllCamo,全て迷彩
EditorAllRegrow,全て再生
AllCamoDescription,MOAB以外のブルーンが全て迷彩
AllRegrowDescription,MOAB以外のブルーンが全て再生
CoopGiveCashText,与える
CoopWaitingMessage,他のプレイヤーを待機中…
CoopReconnectMessage,ゲームに再接続中…
Achievement 65 Name,錬金術マンとブルーンボーイ
Achievement 65 Description,ワンボのWにするべきだけど、ミニのMで設定されています
SmudgeCattSkinName,スマッジキャットの皮
SmudgeCattSkinDescription,スマッジキャットトの催眠術をかけるようなまなざしは、カニツメブルーンを貫通するよ。彼女は復讐と『キャットト』フードに飢えている。
Workshop,ワークショップ
SmallBloonsMode,小さいブルーン
Achievement 66 Name,2TC
Achievement 66 Description,モンキータワー2塔だけで、CHIMPSの難易度でゲームを1つクリアする。
Achievement 67 Name,指パチン
Achievement 67 Description,ゲーム開始時のちょうど半分のライフとキャッシュでゲームをクリアする。
Achievement 68 Name,億万長者ビル・ゲゲーツ
Achievement 68 Description,一度に$50万ドルを協力プレイの仲間に送る
Achievement 69 Name,ブルーントナ500レース
Achievement 69 Description,500回のレースにエントリー
Achievement 70 Name,今年の新人
Achievement 70 Description,10分以下でレースをクリアする
Achievement 71 Name,注目のスター
Achievement 71 Description,5分以下でレースをクリアする
Achievement 72 Name,ゲームの頂点
Achievement 72 Description,3分以下でレースをクリアする
Achievement 73 Name,偉大なるチャレンジ
Achievement 73 Description,200チャレンジを作成またはプレイする
Achievement 74 Name,ファビュラス的
Achievement 74 Description,いずれかのヒーローのスキンを使って100ゲーム勝利する
Achievement 75 Name,風船割り半島
Achievement 75 Description,半島で{0}のブルーンを割る
Achievement 76 Name,ブルーンマスター・ポップロス
Achievement 76 Description,ブルーンマスター錬金術師で10億ダメージを与える
Achievement 77 Name,見えてるよ
Achievement 77 Description,キラキラを使って{0}個のブルーンの姿を出現させる
Achievement 78 Name,テトリミノ
Achievement 78 Description,マップ上に一度に50塔のモンキータワーを配置する
Achievement 79 Name,天国からの小銭
Achievement 79 Description,サイホン資金を使って{0}を獲得する
Achievement 80 Name,全ては一つ、一つは一つ
Achievement 80 Description,いずれかのハード難易度のゲームで、画面上に一度に一塔だけのモンキータワーだけ使ってゲームに勝つ
Achievement 81 Name,ライフの師匠
Achievement 81 Description,一ゲームで、一度に1000個のライフを所有する
Achievement 82 Name,虹こそ魔法
Achievement 82 Description,マジックモンキーを使って、{0}個のレインボーブルーンを割る
Emote.Hi,やあ！
Emote.Welldone,上出来
Emote.Ready,準備して！
Emote.Slow,遅いっ！
Emote.Thanks,どーも
Emote.AFK,離席中
Emote.Sorry,ごめん！
Emote.Goodjob,良くできたね
Emote.Gg,ナイスゲーム
Emote.Freeplay,フリープレイ
Emote.Eco,銀行
CoopGameUnavailable,このゲームはもう存在しません
CalloutHeadDetective,主任探偵
CalloutHeadDetectiveDesc,{0}個の迷彩ブルーンを割った
CalloutMetalMuncher,メタルハンドラー
CalloutMetalMuncherDesc,{0}個の鉛ブルーンを割った
CalloutFumigator,燻蒸消毒者
CalloutFumigatorDesc,{0}個の再生ブルーンを割った
CalloutFiredUp,ファイアーアップ
CalloutFiredUpDesc,{0}個の陶器ブルーンを割った
CalloutBfbBrawler,BFBブラウラー
CalloutBfbBrawlerDesc,{0}個のBFBを割った
CalloutZomgZapper,ZOMGザッパー
CalloutZomgZapperDesc,{0}個のZOMGを割った
CalloutDdtDestroyer,DDT破壊者
CalloutDdtDestroyerDesc,{0}個のDDTを割った
CalloutMostGenerous,とってもゴージャス
CalloutMostGenerousDesc,{0}キャッシュをギフトした
CoopDailyChallenge,日替わりプレイチャレンジ
Spillway,放水路
Sentry,見張り番
SentryBoom,ブーム見張り番
SentryCrushing,トゲ玉見張り番
SentryCold,冷たい見張り番
SentryEnergy,エネルギー見張り番
SentryParagon,チャンピオンの見張り番
EditorNumberOfPlayers,プレイヤー数
EditorCoopAreaDivision,マップ分画
InvalidTarget,無効なターゲット
Adora,アドラ
Adora Short Description,位の高い巫女
Adora Description,アドラの献身さにより、怒りの復讐でブルーンを撃つことができるようになる。
Adora Level 1 Description,聖なる稲妻が追跡し破壊する。
Adora Level 2 Description,攻撃範囲が拡大する。
Adora Level 3 Description,長い光の尾：短時間の間、攻撃範囲とパワーを大幅に増加して、全てのタイプのブルーンにダメージを与える。
Adora Level 4 Description,聖なる稲妻をダブルで発射する。
Adora Level 5 Description,聖なる稲妻がより多くのブルーンを貫通する
Adora Level 6 Description,一度に3個の聖なる稲妻を発射する。
Adora Level 7 Description,血の犠牲：ターゲットしたタワーを犠牲にすることで、アドラに大量のXPが与えられるほか、短い間、攻撃範囲と発砲率がブーストされる。
Adora Level 8 Description,一度に4個の聖なる稲妻を発射する。
Adora Level 9 Description,攻撃範囲が拡大する。
Adora Level 10 Description,光の玉：ブルーンを攻撃するパワフルなエネルギー玉を召喚する。
Adora Level 11 Description,アドラの攻撃速度がアップ。
Adora Level 12 Description,一度に5個の聖なる稲妻を発射する。
Adora Level 13 Description,聖なる稲妻がさらに多くのブルーンを貫通する
Adora Level 14 Description,一度に6個の聖なる稲妻を発射する。
Adora Level 15 Description,聖なる稲妻が貫通するブルーンの層が一層増え、光の玉が与えるダメージが大きくなる。
Adora Level 16 Description,長い光の尾が、もっと致命的になる。
Adora Level 17 Description,アドラの攻撃速度がさらにアップ。
Adora Level 18 Description,一度に8個の聖なる稲妻を発射する。
Adora Level 19 Description,攻撃範囲が拡大する。
Adora Level 20 Description,光の玉が大幅に改善され、発射率、射程、犠牲からのバフの持続時間が増加する。
Carved,ハロウィン風彫刻
BloodyPuddles,うざい泥沼
TechBotRequiresAbility,能力が有効化されたモンキータワーが必要です
AdorasTemple,アドラの神殿
WinterPark,冬の公園
FustyTheSnowmanSkinName,雪だるまのファスティーは
FustyTheSnowmanSkinDescription,明るく愉快なやつだった
WorkshopReverseMotor,逆流モーターを有効にする
WorkshopTrackExtensions,トラック拡張を有効にする
Achievement 83 Name,奇妙なかわいさ
Achievement 83 Description,惑星がきちんと並ぶ時
Achievement 84 Name,ジョッシュの定数
Achievement 84 Description,CHIMPSの任意のエキスパートマップで、スパイク工場1件に$40、870以上費やしてク、ク、クリアする
Achievement 85 Name,その代償は？何もかもだ！
Achievement 85 Description,神殿へ向かうゲームで、全てのタワーを犠牲にする
Achievement 86 Name,2メガポップ
Achievement 86 Description,一つのタワーで2百万ダメージ以上を与えてCHIMPSのゲームをクリアする
Achievement 87 Name,クレートの時間
Achievement 87 Description,任意のコレクションイベントでダイアモンドのクレートを開封する
Achievement 88 Name,大混乱の枢軸
Achievement 88 Description,一つのCHIMPSゲームで、T5スナイパーを各種配置する
Achievement 89 Name,タワーキーパー
Achievement 89 Description,ある時点で200のインスタモンキーをインベントリで所有する
Achievement 90 Name,一年が進行中
Achievement 90 Description,デイリー宝箱を365回開封する
Achievement 91 Name,カリ・マアアアアアア
Achievement 91 Description,1ラウンドでアドラに10レベル分獲得させる
Blood Sacrifice Ability,血の犠牲
Blood Sacrifice Ability Description,ターゲットしたタワーを犠牲にすることで、アドラに大量のXPが与えられるほか、短い間、攻撃範囲と発砲率がブーストされる。
The Long Arm of Light Ability,長い光の尾
The Long Arm of Light Ability Description,攻撃範囲とパワーが短時間大きくなり、全タイプのブルーンにダメージを与える。
Ball of Light Ability,光の玉
Ball of Light Ability Description,エネルギーのパワフルな玉をもたらし、ブルーンを打ち落とす。
SunAvatarMini,太陽のアバター
TrueSunAvatarMini,太陽のアバター
ComeOnEverybody,みんな、注目！
ComeOnEverybodyDescription,プライマリタワーのティアが3以下の場合、攻撃が5%スピードアップし、もしティア3または4の場合、コストも5%減る。
Wingmonkey,ウィングモンキー
WingmonkeyDescription,複数のモンキーエースが段階攻撃に出るように調整する高度飛行経路作り
TT_Wingmonkey,ウィングモンキー
TinyTornadoes,ミニ竜巻
TinyTornadoesDescription,ドルイドの竜巻が終わるとき、3つの小さい竜巻をスポーンさせる
HealthyBananas,ヘルシーバナナ
HealthyBananasDescription,マーケットプレイスがラウンドごとに1つのライフを、セントラルマーケットでは3つ生成するようになる
WeakPoint,弱点
WeakPointDescription,全てのヒーローが陶器および強化ブルーンに+1のダメージを与える
WolfpackQuincySkinName,オオカミの群れクインシー
WolfpackQuincySkinDescription,ハンターたちが皆強く、そして群れはさらに強かったいにしえの野生の時代の名残、その名もクインシー、クインシーの先祖。
Infernal,地獄的
DownloadButton,ダウンロード
DownloadDescription,追加ファイルをダウンロード中です。Wi‐Fiを推奨します。データサイズは{0}MB
ViewCollectionButton,コレクションを見る
ViewInventoryButton,インベントリを見る
CollectionDescription,インスタモンキーは使用後もコレクションに表示される。
CollectionNoInventory,イベントやチャレンジ、そして日替わり宝箱から回収したインスタモンキーは、ここに表示される。
MatchIncompatible,ゲームタイプに互換性がありません
CollectionEventBonusRewards,ボーナス報酬
SteamOverlay,購入するには、Steamオーバーレイとログインが必要です。
CollectionEventFeaturedInstas,注目のインスタ
CollectionEventChangesIn,変更まであと：
CollectionEventChooseInsta,注目のインスタを選択
JoanOfArcAdoraSkinName,アドラのジャンヌダルク
JoanOfArcAdoraSkinDescription,全ての戦いは、まず初めに心の中で勝ち負けが決まる。
EditorRules,ルール
EditorModifiers,変更子
PathRestricted,経路は規制されています
UpgradeRestricted,アップグレードは制限されています
ChallengeEditorRestrict,制限
ConfirmApplyAll,これらの制限を利用可能なモンキータワーに適用しますか？
ConfirmResetAll,利用可能なモンキータワーを全て5-5-5にリセットしますか？
Geared,ギアアップ
ChallengeEditorTowerRestrictions,タワーの制限
ChallengeEditorApplyAll,全て適用
ChallengeEditorResetAll,全てリセット
CandyFalls,キャンディーの滝
HarlegwenGwendolinSkinName,クレイジーグウェンのスキン
HarlegwenGwendolinSkinDescription,じらせることで有名！
CoopLobbyHackerDetected,ゲームに参加できません、互換性の不一致です。ヘルプは以下をご覧ください：https://ninja.kiwi/btd6_coop
TechBotSetAmbush,待ち伏せ攻撃をしかける
TechBotSetAmbushInstruction,トラック付近の待ち伏せ攻撃エリアを選択
AmbushTech,待ち伏せ攻撃工兵
AmbushTechDescription,工兵ロボットがブルーンが特定のトラック地域に入った時のみトリガーする標的オプションを獲得する。
DoorGunner,ドア射撃手
DoorGunnerDescription,特別風船割り作戦ヘリで、ティア4以下のモンキータワーがトランジット中にブルーンを攻撃できるようにする。
DoorGunnerDenied,このタワーはドア射撃手にできない
AmbidextrousRangs,両利きブーメラン
AmbidextrousRangsDescription,知識と訓練でブーメランモンキーが照準によって利き手を変えて、最適なブーメラン攻撃ができるようになる。
BoomerangTargetingSwitchHands,スイッチハンド
VineRupture,ツル断絶
VineRuptureDescription,全てのトラック上のツルを破壊する新しい能力を森の精ドルイドに与え、鉛以外の全ブルーンに大打撃を与える。新しいツルは、断絶後に再生する。
BankDeposits,銀行入金
BankDepositsDescription,ティア4以上のモンキーバンクは、ゲーム内キャッシュにあるお金から入金を受け付けられる。
MonkeyBankDeposit,入金
Achievement 92 Name,ゴールデンチケット
Achievement 92 Description,ブルンパ、ルンパ、ドンパ、デ、ドン！
SmallMonkeysMode,スモールモンキー
CaveMonkey,洞窟モンキー
DarkKnightDarkshift,[I]で範囲内にダークシフト
DarkChampionDarkshift,[I]で任意の有効な場所にダークシフト
SmallTowersMode,スモールモンキータワー
BigTowersMode,ビッグモンキータワー
UpdatePopupTitle,アップデート30！
UpdatePopupDescription,新しいコンテンツの更新！\n•新しい上級マップを戦い抜く：沈下した柱\n•新しいサイのスキンで快進撃する：シンバル！\n•協力プレイ分裂の更新：2つの新しい分裂が追加され、協力プレイゲームの設定時にすべて選択可能\n•4つの新しい期間限定アイテムを含む16の新しいトロフィーストアアイテムが登場。すぐに入手しよう！\n•アンロックできる4つの新しいモンキー知識\n•新しい実績、生活の質とバランスの変更、詳細についてはアップデートノートを確認してください
ResetDailyChest,日替わり宝箱をリセット
JukeboxName,ジュークボックス
EnableFunction,有効化
JukeboxSongs,曲
JukeboxPlaylist,プレイリスト
JukeboxAddAll,全て追加
JukeboxRemoveAll,全て削除
MonkeysLeft,残りのモンキー
ChallengeRules,チャレンジルール
JukeboxMusicFiestaMain,フィエスタフラメンコ
JukeboxMusicSunshineMain,サンシャインセレナーデ
JukeboxMusicSunsetMain,サンセットサンバ
JukeboxMusicTropicalMain,トロピカルカーニバル
JukeboxMusicTribesMain,トライブ＆トリビューレション
JukeboxMusicWinterMain,ウィンターナイト
JukeboxMusicJazzMain,ジャズテーマ
DoorGunnerSelect,ドア砲手としてのタワーを選択
PlayerStatsSettings,プレイヤー統計
PlayerStatsPublicStats,パブリック統計
HiddenAchievements,隠れ実績
PlayerStatsTopHeroes,トップヒーロー
PlayerStatsTopMonkeys,トップモンキー
PlayerStatsGamesPlayed,プレイしたゲーム
PlayerStatsGamesWon,勝利したゲーム
PlayerStatsHighestRound,最高ラウンド
PlayerStatsMonkeysPlaced,配置済みモンキー
PlayerStatsPopCount,割った数の合計
PlayerStatsCoopPopCount,協力プレイで割った数の合計
PlayerStatsCamoPopped,割った迷彩ブルーン
PlayerStatsLeadPopped,割った鉛ブルーン
PlayerStatsPurplePopped,割った紫ブルーン
PlayerStatsRegrowPopped,割った再増殖型ブルーン
PlayerStatsCeramicPopped,割った陶器ブルーン
PlayerStatsMoabsPopped,割ったMOAB級
PlayerStatsBfbsPopped,割ったBFB
PlayerStatsZomgsPopped,割ったZOMG
PlayerStatsDdtsPopped,割ったDDT
PlayerStatsBadsPopped,割ったBAD
PlayerStatsBloonsLeaked,逃したブルーン
PlayerStatsCashGenerated,生成したキャッシュ
PlayerStatsCashGifted,ギフトしたキャッシュ
PlayerStatsAbilitiesUsed,使った能力
PlayerStatsPowersUsed,使ったパワー
PlayerStatsInstaMonkeysUsed,使ったインスタモンキー
PlayerStatsDailysOpened,開いた日替わり報酬宝箱
PlayerStatsChallengesCompleted,クリアしたチャレンジ
PlayerStatsMaxPublicSelected,選択したパブリック統計は上限です。新しいパブリック統計を追加するには、一つ以上選択を取り消してください。
PlayerStatsOdysseysCompleted,クリアしたオデッセイ
PlayerStatsMedals,メダル
PlayerStatsAvatar,アバター
PlayerStatsOverallStats,全体の統計
PlayerStatsSharing,シェア中{0}/7
JukeboxMusicThemeMain,メインテーマ
et_odysseytitle,オデッセイイベント！
et_odysseydescription,ようこそ！オデッセイはマップやチャンレジと連結したセットで、トロフィーや他の報酬があります。主要なルール：\n• ライフは全マップを通じて共有されます\n•オデッセイがいったん始まると、最初からやり直ししない限とクルーや難易度を変更できません。\n• 最終マップをクリアすると、トロフィーやほかの報酬を獲得できます\n• トロフィー報酬は累世しません。トロフィー数が最も多いのは、ハードオデッセイです 最大の報酬があるのは、ハードオデッセイです
OdysseyEventName,オデッセイイベント
OdysseyThemeCustomRules,カスタムルール
OdysseyThemeRapidBloons,スピーディーブルーン
OdysseyThemeNoReturn,返品ポリシーはありません
OdysseyThemeInstructions,説明は含まれません
OdysseyThemeFasterHigher,もっと速く、もっと高く、もっと強く。
OdysseyThemeGottaGoFast,はやく行かなくちゃ
OdysseyThemeAllCamo,いつもぜんぶ迷彩
OdysseyThemeAllRegrow,いつもぜんぶ再増殖
OdysseyThemeFastTrack,ファーストトラック
OdysseyThemeHighlander,ハイランダーのオデッセイ
OdysseyThemeMonkeyTeams,モンキーチーム
OdysseyThemeExtremeOdyssey,究極のオデッセイ
OdysseyLives,ライフ数：
OdysseyLife,ライフ{0}個！
OdysseyLivesLeft,残りのライフ数：
OdysseyStart,オデッセイを開始
CollectAll,全て回収
OdysseyThemeSlowButDeadly,ゆっくりだけど致命的
OdysseyIslandRules,島の掟
OdysseyCrew,クルー
OdysseyCrewDetails,クルー詳細
OdysseyCrewDetailsSubtext,運命に選ばれたパワーやモンキーたちで、素晴らしいクルーを作ろう
OdysseySeats,席数: {0}
OdysseyMax,上限: {0}
OdysseyPowersAvailable,利用可能なパワー：
OdysseySpaces,空席数：{0}
OdysseySelectCrew,クルーを選ぼう
OdysseyTotal,合計：{0}
OdysseyPlay,プレイ
OdysseyContinue,オデッセイを続ける
OdysseyAddCrew,オデッセイを開始するには、クルーにモンキーをもっと追加してください
LeaderboardHacker,データが見つかりません。
Bazaar,バザール
FloodedValley,洪水の谷
AdmiralBrickell,ブリッケル提督
AdmiralBrickell Short Description,海軍司令官
AdmiralBrickell Description,全ての水上ベースのモンキーに指令を与え、確固とした勝利へと導こう。配置には水が必要。
AdmiralBrickell Level 1 Description,パワフルな海の地雷を配置し、ブルーンを見つけて破壊せよ。
AdmiralBrickell Level 2 Description,攻撃速度が増加。
AdmiralBrickell Level 3 Description,海軍戦術－短時間の間、ブリッケル提督と付近の水ベースのモンキーの攻撃速度を大幅にアップする。
AdmiralBrickell Level 4 Description,海の地雷の破裂パワーが増える。
AdmiralBrickell Level 5 Description,海軍戦術では、破裂パワーが増え、影響を受けたモンキーが迷彩を除く全てのブルーンに命中できるようになる。
AdmiralBrickell Level 6 Description,海の地雷とピストル攻撃のダメージが増える。
AdmiralBrickell Level 7 Description,ブリッケルの攻撃範囲が拡大し、迷彩ブルーンの検出が増加する。
AdmiralBrickell Level 8 Description,海軍戦術で、影響を受けたモンキーが迷彩ブルーンに命中できるようになる。水タワーの半径内の給水塔は、追加の貫通度を得る。
AdmiralBrickell Level 9 Description,海の地雷が追加ダメージを与える。
AdmiralBrickell Level 10 Description,メガ地雷：任意の水域に、MOABでトリガーし付近のブルーンをマヒさせる破壊的な機雷を展開させる。メガ地雷は3ラウンドの間、継続する。
AdmiralBrickell Level 11 Description,海の地雷の展開率と展開スピードが、さらに速くなる。
AdmiralBrickell Level 12 Description,ピストル攻撃のスピードとダメージを増え、海の地雷がダメージを増える。
AdmiralBrickell Level 13 Description,メガ地雷のクールダウンが短縮。
AdmiralBrickell Level 14 Description,海軍戦術の期間が延長。
AdmiralBrickell Level 15 Description,改良版海の地雷は爆破がさらに大規模で、黒ブルーンにダメージを与え、迷彩ブルーンの迷彩効果を除去する。
AdmiralBrickell Level 16 Description,攻撃と海の地雷の展開範囲が、少し増える。
AdmiralBrickell Level 17 Description,海の地雷が及ぼすダメージが増える。
AdmiralBrickell Level 18 Description,メガ地雷のクールダウンが、さらに短縮。
AdmiralBrickell Level 19 Description,海軍戦術があらゆる場所の水ベースのタワーに影響を与える。
AdmiralBrickell Level 20 Description,メガ地雷が与えるダメージは大きく増大しているほか、マヒもより長くなる。
btd6_moremoneypack,もっとマネーパック
btd6_moremoneypack Description,お金をもっとスピーディーに取得するための、正しいパワー。キャッシュ投下が20、モンキー百姓が5人、目標達成が5個！期間限定オファー！
HeroesQuincyCyberQuincyPlacementFireworksName,サイバークインシー花火の設置とアップデート
HeroesQuincyCyberQuincyPlacementFireworksDescription,クインシーが登場すると花火の時間だって、誰もが知っている。サイバークインシーのみ
HeroesAdoraPlacementSunbeamName,アドラの日光の配置とアップデート
HeroesAdoraPlacementSunbeamDescription,やっぱりアドラには空中に浮くような登場がお似合い。オリジナルのアドラのみ
HeroesChurchillPlacementTankDropName,チャーチルタンク投下の配置とアップデート
HeroesChurchillPlacementTankDropDescription,65トンのチャーチルを戦闘に投入するほど、素敵なことは他にない。オリジナルのチャーチルのみ
HeroesBenjamminDJSkinPlacementPartyLightsName,DJベンジャミンのパーティーライトの配置とアップデート
HeroesBenjamminDJSkinPlacementPartyLightsDescription,完全なパーティーライトなしにDJを働かせないで。DJベンジャミンのみ。
HeroesStrikerJonesPlacementParadropName,ストライカージョーンズのパラシュート投下の配置とアップデート
HeroesStrikerJonesPlacementParadropDescription,かっこいいモンキーは、みんなパラシュートで登場する。オリジナルのストライカージョーンズのみ
HeroesQuincyPetDadOfQuincyName,クインシーパパのペット
HeroesQuincyPetDadOfQuincyDescription,クインシーの息子は、クインシーの父なくして、あり得ない。オリジナルのクインシーのみ
HeroesGwendolinPetFirefoxName,グウェンドリンのファイアーフォックスペット
HeroesGwendolinPetFirefoxDescription,このかわいらしいファイアーフォックスは、いつもグウェンのそばにいる。オリジナルのグエンドリンのみ
BloonsMOABSkinFootballName,フットボールMOABの競技場
BloonsMOABSkinFootballDescription,MOABがフットボールみたいに見えたら、迎撃も簡単に思えるかも
BloonsBFBSkinPizzaName,ビザBFB
BloonsBFBSkinPizzaDescription,BFBをピザにできたら、飛行船の広告なんてもう要らないね
BloonsZOMGSkinWatermelonName,スイカZOMG
BloonsZOMGSkinWatermelonDescription,もっと割りたい衝動にかられちゃう
BloonsMOABSkinMaulerName,モーラーMOAB
BloonsMOABSkinMaulerDescription,倒せないなら、仲間になっちゃえ
BloonsMOABSkinPufferFishName,フグMOAB
BloonsMOABSkinPufferFishDescription,フグMOABは爆破する前に自分で膨れ上がる
BloonsAllBloonsDecalGooglyEyesName,ギョロメのブルーン
BloonsAllBloonsDecalGooglyEyesDescription,通常ブルーンやMOAB級ブルーンに自然な感じにくっついている
BloonsDDTSkinSharkName,シャークDDT
BloonsDDTSkinSharkDescription,君のことを殺すか分からないから、どうせならDDTみたいな見かけにしてみた
BloonsAllBloonsPopsConfettiName,ポップFXのコンフェッティ
BloonsAllBloonsPopsConfettiDescription,特別なコンフェッティ割りと音響があったら、モンキーは仕事を失ってしまう
BloonsBADSkinPinataName,ピニャータBAD
BloonsBADSkinPinataDescription,キャンディポップFX付きの巨大な紫のピニャータほど恐ろしいものはない
CoopEmoteAnimationDiscoBallName,ミラーボールアニメーション
CoopEmoteAnimationDiscoBallDescription,協力プレイゲームにミラーボールを投下して、キラキラにしよう。DJベンジャミンのお気に入りのゲームプレイ効果
CoopEmoteAnimationConfettiName,コンフェッティ大砲のアニメーション
CoopEmoteAnimationConfettiDescription,協力プレイゲーム中にコンフェッティ大砲を発砲しよう。ゲームプレイ効果はない。モンキーたちがひそかに喜ぶ。
CoopEmoteTextAmazingName,アメージングのテキストエモーティ
CoopEmoteTextAmazingDescription,他の協力プレイヤーにプレイがアメージングだったと伝えたり、自分の行いがアメージングだったりを伝えてみよう。つまり、君の存在を彼らが一層ありがたがるてわけ
CoopEmoteTextPerfectTimingName,完璧タイミングのテキストエモーティ
CoopEmoteTextPerfectTimingDescription,しっかりしたプレイに、完璧タイミングの声がけをしよう！皮肉な使い方をする機会もある
CoopEmoteAnimationSirenName,サイレン効果音
CoopEmoteAnimationSirenDescription,サイレンをオンにして、協力プレイチーム仲間に差し迫る破滅を警告しよう！あるいは、昼休みを告げるのもアリ
CoopEmoteAnimationLoveHeartsName,ラブハートのアニメーション
CoopEmoteAnimationLoveHeartsDescription,ふわふわ浮くハートほど、協力プレイヤーたちに君の愛情を伝えられるものはない。ゲームプレイ効果なし
CoopEmoteIconNoCashDropsName,キャッシュ投下なしアイコンのエモーティ
CoopEmoteIconNoCashDropsDescription,本当に本当にゲーム開始時のキャッシュ投下が欲しくない時のために。または、反対に使ってキャッシュをゲット
CoopEmoteTextWhyName,なぜ！？テキストエモーティコン
CoopEmoteTextWhyDescription,なぜなら、どんなに避けようとしても、たまには聞かなくちゃならない時もあるから
CoopEmoteSoundAirhornName,エアホーン効果音
CoopEmoteSoundAirhornDescription,これを持つべき妥当な理由はないけれど。悪い理由しかないけど、でも、楽しいかも…
CoopEmoteTextAllIsFineName,全て大丈夫！のテキストエモーティ
CoopEmoteTextAllIsFineDescription,これを出してスクショする機会はたくさんあるよ、ミームジェネレーターはもう要らない
CoopEmoteIconStopName,ストップのアイコンエモーティ
CoopEmoteIconStopDescription,この動く大きな赤い八角は、ブルーンやしけたプレイを止める方法を提供してくれる
CoopEmoteIconDangerName,危険アイコンのエモーティ
CoopEmoteIconDangerDescription,この動く危険デザインは、恐ろしい物への警告だ（注：チームメイトによる、あまりよくない選択も含む）。ゲーム内のアップグレードパネルでモンキーネームを編集し、メインメニューのプロフィールでステータスを確認しよう。
GameUIUpgradesDisplayNamedMonkeysName,モンキーネーム
GameUIUpgradesDisplayNamedMonkeysDescription,各モンキータワーの種類からモンキーの名前を一つ言ってみて！タイプに関わらず、一位になったモンキーがモンキーとして指名され、ライフタイムを通じてステータスが記録されます！
TrophyHeader,トロフィーストア
TrophyTabHeroes,ヒーロー
TrophyTabMonkeys,モンキー
TrophyTabBloons,ブルーン
TrophyTabCoop,協力
TrophyTabGameUI,ゲーム＆UI
TrophyTabFeatured,特徴
TrophyTabInventory,インベントリ
TrophyTrophiesEarned,獲得したトロフィー：
Naval Tactics Ability,海軍戦術
Naval Tactics Ability Description,短時間の間、付近の水ベースのモンキーの攻撃速度を大幅にアップする。
Mega Mine Ability,メガ地雷
Mega Mine Ability Description,MOABでトリガーし付近のブルーンをマヒさせる破壊的なメガ地雷を展開させる。
Confirm,確認
PlayerStatsTimesPlaced,配置した回数
Trophies,トロフィー
RewardsTop50,トップ50
OdysseyMapComplete,{0}の島をクリア！
OdysseyComplete,オデッセイクリア！
HeroesQuincyCyberQuincyPlacementFireworksShortName,サイバー花火
HeroesAdoraPlacementSunbeamShortName,アドラ・サンビーム
HeroesChurchillPlacementTankDropShortName,チャーチル戦車ドロップ
HeroesBenjamminDJSkinPlacementPartyLightsShortName,DJベンのパーティーライト
HeroesStrikerJonesPlacementParadropShortName,ストライカー・パラドロップ
