//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
EventRewardsTitle,Händelsebelöningar
TT_FollowMouse,Följa Mus
SteamLoadingMessage,Packar upp tillgångar
SentaiCaptainChurchillSkinName,Sentai Churchill-skin
SentaiCaptainChurchillSkinDescription,Må kraften hos super mega turbo ljushastighet manga kvantum galaktiska laserbomber skydda dig!
KartsNDarts,KartsNDarts
Upgrade Path 1,Uppgraderingsväg 1
Upgrade Path 2,Uppgraderingsväg 2
Upgrade Path 3,Uppgraderingsväg 3
ChangeTargeting,Ändra målinriktning
ReverseChangeTargeting,Ändra tillbaka målinriktning
PauseDeselect,Pausa/Välj bort
PlayFastForward,Spela upp/Spola framåt
SendNextRound,Skicka nästa runda (lopp)
Activated Ability 1,Aktiverad förmåga 1
Activated Ability 2,Aktiverad förmåga 2
Activated Ability 3,Aktiverad förmåga 3
Activated Ability 4,Aktiverad förmåga 4
Activated Ability 5,Aktiverad förmåga 5
Activated Ability 6,Aktiverad förmåga 6
Activated Ability 7,Aktiverad förmåga 7
Activated Ability 8,Aktiverad förmåga 8
Activated Ability 9,Aktiverad förmåga 9
Activated Ability 10,Aktiverad förmåga 10
Activated Ability 11,Aktiverad förmåga 11
Activated Ability 12,Aktiverad förmåga 12
SendRedBloon,Skicka Röd Bloon
SendBlueBloon,Skicka Blå Bloon
SendGreenBloon,Skicka Grön Bloon
SendYellowBloon,Skicka Gul Bloon
SendPinkBloon,Skicka Rosa Bloon
SendBlackBloon,Skicka Svart Bloon
SendPurpleBloon,Skicka Lila Bloon
SendWhiteBloon,Skicka Vit Bloon
SendLeadBloon,Skicka Blybloon
SendZebraBloon,Skicka Zebrabloon
SendRainbowBloon,Skicka Regnbågsbloon
SendCeramicBloon,Skicka Keramikbloon
SendTestBloon,Skicka Testbloon
SendMoabBloon,Skicka MOAB-bloon
SendBfbBloon,Skicka BFB-bloon
SendZomgBloon,Skicka ZOMG-bloon
SendDdtBloon,Skicka DDT-bloon
SendBadBloon,Skicka BAD-bloon
RestoreDefaults,Återställ standardinställningar
SaveHotkeyChanges,Spara snabbvalsändringar?
Hotkeys,Snabbvalsknappar
Monkeys,Apor
Gameplay,Spelande
Revert,Återgå
Save,Spara
HotkeyModeDescription,Snabbtangenter kan endast användas i klicka och släpp-läge
DemoSplashText,Denna version av Bloons TD 6 har skapats specifikt i demonstrationssyfte
EditorClearSaveProgressWarning,"Din utmaning har speländrande modifieringar, detta kommer att rensa ditt aktuella sparade spelläge"
EditorInfiniteMaxTowers,Obegränsad
EditorDefaultValue,Standard
EditorLoadingChallenge,Laddar...
EditorGeneratingCode,Genererar...
EditorEnterCode,Ange kod
EditorShareError,Det uppstod ett problem när denna utmaning skulle delas
EditorSubmitError,Det uppstod ett problem när denna utmaning skulle skickas
EditorLoadError,Det uppstod ett problem när denna utmaning skulle laddas
EditorLevelLockMsg,Utmaningsredigeraren blir upplåst på nivå {0}
EditorCreateChallenge,Skapa utmaning
EditorPlayChallenge,Spela utmaning
EditorEditChallenge,Redigera utmaning
EditorShare,Dela
EditorShareChallenge,Dela utmaning:
EditorSubmit,Skicka
EditorChallengeCode,Utmaningskod:
EditorEnterChallengeCode,Ange utmaningskod:
EditorSubmissionForm,Inlämningsformulär
EditorSubmissionDescription,Skicka din utmaning till Ninja Kiwi för utvärdering för framtida dagliga eller avancerade utmaningar
EditorFridayStinger,Fredagsstick
EditorRemainAnonymous,Förbli anonym
EditorChallengeEditor,Utmaningsredigerare
EditorUndo,Ångra
EditorReset,Återställ
EditorRandom,Slumpmässig
EditorDifficulty,Svårighetsgrad:
EditorGameMode,Spelläge:
EditorStartingCash,Startkapital:
EditorStartingLives,Startliv
EditorMaxLives,Max antal liv:
EditorStartRound,Startrunda:
EditorEndRound,Slutrunda:
EditorMonkeysExcluded,Apor undantagna
EditorMonkeysIncluded,Apor som ingår
EditorMaxMonkeys,Max antal apor:
EditorAdd,Lägg till 
EditorBloonSpeed,Bloonhastighet
EditorMoabSpeed,Moab-hastighet
EditorCeramicHealth,Keramikhälsa
EditorMoabHealth,Moabhälsa
EditorPowers,Krafter:
EditorSelling,Säljer:
EditorMonkeyKnowledge,Apkunskap:
EditorContinues,Fortsätter:
EditorLockedSubmitButtonDescription,Du har redan skickat denna utmaning
EditorLockedShareButtonDescription,För att dela din utmaning måste du bevisa att det är möjligt att nå vinstskärmen i testläge!
ConflictScreenChoose,Välj ett sparat spel
ConflictThisDevice,Denna enhet
ConflictCloud,I molnet
ConflictTimeHours,Sparat för {0} timmar sedan
ConflictUseButton,Användning
ConflictNoData,Uppgifter saknas
ConflictTimeMinutes,Sparat för {0} minuter sedan
ConflictTimeSeconds,Sparat för {0} sekunder sedan
ConflictTimeDays,Sparat för {0} dagar sedan
FasterMoabs,Moab-hastighet ökad
SlowerMoabs,Moab-hastighet minskad
BikerBonesSkinName,Biker Bones-skin
BikerBonesSkinDescription,Solgudens ilska blir aldrig starkare än en frisläppt Biker Bones!
PatsPond,Pats damm
InappropriateChallengeName,Var vänlig använd ett mindre olämpligt utmaningsnamn och försök igen
DCVictoryBody,Gratulerar! Du har slutfört {0}!
EditorCreateVictoryBody,Gratulerar! Du kan nu dela din utmaning med andra!
EditorOlderVersion,Denna utmaning skapades i version {0} och det kan hända att den inte går att slutföra längre
EditorNewerVersion,"Denna utmaning skapades i en nyare version av spelet, var välig uppdatera till den senaste versionen för att spela denna utmaning"
DefeatScreenRetryLastRound,Prova den senaste rundan igen
CoopDoubleCash,(endast för en spelare)
EditorThanksForSubmission,Tack för ditt bidrag och att du gör Bloons TD6 ännu bättre! Vi hoppas att vi får se din utmaning i vår rotation i framtiden om den blir vald!
SpringSpring,Vårhopp
ObynOceanGuardianSkinName,Havsväktarskin
ObynOceanGuardianSkinDescription,Vi kom från havet och vi kommer att återvända till havet.
CollectionEventHeader,Insamlingsevenemang
CoopTriggerText,"Alla samarbetsspel delar pengar och hjälte-xp lika. För detta spel, spelar du: {0} – {1}"
Achievement 64 Name,Stora Bloons
Achievement 64 Description,Pat tycker ännu bättre om att krama stora Bloons
OptionsExtras,Extra innehåll
DoubleCashHelper,Här hittar du dubbelt pengaläge
BigBloonsMode,Stora Bloons
CollectionMonkeyText,Tjäna insamlingsbelöningar genom att vinna valfri bana!
CoopQuickGame,Snabbt spel
CoopMediumGame,Medellångt spel
CoopLongGame,Långt spel
CoopContinuePrompt,Spelet fortsätter om ...
CoopRestartPrompt,Omstart av spelet om ...
CoopFreeplayPrompt,Extraspel startar om ...
CollectionRewardsDelivered,Dina insamlingsevenemangsbelöningar har packats upp och finns i din Insta-Ap-inventarielista!
CoopSyncMessage,Synkroniserar med övriga spelare ...
CoopPlayerLeftMessage,har lämnat spelet
CollectionEventEnded,Insamlingsevenemanget har avslutats
CoopPublicGameStart,Spelet börjar snart ...
CalloutMasterBuild,Mästarbyggare
CalloutLessIsMore,Mindre är mer
CalloutPopMaster,Smällmästare
CalloutPopPacifist,Smällpacifist
CalloutBossSkillz,Bossfärdigheter
CalloutWhatMOABs,Vilka MOAB:er?
CalloutMonkeyFinancier,Apfinansiär
CalloutNoBananas4U,Inga bananer idag
CalloutActivator,Aktivator
CalloutPoweredUp,Startad och klar
CalloutInstaWinner,Instavinnare
CalloutMasterBuildDesc,{0} torn utplacerade
CalloutLessIsMoreDesc,{0} torn utplacerade
CalloutPopMasterDesc,{0} Bloons smällda
CalloutPopPacifistDesc,{0} Bloons smällda
CalloutBossSkillzDesc,{0} MOAB:er smällda
CalloutWhatMOABsDesc,{0} MOAB:er smällda
CalloutMonkeyFinancierDesc,{0} pengar intjänade
CalloutNoBananas4UDesc,{0} pengar intjänade
CalloutActivatorDesc,{0} förmågor använda
CalloutPoweredUpDesc,{0} krafter använda
CalloutInstaWinnerDesc,{0} Insta-apor använda
CoopLobbyNotFound,Spelet hittades inte
CoopLobbyIsFull,Spelet är fullt
CoopLobbyNotCompatible,"Spelversionerna är inte kompatibla, försök att uppdatera spelet."
CheckInternet,Kan inte ansluta. Var vänlig kontrollera internetanslutningen.
SacrificialTotem,Offertotem
SandboxSetRound,Välj runda:
SandboxSpacing,Mellanrum:
SandboxCount,Antal:
CoopDisconnected,Bortkopplad
CoopDisconnectedMessage,Tyvärr har ditt spel förlorat anslutningen. Var vänlig återvänd till startmenyn.
CoopCreatingLobby,Skapar spel…
CoopHostDisconnected,Spelaren som skapade spelet har kopplats bort
CoopNoPublicOption,Dessa spelinställningar kan endast spelas som en Privat match
CoopBuildZoneMessage,Bygg dina aptorn i det gröna området
Cargo,Last
BenJamminSkinName,Benjammin DJ Skin
BenJamminSkinDescription,Denna fest kommer att SMÄLLA HÖGT!
EditorAllCamo,Alla Kamo
EditorAllRegrow,Alla Återväxande
AllCamoDescription,Alla icke-MOAB-bloons är kamo
AllRegrowDescription,Alla icke-MOAB-bloons är återväxande
CoopGiveCashText,Ge
CoopWaitingMessage,Väntar på andra spelare ...
CoopReconnectMessage,Återansluter till ditt spel ...
Achievement 65 Name,Alkemistmannen och Havstulpbloonpojken
Achievement 65 Description,"Du har den inställd till M för mini, när den borde vara W för wäldig"
SmudgeCattSkinName,Fläckig Katt-skin
SmudgeCattSkinDescription,Fläckiga Kattens hypnotiserande blick lockar dig att smälla alla de där klofingriga Bloonsen. Hon törstar efter hämnd och mera kattmat.
Workshop,Verkstad
SmallBloonsMode,Små Bloons
Achievement 66 Name,2TU
Achievement 66 Description,Slutför ett spel med CHIMPS-svårighetsgrad med endast 2 aptorn
Achievement 67 Name,Knäpp med fingrarna
Achievement 67 Description,Slutför ett spel med exakt hälften av dina startliv och hälften av ditt startkapital
Achievement 68 Name,Katastrofhjälp
Achievement 68 Description,Skicka $500 000 till en allierad i ett samarbetsspel på en gång
Achievement 69 Name,Bloontona 500
Achievement 69 Description,Kvalificera dig för 500 tävlingslopp
Achievement 70 Name,Årets nykomling
Achievement 70 Description,Slutför ett lopp på mindre än 10 minuter
Achievement 71 Name,Stigande stjärna
Achievement 71 Description,Slutför ett lopp på mindre än 5 minuter
Achievement 72 Name,Bäst i sin klass
Achievement 72 Description,Slutför valfritt lopp på mindre än 3 minuter
Achievement 73 Name,Den största utmaningen
Achievement 73 Description,Skapa eller spela 200 utmaningar
Achievement 74 Name,Hur snygg som helst
Achievement 74 Description,Vinn 100 spel genom att använda valfritt hjälte-skin
Achievement 75 Name,Halvö som smäller högt
Achievement 75 Description,Smäll {0} Bloons på Halvö
Achievement 76 Name,Bloonmästaren Populous
Achievement 76 Description,Dela ut 1 miljard i skada med Bloonmästaralkemisten
Achievement 77 Name,Jag ser dig
Achievement 77 Description,Avslöja {0} Bloons med hjälp av skimmer
Achievement 78 Name,Tetrimino
Achievement 78 Description,Placera 50 aptorn på kartan samtidigt
Achievement 79 Name,Pengar från himlen
Achievement 79 Description,Använd sifonfinansiering för att tjäna {0}
Achievement 80 Name,"En för alla, alla för en"
Achievement 80 Description,Vinn ett spel med endast 1 aptorn på skärmen samtidigt på valfri bana med svår svårighetsgrad.
Achievement 81 Name,Livets mästare
Achievement 81 Description,Ha 1 000 liv samtidigt i ett enskilt spel
Achievement 82 Name,Regnbågsmagi
Achievement 82 Description,Smäll {0} Regnbågsbloons med Magiska apor
Emote.Hi,Hej!
Emote.Welldone,Bra gjort
Emote.Ready,Redo!
Emote.Slow,Långsamt!
Emote.Thanks,Tack!
Emote.AFK,AFK
Emote.Sorry,Förlåt!
Emote.Goodjob,Bra jobbat
Emote.Gg,GG
Emote.Freeplay,Gratisspel
Emote.Eco,Eko
CoopGameUnavailable,Detta spel är inte längre tillgängligt
CalloutHeadDetective,Huvuddetektiv
CalloutHeadDetectiveDesc,{0} Kamobloons smällda
CalloutMetalMuncher,Metallmumsare
CalloutMetalMuncherDesc,{0} Blybloons smällda
CalloutFumigator,Utrotare
CalloutFumigatorDesc,{0} Återväxande bloons smällda
CalloutFiredUp,Upphettad
CalloutFiredUpDesc,{0} Keramikbloons smällda
CalloutBfbBrawler,BFB-bråkmakare
CalloutBfbBrawlerDesc,{0} BFB:er smällda
CalloutZomgZapper,ZOMG-förstörare
CalloutZomgZapperDesc,{0} ZOMG:er smällda
CalloutDdtDestroyer,DDT-jägare
CalloutDdtDestroyerDesc,{0} DDT:er smällda
CalloutMostGenerous,Mest generös
CalloutMostGenerousDesc,{0} pengar bortskänkta
CoopDailyChallenge,Daglig samarbetsutmaning
Spillway,Utsläpp
Sentry,Vakttorn
SentryBoom,Smällvakttorn
SentryCrushing,Spikbollsvakttorn
SentryCold,Kallt vakttorn
SentryEnergy,Energivakttorn
SentryParagon,Mästarvaktpost
EditorNumberOfPlayers,Antal spelare
EditorCoopAreaDivision,Områdesuppdelning för samarbete
InvalidTarget,Ogiltigt mål
Adora,Adora
Adora Short Description,Överprästinna
Adora Description,Adoras hängivenhet tvingar henne att slå ner Bloons med rasande hämnd.
Adora Level 1 Description,Gudomlig åskvigg söker upp och förintar.
Adora Level 2 Description,Ökad attackräckvidd.
Adora Level 3 Description,Ljusets långa arm: Ökar attackräckvidden och kraften betydligt under en kort stund och skadar alla Bloonstyper.
Adora Level 4 Description,Skjuter dubbla gudomliga åskviggar.
Adora Level 5 Description,Gudomliga åskviggar tränger igenom fler Bloons.
Adora Level 6 Description,Skjuter 3 gudomliga åskviggar i taget.
Adora Level 7 Description,Blodoffer: Offra ett utvalt Torn för att ge Adora stora mängder XP och förbättra hennes attackräckvidd och eldhastighet under en kort stund.
Adora Level 8 Description,Skjuter 4 gudomliga åskviggar i taget.
Adora Level 9 Description,Ökad attackräckvidd.
Adora Level 10 Description,Ljusklot: Frammanar ett kraftfullt energiklot som slår ner Bloons.
Adora Level 11 Description,Adora får högre attackhastighet.
Adora Level 12 Description,Skjuter 5 gudomliga åskviggar i taget.
Adora Level 13 Description,Gudomliga åskviggar tränger igenom ännu fler Bloons.
Adora Level 14 Description,Skjuter 6 gudomliga åskviggar i taget.
Adora Level 15 Description,Gudomliga Åskbollar bränner igenom ett extra Bloonlager och Ljusbollen utdelar mer skada.
Adora Level 16 Description,Ljusets långa arm blir ännu dödligare.
Adora Level 17 Description,Adora får ännu högre attackhastighet.
Adora Level 18 Description,Skjuter 8 gudomliga åskviggar i taget.
Adora Level 19 Description,Ökad attackräckvidd.
Adora Level 20 Description,"Ljusbollen är kraftigt förbättrad och har högre eldhastighet, längre räckvidd och ökad varaktighet från Offer."
Carved,Utskuren
BloodyPuddles,Krångliga pölar
TechBotRequiresAbility,Kräver ett aptorn med aktiverade förmågor
AdorasTemple,Adoras tempel
WinterPark,Vinterpark
FustyTheSnowmanSkinName,Snögubben Fusty
FustyTheSnowmanSkinDescription,Var en smällglad typ
WorkshopReverseMotor,Aktivera bakåtriktad motor
WorkshopTrackExtensions,Aktivera spårförlängningar
Achievement 83 Name,Märkligt underbar
Achievement 83 Description,När planeterna är trevligt i linje
Achievement 84 Name,Joshs konstant
Achievement 84 Description,K-K-Klara valfri expertbana på CHIMPANSER med $40 870 eller mer spenderat på 1 spikfabrik
Achievement 85 Name,Hur mycket kostade det? - Allt
Achievement 85 Description,Offra varje torntyp i spelet i templet
Achievement 86 Name,2 Megasmällningar
Achievement 86 Description,Slutför ett spel med CHIMPANSER med mer än 2 miljoner i åsamkad skada från ett torn
Achievement 87 Name,En lådig stund
Achievement 87 Description,Öppna en diamantlåda i valfri insamlingshändelse
Achievement 88 Name,Kaosaxeln
Achievement 88 Description,Ha en av varje T5-prickskytt i ett spel med CHIMPANSER
Achievement 89 Name,Tornägare
Achievement 89 Description,Ha 200 insta-apor i lager samtidigt
Achievement 90 Name,Ett händelserikt år
Achievement 90 Description,Öppna den dagliga kistan 365 gånger
Achievement 91 Name,Kali Maaaaaaaa
Achievement 91 Description,Höj Adora 10 nivåer i en spelrunda
Blood Sacrifice Ability,Blodoffer
Blood Sacrifice Ability Description,Offra ett utvalt Torn för att ge Adora stora mängder XP och förbättra hennes attackräckvidd och eldhastighet under en kort stund.
The Long Arm of Light Ability,Ljusets långa arm
The Long Arm of Light Ability Description,Ökar attackräckvidden och kraften betydligt under en kort stund och skadar alla Bloonstyper.
Ball of Light Ability,Ljusklot
Ball of Light Ability Description,Frammanar ett kraftfullt energiklot som slår ner Bloons.
SunAvatarMini,Solavatar
TrueSunAvatarMini,Solavatar
ComeOnEverybody,Kom igen allihopa!
ComeOnEverybodyDescription,Primära torn attackerar 5 % snabbare om alla är under nivå 3 och kostar 5 % mindre om alla är nivå 3 eller 4
Wingmonkey,Vingapa
WingmonkeyDescription,Avancerad flygledning som samordnar flera Apess i spridda attackflygningar
TT_Wingmonkey,Vingapa
TinyTornadoes,Små tornados
TinyTornadoesDescription,Druidtornados föder fram 3 mindre tornados när de upphör
HealthyBananas,Hälsosamma bananer
HealthyBananasDescription,Marknadsplatser producerar nu 1 liv per runda och Centralmarknader producerar 3
WeakPoint,Svag punkt
WeakPointDescription,Alla Hjältar åsamkar +1 skada på keramik- och förstärkta Bloons
WolfpackQuincySkinName,Vargflock-Quincy
WolfpackQuincySkinDescription,"Från de vilda dagarna i det förgångna, när alla jägare var starka och flocken ännu starkare, är han Quincy, förfader till Quincy."
Infernal,Infernalisk
DownloadButton,Ladda ner
DownloadDescription,Laddar ner ytterligare filer. Wi-fi rekommenderas. Datamängd {0}MB
ViewCollectionButton,Visa Samling
ViewInventoryButton,Visa Inventarielista
CollectionDescription,Instaapor kommer att förbli synliga i din inventarielista även efter användning.
CollectionNoInventory,"Instaapor som har fåtts från dagliga kistor, utmaningar och händelser kommer att visas här."
MatchIncompatible,Speltyperna är inte kompatibla
CollectionEventBonusRewards,Bonusbelöningar
SteamOverlay,Steam Overlay och inloggning krävs för köp.
CollectionEventFeaturedInstas,Tillgängliga insta
CollectionEventChangesIn,Ändringar i:
CollectionEventChooseInsta,Välj tillgänglig insta
JoanOfArcAdoraSkinName,Jean d'Arc Adora
JoanOfArcAdoraSkinDescription,Alla strider vinns eller förloras först i sinnet.
EditorRules,Regler
EditorModifiers,Modifierare
PathRestricted,Väg begränsad
UpgradeRestricted,Uppgradering begränsad
ChallengeEditorRestrict,Begränsa
ConfirmApplyAll,Tillämpa dessa begränsningar på alla tillgängliga aptorn?
ConfirmResetAll,Återställ alla tillgängliga aptorn till 5-5-5?
Geared,Kugghjul
ChallengeEditorTowerRestrictions,Torn begränsningar
ChallengeEditorApplyAll,Tillämpa alla
ChallengeEditorResetAll,Återställ alla
CandyFalls,Godisfallen
HarlegwenGwendolinSkinName,Harlegwen-skin
HarlegwenGwendolinSkinDescription,Jag är känd för att vara ganska irriterande!
CoopLobbyHackerDetected,"Kunde inte ansluta till spelet, inkompatibilitet upptäckt. För hjälp, var vänlig besök https://ninja.kiwi/btd6_coop"
TechBotSetAmbush,Förbered bakhåll
TechBotSetAmbushInstruction,Välj bakhållsplats nära vägen
AmbushTech,Bakhållsteknik
AmbushTechDescription,Techbots får ett målsökningsalternativ att endast utlösas när Bloons når ett specifikt område av vägen.
DoorGunner,Dörrskytt
DoorGunnerDescription,Hemliga smälltjänstens helikopter tillåter aptorn från nivå 4 och lägre att attackera Bloons under flygning.
DoorGunnerDenied,Detta torn kan inte göras till dörrskytt
AmbidextrousRangs,Tvåhandsbumeranger
AmbidextrousRangsDescription,Kunskap och utbildning tillåter Bumerangapan att byta händer som ett målsökningsalternativ och optimerar bumerangattackerna.
BoomerangTargetingSwitchHands,Byt händer
VineRupture,Vinrankbrott
VineRuptureDescription,"Ger Skogsandedruiden en ny förmåga att spränga sönder alla vägvinrankor, vilket åsamkar stor skada på alla Bloons utom Blybloons. Nya vinrankor kommer att växa upp efter varje sprängning."
BankDeposits,Bankinsättningar
BankDepositsDescription,Apbanker på nivå 4 och högre kan ta emot insättningar från tillgängliga spelpengar.
MonkeyBankDeposit,Sätt in
Achievement 92 Name,Gyllene biljett
Achievement 92 Description,Bloompa-loompa-doompa-dee-doo!
SmallMonkeysMode,Små apor
CaveMonkey,Grottapa
DarkKnightDarkshift,[I] till Mörkskifte inom räckvidden
DarkChampionDarkshift,[I] till Mörkskifte till valfri giltig plats
SmallTowersMode,Små aptorn
BigTowersMode,Stora aptorn
UpdatePopupTitle,Uppdatering 29!
UpdatePopupDescription,"God jul-uppdatering!\n• Härska över alla hav med den senaste Apparagonen: Havens härskare\n• Få stopp på de där busiga Bloonsen på denna nya medelsvåra bana: Tysta gatan\n• Skaffa vårt nya fantastiska Ezili-skin: Galaxili!\n• Skapandet av samarbetslobbyn har omarbetats för att få in dig i spelet snabbare\n• 17 nya trofébutikartiklar, inklusive 6 nya under begränsad tid. Skynda dig!\n• Nya bedrifter, livskvalitetsändringar, balansändringar och fixar - massor av fantastiska förändringar, ta en titt på uppdateringsmeddelandet för ytterligare information\nVarma julhälsningar och gott nytt år från alla oss på Ninja Kiwi!"
ResetDailyChest,Återställ daglig kista
JukeboxName,Jukebox
EnableFunction,Aktivera
JukeboxSongs,Låtar
JukeboxPlaylist,Spellista
JukeboxAddAll,Lägg till alla
JukeboxRemoveAll,Ta bort alla
MonkeysLeft,Apor kvar
ChallengeRules,Utmana reglerna
JukeboxMusicFiestaMain,Fiesta Flamenco
JukeboxMusicSunshineMain,Solskensserenad
JukeboxMusicSunsetMain,Samba i solnedgången
JukeboxMusicTropicalMain,Tropisk karneval
JukeboxMusicTribesMain,Stammar & vedermödor
JukeboxMusicWinterMain,Vinternätter
JukeboxMusicJazzMain,Jazz-tema
DoorGunnerSelect,Välj ett torn som dörrskytt
PlayerStatsSettings,Spelarstatus
PlayerStatsPublicStats,Offentlig status
HiddenAchievements,Dolda prestationer
PlayerStatsTopHeroes,Topphjältar
PlayerStatsTopMonkeys,Toppapor
PlayerStatsGamesPlayed,Spelade spel
PlayerStatsGamesWon,Vunna spel
PlayerStatsHighestRound,Vunna spel
PlayerStatsMonkeysPlaced,Utplacerade apor
PlayerStatsPopCount,Totalt antal smällningar
PlayerStatsCoopPopCount,Totalt antal smällningar i samarbetsläge
PlayerStatsCamoPopped,Kamobloons smällda
PlayerStatsLeadPopped,Blybloons smällda
PlayerStatsPurplePopped,Lila Bloons smällda
PlayerStatsRegrowPopped,Återväxande bloons smällda
PlayerStatsCeramicPopped,Keramikbloons smällda
PlayerStatsMoabsPopped,MOAB:er smällda
PlayerStatsBfbsPopped,BFB:er smällda
PlayerStatsZomgsPopped,ZOMG:er smällda
PlayerStatsDdtsPopped,DDT:er smällda
PlayerStatsBadsPopped,BAD:er smällda
PlayerStatsBloonsLeaked,Bloons läckta
PlayerStatsCashGenerated,Genererade pengar
PlayerStatsCashGifted,Pengar bortskänkta
PlayerStatsAbilitiesUsed,Förmågor använda
PlayerStatsPowersUsed,Krafter använda
PlayerStatsInstaMonkeysUsed,Insta-apor använda
PlayerStatsDailysOpened,Dagliga belöningskistor öppnade
PlayerStatsChallengesCompleted,Utmaningar slutförda
PlayerStatsMaxPublicSelected,Maximal offentlig statistik vald. Du måste välja bort en eller fler innan du lägger till ny offentlig statistik.
PlayerStatsOdysseysCompleted,Odysseus slutförd
PlayerStatsMedals,Medaljer
PlayerStatsAvatar,Avatar
PlayerStatsOverallStats,Övergripande statistik
PlayerStatsSharing,Delar {0}/7
JukeboxMusicThemeMain,Huvudtema
et_odysseytitle,Odysséevenemang!
et_odysseydescription,Välkommen! Varje Odyssé är en uppsättning sammanlänkade banor och utmaningar med troféer och andra belöningar! Nyckelregler:\n• Liv delas över alla banor\n• När du väl har påbörjat en Odyssé kan du inte ändra din besättning eller svårighetsgrad såvida du inte startar om\n• Vinn troféer och andra belöningar efter att ha klarat den sista banan\n• Trofébelöningar är inte kumulativa – Svår Odyssé har max troféer
OdysseyEventName,Odysséevenemang 
OdysseyThemeCustomRules,Anpassade regler
OdysseyThemeRapidBloons,Snabb Bloons
OdysseyThemeNoReturn,Ingen returpolicy
OdysseyThemeInstructions,Instruktioner ingår inte
OdysseyThemeFasterHigher,Snabbare. Högre. Starkare.
OdysseyThemeGottaGoFast,Måste gå snabbt
OdysseyThemeAllCamo,Alla Kamo hela tiden
OdysseyThemeAllRegrow,Alla Återväxande hela tiden
OdysseyThemeFastTrack,Snabb bana
OdysseyThemeHighlander,Högländarens odyssé
OdysseyThemeMonkeyTeams,Apteam
OdysseyThemeExtremeOdyssey,Extrem Odyssé
OdysseyLives,Liv:
OdysseyLife,{0} liv!
OdysseyLivesLeft,Liv kvar:
OdysseyStart,Starta Odyssé
CollectAll,Samla in alla
OdysseyThemeSlowButDeadly,Långsam med dödlig
OdysseyIslandRules,Öregler
OdysseyCrew,Besättning
OdysseyCrewDetails,Besättningsinformation
OdysseyCrewDetailsSubtext,Bygg en episk besättning från apor och krafter som väljs av ödet
OdysseySeats,Säten: {0}
OdysseyMax,Max: {0}
OdysseyPowersAvailable,Krafter tillgängliga:
OdysseySpaces,Platser: {0}
OdysseySelectCrew,Välj din besättning
OdysseyTotal,Totalt: {0}
OdysseyPlay,Spela
OdysseyContinue,Fortsätt odyssé
OdysseyAddCrew,Var vänlig lägg till fler apor till din besättning för att påbörja din odyssé
LeaderboardHacker,Uppgifter saknas.
Bazaar,Bazaar
FloodedValley,Översvämmad dal
AdmiralBrickell,Amiral Brickell
AdmiralBrickell Short Description,Sjöbefäl
AdmiralBrickell Description,Led alla dina vattenbaserade apor till en avgörande seger. Kräver vatten för utplacering.
AdmiralBrickell Level 1 Description,Släpper kraftfulla sjöminor som söker upp och förstör Bloons.
AdmiralBrickell Level 2 Description,Ökad attackhastighet.
AdmiralBrickell Level 3 Description,Sjötaktik: ökar attackhastigheten betydligt för Brickell och vattenbaserade apor i närheten under en kort stund.
AdmiralBrickell Level 4 Description,Större smällkraft för sjöminor.
AdmiralBrickell Level 5 Description,Sjötaktik ökar smällkraften och tillåter påverkade apor att träffa alla Bloontyper utom Kamo.
AdmiralBrickell Level 6 Description,Ökar skadan från sjöminor och pistolattacker.
AdmiralBrickell Level 7 Description,Ökad attackräckvidden och detektering av Kamobloons.
AdmiralBrickell Level 8 Description,Sjötaktik tillåter påverkade apor att träffa Kamobloons.
AdmiralBrickell Level 9 Description,Sjöminor ger extra skada.
AdmiralBrickell Level 10 Description,Megamina: aktiverar en förödande mina i valfritt vattenområde som utlöses av MOAB:er och bedövar Bloons i närheten. Megaminan varar i 3 rundor.
AdmiralBrickell Level 11 Description,Snabbare utläggningshastighet och utläggningsfrekvens för sjöminor.
AdmiralBrickell Level 12 Description,"Pistolattacker får ökad hastighet och skada, sjöminor får ökad skada."
AdmiralBrickell Level 13 Description,Nedkylning för megamina minskas.
AdmiralBrickell Level 14 Description,Varaktigheten för sjötaktik ökar.
AdmiralBrickell Level 15 Description,"Förstärkta sjöminor har en större explosion, kan skada Svarta Bloons och avlägsna kamoflage."
AdmiralBrickell Level 16 Description,Attack och utläggningsräckvidd för sjöminor ökar något.
AdmiralBrickell Level 17 Description,Sjöminor ger mycket högre skada.
AdmiralBrickell Level 18 Description,Nedkylningen av megaminan minskas ännu mer.
AdmiralBrickell Level 19 Description,Sjötaktik påverkar alla vattenbaserade torn överallt.
AdmiralBrickell Level 20 Description,Megaminan åsamkar massivt större skada och längre bedövning.
btd6_moremoneypack,Flera pengapaket
btd6_moremoneypack Description,"Alla de rätta krafterna för att få pengar snabbt - 20 pengasläpp, 5 apbönder och 5 frodas! Endast tillgänglig under begränsad  tid!"
HeroesQuincyCyberQuincyPlacementFireworksName,Cyber-Quincys fyrverkeri Placera och uppgradera
HeroesQuincyCyberQuincyPlacementFireworksDescription,Alla vet att det vankas fyrverkerier när Quincy anländer Endast Cyber Quincy
HeroesAdoraPlacementSunbeamName,Adoras Solstråle Placera och uppgradera
HeroesAdoraPlacementSunbeamDescription,Adora förtjänar verkligen en uppstigande ankomst Endast original-Adora
HeroesChurchillPlacementTankDropName,Churchills Stridsvagnssläpp Placera och uppgradera
