//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
AdmiralBrickell Level 16 Description,攻击和水雷的部署范围大幅增加。
AdmiralBrickell Level 17 Description,水雷伤害大幅增加。手枪造成的伤害增加。
AdmiralBrickell Level 18 Description,巨型水雷的冷却时间进一步缩短。
AdmiralBrickell Level 19 Description,海军策略影响所有水面防御塔。
AdmiralBrickell Level 20 Description,巨型水雷可造成大量伤害和更长时间的眩晕。
btd6_moremoneypack,更多现金包
btd6_moremoneypack Description,帮助你更快地产生现金 – 20个现金储备，5个猴子农民和5个兴旺！限时出售，欲购从速！
HeroesQuincyCyberQuincyPlacementFireworksName,昆西烟花放置
HeroesQuincyCyberQuincyPlacementFireworksDescription,众所周知，昆西至，烟花放。仅限网络昆西
HeroesAdoraPlacementSunbeamName,阿多拉日光放置
HeroesAdoraPlacementSunbeamDescription,阿多拉理应得到星运的垂青。仅限初始阿多拉
HeroesChurchillPlacementTankDropName,丘吉尔坦克掉落放置
HeroesChurchillPlacementTankDropDescription,没什么让将65吨重的丘吉尔坦克投入战斗更棒的了。仅限初始丘吉尔
HeroesBenjamminDJSkinPlacementPartyLightsName,DJ本杰明派对灯放置
HeroesBenjamminDJSkinPlacementPartyLightsDescription,绝不要让DJ在派对灯没有全开时开动。仅限初始本杰明
HeroesStrikerJonesPlacementParadropName,先锋琼斯空投放置
HeroesStrikerJonesPlacementParadropDescription,全游戏最酷的猴子士兵跳伞而至。仅限初始先锋琼斯
HeroesQuincyPetDadOfQuincyName,昆西宠物之父
HeroesQuincyPetDadOfQuincyDescription,少了昆西之父，昆西之子无法完成。仅限初始昆西
HeroesGwendolinPetFirefoxName,格温多琳火狐宠物
HeroesGwendolinPetFirefoxDescription,这只可爱的火狐常伴格温身边。仅限初始格温多琳
BloonsMOABSkinFootballName,美式足球MOAB
BloonsMOABSkinFootballDescription,如果MOAB长得像足球的话，或许更容易被拦截
BloonsBFBSkinPizzaName,披萨BFB
BloonsBFBSkinPizzaDescription,如果是BFB可以是披萨做的话，谁需要小型飞艇公告
BloonsZOMGSkinWatermelonName,西瓜ZOMG
BloonsZOMGSkinWatermelonDescription,使你想用一记重击把它打烂
BloonsMOABSkinMaulerName,MOAB重锤
BloonsMOABSkinMaulerDescription,如果打不过它们，那就加入它们
BloonsMOABSkinPufferFishName,河豚MOAB
BloonsMOABSkinPufferFishDescription,河豚MOAB在爆炸前会不断膨胀
BloonsAllBloonsDecalGooglyEyesName,金鱼眼气球
BloonsAllBloonsDecalGooglyEyesDescription,金鱼眼注视着常规类型气球和MOAB级气球。
BloonsDDTSkinSharkName,鲨鱼DDT
BloonsDDTSkinSharkDescription,既然你知道它会来干掉你，DDT可能也会长得像它
BloonsAllBloonsPopsConfettiName,纸屑飞舞FX
BloonsAllBloonsPopsConfettiDescription,如果得到特制的纸屑飞舞和声效，猴子们会更爱它们的工作
BloonsBADSkinPinataName,彩罐BAD
BloonsBADSkinPinataDescription,伴有糖果爆破声效的巨型紫色彩罐可怕极了
CoopEmoteAnimationDiscoBallName,迪斯科球灯动画
CoopEmoteAnimationDiscoBallDescription,投下一个迪斯科球灯为组队游戏增光添彩。虽然不会对游戏本身造成影响，但这是DJ本杰明的最爱
CoopEmoteAnimationConfettiName,彩纸炮动画
CoopEmoteAnimationConfettiDescription,在组队游戏期间射出五彩纸屑。虽然不会对游戏本身造成影响，但猴子们肯定会更高兴。
CoopEmoteTextAmazingName,惊人文本表情
CoopEmoteTextAmazingDescription,告诉其他组队游戏玩家他们玩得很棒，或者你玩得很棒，从而让他们庆幸与你一起游戏
CoopEmoteTextPerfectTimingName,完美时机文本表情
CoopEmoteTextPerfectTimingDescription,为紧张表现喊出完美时机！使用时机饱含讽刺意味
CoopEmoteAnimationSirenName,警报音效
CoopEmoteAnimationSirenDescription,打开警报，提醒队友厄运将至！或者你要暂时离开
CoopEmoteAnimationLoveHeartsName,爱心动画
CoopEmoteAnimationLoveHeartsDescription,用飘动的心表达你对组队玩家的喜爱。不会对游戏本身造成影响
CoopEmoteIconNoCashDropsName,无现金储备图标表情
CoopEmoteIconNoCashDropsDescription,用来表示在游戏开始不想获得现金储备，或者表示想获得
CoopEmoteTextWhyName,为什么？文本表情
CoopEmoteTextWhyDescription,因为有时你禁不住要问
CoopEmoteSoundAirhornName,汽笛声效
CoopEmoteSoundAirhornDescription,使用虽然不是出于什么好的理由，不过会有趣…
CoopEmoteTextAllIsFineName,一切正常文本表情
CoopEmoteTextAllIsFineDescription,使用的机会和场合很多 - 你甚至不再需要恶搞图片制作工具
CoopEmoteIconStopName,停止图标表情
CoopEmoteIconStopDescription,用动画形式呈现一个红色八边形，帮助你让气球停下来，或者提供没那么酷的游戏选择
CoopEmoteIconDangerName,危险图标表情
CoopEmoteIconDangerDescription,用动画形式呈现一个危险标志，警告会发生可怕的事情，包括队友做出的不成功的选择
GameUIUpgradesDisplayNamedMonkeysName,猴子名称
GameUIUpgradesDisplayNamedMonkeysDescription,为一种猴子塔的一只猴子取名字，放置的这类防御塔的第一只猴子会显示此名字，并记录它单独的存在时间统计数据！可在游戏里的升级面板中编辑猴子名称，并通过主菜单配置文件检查统计信息。
TrophyHeader,奖杯商店
TrophyTabHeroes,英雄
TrophyTabMonkeys,猴子
TrophyTabBloons,气球
TrophyTabCoop,组队
TrophyTabGameUI,游戏和用户界面
TrophyTabFeatured,精选
TrophyTabInventory,目录
TrophyTrophiesEarned,赢得的奖杯：
Naval Tactics Ability,海军策略
Naval Tactics Ability Description,短时间内大幅加快附近水面猴子的攻击速度。
Mega Mine Ability,巨型水雷
Mega Mine Ability Description,部署一枚能够摧毁MOAB级气球，并使附近气球陷入眩晕的巨大水雷。
Confirm,确认
PlayerStatsTimesPlaced,放置次数
Trophies,奖杯
RewardsTop50,前50
OdysseyMapComplete,{0}岛完成！
OdysseyComplete,征程完成！
HeroesQuincyCyberQuincyPlacementFireworksShortName,网络烟花
HeroesAdoraPlacementSunbeamShortName,阿多拉日光
HeroesChurchillPlacementTankDropShortName,丘吉尔坦克掉落
HeroesBenjamminDJSkinPlacementPartyLightsShortName,DJ本杰明派对灯
HeroesStrikerJonesPlacementParadropShortName,先锋琼斯空投
HeroesQuincyPetDadOfQuincyShortName,昆西宠物之父
HeroesGwendolinPetFirefoxShortName,格温火狐宠物
BloonsMOABSkinFootballShortName,美式足球MOAB
BloonsBFBSkinPizzaShortName,披萨BFB
BloonsZOMGSkinWatermelonShortName,西瓜ZOMG
BloonsMOABSkinMaulerShortName,重锤MOAB
BloonsMOABSkinPufferFishShortName,河豚MOAB
BloonsAllBloonsDecalGooglyEyesShortName,金鱼眼
BloonsDDTSkinSharkShortName,鲨鱼DDT
BloonsAllBloonsPopsConfettiShortName,纸屑飞舞FX
BloonsBADSkinPinataShortName,彩罐BAD
CoopEmoteAnimationDiscoBallShortName,迪斯科球灯
CoopEmoteAnimationConfettiShortName,彩纸炮
CoopEmoteTextAmazingShortName,惊人文本
CoopEmoteTextPerfectTimingShortName,完美时机文本
CoopEmoteAnimationSirenShortName,警报
CoopEmoteAnimationLoveHeartsShortName,爱心
CoopEmoteIconNoCashDropsShortName,无现金储备
CoopEmoteTextWhyShortName,为什么？文本
CoopEmoteSoundAirhornShortName,汽笛
CoopEmoteTextAllIsFineShortName,一切正常文本
CoopEmoteIconStopShortName,停止
CoopEmoteIconDangerShortName,危险
GameUIUpgradesDisplayNamedMonkeysShortName,猴子名称
GameUIMusicTrackMusicTitleFiestaMixName,点唱机：主题 - 嘉年华混音版
GameUIMusicTrackMusicTitleFiestaMixShortName,主题 - 嘉年华
GameUIMusicTrackMusicTitleFiestaMixDescription,听着这首重新混音版的派对时间主题舞曲，翩翩起舞。\n进入主菜单设置，通过点唱机开启音乐
GameUIMusicTrackMusicSunshineGameboyMixName,点唱机：阳光小夜曲 - Gameboy混音版
GameUIMusicTrackMusicSunshineGameboyMixShortName,小夜曲 - Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,听着阳光小夜曲带来的老派重新混音，体验一段8位游戏之旅。\n进入主菜单设置，通过点唱机开启音乐
GameUIMusicTrackMusicTropicalComplextroMixName,点唱机：热带狂欢节 - Complextro混音版
GameUIMusicTrackMusicTropicalComplextroMixShortName,狂欢节 - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,猴子们喜欢听节奏感很强的Complextro风格音乐，而热带狂欢节重新混音版正是这样的音乐。\n进入主菜单设置，通过点唱机开启音乐
GameUIMusicTrackMusicTribesFunkedMixName,点唱机：部落&苦难 - 放克混音版
GameUIMusicTrackMusicTribesFunkedMixShortName,部落 - 放克
GameUIMusicTrackMusicTribesFunkedMixDescription,猴子都有了这么多，自然少不了放克音乐。穿上宽领衬衫，戴上金链子，放上这一绝妙的重新混音版曲子。\n进入主菜单设置，通过点唱机开启音乐
GameUIProfileAvatar13Name,自定义化身 - 骷髅骑手
GameUIProfileAvatar13ShortName,骷髅骑手化身 
GameUIProfileAvatar13Description,“我是猴子复仇者！”\n进入主菜单化身肖像界面，设置玩家化身
GameUIProfileAvatar14Name,自定义化身 - 变形补剂炼金术士
GameUIProfileAvatar14ShortName,变形化身
GameUIProfileAvatar14Description,最好的补剂是强效补剂。\n进入主菜单化身肖像界面，设置玩家化身
GameUIProfileAvatar15Name,自定义化身 - 森林之灵德鲁伊
GameUIProfileAvatar15ShortName,森林德鲁伊化身
GameUIProfileAvatar15Description,自然呈现德鲁伊的统一与宁静。\n进入主菜单化身肖像界面，设置玩家化身
GameUIProfileAvatar16Name,自定义化身 - 抓住他们！帕特
GameUIProfileAvatar16ShortName,帕特·法斯第化身
GameUIProfileAvatar16Description,没人这样描述巨型猴子。\n进入主菜单化身肖像界面，设置玩家化身
GameUIProfileAvatar17Name,自定义化身 - 华丽的艾泽里
GameUIProfileAvatar17ShortName,艾泽里化身
GameUIProfileAvatar17Description,艾泽里从没这样光鲜亮丽过。\n进入主菜单化身肖像界面，设置玩家化身
GameUIProfileAvatar18Name,自定义化身 - 丘吉尔在行动
GameUIProfileAvatar18ShortName,丘吉尔化身
GameUIProfileAvatar18Description,出于爱国，你可以向战火下的猴子英雄表达这份敬意。\n进入主菜单化身肖像界面，设置玩家化身
MonkeyNameHeader,编辑猴子名称
MonkeyNameInstruction,为每种猴子的第一只猴子选择一个自定义名称。为确保最佳显示效果，名称不得超过20个字符和2行。可使用空格来换行
OdysseyCompleteDescription,祝贺你，勇敢的冒险者！你完成了征程，赢得了这些奖励！
HeroBoosterDescription,要立即将英雄升至10级吗？
InappropriateNamedMonkeyName,请选择一个更合适的猴子名称
PatchNotesLink,如需了解全部更新说明，请前往：
TrophyPurchaseConfirmation,要用{1}个奖杯购买{0}吗？
TrophyPurchaseInsufficient,你的奖杯不够，无法购买此物品。通过竞速和征程模式赢得更多奖杯。
TrophyStoreBought,已购买
LotusIsland,莲花岛
OctoJonesStrikerJonesSkinName,章鱼皮肤
OctoJonesStrikerJonesSkinDescription,我就是大海的主宰！
OdysseyRestartVoyage,重新开始旅程
CoopEmoteTextAmazingWord,惊人！
CoopEmoteTextPerfectTimingWord,完美时机
CoopEmoteTextWhyWord,为什么？
CoopEmoteTextAllIsFineWord,一切正常
PlayerStatsTimesUpgraded,升级次数
PlayerStatsTimesSacrificed,献祭次数
TrophyStoreInfoHeader,奖杯商店信息
TrophyStoreInfoBody,奖杯商店中汇集了非常棒的外观升级！\n•完成征程、参加竞速并战胜Boss即可赢得奖杯\n•可在目录选项卡中启用和禁用大多数已购买的物品\n•已购买的音乐曲目会出现在点唱机中\n•已购买的化身和横幅会出现在你的主菜单配置文件中\n•可通过游戏里的升级面板编辑已命名的猴子
RestartOdysseyBody,你确定要重新开始征程吗？
OdysseyBannerRewards,赢得奖励和奖杯！
UpdateNotes,更新说明
OdysseyEventEnded,征程活动已结束！
NamedMonkeysAll,所有
NamedMonkeysTitle,命名猴子
PlayerStatsLifetimeTrophies,终身奖杯
OdysseyCompletedRewards,已完成！
OdysseyCrewReset,你确定要重置团队吗？
Etienne,艾蒂安
Etienne Short Description,无人机操作员
Etienne Description,此高科技英雄可遥控它的无人机追杀气球到天涯海角。
Etienne Level 1 Description,控制一架致命的小型无人机攻击气球。
Etienne Level 2 Description,艾蒂安的射程增加。
Etienne Level 3 Description,无人机漂浮：艾蒂安再发出4架临时无人机，对某些气球造成击破浩劫。
Etienne Level 4 Description,无人机击破力增加。
Etienne Level 5 Description,无人机攻击速度加快，有了红外相机，可攻击迷彩气球。
Etienne Level 6 Description,无人机漂浮技能的冷却时间缩短。
Etienne Level 7 Description,艾蒂安现在可同时控制2架无人机。
Etienne Level 8 Description,UAV：所有猴子获得探测迷彩气球能力。
Etienne Level 9 Description,无人机可击破额外一层气球。
Etienne Level 10 Description,UCAV：高海拔侦察无人机短时间内变成毁灭性的战斗无人机。
Etienne Level 11 Description,艾蒂安可同时控制3架无人机。
Etienne Level 12 Description,无人机升级！增强击破力，加快飞行速度。
Etienne Level 13 Description,UCAV技能冷却时间缩短。
Etienne Level 14 Description,无人机造成的伤害大幅增加。
Etienne Level 15 Description,UCAV的伤害输出和持续时间大幅增加。
Etienne Level 16 Description,艾蒂安的射程、无人机击破力得到增强，无人机漂浮冷却时间缩短。
Etienne Level 17 Description,UCAV伤害输出再次大幅增加！
Etienne Level 18 Description,无人机造成的伤害增加。
Etienne Level 19 Description,艾蒂安现在可同时控制4架无人机。
Etienne Level 20 Description,Perma UCAV：无人侦察机变成永久无人战斗机，激活后会在短时间内变得更强大，可以击破所有类型气球。
Drone Swarm Ability,无人机漂浮
Drone Swarm Ability Description,艾蒂安再发出4架临时无人机，对某些气球造成击破浩劫。
UCAV Ability,UCAV
UCAV Ability Description,高海拔侦察无人机短时间内变成毁灭性的战斗无人机。
Mesa,梅萨
DreadPirateBrickellAdmiralBrickellSkinName,恐惧海盗布里克尔皮肤
DreadPirateBrickellAdmiralBrickellSkinDescription,七海女王再次启航！
No Insta Reward,无100回合奖励
GameUIProfileAvatar19Name,自定义化身 - 沉默的阿多拉
GameUIProfileAvatar19ShortName,阿多拉化身
GameUIProfileAvatar19Description,阿多拉意味着严肃之事，该化身亦如此
GameUIProfileAvatar20Name,自定义化身 - 是的，我们可以工程师
GameUIProfileAvatar20ShortName,工程师化身
GameUIProfileAvatar20Description,热爱你的工作是战斗的一半，这个工程师乐于按住更多气球
GameUIProfileAvatar21Name,自定义化身 - B&W布里克尔
GameUIProfileAvatar21ShortName,布里克尔化身
GameUIProfileAvatar21Description,黑白影像记录海军上将布里克尔指挥她的舰队获胜
GameUIProfileAvatar22Name,自定义化身 - 标志性DJ本杰明
GameUIProfileAvatar22ShortName,DJ本杰明化身
GameUIProfileAvatar22Description,DJ本杰明呈现他标志性的风格
HeroesObynPetWolfName,奥本幽魂狼宠物
HeroesObynPetWolfShortName,奥本幽魂狼
HeroesObynPetWolfDescription,每当奥本讨人喜欢的幽魂狼幼崽出现在附近，这些森林精灵就会醒来。仅限初始奥本
HeroesEziliPetFrogName,艾泽里青蛙宠物
HeroesEziliPetFrogShortName,艾泽里青蛙宠物
HeroesEziliPetFrogDescription,艾泽里发誓它不是老套的巫毒款 - 她只是碰巧觉得这只青蛙非常酷。仅限初始艾泽里
BloonsAllBloonsPopsBarrelOfMonkeysName,莫的猴子击破特效
BloonsAllBloonsPopsBarrelOfMonkeysShortName,莫的猴子击破
BloonsAllBloonsPopsBarrelOfMonkeysDescription,你无法拥有太多猴子！现在使每次击破气球都会出现多彩的猴子效果
BloonsAllBloonsTopHatsName,大礼帽气球
BloonsAllBloonsTopHatsShortName,大礼帽
BloonsAllBloonsTopHatsDescription,用自信且永不过时的高档货为那些气球增添一丝典雅。
CoopEmoteSoundCricketsName,蟋蟀音效
CoopEmoteSoundCricketsShortName,蟋蟀
CoopEmoteSoundCricketsDescription,当第14次现金申请被忽视时，播放此音效
CoopEmoteAnimationSparklingHeartsName,闪烁红心表情
CoopEmoteAnimationSparklingHeartsShortName,闪烁红心
CoopEmoteAnimationSparklingHeartsDescription,有红心。而且有闪烁的红心。有人一定知道区别
CoopEmoteTextLetsGoName,出发吧文本表情
CoopEmoteTextLetsGoShortName,出发吧
CoopEmoteTextLetsGoDescription,你是否满怀热情？准备不停地击破、击破，击破气球吗？！那就出发吧！
CoopEmoteTextOKName,OK文本表情
CoopEmoteTextOKShortName,OK
CoopEmoteTextOKDescription,完美地适合各种情况。用尽可能少的文字来交流！
OdysseyExtremeModeConfirmCrew,你选择不满最大人数的团队来参加此极限征程。你确定吗？
OdysseyAllHeroesText,所有英雄
OdysseyAllTowersText,所有猴子塔
OdysseyAllPowersText,所有力量
CoopEmoteTextOKWord,OK
CoopEmoteTextLetsGoWord,出发吧
OdysseyExtremeModeTitle,极限模式！
OdysseyExtremeModeDescription,在极限模式中，你的猴子团队可牺牲\n每座猴子塔一旦完成放置，就会被消耗，无法再次使用
OdysseyCrewRemaining,剩余队员：
SaveVersionConflict,存档版本冲突
SaveVersionConflictDescription,你在一个版本新于你正在玩的版本的游戏中有一个存档。\n请更新当前游戏的版本，所有进度都会丢失。
OdysseyStatsLivesRemaining,剩余生命
OdysseyStatsTimeTaken,实际用时
OdysseyStatsTotalMonkeysPlaced,放置猴子塔总计
OdysseyStatsTotalPowersUsed,使用力量总计
BloonsZOMGSkinSteampunkName,蒸汽朋克ZOMG
BloonsZOMGSkinSteampunkShortName,蒸汽朋克ZOMG
BloonsZOMGSkinSteampunkDescription,旋转你的蒸汽引擎，擦亮你的单片眼镜，准备开始冒险！
BloonsBFBSkinSciFiName,科幻BFB
BloonsBFBSkinSciFiShortName,科幻BFB
BloonsBFBSkinSciFiDescription,红色警报！该BFB拥有可使游戏结束的相位炮！
TT_DivideAndConquer,分而治之
TT_ZoneDefense,区域防御
GameUIMusicTrackMusicSunsetSilentNightMixName,点唱机：日落桑巴 - 静寂的夜混音版
GameUIMusicTrackMusicSunsetSilentNightMixShortName,日落 - 静寂的夜
GameUIMusicTrackMusicSunsetSilentNightMixDescription,急冻凝冰路径可降低亮度 - 非常适合深夜或清晨游戏
ShowLocalNetworkGames,显示本地网络中的游戏
OdysseyReplayOdyssey,重玩征程
OdysseyWarnNoTowers,警报！你没有可在{0}上使用的猴子。你确定要继续吗？
CoopLobbyNotAvailable,大厅不可用
NotAvailable,不可用
Achievement 93 Name,冒险家
Achievement 93 Description,完成一个征程
Achievement 94 Name,经验丰富的冒险家
Achievement 94 Description,完成一个困难征程
Achievement 95 Name,千方百计
Achievement 95 Description,在所有3种难度下完成一个征程
Achievement 96 Name,猴子的12任务
Achievement 96 Description,完成12个不同的征程
Achievement 97 Name,猴（奥）德赛崛起
Achievement 97 Description,完成50个征程
Achievement 98 Name,猴（奥）德赛万古长存
Achievement 98 Description,完成100个征程
Achievement 99 Name,全速前进！
Achievement 99 Description,1小时内完成1个征程
Achievement 100 Name,珠光宝气
Achievement 100 Description,购买一个奖杯商店物品
Achievement 101 Name,无英雄，没问题
Achievement 101 Description,不使用英雄完成一个征程
Heroes Available:,可用英雄：
Encrypted,已加密
TT_Locked,已锁定
TT_Normal,正常
JukeboxLoopTrack,环形轨道
TrophyStoreLimitedTime,限时出售
TowerProjectileBombshooterPumpkinName,炸弹射手南瓜炸弹
TowerProjectileBombshooterPumpkinShortName,南瓜炸弹
TowerProjectileBombshooterPumpkinDescription,忘掉怎么打烂南瓜吧，炸弹射手现在可以发射南瓜炸弹了。这是限时出售的道具哦！
TowerPetSupermonkeyBatName,超猴侠蝙蝠宠物
TowerPetSupermonkeyBatShortName,超猴侠蝙蝠
TowerPetSupermonkeyBatDescription,可怕的可爱还是可爱的可怕？超猴侠不应该没有宠物蝙蝠。
BloonsBADSkinBonesName,骨骼BAD
BloonsBADSkinBonesShortName,骨骼BAD
BloonsBADSkinBonesDescription,惊叹的望着阴森的骨骼BAD。或者跟您的朋友说这是一种新的MOAB
BloonsAllBloonsDecalAxeName,短柄斧气球
BloonsAllBloonsDecalAxeShortName,短柄斧气球
BloonsAllBloonsDecalAxeDescription,经典的万圣节服装，现在已经添加到气球造型中！这是限时出售的道具哦！
CoopEmoteSoundScreamName,尖叫音效
CoopEmoteSoundScreamShortName,尖叫
CoopEmoteSoundScreamDescription,不信任的尖叫、带着笑声的尖叫，或者因为3号玩家没有共享收入而尖叫！感受恐惧吧！
CoopEmoteTextRound100Name,第100回合文本表情
CoopEmoteTextRound100ShortName,第100回合
CoopEmoteTextRound100Description,让大家都知道您的目标是第100回合，打败BAD，得到insta！
GameUIPowerSkinSuperVampireStormName,自定义力量 - 超级吸血鬼风暴
GameUIPowerSkinSuperVampireStormShortName,超级吸血鬼风暴
GameUIPowerSkinSuperVampireStormDescription,清除吸血鬼风格的气球，替换为大群的蝙蝠
GameUIProfileAvatar23Name,自定义皮肤 - 光明艾蒂安
GameUIProfileAvatar23ShortName,艾蒂安皮肤
GameUIProfileAvatar23Description,顶级皮肤，艾蒂安已做好准备，可以听从召唤随时起飞！
GameUIProfileAvatar24Name,自定义皮肤 - 迫击炮QA
GameUIProfileAvatar24ShortName,迫击炮皮肤
GameUIProfileAvatar24Description,重炮质量保证，怎么能与猴子无关呢！
GameUIProfileAvatar25Name,自定义皮肤 - 科学怪人猴子
GameUIProfileAvatar25ShortName,科学怪人猴子皮肤
GameUIProfileAvatar25Description,科学怪人猴子的口头禅是：“气-----------------------球”。这是限时出售的道具哦！
GameUIProfileAvatar26Name,自定义皮肤 - 狼猴
GameUIProfileAvatar26ShortName,狼猴皮肤
GameUIProfileAvatar26Description,众多皮肤中最酷的一款，狼猴就是这条街最新潮的仔。这是限时出售的道具哦！
GameOverScreen,游戏结束
TowerProjectileBananaFarmCandyCornName,香蕉农场玉米糖
TowerProjectileBananaFarmCandyCornShortName,农场玉米糖
TowerProjectileBananaFarmCandyCornDescription,香蕉总是香甜无比，但是玉米糖能为游戏添加更多乐趣。这是限时出售的道具哦！
GameUIPowerSkinHalloweenFarmerName,自定义力量 - 沉默的农夫
GameUIPowerSkinHalloweenFarmerShortName,沉默的农夫
GameUIPowerSkinHalloweenFarmerDescription,沉默的农夫登场，农场作物的末日到了。这是限时出售的道具哦！
GameUIPowerSkinCoffinDropName,自定义力量- 棺材掉落
GameUIPowerSkinCoffinDropShortName,棺材掉落
GameUIPowerSkinCoffinDropDescription,蝙蝠提供全部现金完全不是问题，它们是如此的先进。这是限时出售的道具哦！
GameUIMusicTrackMusicFiestaSynthwaveMixName,点唱机：弗拉门戈嘉年华 - 合成波混音
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,弗拉门戈 - 合成波
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,为您最爱的弗拉门戈音轨添加上世纪80年代的味道。和爆炸头最配！
TowerProjectileMonkeyAceBonesName,皇家飞行员骨飞
TowerProjectileMonkeyAceBonesShortName,皇家飞行员骨飞
TowerProjectileMonkeyAceBonesDescription,全体皇家飞行员从空中发射密集的骨镖。这是限时出售的道具哦！
TowerPetMonkeySubRubberDuckName,猴子潜艇橡胶小黄鸭宠物
TowerPetMonkeySubRubberDuckShortName,潜艇小黄鸭宠物
TowerPetMonkeySubRubberDuckDescription,小黄鸭嘎嘎叫，是潜艇上的宠物！全体潜艇猴子人手一个小黄鸭。嘎！
PlayerStatsNecroBloons,死灵气球复活
Achievement 102 Name,壮硕猴子
Achievement 102 Description,就喜欢它们的高大壮硕
Achievement 103 Name,誓言破坏者
Achievement 103 Description,"通过死灵法师复活250,000个气球与你方对抗"
HiddenAchievementQuestionMarkString,???
Achievement 104 Name,生死边缘
Achievement 104 Description,在只剩1条命的条件下在CHIMPS/不可击破模式的游戏中获胜
Achievement 105 Name,恐怖星期五
Achievement 105 Description,使用100次炼金术士的变身药水技能
PlayerStatsTransformingTonics,已使用变身药水次数
Achievement 106 Name,猴子粉丝俱乐部
Achievement 106 Description,创建或登录您的Ninja Kiwi账户，在云端保存您的进度
Total Transformation Ability,变身总次数
Jungles Bounty Ability,丛林赏金
Spirit of the Forest Ability,森林精灵
Ultraboost Ability,超级强化
Dark Knight Ability,黑暗漂移
Dark Champion Ability,黑暗漂移
Door Gunner Ability,炮手
SearchText,搜索……
DartlingGunnerLockedIn,锁定！
TowerEffectAllMonkeysPlacementUpgradesGhostsName,鬼魂放置和升级特效
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,鬼魂升级特效
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,通过这个全新的鬼魂特效为放置和升级的每一个猴子塔添加超自然的气息
BloonsAllBloonsPopsBonesName,骨头爆炸特效
BloonsAllBloonsPopsBonesShortName,骨头爆炸特效
BloonsAllBloonsPopsBonesDescription,气球里有骨头吗？气球原子论者想要一探究竟！这是限时出售的道具哦！
OdysseyThemeBloonRush,气球冲击
OdysseyThemeSpecificBloonRush,{0}气球冲击
OdysseyThemeMegaBloon,超级{0}
OdysseyThemeRoundMashUp,混搭回合
OdysseyThemeRoundMixUp,混合回合
OdysseyThemeEntryMixUp,入门级混合
OdysseyStars,星星
DisableNudgeMode,禁用微调模式
More Pops To Open,击破更多气球以开启!
Most Pops Tip,在中级模式、困难模式和自由模式游戏中击破最多气球！
btd6_churchillbundle,英雄捆绑包
btd6_churchillbundle Description,英雄\n•英雄皮肤\n•放置动画\n•化身
btd6_ezilibundle,英雄捆绑包
btd6_ezilibundle Description,英雄\n•英雄皮肤\n•英雄宠物\n•化身
btd6_benjaminbundle,英雄捆绑包
btd6_benjaminbundle Description,•英雄\n•英雄皮肤\n•放置动画\n•化身
btd6_patfustybundle,英雄捆绑包
btd6_patfustybundle Description,•英雄\n•英雄皮肤\n•英雄宠物\n•化身
Red,红
Blue,蓝
Green,绿
Yellow,黄
Pink,粉
Purple,紫
Lead,铅
Black,黑
White,白
Zebra,斑马
Rainbow,彩虹
Ceramic,陶瓷
MOAB,MOAB
BFB,BFB
ZOMG,ZOMG
DDT,DDT
BAD,BAD
Insta Monkey Collection,Insta 猴收集
Most Experienced Monkey,经验最丰富的猴子
Most Experienced Monkey Xp,经验最丰富的猴子的经验值
Collection Chests Opened,收集箱打开
btd6_moremoneypack_sale,更多现金包出售！
btd6_moremoneypack_sale Description,帮助您更快地产生现金 – 20个现金储备，5个猴子农民和5个兴旺！限时特卖，欲购从速！
EditorRegrowSpeed,重生率
HeroBundle,英雄捆绑包
GetItAllNow,立即购买！
PlacementAnimation,放置动画
XFactor,X因子
Skates,溜冰鞋
DartlingGunner Short Description,军猴
btd6_starterheroskinbundle Description,•2个昆西皮肤\n\n•2个Gwen皮肤\n\n•2个击碎皮肤\n\n•2个Obyn皮肤
btd6_starterheroskinbundle,巨大捆绑包
ObynMountainGuardianSkinName,守山者皮肤
ObynMountainGuardianSkinDescription,山神苏醒了。
HeroesPatPetPenguinName,暴风雪人企鹅宠物
HeroesPatPetPenguinShortName,雪人企鹅宠物
HeroesPatPetPenguinDescription,企鹅是雪人最好的朋友！不过，这个家伙似乎在谋划什么... 仅限暴风雪人。这是限时出售的道具哦！
HeroesAdmiralBrickellPetParrotName,布里克尔鹦鹉宠物
HeroesAdmiralBrickellPetParrotShortName,布里克尔鹦鹉
HeroesAdmiralBrickellPetParrotDescription,格瓦克！气球啊，气球啊！仅限可怕海盗布里克尔
TowerPetMonkeyVillageElfName,猴村小精灵宠物
TowerPetMonkeyVillageElfShortName,乡村精灵
TowerPetMonkeyVillageElfDescription,这就像架子上的小精灵，只是头发更茂密，并多了一条尾巴。它们也喜欢在村里留下“礼物”。这是限时出售的道具哦！
TowerEffectAllMonkeysPlacementUpgradesPresentsName,礼物放置和升级效果
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,礼物升级效果
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,当每次升级都有礼物随送时，您每一天都是圣诞节！这是限时出售的道具哦！
