//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
ft_upgradesremindertitle,Rüste deine Affen auf!
ft_upgradesreminderdescription,"Du hast permanent Affen-Upgrades freigeschaltet, musst sie aber immer noch auf jeden Affen im Spiel anwenden. Tippe auf einen Affen, um Upgrades anzuwenden."
,
// Every Time Triggers,
et_clickstitle,C.H.I.M.P.S.
et_clicksdescription,"Der wahre Test für einen BTD-Meister. Kein Fortfahren und keine Verluste von Herzen, Einkommen, Affenwissen, Kräften oder beim Verkauf."
et_deflationtitle,Luftablassen
et_deflationdescription,"Starte auf Runde {0} mit {1} Geld, ohne jedoch mehr verdienen zu können."
et_apopalypsetitle,Aplatz-\nolypse
et_apopalypsedescription,"Immer stärkere Bloon-Wellen und keine Pausen am Ende einer jeden Runde. Wie weit wirst du es schaffen?\nHinweis: Gespeicherte Spiele starten, sobald du ""Spielen"" wählst."
et_freeplaytitle,Freies Spiel!
et_freeplaydescription,"Dies ist der Freispiel-Modus und die Regeln haben sich geändert! Bloons werden stärker und schneller, je weiter du kommst. Spiele weiter so lange du kannst!"
et_impoppabletitle,Unplatzbar
et_impoppabledescription,Unplatzbar stellt deine Fähigkeiten beim Platzenlassen von Bloons maximal auf die Probe. Einige Regeln für das freie Spiel und die Schwierigkeit werden erst bei späteren Runden angewendet. Viel Glück!
et_halfcashtitle,Halbes Geld
et_halfcashdescription,"Geld am Anfang, am Ende der Runde und alles generierte Einkommen halbiert. WARNUNG: Auch Geldabwurf und Weiter nur halbes Geld!"
,
DailyChallengeLocked,Gesperrt: Du musst mindestens einen Turm freigeschaltet haben.
,
// IAP Promo Strings - not in-game,
Pile of Monkey Money IAP Promo,3.500 AG im Angebot!
Vault of Monkey Money IAP Promo,16.000 AG im Angebot!
Tier 3 Insta-Towers Pack,Jetzt 10 Affen auf Stufe 3 im Angebot!
,
Continue Round,Runde {0}
Continue Saved Game?,Mit gespeichertem Spiel weiterspielen?
Overwrite save heading,Gespeichertes Spiel überschreiben?
Overwrite save details,Ein neues Spiel wird dein vorhandenes gespeichertes Spiel überschreiben. Möchtest du wirklich fortfahren?
Time remaining,Übrige Zeit: {0}
Daily challenge completed,Tägliche Herausforderung abgeschlossen. Nächste Herausforderung wird in {0} freigeschaltet
Try me in the Next Game!,Probiere mich im nächsten Spiel aus!
GooglePlay login failed,Konnte sich bei Google Play nicht anmelden. Prüfe bitte deine Internetverbindung und Anmeldedaten.
Knowledge unlock tip,Ab Stufe 30 verdienst du Affenwissenspunkte
Daily challenges unlock at,Tägliche Herausforderungen und Events sind ab Stufe {0} freigeschaltet
,
,
FriendLiNKLoginRequiredBody,"Konto erforderlich, um die Punkte deiner Freunde zu sehen."
FriendLiNKLoginRequiredTitle,Anmelden?
FriendLiNKLoginFailed,Konnte sich bei Facebook nicht anmelden. Prüfe bitte deine Internetverbindung und Anmeldedaten.
Do It,Los
Restart?,Neu starten?
Continue Details,Versuche diese Runde noch einmal mit aufgefüllten Leben und Geld.
Restart Details,Möchtest du wirklich das Spiel verlassen und neu starten?
Insta-Monkey!,Insta-Affe
Power!,Kraft
Optimizing,Wird optimiert …
Task Load Asset Bundles,Neuer Inhalt wird heruntergeladen
Task Load global scene,Affen werden trainiert …
Task Get server time,Macht eine Pause …
Task Set up rendering,Bloons werden aufgeblasen …
Task Set up cameras,Bananen werden gesammelt …
Task Load game model,Pfeile werden vorbereitet …
Task Bake meshes,Pflegt den Garten ….
Task Download sku settings,Der Affensonnengott wird losgelassen …
Task Load fonts,Weckt den Sonnengott …
Task Localise,Ruft Helden herbei …
Loading Step,Schritt {0} von {1} ...
Task failed,fehlgeschlagen
downloading,wird heruntergeladen
Waiting for internet connection,wartet auf Internetverbindung
parsing,wird entziffert
Back up Successful!,Erfolg!
Backing Up Data,Daten werden gesichert …
Failed to Backup,Fehlgeschlagen
Quit Game,Spiel verlassen?
Quit Question,Willst du das Spiel wirklich verlassen?
Quit Cancel,Abbrechen
Quit Confirmed,Verlassen
IAP Failed PurchasingUnavailableAndroid,"Melde dich mit deinem Google-Konto, um einen Kauf zu tätigen"
Gift received,Geschenk erhalten
Unlocked,Freigeschaltet
Upgrade info,Upgrade-Info
Tap and hold,"Upgrade-Symbol gedrückt halten, um mher Infos zu erhalten!"
iveplayedbefore,Ich habe schonmal gespielt
notnow,Nicht jetzt
Knowledge Unlock,Jetzt Wissen freischalten
New Version,Neue Version
Update now,"Die Affen brauchen tolle neue Inhalte und einige Verbesserungen. Lade jetzt das Update herunter! Sollte kein Update verfügbar sein, findest du Hilfe unter https://ninja.kiwi/btd6_update"
Update soon,Es gibt ein neues Update. Hol es dir jetzt!
keep playing,Weiterspielen
playing on another device,Mit einem anderen Gerät angemeldet
Applies To This Monkey Only,Trifft nur auf diesen Affen zu.
Applies For This Game Only,Trifft nur auf dieses Spiel zu.
All Knowledge On,Affenwissen aktivieren
All Knowledge Off,Affenwissen aktivieren
Bonus Rewards,Bonusbelohnungen:
FBFriends,Freunde
NewLabel,Neu
RateGameTitle,Bewerte uns jetzt!
RateGameBody,Macht dir das Spiel Spaß? Nimm dir bitte einen Moment Zeit und bewerte uns!
UpdatePanelClose,Schließen
UpdatePanelUpdate,Aktualisieren
Advanced Daily Challenge,Top-Herausforderung
Max,Max
Bloon Health Increased,Keramik-Gesundheit erhöht
Bloon Health Decreased,Keramik-Gesundheit gesenkt
Bloon Speed Increased,Bloon-Geschwindigkeit erhöht
Bloon Speed Decreased,Bloon-Geschwindigkeit gesenkt
Monkey Knowledge Disabled,Affenwissen deaktiviert
No Lives Lost,Keine Leben verloren
ContinuePrevious,Vorheriges Spiel weiterspielen
Monkeys Excluded,Affen ausgeschlossen
Build Map Object,Erstelle für ${0}
Hero Audio Toggle,Helden-Audio
RequiresBananaFarm,Erfordert Bananenfarm
Respec All Monkey Knowledge Button,Setzt alles Affenwissen zurück
Respec Monkey Knowledge Confirm Title,Affenwissen zurücksetzen?
Respec Monkey Knowledge Confirm Body,"Setzt alles Affenwissen zurück, damit du alle Punkte neu vergeben kannst. Affengeld, das du zum Freischalten eines bestimmten Wissens investiert hast, bleibt darin enthalten."
Respec Button,Zurücksetzen
Insta Monkeys UI Visibility,Insta-Affen
CoopQuickMatch,Schnelles Spiel
CoopCreateMatch,Spiel erstellen
CoopJoinMatch,Spiel beitreten
CoopTwoPlayer,2 Spieler
CoopThreePlayer,3 Spieler
CoopFourPlayer,4 Spieler
CoopTitle,Koop
CoopLookingForMatch,Suche nach Spiel …
CoopEnterMatchCode,Code eingeben:
CoopPlayers,Spieler:
CoopTrackType,Karten-Schwierigkeit:
CoopTrackDifficulty,Spiel-Schwierigkeit:
CoopSettings,Einstellungen:
CoopCopyCode,Code kopieren
CoopPrivate,Privat
CoopPublic,Öffentlich
Mode,Spielmodus
Ready,Bereit!
CoopCalloutTowersPositive,Meisterbauer
CoopCalloutTowersNegative,Weniger ist mehr
CoopCalloutPopsPositive,Platzmeister
CoopCalloutPopsNegative,Platz-Pazifist
CoopCalloutMOABsPositive,Boss-Skillz
CoopCalloutMOABsNegative,Welche MOABs?
CoopCalloutEcoPositive,Affenfinanzier
CoopCalloutEcoNegative,Keine Bananen für dich
CoopCalloutAbilitiesPositive,Aktivator
CoopCalloutPowersPositive,Aufgerüstet
CoopCalloutInstasPositive,Sofortgewinn
CoopMonkeyStar,Affenstar
CoopStatsTowers,Türme platziert
CoopStatsPops,Bloons platzen lassen
CoopStatsEco,Geld generiert
CoopStatsMOABs,MOABs platzen lassen
CoopStatsAbilities,Fähigkeiten verwendet
CoopStatsPowers,Kräfte verwendet
CoopStatsInstas,Instas verwendet
TechBot,Tech-Bot
EnergisingTotem,Energie speisender Totem
TechBot Description,"Der Tech-Bot kann für dich Fähigkeiten aktivieren, sobald diese für die optimale Effizienz bereit sind."
EnergisingTotem Description,Geben wir Energie! Dieses Totem erhöhte die Angriffsgeschwindigkeit aller Affen in Reichweite um 25 %. Hält 5 Runden lang und kann wieder aufgeladen werden.
Recharge,Wieder aufladen
InvalidCode,Gib bitte einen gültigen Code ein
SearchingForPlayer,Suche Spieler ...
WaitingForPlayer,Warte auf Spieler ...
Request,Anfrage $
CyberQuincySkinDescription,"Als Quincy von einem verachtenswerten DDT verletzt wurde, befürchteten viele das Schlimmste. Aber Dr. Affe wusste, dass sie die Technologie hatten, um ihn wieder zusammenzusetzen. Er ist Quincy, entstanden aus Quincy."
CyberQuincySkinName,Cyber Quincy-Skin
CashRequested,${0} hat Geld angefordert
CashReceived,${0} hat dir ${1} Geld geschickt
CountDownTimer,Spiel beginnt in …
Achievement 51 Name,Ko-operation
Achievement 51 Description,Spiele 1 Karte im Koop-Modus durch
Achievement 52 Name,Viermal so viel Spaß
Achievement 52 Description,Spiele 1 Karte im 4-Spieler-Koop-Modus durch
Achievement 53 Name,Dreifache Bedrohung
Achievement 53 Description,Spiele 1 Karte im 3-Spieler-Koop-Modus durch
Achievement 54 Name,Mitarbeiter!
Achievement 54 Description,Habe 4 Helden gleichzeitig auf dem Bildschirm
Achievement 55 Name,Etwas für ganz Harte ...
Achievement 55 Description,Gewinne 10 Spiele im Co-Op-Modus im Schwierigkeitsgrad Schwer
Achievement 56 Name,Wohltäter!
Achievement 56 Description,Spende 10.000 Geld im Koop-Modus
Achievement 57 Name,Großzügiger Wohltäter
Achievement 57 Description,Spende 50.000 Geld im Koop-Modus
Achievement 58 Name,Affenmäzen
Achievement 58 Description,Spende 100.000 Geld im Koop-Modus
Achievement 59 Name,Affenfreund
Achievement 59 Description,Spende 1.000.000 Geld im Koop-Modus
Achievement 60 Name,Kräfteteilung
Achievement 60 Description,Setze 10 Kräfte im Koop-Modus ein
Achievement 61 Name,Überwältigende Kraft!
Achievement 61 Description,Setze 100 Kräfte im Koop-Modus ein
Achievement 62 Name,Insta-Verteidigung
Achievement 62 Description,Setze 5 Insta-Affen im Koop-Modus ein
Achievement 63 Name,Koop-Platzer
Achievement 63 Description,Lass 10.000.000 Bloons im Koop-Modus platzen
StaggeredMortarShot,Gestaffelt
TT_TargetSelectedPoint,Ziel einstellen
MortarMessage,[I] um Ziel einzustellen
RaceEvent,Renn-Event
TopBadgeRewards,Spitzenauszeichnungsbelohnungen
RaceButton,Rennen!
RaceRewards,Rennbelohnungen
Leaderboard,Bestenliste
RaceEventTrigger,"Der Timer startet, sobald du auf Spielen drückst. Schicke die nächsten Runden früh los, um deine Zeiten zu verbessern. Sei aber vorsichtig! Rennspiele werden nicht gespeichert, also solltest du nicht mitten im Spiel abbrechen. Der Spieler mit der Bestzeit gewinnt auf der allgemeinen Bestenliste – viel Glück!"
ScientistGwendolinSkinName,Wissenschaftlerin Gwendolin Haut
ScientistGwendolinSkinDescription,"Wenn meine Berechnungen stimmen, werden wir den Geruch von verbranntem Gummi in der Nase haben, wenn dieses Baby 1121 Grad Celsius erreicht!"
RaceAgain,Wieder zum Rennen antreten
RaceVictoryText,"Großartiges Finish! Versuche jetzt, die Bestzeit zu schlagen und auf der Bestenliste emporzusteigen!"
RaceNewBestTime,Neue Bestzeit
RaceLeaderboard,Renn-Bestenlisten
RaceCurrentRewards,Aktuelle Belohnungen:
RaceRewardsButton,Belohnungen
Click & Drop,Klicken & ablegen
Screen Size,Bildschirmgröße
Fullscreen,Vollbild
Moab Health Increased,MOAB-Gesundheit erhöht
Moab Health Decreased,MOAB-Gesundheit reduziert
Selling Disabled,Verkauf deaktiviert
Powers Disabled,Kräfte deaktiviert
No Continues,Kein Fortfahren
Switching Resolution Body,"Wenn du die Auflösung änderst, musst du das Spiel neu starten."
Switching Resolution Title,Auflösung ändern
RaceEventBanner,Das Renn-Event läuft!
RaceEventBannerRewards,Hol dir Auszeichnungen und Trophäen!
RacePreviousBestTime,Bestzeit:
RaceAgainQuestion,Wieder zum Rennen antreten?
RaceAgainDescription,Nimm am Rennen teil und verbessere deine Zeit!
TrophiesEarned,Erhaltene Trophäen:
FreeEntryIn,Kostenlose Teilnahme in:
RaceSubmissionFail,Rennergebnisse können nicht eingesendet werden.
LeaderboardRank,Rang
LeaderboardPlayerName,Spielername
LeaderboardBadges,Auszeichnungen
LeaderboardBestTime,Bestzeit
RaceEventEndsIn,Event endet in:
LoadingPlayer,Spieler wird geladen
Rank1st,1
Rank2nd,2
Rank3rd,3
RewardsTopPercent,Spitze {0} %
RaceEventEnded,Das Renn-Event ist zu Ende!
RaceFinishedPlaceAndTime,Du hast {0} mit der Bestzeit {1} abgeschlossen.
Heartstopper Ability,Herzstopper
Sacrificial Totem Ability,Opfertotem
MOAB Hex Ability,MOAB-Zauber
RaceClock,Rennuhr
LoginRequiredTitle,Anmeldung erforderlich
LoginRequiredBody,"Du musst angemeldet sein, um diese Funktion nutzen zu können"
EventRewardsTitle,Event-Belohnungen
TT_FollowMouse,Maus folgen
SteamLoadingMessage,Assets werden entpackt
SentaiCaptainChurchillSkinName,Sentai Churchill Skin
SentaiCaptainChurchillSkinDescription,Möge dich die Macht der mit super-mega-turbo Lichtgeschwindigkeit fliegenden galaktischen Laserbomben beschützen!
KartsNDarts,Karts&Pfeile
Upgrade Path 1,Upgrade-Zweig 1
Upgrade Path 2,Upgrade-Zweig 2
Upgrade Path 3,Upgrade-Zweig 3
ChangeTargeting,Zielen ändern
ReverseChangeTargeting,Zielen ändern umkehren
PauseDeselect,Pause/Abwählen
PlayFastForward,Spielen/Schnellvorlauf
SendNextRound,Nächste Runde schicken (Rennen)
Activated Ability 1,Aktivierte Fähigkeit 1
Activated Ability 2,Aktivierte Fähigkeit 2
Activated Ability 3,Aktivierte Fähigkeit 3
Activated Ability 4,Aktivierte Fähigkeit 4
Activated Ability 5,Aktivierte Fähigkeit 5
Activated Ability 6,Aktivierte Fähigkeit 6
Activated Ability 7,Aktivierte Fähigkeit 7
Activated Ability 8,Aktivierte Fähigkeit 8
Activated Ability 9,Aktivierte Fähigkeit 9
Activated Ability 10,Aktivierte Fähigkeit 10
Activated Ability 11,Aktivierte Fähigkeit 11
Activated Ability 12,Aktivierte Fähigkeit 12
SendRedBloon,Roten Bloon schicken
SendBlueBloon,Blauen Bloon schicken
SendGreenBloon,Grünen Bloon schicken
SendYellowBloon,Gelben Bloon schicken
SendPinkBloon,Rosafarbenen Bloon schicken
SendBlackBloon,Schwarzen Bloon schicken
SendPurpleBloon,Lilafarbenen Bloon schicken
SendWhiteBloon,Weißen Bloon schicken
SendLeadBloon,Blei-Bloon schicken
SendZebraBloon,Zebra-Bloon schicken
SendRainbowBloon,Regenbogen-Bloon schicken
SendCeramicBloon,Kreamik-Bloon schicken
SendTestBloon,Test-Bloon schicken
SendMoabBloon,MOAB-Bloon schicken
SendBfbBloon,BFB-Bloon schicken
SendZomgBloon,ZOMG-Bloon schicken
SendDdtBloon,DDT-Bloon schicken
SendBadBloon,BAD-Bloon schicken
RestoreDefaults,Standard wiederherstellen
SaveHotkeyChanges,Hotkey-Änderungen speichern?
Hotkeys,Hotkeys
Monkeys,Affen
Gameplay,Spielablauf
Revert,Umkehren
Save,Speichern
HotkeyModeDescription,Hotkeys können nur im Klicken-und-Ablegen-Modus verwendet werden
DemoSplashText,"Diese Version von Bloons TD 6 wurde speziell für Vorführzwecke erschaffen.
"
EditorClearSaveProgressWarning,Deine Herausforderung hat den Spielablauf ändernde Modifikationen – dadurch wird deine aktuelle Fortschrittsspeicherung im Spiel gelöscht.
EditorInfiniteMaxTowers,Unbegrenzt
EditorDefaultValue,Standard
EditorLoadingChallenge,Lädt …
EditorGeneratingCode,Generiere …
EditorEnterCode,Code eingeben
EditorShareError,Beim Teilen dieser Herausforderung ist ein Problem aufgetreten
EditorSubmitError,Beim Einreichen dieser Herausforderung ist ein Problem aufgetreten
EditorLoadError,Beim Laden dieser Herausforderung ist ein Problem aufgetreten
EditorLevelLockMsg,Der Herausforderungseditor wird freigeschaltet ab Level {0}
EditorCreateChallenge,Herausforderung erstellen
EditorPlayChallenge,Herausforderung spielen
EditorEditChallenge,Herausforderung bearbeiten
EditorShare,Teilen
EditorShareChallenge,Herausforderung teilen:
EditorSubmit,Einreichen
EditorChallengeCode,Herausforderungscode:
EditorEnterChallengeCode,Herausforderungscode eingeben:
EditorSubmissionForm,Einreichungsformular
EditorSubmissionDescription,"Reiche deine Herausforderung bei Ninja Kiwi ein. Sie wird geprüft, ob sie in der Zukunft als Tages- oder Fortgeschrittene-Herausforderung verfügbar ist."
EditorFridayStinger,Freitagsspitze
EditorRemainAnonymous,Anonym bleiben
EditorChallengeEditor,Herausforderungseditor
EditorUndo,Rückgängig machen
EditorReset,Zurücksetzen
EditorRandom,Zufällig
EditorDifficulty,Schwierigkeit:
EditorGameMode,Spielmodus:
EditorStartingCash,Startgeld:
EditorStartingLives,Startleben:
EditorMaxLives,Max. Leben:
EditorStartRound,Startrunde:
EditorEndRound,Endrunde:
EditorMonkeysExcluded,Ausgeschlossene Affen
EditorMonkeysIncluded,Eingeschlossene Affen
EditorMaxMonkeys,Max. Affen:
EditorAdd,Hinzufügen
EditorBloonSpeed,Bloon-Geschwindigkeit
EditorMoabSpeed,MOAB-Geschwindigkeit
EditorCeramicHealth,Keramik-Gesundheit
EditorMoabHealth,MOAB-Gesundheit
EditorPowers,Kräfte:
EditorSelling,Verkaufspreis:
EditorMonkeyKnowledge,Affenwissen:
EditorContinues,Fortsetzungen:
EditorLockedSubmitButtonDescription,Du hast diese Herausforderung bereits eingereicht
EditorLockedShareButtonDescription,"Um deine Herausforderung teilen zu können, musst du beweisen, dass sie zu schaffen ist, indem du im Testmodus den Siegesbildschirm erreichst!"
ConflictScreenChoose,Wähle ein gespeichertes Spiel
ConflictThisDevice,Auf diesem Gerät
ConflictCloud,In der Cloud
ConflictTimeHours,Vor {0} Stunde(n) gespeichert
ConflictUseButton,Verwenden
ConflictNoData,Keine Daten
ConflictTimeMinutes,Vor {0} Minute(n) gespeichert
ConflictTimeSeconds,Vor {0} Sekunde(n) gespeichert
ConflictTimeDays,Vor {0} Tag(en) gespeichert
FasterMoabs,MOAB-Geschwindigkeit erhöht
SlowerMoabs,MOAB-Geschwindigkeit gesenkt
BikerBonesSkinName,Biker Bones-Skin
BikerBonesSkinDescription,Der Sonnengott hat nicht die Wut eines entfesselten Biker Bones!
PatsPond,Pats Teich
InappropriateChallengeName,Bitte wähle einen weniger unangebrachten Namen für die Herausforderung und versuche es erneut
DCVictoryBody,Glückwunsch! Du hast {0} abgeschlossen!
EditorCreateVictoryBody,Glückwunsch! Du kannst jetzt deine Herausforderung mit anderen teilen!
EditorOlderVersion,Diese Herausforderung wurde mit Version {0} erstellt und kann möglicherweise nicht mehr abgeschlossen werden
EditorNewerVersion,"Diese Herausforderung wurde mit einer neueren Version des Spiels erstellt, bitte aktualisiere deine Version, um diese Herausforderung spielen zu können"
DefeatScreenRetryLastRound,Letze Runde erneut versuchen
CoopDoubleCash,(nur Einzelspieler)
EditorThanksForSubmission,"Vielen Dank für deine Einreichung und deinen Beitrag, Bloons TD6 sogar noch besser zu machen! Wir hoffen, dass deine Herausforderung bei einem zukünftigen Wechsel dabei ist, wenn sie ausgewählt wird!"
SpringSpring,Häschen Hüpf
ObynOceanGuardianSkinName,Meereswächter-Skin
ObynOceanGuardianSkinDescription,"Wir kommen aus den Meeren, und dahin sollen wir auch zurückkehren."
CollectionEventHeader,Sammlungsevent
CoopTriggerText,Alle Co-op-Spiele teilen Geld und Helden-XP gleichmäßig. Für dieses Spiel spielst du: {0} – {1}
Achievement 64 Name,Große Bloons
Achievement 64 Description,Pat umarmt große Bloons noch viel lieber
OptionsExtras,Extras
DoubleCashHelper,Hier kannst du den Geldverdopplungs-Modus finden
BigBloonsMode,Große Bloons
CollectionMonkeyText,Verdiene Sammlungsbelohnungen durch das Gewinnen einer beliebigen Karte!
CoopQuickGame,Schnelles Spiel
CoopMediumGame,Mittellanges Spiel
CoopLongGame,Langes Spiel
CoopContinuePrompt,Spiel geht weiter in ...
CoopRestartPrompt,Spiel startet neu in ...
CoopFreeplayPrompt,Freies Spielen startet in ...
CollectionRewardsDelivered,Deine Belohnungen für das Sammlungsevent wurden ausgepackt und befinden sich in deinem Insta-Affen-Inventar!
CoopSyncMessage,Synchronisiere mit anderen Spielern ...
CoopPlayerLeftMessage,hat das Spiel verlassen
CollectionEventEnded,Das Sammlungsevent ist beendet
CoopPublicGameStart,Spiel beginnt in Kürze ...
CalloutMasterBuild,Meisterbauer
CalloutLessIsMore,Weniger ist mehr
CalloutPopMaster,Platzmeister
CalloutPopPacifist,Platzpazifist
CalloutBossSkillz,Boss-Kompetenz
CalloutWhatMOABs,Welche MOABs?
CalloutMonkeyFinancier,Affengeldgeber
CalloutNoBananas4U,Keine Bananen für dich
CalloutActivator,Aktivator
CalloutPoweredUp,Verstärkt
CalloutInstaWinner,Insta-Gewinner
CalloutMasterBuildDesc,{0} Türme platziert
CalloutLessIsMoreDesc,{0} Türme platziert
CalloutPopMasterDesc,{0} Bloons geplatzt
CalloutPopPacifistDesc,{0} Bloons geplatzt
CalloutBossSkillzDesc,{0} MOABs geplatzt
CalloutWhatMOABsDesc,{0} MOABs geplatzt
CalloutMonkeyFinancierDesc,{0} Geld generiert
CalloutNoBananas4UDesc,{0} Geld generiert
CalloutActivatorDesc,{0} Fähigkeiten eingesetzt
CalloutPoweredUpDesc,{0} Kräfte eingesetzt
CalloutInstaWinnerDesc,{0} Insta-Affen eingesetzt
CoopLobbyNotFound,Spiel nicht gefunden
CoopLobbyIsFull,Spiel ist voll
CoopLobbyNotCompatible,"Spielversion nicht kompatibel, versuche, das Spiel zu aktualisieren."
CheckInternet,Keine Verbindung. Bitte überprüfe deine Internetverbindung.
SacrificialTotem,Opfertotem
SandboxSetRound,Runde festlegen:
SandboxSpacing,Schussfolge:
SandboxCount,Anzahl:
CoopDisconnected,Verbindung abgebrochen
CoopDisconnectedMessage,Leider ist die Verbindung deines Spiels abgebrochen. Kehre bitte zum Hauptmenü zurück.
CoopCreatingLobby,Spiel wird erstellt ...
CoopHostDisconnected,"Die Verbindung des Spielers, der dieses Spiel erstellt hat, ist abgebrochen."
CoopNoPublicOption,Diese Spieleinstellungen können nur im Privatem Spiel gespielt werden.
CoopBuildZoneMessage,Baue deine Affentürme im grünen Bereich.
Cargo,Ladung
BenJamminSkinName,Benjammin-DJ-Skin
BenJamminSkinDescription,Die Party wird PLATZEN!
EditorAllCamo,Alle Tarn-Bloons
EditorAllRegrow,Alle runderneuerte Bloons
AllCamoDescription,Alle Bloons außer MOAB-Bloons sind Tarn-Bloons.
AllRegrowDescription,Alle Bloons außer MOAB-Bloons sind runderneuerte Bloons.
CoopGiveCashText,Geben
CoopWaitingMessage,Warte auf andere Spieler ...
CoopReconnectMessage,Verbinde dein Spiel erneut ...
Achievement 65 Name,Alchemistman und Bloonboy
Achievement 65 Description,Du hast ‚M‘ für ‚Mini‘ genommen anstatt ‚J‘ für ‚Jumbo‘.
SmudgeCattSkinName,Smudge-Catt-Skin
SmudgeCattSkinDescription,"Smudge Catts hypnotischer Blick signalisiert dir, all diese Bloons zu zerstören. Sie hungert nach Rache, und natürlich auch nach mehr Cattzen-Essen."
Workshop,Werkstatt
SmallBloonsMode,Kleine Bloons
Achievement 66 Name,2TC
Achievement 66 Description,Schließe ein Spiel im Schwierigkeitsgrad SCHIMPANSEN mit nur 2 Affentürmen ab.
Achievement 67 Name,Schnippe mit deinen Fingern.
Achievement 67 Description,Schließe ein Spiel mit exakt der Hälfte deiner Leben und deines Gelds zu Beginn ab.
Achievement 68 Name,Bill Greates
Achievement 68 Description,Schicke einem Verbündeten auf einmal $ 500.000 im Koop-Modus.
Achievement 69 Name,Bloontona 500
Achievement 69 Description,Erhalte Zugang zu 500 Rennen.
Achievement 70 Name,Anfänger des Jahres
Achievement 70 Description,Schließe ein Rennen in unter 10 Minuten ab.
Achievement 71 Name,Rising star
Achievement 71 Description,Schließe ein Rennen in unter 5 Minuten ab.
Achievement 72 Name,Top in deinem Spiel
Achievement 72 Description,Schließe ein beliebiges Rennen in unter 3 Minuten ab.
Achievement 73 Name,Die größte Herausforderung
Achievement 73 Description,Erstelle oder spiele 200 Herausforderungen
Achievement 74 Name,Ausgezeichnete Aussicht
Achievement 74 Description,Gewinne 100 Spiele mit der Skin eines beliebigen Helden.
Achievement 75 Name,Therpopylae
Achievement 75 Description,Lasse {0} Bloons auf der Halbinsel platzen.
Achievement 76 Name,Bloon-Meisterbevölkerer
Achievement 76 Description,Verursache 1 Milliarde Schaden mit dem Bloon-Meisteralchemist.
Achievement 77 Name,Wir sehen uns
Achievement 77 Description,Lass {0} Bloons mit Schimmer anzeigen.
Achievement 78 Name,Tetrimino
Achievement 78 Description,Platziere 50 Affentürme gleichzeitig auf der Karte.
Achievement 79 Name,Pennies aus dem Himmel
Achievement 79 Description,"Verwende Siphon-Funding, um {0} zu erhalten."
Achievement 80 Name,"Alle für einen, einer für alle"
Achievement 80 Description,Gewinne ein Spiel mit jeweils nur 1 Affenturm auf dem Bildschirm in einem beliebigen Spiel im Schwierigkeitsgrad schwer.
Achievement 81 Name,Meister der Leben
Achievement 81 Description,Besitze 1000 Leben gleichzeitig in einem einzelnen Spiel.
Achievement 82 Name,Regenbogen sind Magie
Achievement 82 Description,Lass {0} Regenbogen-Bloons mit Zauberaffen platzen.
Emote.Hi,Hi!
Emote.Welldone,Gut gemacht!
Emote.Ready,Bereit!
Emote.Slow,Langsam!
Emote.Thanks,Danke!
Emote.AFK,AFK
Emote.Sorry,Sorry!
Emote.Goodjob,Gut gemacht!
Emote.Gg,GG
Emote.Freeplay,FREIES SPIEL
Emote.Eco,Eco
CoopGameUnavailable,Dieses Spiel ist nicht länger verfügbar.
CalloutHeadDetective,Chef-Detective
CalloutHeadDetectiveDesc,{0} Tarn-Bloons geplatzt
CalloutMetalMuncher,Metallmampfer
CalloutMetalMuncherDesc,{0} Blei-Bloons geplatzt
CalloutFumigator,Raucher
CalloutFumigatorDesc,{0} runderneuerte Bloons geplatzt
CalloutFiredUp,Gefeuert
CalloutFiredUpDesc,{0} Keramik-Bloons geplatzt
CalloutBfbBrawler,BFB-Zänker
CalloutBfbBrawlerDesc,{0} BFB geplatzt
CalloutZomgZapper,ZOMG-Zapper
CalloutZomgZapperDesc,{0} ZOMG geplatzt
CalloutDdtDestroyer,DDT-ZERSTÖRER
CalloutDdtDestroyerDesc,{0} DDT geplatzt
CalloutMostGenerous,Absolut großzügig
CalloutMostGenerousDesc,{0} Geldgesegnet
CoopDailyChallenge,Koop-Tagesherausforderung
Spillway,Abfluss
Sentry,Wachposten
SentryBoom,Boomwachtposten
SentryCrushing,Schlagwachposten
SentryCold,Kaltwachposten
SentryEnergy,Energiewachtposten
SentryParagon,Champion-Wachposten
EditorNumberOfPlayers,Spielerzahl
EditorCoopAreaDivision,Geteilte Karte
InvalidTarget,Ungültiges Ziel
Adora,Adora
Adora Short Description,Hohe Priesterin
Adora Description,"Adoras Hingabe zwingt sie dazu, Bloons mit voller Wucht zu zerschlagen. "
Adora Level 1 Description,"Göttlicher Blitz, der sich Ziele sucht und zerstört."
Adora Level 2 Description,Erhöhte Angriffsreichweite.
Adora Level 3 Description,Der lange Arm des Lichts: Erhöht für kurze Zeit enorm die Angriffsreichweite und Energie und schädigt alle Bloon-Arten.
Adora Level 4 Description,Schießt 2 göttliche Blitze.
Adora Level 5 Description,Göttliche Blitze durchbohren mehr Bloons.
Adora Level 6 Description,Schießt 3 göttliche Blitze auf einmal.
Adora Level 7 Description,"Blutopfer: Opfere einen Zielturm, um Adora große Mengen EP zu gewähren und ihre Angriffsreichweite und Feuerrate für kurze Zeit zu verbessern."
Adora Level 8 Description,Schießt 4 göttliche Blitze auf einmal.
Adora Level 9 Description,Erhöhte Angriffsreichweite.
