//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
Switching Resolution Title,해상도 변경
RaceEventBanner,경주 이벤트 진행 중
RaceEventBannerRewards,배지와 트로피를 타세요!
RacePreviousBestTime,최단 시간:
RaceAgainQuestion,다시 경주하시겠어요?
RaceAgainDescription,지금 경주하고 시간을 단축하세요!
TrophiesEarned,획득한 트로피:
FreeEntryIn,무료입장까지 남은 시간:
RaceSubmissionFail,경주 결과를 전송할 수 없습니다
LeaderboardRank,순위
LeaderboardPlayerName,플레이어 이름
LeaderboardBadges,배지
LeaderboardBestTime,최단 시간
RaceEventEndsIn,이벤트 남은 시간:
LoadingPlayer,플레이어 로딩 중
Rank1st,1위
Rank2nd,2위
Rank3rd,3위
RewardsTopPercent,상위{0}%
RaceEventEnded,경주 이벤트가 끝났습니다!
RaceFinishedPlaceAndTime,{1}의 최단 시간을 기록하며 {0}를 마쳤습니다.
Heartstopper Ability,심장정지기
Sacrificial Totem Ability,제물 토템
MOAB Hex Ability,MOAB 저주
RaceClock,경주 시계
LoginRequiredTitle,로그인 필요
LoginRequiredBody,이 기능을 사용하려면 로그인해야 합니다
EventRewardsTitle,이벤트 보상
TT_FollowMouse,마우스 따라가기
SteamLoadingMessage,애셋 압축 푸는 중
SentaiCaptainChurchillSkinName,전대 처칠 스킨
SentaiCaptainChurchillSkinDescription,슈퍼 메가 터보 광속 만화 퀀텀 은하 레이저폭탄의 가호가 있기를!
KartsNDarts,카트앤다트
Upgrade Path 1,경로 1 업그레이드
Upgrade Path 2,경로 2 업그레이드
Upgrade Path 3,경로 3 업그레이드
ChangeTargeting,표적 변경
ReverseChangeTargeting,표적 변경 되돌리기
PauseDeselect,일시 정지/선택 해제
PlayFastForward,플레이/빨리감기
SendNextRound,다음 라운드(경주) 보내기
Activated Ability 1,발동 능력 1
Activated Ability 2,발동 능력 2
Activated Ability 3,발동 능력 3
Activated Ability 4,발동 능력 4
Activated Ability 5,발동 능력 5
Activated Ability 6,발동 능력 6
Activated Ability 7,발동 능력 7
Activated Ability 8,발동 능력 8
Activated Ability 9,발동 능력 9
Activated Ability 10,발동 능력 10
Activated Ability 11,발동 능력 11
Activated Ability 12,발동 능력 12
SendRedBloon,빨간 풍선 보내기
SendBlueBloon,파란 풍선 보내기
SendGreenBloon,초록 풍선 보내기
SendYellowBloon,노란 풍선 보내기
SendPinkBloon,분홍 풍선 보내기
SendBlackBloon,검은 풍선 보내기
SendPurpleBloon,보라 풍선 보내기
SendWhiteBloon,하얀 풍선 보내기
SendLeadBloon,납 풍선 보내기
SendZebraBloon,줄무늬 풍선 보내기
SendRainbowBloon,무지개 풍선 보내기
SendCeramicBloon,세라믹 풍선 보내기
SendTestBloon,시험 풍선 보내기
SendMoabBloon,MOAB 풍선 보내기
SendBfbBloon,BFB 풍선 보내기
SendZomgBloon,ZOMG 풍선 보내기
SendDdtBloon,DDT 풍선 보내기
SendBadBloon,BAD 풍선 보내기
RestoreDefaults,기본값 복구
SaveHotkeyChanges,단축키 변경을 저장하시겠습니까?
Hotkeys,단축키
Monkeys,원숭이
Gameplay,게임플레이
Revert,되돌리기
Save,저장
HotkeyModeDescription,단축키는 클릭 앤 드롭 모드에서만 사용할 수 있습니다.
DemoSplashText,데모용으로 특별히 제작된 버전의 Bloons TD 6입니다
EditorClearSaveProgressWarning,도전과제의 게임 플레이가 변경되어 현재 게임 내 진행 상황이 삭제됩니다.
EditorInfiniteMaxTowers,무제한
EditorDefaultValue,기본값
EditorLoadingChallenge,불러오는 중...
EditorGeneratingCode,생성 중...
EditorEnterCode,코드 입력
EditorShareError,이 도전과제를 공유하는 도중 오류가 발생했습니다.
EditorSubmitError,이 도전과제를 제출하는 도중 오류가 발생했습니다.
EditorLoadError,이 도전과제를 불러오는 도중 오류가 발생했습니다.
EditorLevelLockMsg,도전과제 편집기는 {0}레벨에서 잠금 해제됩니다
EditorCreateChallenge,도전과제 생성
EditorPlayChallenge,도전과제 플레이
EditorEditChallenge,도전과제 편집
EditorShare,공유
EditorShareChallenge,도전과제 공유:
EditorSubmit,제출
EditorChallengeCode,도전과제 코드:
EditorEnterChallengeCode,도전과제 코드 입력:
EditorSubmissionForm,제출 양식
EditorSubmissionDescription,Ninja Kiwi에 내가 만든 도전과제를 제출해보세요. 미래의 일일 또는 고급 도전과제가 될 수도 있겠죠!
EditorFridayStinger,금요일의 스팅어
EditorRemainAnonymous,익명 유지하기
EditorChallengeEditor,도전과제 편집기
EditorUndo,되돌리기
EditorReset,재설정
EditorRandom,무작위
EditorDifficulty,난이도:
EditorGameMode,게임 모드:
EditorStartingCash,시작 캐시:
EditorStartingLives,시작 목숨
EditorMaxLives,최대 목숨:
EditorStartRound,시작 라운드:
EditorEndRound,종료 라운드:
EditorMonkeysExcluded,원숭이 제외
EditorMonkeysIncluded,원숭이 포함
EditorMaxMonkeys,최대 원숭이:
EditorAdd,추가
EditorBloonSpeed,풍선 속도
EditorMoabSpeed,Moab 속도
EditorCeramicHealth,세라믹 HP
EditorMoabHealth,Moab HP
EditorPowers,힘:
EditorSelling,판매:
EditorMonkeyKnowledge,원숭이 지식:
EditorContinues,계속하기:
EditorLockedSubmitButtonDescription,이미 제출한 도전과제입니다.
EditorLockedShareButtonDescription,이 도전과제를 공유하려면 테스트 모드에서 승리 화면을 볼 수 있다는 걸 확인해야 한답니다!
ConflictScreenChoose,저장할 게임 데이터 선택
ConflictThisDevice,이 기기
ConflictCloud,클라우드
ConflictTimeHours,{0}시간 전 저장됨
ConflictUseButton,사용
ConflictNoData,데이터 없음
ConflictTimeMinutes,{0}분 전 저장됨
ConflictTimeSeconds,{0}초 전 저장됨
ConflictTimeDays,{0}일 전 저장됨
FasterMoabs,Moab 속도 증가함
SlowerMoabs,Moab 속도 감소함
BikerBonesSkinName,바이커 본즈 스킨
BikerBonesSkinDescription,태양신은 해방된 바이커 본즈와 같이 격노하지 않지요!
PatsPond,팻의 연못
InappropriateChallengeName,좀 더 적절한 도전 이름을 선택하세요.
DCVictoryBody,축하합니다! {0}을(를) 완료했습니다!
EditorCreateVictoryBody,축하합니다! 이제 만드신 도전과제를 다른 이들과 공유할 수 있습니다!
EditorOlderVersion,"이 도전과제는 버전 {0}에서 생성되었으며, 이제 더는 깨지 못할 가능성이 있습니다."
EditorNewerVersion,이 도전과제는 게임의 신버전에서 생성되었으니 플레이하려면 최신 버전으로 게임을 업데이트해야 합니다.
DefeatScreenRetryLastRound,마지막 라운드 재시도
CoopDoubleCash,(싱글 플레이어 전용)
EditorThanksForSubmission,Bloons TD6의 발전에 기여해주셔서 감사합니다! 향후에 귀하의 도전과제가 선택되어 게임에서 선보일 수 있기를 기대합니다!
SpringSpring,봄이 깡총깡총
ObynOceanGuardianSkinName,바다의 지킴이 스킨
ObynOceanGuardianSkinDescription,"우리는 바다로부터 왔으며, 바다로 돌아갈 것이다."
CollectionEventHeader,컬렉션 이벤트
CoopTriggerText,모든 협동 게임은 캐시와 영웅 XP를 균등하게 나눕니다. 이번에 협동하는 플레이어: {0} – {1}
Achievement 64 Name,커다란 풍선
Achievement 64 Description,팻이 커다란 풍선을 붙잡는 것을 더 좋아합니다
OptionsExtras,엑스트라
DoubleCashHelper,여기서 더블 현금 모드를 찾을 수 있습니다
BigBloonsMode,커다란 풍선
CollectionMonkeyText,아무 맵에서 승리하여 컬렉션 보상을 타세요!
CoopQuickGame,빠른 게임
CoopMediumGame,중간 게임
CoopLongGame,긴 게임
CoopContinuePrompt,게임 재개까지 남은 시간:
CoopRestartPrompt,게임 재시작까지 남은 시간:
CoopFreeplayPrompt,자유플레이까지 남은 시간:
CollectionRewardsDelivered,컬렉션 이벤트 보상이 개봉되어 즉석 원숭이 인벤토리에 보내졌습니다!
CoopSyncMessage,다른 플레이어들과 동기화 중…
CoopPlayerLeftMessage,님이 게임에서 퇴장하셨습니다
CollectionEventEnded,컬렉션 이벤트가 종료되었습니다
CoopPublicGameStart,게임이 곧 시작합니다…
CalloutMasterBuild,건축의 대가
CalloutLessIsMore,적을수록 좋음
CalloutPopMaster,터트리기의 대가
CalloutPopPacifist,터트리기 평화주의자
CalloutBossSkillz,보스 스킬
CalloutWhatMOABs,MOAB은 무슨?
CalloutMonkeyFinancier,원숭이 자본가
CalloutNoBananas4U,바나나는 줄 수 없어
CalloutActivator,발동가
CalloutPoweredUp,파워업
CalloutInstaWinner,즉석 승자
CalloutMasterBuildDesc,{0}개의 타워 배치함
CalloutLessIsMoreDesc,{0}개의 타워 배치함
CalloutPopMasterDesc,{0}개의 풍선 터트림
CalloutPopPacifistDesc,{0}개의 풍선 터트림
CalloutBossSkillzDesc,{0}개의 MOAB 터트림
CalloutWhatMOABsDesc,{0}개의 MOAB 터트림
CalloutMonkeyFinancierDesc,{0} 캐시 생성함
CalloutNoBananas4UDesc,{0} 캐시 생성함
CalloutActivatorDesc,{0}개의 능력 사용함
CalloutPoweredUpDesc,{0}개의 힘 사용함
CalloutInstaWinnerDesc,{0}마리의 즉석 원숭이 사용함
CoopLobbyNotFound,게임을 찾을 수 없음
CoopLobbyIsFull,게임에 빈자리가 없음
CoopLobbyNotCompatible,게임 버전이 서로 호환되지 않으니 게임을 업데이트하십시오.
CheckInternet,연결할 수 없습니다. 인터넷 상태를 확인하십시오.
SacrificialTotem,제물 토템
SandboxSetRound,라운드 설정:
SandboxSpacing,간격:
SandboxCount,수:
CoopDisconnected,연결 끊김
CoopDisconnectedMessage,안타깝게도 게임의 연결이 끊겼습니다. 메인 메뉴로 돌아가세요.
CoopCreatingLobby,게임 생성 중…
CoopHostDisconnected,게임을 생성한 플레이어의 연결이 끊겼습니다
CoopNoPublicOption,해당 게임 설정은 비공개 매치에서만 플레이할 수 있습니다
CoopBuildZoneMessage,녹색 영역에 원숭이 타워를 지으세요
Cargo,화물
BenJamminSkinName,벤재밍 DJ 스킨
BenJamminSkinDescription,팡팡 터지는 파티가 될 거예요!
EditorAllCamo,모두 캐모
EditorAllRegrow,모두 재생
AllCamoDescription,모든 비MOAB 풍선이 캐모 속성 지님
AllRegrowDescription,모든 비MOAB 풍선이 재생 속성 지님
CoopGiveCashText,주기
CoopWaitingMessage,다른 플레이어 기다리는 중…
CoopReconnectMessage,게임으로 다시 연결하는 중…
Achievement 65 Name,연금술사맨과 풍선소년
Achievement 65 Description,미니를 뜻하는 알파벳 M이잖아. 다시 거꾸로 돌리려면 왕 크다는 W로 바꿔야지.
SmudgeCattSkinName,스머지 캣 스킨
SmudgeCattSkinDescription,스머지 캣의 시선에 사로잡혀 최면에 걸린 듯 사나운 풍선을 모두 찌르고 싶은 기분이 듭니다. 복수와 캣푸드에 굶주린 상태입니다.
Workshop,작업장
SmallBloonsMode,작은 풍선
Achievement 66 Name,2타워승
Achievement 66 Description,CHIMPS 난이도에서 원숭이 타워 2개만으로 한 판 깨기
Achievement 67 Name,핑거스냅
Achievement 67 Description,시작 목숨과 시작 캐시가 정확히 절반씩만 남은 채로 한 판 끝내기
Achievement 68 Name,자선계의 만수르
Achievement 68 Description,"협동 모드에서 한꺼번에 아군 한 명에게 $500,000 보내기"
Achievement 69 Name,풍선토나 500
Achievement 69 Description,경주에 500회 참여
Achievement 70 Name,올해의 루키
Achievement 70 Description,10분 안으로 경주 마치기
Achievement 71 Name,떠오르는 신성
Achievement 71 Description,5분 안으로 경주 마치기
Achievement 72 Name,지금은 나의 전성시대
Achievement 72 Description,3분 안으로 경주 마치기
Achievement 73 Name,최고의 도전과제
Achievement 73 Description,도전과제 200개 생성 또는 플레이하기
Achievement 74 Name,패셔니스타
Achievement 74 Description,영웅 스킨 사용한 채로 게임 100판 이기기
Achievement 75 Name,반도의 전사
Achievement 75 Description,반도 맵에서 풍선 {0}개 터트리기
Achievement 76 Name,풍선 터트리기의 대가
Achievement 76 Description,풍선의 대가 연금술사로 10억의 피해 주기
Achievement 77 Name,다 보여
Achievement 77 Description,깜박깜박을 사용해 {0}개의 풍선 드러내기
Achievement 78 Name,테트리미노
Achievement 78 Description,한꺼번에 50개의 원숭이 타워를 맵에 배치하기
Achievement 79 Name,하늘에서 돈벼락이
Achievement 79 Description,사이펀 펀딩을 사용해 {0} 획득하기
Achievement 80 Name,"모두를 위한 하나, 하나를 위한 하나"
Achievement 80 Description,어려움 난이도에서 언제나 화면에 원숭이 타워가 하나만 보이는 상태에서 게임 한 판 이기기
Achievement 81 Name,인생의 대가
Achievement 81 Description,"게임에서 목숨 1,000개 보유하기"
Achievement 82 Name,무지개는 마법이다
Achievement 82 Description,마법 원숭이로 무지개 풍선 {0}개 터트리기
Emote.Hi,하이!
Emote.Welldone,잘했어요
Emote.Ready,준비됐어요!
Emote.Slow,천천히!
Emote.Thanks,고마워요
Emote.AFK,자리비움
Emote.Sorry,미안해요!
Emote.Goodjob,수고했어요
Emote.Gg,굿겜
Emote.Freeplay,자유플레이
Emote.Eco,캐시작
CoopGameUnavailable,이제는 플레이할 수 없는 게임입니다
CalloutHeadDetective,풍선 탐지기
CalloutHeadDetectiveDesc,캐모 풍선 {0}개 터트림
CalloutMetalMuncher,금속 처리기
CalloutMetalMuncherDesc,납 풍선 {0}개 터트림
CalloutFumigator,훈증소독기
CalloutFumigatorDesc,재생 풍선 {0}개 터트림
CalloutFiredUp,사금파리 제조기
CalloutFiredUpDesc,세라믹 풍선 {0}개 터트림
CalloutBfbBrawler,BFB 파이터
CalloutBfbBrawlerDesc,BFB 풍선 {0}개 터트림
CalloutZomgZapper,ZOMG 퇴치자
CalloutZomgZapperDesc,ZOMG 풍선 {0}개 터트림
CalloutDdtDestroyer,DDT 파괴자
CalloutDdtDestroyerDesc,DDT풍선 {0}개 터트림
CalloutMostGenerous,하해와 같은 인심
CalloutMostGenerousDesc,{0} 캐시 선물함
CoopDailyChallenge,협동 일일 도전과제
Spillway,배수로
Sentry,경비 탑
SentryBoom,폭발 경비 탑
SentryCrushing,스파이크구 경비 탑
SentryCold,추위 경비 탑
SentryEnergy,에너지 경비 탑
SentryParagon,챔피언 경비 탑
EditorNumberOfPlayers,플레이어 수
EditorCoopAreaDivision,맵 분할
InvalidTarget,잘못된 대상
Adora,아도라
Adora Short Description,고위 여사제
Adora Description,아도라의 독실한 신앙심이 풍선들에게 노기가 가득한 공격을 날립니다.
Adora Level 1 Description,신성한 볼트가 풍선을 추적하며 파괴합니다.
Adora Level 2 Description,공격 사정거리가 증가합니다.
Adora Level 3 Description,"빛의 넓은 손길: 잠시 동안 공격 사정거리와 공격력이  상당히 증가하며, 모든 유형의 풍선에 피해를 줍니다."
Adora Level 4 Description,신성한 볼트를 두 개 날립니다.
Adora Level 5 Description,신성한 볼트가 더 많은 풍선을 관통합니다.
Adora Level 6 Description,한꺼번에 3개의 신성한 볼트를 쏩니다.
Adora Level 7 Description,피의 희생: 대상으로 지정한 타워를 희생하여 아도라에게 상당한 양의 XP를 주고 공격 사정거리와 발사 속도를 잠깐 증가합니다.
Adora Level 8 Description,한꺼번에 4개의 신성한 볼트를 쏩니다.
Adora Level 9 Description,공격 사정거리가 증가합니다.
Adora Level 10 Description,빛의 구체: 강력한 에너지 구체를 소환하여 풍선을 공격합니다.
Adora Level 11 Description,아도라의 공격 속도가 증가합니다.
Adora Level 12 Description,한꺼번에 5개의 신성한 볼트를 쏩니다.
Adora Level 13 Description,신성한 볼트가 더욱더 많은 풍선을 관통합니다.
Adora Level 14 Description,한꺼번에 6개의 신성한 볼트를 쏩니다.
Adora Level 15 Description,"신성한 볼트가 풍선 한 겹을 추가로 더 태우고, 빛의 구체가 주는 피해가 증가합니다."
Adora Level 16 Description,빛의 넓은 손길이 더욱 무시무시해집니다.
Adora Level 17 Description,아도라의 공격 속도가 더욱 증가합니다.
Adora Level 18 Description,한꺼번에 8개의 신성한 볼트를 쏩니다.
Adora Level 19 Description,공격 사정거리가 증가합니다.
Adora Level 20 Description,"빛의 구체가 훨씬 개선되고, 제물이 주는 발사 속도, 사정거리, 지속 시간 버프가 증가합니다."
Carved,호박등
BloodyPuddles,고난의 웅덩이
TechBotRequiresAbility,발동 능력이 있는 원숭이 타워 필요
AdorasTemple,아도라의 사원
WinterPark,겨울 공원
FustyTheSnowmanSkinName,눈사람 퍼스티
FustyTheSnowmanSkinDescription,풍선 터트리기를 좋아해요.
WorkshopReverseMotor,역방향 모터 발동
WorkshopTrackExtensions,트랙 확장 발동
Achievement 83 Name,이상하지만 귀여운
Achievement 83 Description,우연에 우연이 겹치면
Achievement 84 Name,조시의 상수
Achievement 84 Description,CHIMPS 모드의 전문 맵에서 스파이크 공장 1개에 $40870 이상을 사용하고 깨기
Achievement 85 Name,대가는 뭐였죠? - 전부 다
Achievement 85 Description,게임에서 모든 유형의 타워를 사원에 희생하기
Achievement 86 Name,2메가 터트리기
Achievement 86 Description,CHIMPS 모드에서 타워 하나로 2백만 이상의 피해를 주는 게임 한 판 하기
Achievement 87 Name,상자 타임
Achievement 87 Description,컬렉션 이벤트에서 다이아몬드 상자 한 개 열기
Achievement 88 Name,혼돈의 축
Achievement 88 Description,CHIMPS 모드 게임 한 판에서 5티어 저격 원숭이를 종류별로 하나씩 보유하기
Achievement 89 Name,타워 관리인
Achievement 89 Description,인벤토리에 한꺼번에 즉석 원숭이 200마리 보유하기
Achievement 90 Name,1년 소요
Achievement 90 Description,일일 상자 365번 열기
Achievement 91 Name,칼리 마아아아아
Achievement 91 Description,한 라운드에서 아도라 10레벨 올리기
Blood Sacrifice Ability,피의 희생
Blood Sacrifice Ability Description,대상으로 지정한 타워를 희생하여 아도라에게 상당한 양의 XP를 주고 공격 사정거리와 발사 속도를 잠깐 증가합니다.
The Long Arm of Light Ability,빛의 넓은 손길
The Long Arm of Light Ability Description,"잠시 동안 공격 사정거리와 공격력이 상당히 증가하며, 모든 유형의 풍선에 피해를 줍니다."
Ball of Light Ability,빛의 구체
Ball of Light Ability Description,강력한 에너지 구체를 소환하여 풍선을 공격합니다.
SunAvatarMini,태양의 아바타
TrueSunAvatarMini,태양의 아바타
ComeOnEverybody,모두 덤벼!
ComeOnEverybodyDescription,"일차 타워가 모두 3티어 미만일 경우 공격 속도가 5% 증가하고, 모두 3티어 또는 4티어일 경우 비용이 5% 감소합니다."
Wingmonkey,날개원숭이
WingmonkeyDescription,여러 에이스 원숭이가 순차적으로 공격하도록 순서를 짜는 고급 비행경로
TT_Wingmonkey,날개원숭이
TinyTornadoes,작은 토네이도
TinyTornadoesDescription,드루이드 토네이도가 사라질 때 작은 토네이도를 3개 생성합니다.
HealthyBananas,건강한 바나나
HealthyBananasDescription,"시장에서 이제 라운드당 목숨을 1개 생산하며, 중앙 시장에서는 3개를 생산합니다."
WeakPoint,약점
WeakPointDescription,모든 영웅이 세라믹 풍선과 강화 풍선에게 주는 피해가 +1
WolfpackQuincySkinName,늑대무리 퀸시
WolfpackQuincySkinDescription,"퀸시의 조상으로, 모든 사냥꾼이 강하고 늑대 무리는 더욱 강하던 머나먼 옛날의 퀸시입니다."
Infernal,불지옥
DownloadButton,다운로드
DownloadDescription,추가 파일 다운로드 중. Wi-Fi 사용을 권장합니다. 데이터 크기 {0}MB
ViewCollectionButton,컬렉션 보기
ViewInventoryButton,인벤토리 보기
CollectionDescription,즉석 원숭이는 사용된 뒤에도 컬렉션에서 볼 수 있습니다.
CollectionNoInventory,"일일 상자, 도전과제, 이벤트에서 모은 즉석 원숭이는 여기에 표시됩니다."
MatchIncompatible,게임 유형 호환 불가
CollectionEventBonusRewards,보너스 보상
SteamOverlay,구매하려면 Steam 오버레이와 로그인이 필요합니다.
CollectionEventFeaturedInstas,추천 즉석 원숭이
CollectionEventChangesIn,변경 시간:
CollectionEventChooseInsta,추천 즉석 원숭이 선택
JoanOfArcAdoraSkinName,잔 다르크 아도라
JoanOfArcAdoraSkinDescription,모든 전투는 머릿속에서 먼저 승리하거나 패배를 경험하게 되지.
EditorRules,규칙
EditorModifiers,계수
PathRestricted,경로 제한됨
UpgradeRestricted,업그레이드 제한됨
ChallengeEditorRestrict,제한
ConfirmApplyAll,모든 사용 가능한 원숭이 타워에 제한 사항을 적용하시겠습니까?
ConfirmResetAll,모든 사용 가능한 원숭이 타워를 5-5-5로 재설정하시겠습니까?
Geared,톱니바퀴
ChallengeEditorTowerRestrictions,타워 제한
ChallengeEditorApplyAll,모두 적용
ChallengeEditorResetAll,모두 초기화
CandyFalls,캔디 폭포
HarlegwenGwendolinSkinName,할리그웬 스킨
HarlegwenGwendolinSkinDescription,난 꽤 성가신 스타일이라고!
CoopLobbyHackerDetected,호환되지 않아 게임에 참여할 수 없습니다. 지원이 필요하면 https://ninja.kiwi/btd6_coop 페이지를 방문하세요.
TechBotSetAmbush,매복 설정
TechBotSetAmbushInstruction,트랙 근처에 매복 선택
AmbushTech,매복 테크
AmbushTechDescription,테크봇에 표적 옵션이 생겨 풍선이 특정 트랙 영역에 들어올 때만 발동하게 됩니다.
DoorGunner,문 사수
DoorGunnerDescription,특수 터트리기 작전 헬기에서 4티어 이하의 원숭이 타워가 이동 중에도 풍선을 공격할 수 있게 됩니다.
DoorGunnerDenied,이 타워는 문 사수로 만들 수 없습니다.
AmbidextrousRangs,양손잡이 부메랑
AmbidextrousRangsDescription,지식과 훈련을 통해 부메랑 원숭이가 표적 옵션으로 손 바꾸기를 실행하여 부메랑 공격을 최적화할 수 있습니다.
BoomerangTargetingSwitchHands,손 바꾸기
VineRupture,덩굴 폭발
VineRuptureDescription,숲의 정령 드루이드에게 모든 트랙 덩굴을 폭발시켜 납을 제외한 모든 풍선에 어마어마한 피해를 주는 새로운 능력을 줍니다. 폭발할 때마다 새로운 덩굴이 다시 자라납니다.
BankDeposits,은행 입금
BankDepositsDescription,사용 가능한 게임 캐시를 4티어 이상의 원숭이 은행에 입금할 수 있습니다.
MonkeyBankDeposit,입금
Achievement 92 Name,황금 티켓
Achievement 92 Description,블룸파 룸파 둠파 디 두~!
SmallMonkeysMode,작은 원숭이
CaveMonkey,동굴 원숭이
DarkKnightDarkshift,[I] 눌러 사정거리 내로 어둠포털을 통해 이동하기
DarkChampionDarkshift,[I] 눌러 아무 가능한 장소로 어둠포털을 통해 이동하기
SmallTowersMode,작은 원숭이 타워
BigTowersMode,커다란 원숭이 타워
UpdatePopupTitle,업데이트 32!
UpdatePopupDescription,"웅장한 스케일의 영토 전쟁 업데이트!\n• 대규모 신규 이벤트: 영토 전쟁 - 다른 팀의 타일을 점령해 순위표의 정상을 차지하세요!\n • 팀전! 친구들과 함께 무적의 팀을 구성해 영토 전쟁에서 세력을 넓히세요.\n• 신규 파라곤: 건축의 대가\n• 신규 영웅 스킨: 공허도라\n• 신규 중급 맵: 채석장\n• 트로피 상점 아이템 추가, 게임 편의성 개선 및 기타 등등!"
ResetDailyChest,일일 상자 초기화
JukeboxName,주크박스
EnableFunction,사용
JukeboxSongs,노래
JukeboxPlaylist,플레이리스트
JukeboxAddAll,모두 추가
JukeboxRemoveAll,모두 제거
MonkeysLeft,남은 원숭이
ChallengeRules,도전과제 규칙
JukeboxMusicFiestaMain,파티의 플라밍고
JukeboxMusicSunshineMain,햇살의 세레나데
JukeboxMusicSunsetMain,일몰의 삼바
JukeboxMusicTropicalMain,열대의 카니발
JukeboxMusicTribesMain,부족과 고난
JukeboxMusicWinterMain,겨울 밤
JukeboxMusicJazzMain,재즈 테마
DoorGunnerSelect,문 사수가 될 타워를 선택하세요
PlayerStatsSettings,플레이어 전적
PlayerStatsPublicStats,공개 전적
HiddenAchievements,숨겨진 업적
PlayerStatsTopHeroes,상위 영웅
PlayerStatsTopMonkeys,상위 원숭이
PlayerStatsGamesPlayed,이긴 게임
PlayerStatsGamesWon,이긴 게임
PlayerStatsHighestRound,최고 라운드
PlayerStatsMonkeysPlaced,배치한 원숭이
PlayerStatsPopCount,총 터트린 풍선
PlayerStatsCoopPopCount,총 협동 터트린 풍선
PlayerStatsCamoPopped,터트린 캐모 풍선
PlayerStatsLeadPopped,터트린 납 풍선
PlayerStatsPurplePopped,터트린 보라 풍선
PlayerStatsRegrowPopped,터트린 재생 풍선
PlayerStatsCeramicPopped,터트린 세라믹 풍선
PlayerStatsMoabsPopped,터트린 MOAB
PlayerStatsBfbsPopped,터트린 BFB
PlayerStatsZomgsPopped,터트린 ZOMG
PlayerStatsDdtsPopped,터트린 DDT
PlayerStatsBadsPopped,터트린 BAD
PlayerStatsBloonsLeaked,놓친 풍선
PlayerStatsCashGenerated,생성한 캐시
PlayerStatsCashGifted,선물한 캐시
PlayerStatsAbilitiesUsed,능력 사용
PlayerStatsPowersUsed,힘 사용
PlayerStatsInstaMonkeysUsed,즉석 원숭이 사용
PlayerStatsDailysOpened,개봉한 일일 보상 상자
PlayerStatsChallengesCompleted,도전과제 완수
PlayerStatsMaxPublicSelected,공개 전적 최대 선택 상태. 새로운 공개 전적을 추가하려면 기존에 선택한 사항 중에서 최소한 한 개는 빼야 합니다.
PlayerStatsOdysseysCompleted,수행한 오디세이 수
PlayerStatsMedals,메달
PlayerStatsAvatar,아바타
PlayerStatsOverallStats,전반적인 전적
PlayerStatsSharing,{0}/7개의 항목 공유
JukeboxMusicThemeMain,메인 테마
et_odysseytitle,오디세이 이벤트!
et_odysseydescription,"어서 오세요! 오디세이는 여러 맵과 도전이 이어지는 세트로, 트로피와 기타 보상이 주어집니다! 주요 규칙:\n• 모든 맵에서 목숨을 공통으로 사용\n• 오디세이를 시작하고 나면 재시작하기 전에는 크루나 난이도 변경 불가\n• 마지막 맵을 깨고 나면 트로피 및 기타 보상 획득\n• 트로피 보상은 누적되지 않음 - 어려움 오디세이 보상이 최다 트로피 제공"
OdysseyEventName,오디세이 이벤트 
OdysseyThemeCustomRules,커스텀 규칙
OdysseyThemeRapidBloons,빠른 풍선
OdysseyThemeNoReturn,환불 불가 정책
OdysseyThemeInstructions,설명서 미포함
OdysseyThemeFasterHigher,"더 빠르게, 더 높게, 더 강하게."
OdysseyThemeGottaGoFast,빨리빨리
OdysseyThemeAllCamo,전체 캐모
OdysseyThemeAllRegrow,전체 재생
OdysseyThemeFastTrack,빠른 트랙
OdysseyThemeHighlander,하이랜더의 오디세이
OdysseyThemeMonkeyTeams,원숭이 팀
OdysseyThemeExtremeOdyssey,극한 오디세이
OdysseyLives,목숨:
OdysseyLife,목숨 {0}개!
OdysseyLivesLeft,남은 목숨:
OdysseyStart,오디세이 시작
CollectAll,모두 받기
OdysseyThemeSlowButDeadly,천천히 치명적으로
OdysseyIslandRules,섬 규칙
OdysseyCrew,크루
OdysseyCrewDetails,크루 정보
OdysseyCrewDetailsSubtext,운명이 선택한 원숭이와 힘으로 멋진 크루를 짜세요
OdysseySeats,좌석: {0}
OdysseyMax,최대: {0}
OdysseyPowersAvailable,사용 가능한 힘:
OdysseySpaces,공간: {0}
OdysseySelectCrew,크루를 선택하세요
OdysseyTotal,총: {0}
OdysseyPlay,플레이
OdysseyContinue,오디세이 계속하기
OdysseyAddCrew,오디세이를 시작하려면 크루에 원숭이를 더 추가하세요
LeaderboardHacker,데이터 없음.
Bazaar,바자회
FloodedValley,홍수 계곡
AdmiralBrickell,브릭켈 제독
AdmiralBrickell Short Description,해군 사령관
AdmiralBrickell Description,모든 수중 원숭이를 지휘해 압승을 거두세요. 물에 배치해야 합니다.
AdmiralBrickell Level 1 Description,알아서 풍선을 쫓아가 파괴하는 어뢰를 투하합니다.
AdmiralBrickell Level 2 Description,공격 속도가 증가합니다.
AdmiralBrickell Level 3 Description,해군 전술: 브릭켈과 주변 수중 원숭이의 공격 속도를 잠시 동안 상당히 증가합니다.
AdmiralBrickell Level 4 Description,어뢰의 터트리는 힘 증가.
AdmiralBrickell Level 5 Description,해군 전술이 터트리는 힘을 증가하고 영향을 받는 원숭이가 캐모를 제외한 모든 유형의 풍선을 공격할 수 있게 합니다.
