//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
TrophyHeader,Loja de Troféus
TrophyTabHeroes,Heróis
TrophyTabMonkeys,Macacos
TrophyTabBloons,Bloons
TrophyTabCoop,Cooperativo
TrophyTabGameUI,Jogo e UI
TrophyTabFeatured,Destaque
TrophyTabInventory,Inventário
TrophyTrophiesEarned,Troféus obtidos:
Naval Tactics Ability,Táticas Navais
Naval Tactics Ability Description,Aumenta muito a velocidade de ataque de Macacos aquáticos próximos por um curto período.
Mega Mine Ability,Megamina
Mega Mine Ability Description,Envia uma mina devastadora que ativa em MOABs e atordoa Bloons próximos.
Confirm,Confirmar
PlayerStatsTimesPlaced,Vezes colocadas
Trophies,Troféus
RewardsTop50,Melhores 50
OdysseyMapComplete,Ilha {0} concluída!
OdysseyComplete,Odisseia concluída!
HeroesQuincyCyberQuincyPlacementFireworksShortName,Ciber Fogos de Artifício
HeroesAdoraPlacementSunbeamShortName,Raio Solar da Adora
HeroesChurchillPlacementTankDropShortName,Chegada de Tanque do Churchill
HeroesBenjamminDJSkinPlacementPartyLightsShortName,Luzes de Festa do DJ Ben
HeroesStrikerJonesPlacementParadropShortName,Chegada de Paraquedas do Striker
HeroesQuincyPetDadOfQuincyShortName,Pet Pai do Quincy
HeroesGwendolinPetFirefoxShortName,Pet Raposa de Fogo da Gwen
BloonsMOABSkinFootballShortName,MOAB Futebol
BloonsBFBSkinPizzaShortName,BFB Pizza
BloonsZOMGSkinWatermelonShortName,ZOMG Melancia
BloonsMOABSkinMaulerShortName,MOAB Bombado
BloonsMOABSkinPufferFishShortName,MOAB Baiacu
BloonsAllBloonsDecalGooglyEyesShortName,Olhos Esbugalhados
BloonsDDTSkinSharkShortName,DDT Tubarão
BloonsAllBloonsPopsConfettiShortName,Efeito de Confete
BloonsBADSkinPinataShortName,BAD Pinhata
CoopEmoteAnimationDiscoBallShortName,Bola de Discoteca
CoopEmoteAnimationConfettiShortName,Canhão de Confete
CoopEmoteTextAmazingShortName,Texto Incrível
CoopEmoteTextPerfectTimingShortName,Texto Hora Perfeita
CoopEmoteAnimationSirenShortName,Sirene
CoopEmoteAnimationLoveHeartsShortName,Corações Amorosos
CoopEmoteIconNoCashDropsShortName,Sem Descarga de Dinheiro
CoopEmoteTextWhyShortName,Texto Por Quê?
CoopEmoteSoundAirhornShortName,Buzina
CoopEmoteTextAllIsFineShortName,Texto Está Tudo Bem
CoopEmoteIconStopShortName,Pare
CoopEmoteIconDangerShortName,Perigo
GameUIUpgradesDisplayNamedMonkeysShortName,Nomes dos Macacos
GameUIMusicTrackMusicTitleFiestaMixName,Jukebox: Tema Principal - Fiesta Mix
GameUIMusicTrackMusicTitleFiestaMixShortName,Principal - Fiesta
GameUIMusicTrackMusicTitleFiestaMixDescription,Festeje enquanto joga com esse remix dançante do tema principal: Hora da Festa.\nHabilite a música na Jukebox nas configurações do menu principal.
GameUIMusicTrackMusicSunshineGameboyMixName,Jukebox: Serenata à Luz do Sol - Gameboy Mix
GameUIMusicTrackMusicSunshineGameboyMixShortName,Serenata - Gameboy
GameUIMusicTrackMusicSunshineGameboyMixDescription,Curta um passeio nos tempos do 8-bits com a Serenata à Luz do Sol em versão remix antigo.\nHabilite a música na Jukebox nas configurações do menu principal.
GameUIMusicTrackMusicTropicalComplextroMixName,Jukebox: Carnaval Tropical - Complextro Mix
GameUIMusicTrackMusicTropicalComplextroMixShortName,Carnaval - Complextro
GameUIMusicTrackMusicTropicalComplextroMixDescription,Macacos adoram uma boa batida complextro para estourar e o remix de Carnaval Tropical não decepciona.\nHabilite a música na Jukebox nas configurações do menu principal.
GameUIMusicTrackMusicTribesFunkedMixName,Jukebox: Tribos e Tribulações - Funked Mix
GameUIMusicTrackMusicTribesFunkedMixShortName,Tribos - Funked
GameUIMusicTrackMusicTribesFunkedMixDescription,Não dá pra deixar tantos macacos sem um funk. Coloque suas golas largas e correntes de ouro e comece a estourar com esse remix cheio de gingado.\nHabilite a música na Jukebox nas configurações do menu principal.
GameUIProfileAvatar13Name,Avatar Personalizado - Ossos de Motoqueiro
GameUIProfileAvatar13ShortName,Visual Ossos de Motoqueiro
GameUIProfileAvatar13Description,"""Eu sou o macaco da vingança!""\nDefina seu avatar de jogador no retrato do menu principal."
GameUIProfileAvatar14Name,Avatar Personalizado - Alquimista de Tônico Transformador
GameUIProfileAvatar14ShortName,Avatar Transformador
GameUIProfileAvatar14Description,O melhor tônico é um tônico forte.\nDefina seu avatar de jogador no retrato do menu principal.
GameUIProfileAvatar15Name,Avatar Personalizado - Druida Espírito da Floresta
GameUIProfileAvatar15ShortName,Avatar Druida da Floresta
GameUIProfileAvatar15Description,Exiba a serenidade druídica e a união com a natureza.\nDefina seu avatar de jogador no retrato do menu principal.
GameUIProfileAvatar16Name,Avatar Personalizado - Pegue-os!
GameUIProfileAvatar16ShortName,Avatar Pegue-os!
GameUIProfileAvatar16Description,"Nada diz ""macaco gigante"" como isso.\nDefina seu avatar de jogador no retrato do menu principal."
GameUIProfileAvatar17Name,Avatar Personalizado - Ezili Perfil Maneiro
GameUIProfileAvatar17ShortName,Avatar Ezili
GameUIProfileAvatar17Description,Ezili nunca pareceu tão legal.\nDefina seu avatar de jogador no retrato do menu principal.
GameUIProfileAvatar18Name,Avatar Personalizado - Churchill em Ação
GameUIProfileAvatar18ShortName,Avatar Churchill
GameUIProfileAvatar18Description,Pode ser seu dever patriótico exibir esta homenagem aos macacos sob fogo.\nDefina seu avatar de jogador no retrato do menu principal.
MonkeyNameHeader,Editar Nomes dos Macacos
MonkeyNameInstruction,Escolha um nome personalizado para o primeiro macaco de cada tipo. Nomes são limitados a 20 caracteres e 2 linhas para exibição ideal. Use espaço para separar linhas.
OdysseyCompleteDescription,"Parabéns, bravo aventureiro! Você concluiu sua Odisseia e ganhou estas recompensas!"
HeroBoosterDescription,Impulsionar herói para o nível 10 imediatamente?
InappropriateNamedMonkeyName,Escolha um nome de macaco mais apropriado
PatchNotesLink,"Para as notas completas da atualização, vá para:"
TrophyPurchaseConfirmation,Comprar {0} por {1} troféus?
TrophyPurchaseInsufficient,Você não tem troféus suficientes para comprar este item
TrophyStoreBought,Comprado
LotusIsland,Ilha de Lótus
OctoJonesStrikerJonesSkinName,Visual Octojones
OctoJonesStrikerJonesSkinDescription,Eu sou o mar!
OdysseyRestartVoyage,Reiniciar viagem
CoopEmoteTextAmazingWord,Incrível!
CoopEmoteTextPerfectTimingWord,Hora Perfeita
CoopEmoteTextWhyWord,Por Quê?
CoopEmoteTextAllIsFineWord,Está Tudo Bem
PlayerStatsTimesUpgraded,Vezes melhorado
PlayerStatsTimesSacrificed,Vezes sacrificado
TrophyStoreInfoHeader,Informação da Loja de Troféus
TrophyStoreInfoBody,"A Loja de Troféus é lar de muitas melhorias cosméticas incríveis!\n• Ganhe Troféus concluindo a Odisseia, alcançando posições em Corridas e derrotando chefes\n• A maioria dos itens comprados pode ser habilitada ou removida na aba do inventário\n• Faixas de música compradas aparecem na Jukebox\n• Avatares e bandeiras comprados aparecem no perfil do menu principal\n• Macacos nomeados são editados no painel de melhorias do jogo"
RestartOdysseyBody,Quer mesmo reiniciar sua Odisseia?
OdysseyBannerRewards,Ganhe recompensas e Troféus!
UpdateNotes,Notas da atualização
OdysseyEventEnded,O evento da Odisseia terminou!
NamedMonkeysAll,Tudo
NamedMonkeysTitle,Macacos com Nome
PlayerStatsLifetimeTrophies,Troféus da Vida
OdysseyCompletedRewards,Concluído!
OdysseyCrewReset,Quer mesmo redefinir sua tripulação?
Etienne,Etienne
Etienne Short Description,Operador de Drones
Etienne Description,Esse herói tecnológico pode perseguir os Bloons em qualquer lugar com este drone controlado remotamente.
Etienne Level 1 Description,Controle um pequeno drone mortal que atira contra os Bloons.
Etienne Level 2 Description,Alcance do Etienne aumentado.
Etienne Level 3 Description,Enxame de Drones: Etienne dispara mais 4 drones temporários para estourar um monte de Bloons.
Etienne Level 4 Description,Drones aumentam o poder de estouro.
Etienne Level 5 Description,Aumento na velocidade de ataque dos drones e câmera infravermelha permite atirar contra Bloons Camuflados.
Etienne Level 6 Description,Tempo de recarga do Enxame de Drones reduzido.
Etienne Level 7 Description,Etienne agora controla 2 drones de uma vez.
Etienne Level 8 Description,VANT: todos os macacos ganham detecção de Bloons Camuflados.
Etienne Level 9 Description,Drones estouram uma camada extra dos Bloons.
Etienne Level 10 Description,VACNT: drones de vigilância de grande altitude se torna um devastador drone de combate por um tempo curto.
Etienne Level 11 Description,Etienne ganha um terceiro drone para controlar.
Etienne Level 12 Description,Melhorias de drone! Poder de estouro e velocidade de voo aumentados.
Etienne Level 13 Description,Tempo de recarga da habilidade VACNT reduzido.
Etienne Level 14 Description,Aumenta muito o dano dos drones.
Etienne Level 15 Description,Dano e duração do VACNT muito aumentados.
Etienne Level 16 Description,"Melhoria no alcance do Etienne, no poder de estouro dos drones e recarga da habilidade Enxame de Drones."
Etienne Level 17 Description,Dano do VACNT muito aumentado novamente!
Etienne Level 18 Description,Dano dos drones aumentado.
Etienne Level 19 Description,Etienne agora controla quatro drones o tempo todo!
Etienne Level 20 Description,"VACNT Permanente: drone de vigilância se torna um VACNT permanentemente. Quando ativado, se torna mais poderoso por um curto período e pode estourar todos os tipos de Bloons."
Drone Swarm Ability,Enxame de Drones
Drone Swarm Ability Description,Etienne dispara mais 4 drones temporários para estourar um monte de Bloons.
UCAV Ability,VACNT
UCAV Ability Description,Drones de vigilância de grande altitude se torna um devastador drone de combate por um tempo curto.
Mesa,Mesa
DreadPirateBrickellAdmiralBrickellSkinName,"Visual Brickell, Pirata Terrível"
DreadPirateBrickellAdmiralBrickellSkinDescription,A Rainha dos Sete Mares navega novamente!
No Insta Reward,Sem Recompensa na Rodada 100
GameUIProfileAvatar19Name,Avatar Personalizado - Rosto de Adora
GameUIProfileAvatar19ShortName,Avatar de Adora
GameUIProfileAvatar19Description,Adora gosta de seriedade e também de usar este avatar.
GameUIProfileAvatar20Name,Avatar Personalizado - Engenheiro Yes We Can
GameUIProfileAvatar20ShortName,Avatar Engenheiro
GameUIProfileAvatar20Description,Adorar seu trabalho é metade da batalha e esse Engenheiro fica feliz em estourar mais Bloons.
GameUIProfileAvatar21Name,Avatar Personalizado - Brickell P&B
GameUIProfileAvatar21ShortName,Avatar Brickell
GameUIProfileAvatar21Description,"Almirante Brickell comandando sua frota à vitória, capturada em preto e branco."
GameUIProfileAvatar22Name,Avatar Personalizado - DJ Ben Icônico
GameUIProfileAvatar22ShortName,Avatar DJ Ben
GameUIProfileAvatar22Description,DJ Benjamin com seu estilo icônico.
HeroesObynPetWolfName,Pet Lobo Fantasma de Obyn
HeroesObynPetWolfShortName,Lobo Fantasma de Obyn
HeroesObynPetWolfDescription,Os espíritos da florests estão sempre acordados com o encantador lobinho fantasma de Obyn por perto. Obyn original apenas.
HeroesEziliPetFrogName,Pet Sapo de Ezili
HeroesEziliPetFrogShortName,Pet Sapo de Ezili
HeroesEziliPetFrogDescription,Ezili jura que não é um estereótipo de vodu - ela só acha esse sapo muito legal. Ezili original apenas.
BloonsAllBloonsPopsBarrelOfMonkeysName,Efeito Mais Macaco Estouro
BloonsAllBloonsPopsBarrelOfMonkeysShortName,Efeito Macaco Estouro
BloonsAllBloonsPopsBarrelOfMonkeysDescription,Não se pode ter macacos demais! Faça efeitos de macacos coloridos aparecerem com cada estouro.
BloonsAllBloonsTopHatsName,Bloons de Cartola
BloonsAllBloonsTopHatsShortName,Cartolas
BloonsAllBloonsTopHatsDescription,Dê um toque de classe aos Bloons com uma linda e atemporal cartola.
CoopEmoteSoundCricketsName,Efeito Sonoro de Grilos
CoopEmoteSoundCricketsShortName,Grilos
CoopEmoteSoundCricketsDescription,Este é o som do 14º pedido de dinheiro sendo ignorado.
CoopEmoteAnimationSparklingHeartsName,Reação Corações Brilhantes
CoopEmoteAnimationSparklingHeartsShortName,Corações Brilhantes
CoopEmoteAnimationSparklingHeartsDescription,Existem corações e existem corações brilhantes. Nós sabemos a diferença.
CoopEmoteTextLetsGoName,Reação Vamos Lá
CoopEmoteTextLetsGoShortName,Vamos Lá
CoopEmoteTextLetsGoDescription,Você está transbordando de entusiasmo? Pronto pra estourar sem nunca mais parar?! Então vamos lá!
CoopEmoteTextOKName,Reação OK
CoopEmoteTextOKShortName,OK
CoopEmoteTextOKDescription,Perfeita para diversas situações. Comunique-se com o mínimo de letras possível!
OdysseyExtremeModeConfirmCrew,Você escolheu menos que o máximo da tripulação para esta Odisseia Extrema. Tem certeza?
OdysseyAllHeroesText,Todos os Heróis
OdysseyAllTowersText,Todas as Torres Macacos
OdysseyAllPowersText,Todos os Poderes
CoopEmoteTextOKWord,OK
CoopEmoteTextLetsGoWord,Vamos Lá!
OdysseyExtremeModeTitle,Modo Extremo!
OdysseyExtremeModeDescription,"• No modo Extremo, sua tripulação agora é única.\n• Uma vez colocada, cada Torre Macaco foi gasta e não pode ser usada novamente."
OdysseyCrewRemaining,Tripulação restante:
SaveVersionConflict,Conflito de jogo salvo
SaveVersionConflictDescription,"Você tem um jogo salvo de outra versão mais nova que a que você está jogando agora.\nAtualize esta versão, pois qualquer progresso será perdido."
OdysseyStatsLivesRemaining,Vidas restantes
OdysseyStatsTimeTaken,Tempo decorrido
OdysseyStatsTotalMonkeysPlaced,Torres Macacos posicionadas
OdysseyStatsTotalPowersUsed,Poderes usados
BloonsZOMGSkinSteampunkName,ZOMG Steampunk
BloonsZOMGSkinSteampunkShortName,ZOMG Steampunk
BloonsZOMGSkinSteampunkDescription,"Ligue seus motores a vapor, limpe seu monóculo e prepare-se para a aventura!"
BloonsBFBSkinSciFiName,BFB Sci-Fi
BloonsBFBSkinSciFiShortName,BFB Sci-Fi
BloonsBFBSkinSciFiDescription,Alerta vermelho! Este BFB tem phasers definidos para encerrar o jogo!
TT_DivideAndConquer,Divide e Conquiste
TT_ZoneDefense,Defesa de Zona
GameUIMusicTrackMusicSunsetSilentNightMixName,Jukebox: Samba do Pôr do Sol - Mix Noite Silenciosa
GameUIMusicTrackMusicSunsetSilentNightMixShortName,Pôr do Sol - Noite Silenciosa
GameUIMusicTrackMusicSunsetSilentNightMixDescription,Faixa relaxante para baixar a intensidade - perfeita para tarde da noite ou de manhã cedo.
ShowLocalNetworkGames,Mostrar jogos na sua rede local
OdysseyReplayOdyssey,Repetir Odisseia
OdysseyWarnNoTowers,Alerta! Você não terá nenhum macaco para usar na ilha {0}. Tem certeza que deseja prosseguir?
CoopLobbyNotAvailable,Lobby não disponível
NotAvailable,Não disponível
Achievement 93 Name,Aventureiro
Achievement 93 Description,Conclua uma Odisseia
Achievement 94 Name,Aventureiro Experiente
Achievement 94 Description,Conclua uma Odisseia Difícil
Achievement 95 Name,Nenhuma Pedra Desvirada
Achievement 95 Description,Conclua todas as 3 dificuldades de uma única Odisseia
Achievement 96 Name,12 Trabalhos de Macácules
Achievement 96 Description,Conclua 12 Odisseias diferentes
Achievement 97 Name,Ascensão de Macadisseu
Achievement 97 Description,Conclua 50 Odisseias
Achievement 98 Name,Macadisseu Para Sempre
Achievement 98 Description,Conclua 100 Odisseias
Achievement 99 Name,Toda Velocidade à Frente!
Achievement 99 Description,Conclua uma Odisseia em menos de 1 hora
Achievement 100 Name,Atrás do Brilho
Achievement 100 Description,Compre um item da Loja de Troféus
Achievement 101 Name,"Meus Heróis, Meus Problemas"
Achievement 101 Description,Conclua uma Odisseia sem um herói
Heroes Available:,Heróis disponíveis:
Encrypted,Criptografado
TT_Locked,Bloqueado
TT_Normal,Normal
JukeboxLoopTrack,Pista em Loop
TrophyStoreLimitedTime,Tempo Limitado
TowerProjectileBombshooterPumpkinName,Bombardeiro Bombas Abóboras
TowerProjectileBombshooterPumpkinShortName,Bombas Abóboras
TowerProjectileBombshooterPumpkinDescription,"Esqueça as abóboras amassadas, Bombardeiros agora podem disparar abóboras explosivas. Item de colecionador por tempo limitado!"
TowerPetSupermonkeyBatName,Pet Morcego do Supermacaco
TowerPetSupermonkeyBatShortName,Morcego do Supermacaco
TowerPetSupermonkeyBatDescription,Assustadoramente fofo ou fofo de um jeito assustador? Nenhum Supermacaco deve ficar sem seu morcego.
BloonsBADSkinBonesName,BAD Esqueleto
BloonsBADSkinBonesShortName,BAD Esqueleto
BloonsBADSkinBonesDescription,Veja com espanto o assustador BAD Esqueleto. Ou conte aos seus amigos sobre uma nova classe de MOAB.
BloonsAllBloonsDecalAxeName,Bloons Machadinha
BloonsAllBloonsDecalAxeShortName,Bloons Machadinha
BloonsAllBloonsDecalAxeDescription,"A clássica fantasia de Halloween, agora em tamanho único para todos os Bloons! Item de colecionador por tempo limitado!"
CoopEmoteSoundScreamName,Efeito Sonoro de Grito
CoopEmoteSoundScreamShortName,Grito
CoopEmoteSoundScreamDescription,"Grite descrente, grite dando risada ou apenas grite com o Jogador 3 por não compartilhar o dinheiro! Que horror!"
CoopEmoteTextRound100Name,Reação Rodada 100
CoopEmoteTextRound100ShortName,Rodada 100
CoopEmoteTextRound100Description,"Avise aos outros que você quer chegar na rodada 100, vencer o BAD e ganhar aquele instantâneo!"
GameUIPowerSkinSuperVampireStormName,Poder Personalizado - Supertempestade Vampírica
GameUIPowerSkinSuperVampireStormShortName,Supertempestade Vampírica
GameUIPowerSkinSuperVampireStormDescription,"Acabe com esses Bloons como um vampiro, incluindo um bando de morcegos."
GameUIProfileAvatar23Name,Avatar Personalizado - Etienne Brilhante
GameUIProfileAvatar23ShortName,Avatar Etienne
GameUIProfileAvatar23Description,"No topo da turma e pronto pra voar, Etienne se apresentando pro dever!"
GameUIProfileAvatar24Name,Avatar Personalizado - QA Morteiro
GameUIProfileAvatar24ShortName,Avatar Morteiro
GameUIProfileAvatar24Description,Garantia de qualidade de artilharia pesada não é brincadeira!
GameUIProfileAvatar25Name,Avatar Personalizado - Frankenmacaco
GameUIProfileAvatar25ShortName,Avatar Frankenmacaco
GameUIProfileAvatar25Description,"Palavra preferida do Frankenmacaco: ""Bloooooons"". Item de colecionador por tempo limitado!"
GameUIProfileAvatar26Name,Avatar Personalizado - Macaco Lobo
GameUIProfileAvatar26ShortName,Avatar Macaco Lobo
GameUIProfileAvatar26Description,"O avatar mais legal do colégio, o Macaco Lobo adolescente é o garoto mais descolado do bairro. Item de colecionador por tempo limitado!"
GameOverScreen,Fim de jogo
TowerProjectileBananaFarmCandyCornName,Bananas Doces da Fazenda
TowerProjectileBananaFarmCandyCornShortName,Doces da Fazenda
TowerProjectileBananaFarmCandyCornDescription,"Bananas são doces, mas Bananas Doces são mais ainda! Item de colecionador por tempo limitado!"
GameUIPowerSkinHalloweenFarmerName,Poder Personalizado - Fazendeiro Mortal
GameUIPowerSkinHalloweenFarmerShortName,Fazendeiro Mortal
GameUIPowerSkinHalloweenFarmerDescription,"Chegou a hora da sua plantação, e o Fazendeiro Mortal veio buscar. Item de colecionador por tempo limitado!"
GameUIPowerSkinCoffinDropName,Poder Personalizado - Caixões
GameUIPowerSkinCoffinDropShortName,Caixões
GameUIPowerSkinCoffinDropDescription,"Entregas de morcegos cheias de dinheiro são uma coisa real, drones são TÃO atualização passada. Item de colecionador por tempo limitado!"
GameUIMusicTrackMusicFiestaSynthwaveMixName,Jukebox: Fiesta Flamenco - Synthwave Mix
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,Flamenco - Synthwave
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,Sua faixa Flamenco preferida recebe um tratamento anos 80. Cabelão opcional!
TowerProjectileMonkeyAceBonesName,Dardos de Osso Macaco Ás
TowerProjectileMonkeyAceBonesShortName,Dardos de Osso Ás
TowerProjectileMonkeyAceBonesDescription,Jogue dardos de ossos terríveis dos céus com todos os seus Macacos Áses. Item de colecionador por tempo limitado!
TowerPetMonkeySubRubberDuckName,Pet Pato de Borracha do Macaco Sub
TowerPetMonkeySubRubberDuckShortName,Pato de Borracha do Sub
TowerPetMonkeySubRubberDuckDescription,"Olha só, é um pet pro submarino! Patinhos fofos pra todos os seus submarinos. Quack!"
PlayerStatsNecroBloons,Necro Bloons Reanimados
Achievement 102 Name,Macacos Pedaçudos
Achievement 102 Description,"Gosto deles grandes, gosto deles com pedaços"
Achievement 103 Name,Quebrando Promessas
Achievement 103 Description,Reanime 250.000 Bloons para lutar ao seu lado usando o Mago Necromante!
HiddenAchievementQuestionMarkString,???
Achievement 104 Name,Vivendo no Limite
Achievement 104 Description,Vença qualquer jogo não CHIMPS/Inestourável com apenas 1 vida restante
Achievement 105 Name,Sexta Louca
Achievement 105 Description,Use o Tônico Transformador do Alquimista 100 vezes
PlayerStatsTransformingTonics,Tônicos Transformadores usados
Achievement 106 Name,Fã Clube Macaco
Achievement 106 Description,Crie ou faça login na sua conta Ninja Kiwi para salvar seu progresso na nuvem
Total Transformation Ability,Transformação Total
Jungles Bounty Ability,Dom da Selva
Spirit of the Forest Ability,Espírito da Floresta
Ultraboost Ability,Ultraimpulso
Dark Knight Ability,Teleporte Sombrio
Dark Champion Ability,Teleporte Sombrio
Door Gunner Ability,Atirador de Porta
SearchText,Procurando...
DartlingGunnerLockedIn,Na Mira!
TowerEffectAllMonkeysPlacementUpgradesGhostsName,Efeitos de Melhoria e Posicionamento de Fantasma
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,Efeito Melhoria Fantasma
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,Adiciona um toque sobrenatural para cada posicionamento de torre de macaco e melhoria com esse novo efeito de fantasmas
BloonsAllBloonsPopsBonesName,Efeito Estouro Ossos
BloonsAllBloonsPopsBonesShortName,Efeito Estouro Ossos
BloonsAllBloonsPopsBonesDescription,Bloons têm ossos? Bloonatomistas querem saber! Item de colecionador por tempo limitado!
OdysseyThemeBloonRush,Corrida Bloon
OdysseyThemeSpecificBloonRush,Corrida Bloon {0}
OdysseyThemeMegaBloon,Mega {0}
OdysseyThemeRoundMashUp,Rodadas Combinadas
OdysseyThemeRoundMixUp,Rodadas Misturadas
OdysseyThemeEntryMixUp,Entradas Misturadas
OdysseyStars,Estrelas
DisableNudgeMode,Desabilitar Modo Cutucada
More Pops To Open,Mais estouros para abrir!
Most Pops Tip,"Estoure o máximo em partidas do Médio, Difícil e Jogo Livre!"
btd6_churchillbundle,Pacote Herói
btd6_churchillbundle Description,• Herói\n• Visual de herói\n• Animação de posicionamento\n• Avatar
btd6_ezilibundle,Pacote Herói
btd6_ezilibundle Description,• Herói\n• Visual de herói\n• Pet de herói\n• Avatar
btd6_benjaminbundle,Pacote Herói
btd6_benjaminbundle Description,• Herói\n• Visual de herói\n• Animação de posicionamento\n• Avatar
btd6_patfustybundle,Pacote Herói
btd6_patfustybundle Description,• Herói\n• Visual de herói\n• Pet de herói\n• Avatar
Red,Vermelho
Blue,Azul
Green,Verde
Yellow,Amarelo
Pink,Rosa
Purple,Roxo
Lead,Chumbo
Black,Preto
White,Branco
Zebra,Zebra
Rainbow,Arco-Íris
Ceramic,Cerâmica
MOAB,MOAB
BFB,BFB
ZOMG,ZOMG
DDT,DDT
BAD,BAD
Insta Monkey Collection,Coleção de Macaco Insta
Most Experienced Monkey,Macaco com mais experiência
Most Experienced Monkey Xp,Macaco com mais XP
Collection Chests Opened,Baús de coleção abertos
btd6_moremoneypack_sale,Oferta do Pacote de Mais Dinheiro!
btd6_moremoneypack_sale Description,"Todos os Poderes certos para obter dinheiro rápido - 20 Descargas de Dinheiro, 5 Macacos Fazendeiros e 5 Prosperar! Em promoção por tempo limitado!"
EditorRegrowSpeed,Velocidade de Regeneração
HeroBundle,Pacote Herói
GetItAllNow,Pegue tudo agora!
PlacementAnimation,Animação de posicionamento
XFactor,Fator X
Skates,Patins
DartlingGunner Short Description,Macaco Militar
btd6_starterheroskinbundle Description,• 2 visuais do Quincy\n\n• 2 visuais da Gwen\n\n• 2 visuais do Striker\n\n• 2 visuais do Obyn
btd6_starterheroskinbundle,Megapacote
ObynMountainGuardianSkinName,Visual de Guardião da Montanha
ObynMountainGuardianSkinDescription,Os espíritos da montanha despertam.
HeroesPatPetPenguinName,"Pet Fusty, o Pinguim Boneco de Neve"
HeroesPatPetPenguinShortName,Pet Pinguim Boneco de Neve
HeroesPatPetPenguinDescription,"Pinguins são os melhores amigos de um boneco de neve! Apesar desse parecer estar tramando algo... Apenas para Fusty, o Boneco de Neve. Item de colecionador por tempo limitado!"
HeroesAdmiralBrickellPetParrotName,Pet Papagaio Brickell
HeroesAdmiralBrickellPetParrotShortName,Papagaio Brickell
HeroesAdmiralBrickellPetParrotDescription,"Gwaak! Bloons à vista, Bloons à vista! Apenas para Brickell, Pirata Terrível."
TowerPetMonkeyVillageElfName,Pet Duende da Vila Macaco
TowerPetMonkeyVillageElfShortName,Duende da Vila
TowerPetMonkeyVillageElfDescription,"É como o Duende Vigia, mas com mais cabelo e um rabo. Gosta de deixar ""presentes"" por toda a vila. Item de colecionador por tempo limitado!"
TowerEffectAllMonkeysPlacementUpgradesPresentsName,Efeitos de Melhoria e Posicionamento de Presentes
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,Efeito Melhoria Presente
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,Todo dia é Natal quando suas melhorias explodem com presentes! Item de colecionador por tempo limitado!
TowerProjectileBoomerangCandyCaneName,Bumerangue de Macaco de Bengala Doce
TowerProjectileBoomerangCandyCaneShortName,Bumerangue de Bengala Doce
TowerProjectileBoomerangCandyCaneDescription,Estoure Bloons com essas deliciosas bengalas doces! Item de colecionador por tempo limitado!
BloonsAllBloonsSantaHatsName,Chapéu de Papai Noel
BloonsAllBloonsSantaHatsShortName,Chapéu de Papai Noel
BloonsAllBloonsSantaHatsDescription,"Bloons + chapéu de Papai Noel, pesadelo ou o melhor presente de todos? Item de colecionador por tempo limitado!"
BloonsAllBloonsRudolphNoseName,Adesivo Nariz Vermelho
BloonsAllBloonsRudolphNoseShortName,Nariz Vermelho
BloonsAllBloonsRudolphNoseDescription,"Iluminando o caminho para outros Bloons, decore seus MOABs com esses narizes brilhantes! Item de colecionador por tempo limitado!"
BloonsAllBloonsPopsSnowflakesName,Efeito Estouro Flocos de Neve
BloonsAllBloonsPopsSnowflakesShortName,Estouro Flocos de Neve
BloonsAllBloonsPopsSnowflakesDescription,"Torne cada Bloons um floco de neve especial, estourando todos!"
BloonsMOABSkinGlacierName,MOAB Geleira
BloonsMOABSkinGlacierShortName,MOAB Geleira
BloonsMOABSkinGlacierDescription,Macaco das cavernas avisa outro macaco. Grande Bloon vem. Grande Bloons congelado. Macaco das cavernas com fome. Tem banana?
CoopEmoteAnimationHappyHolidaysName,Reação Boas Festas
CoopEmoteAnimationHappyHolidaysShortName,Boas Festas
CoopEmoteAnimationHappyHolidaysDescription,Deseje Boas Festas a todos com essa reação de colecionador por tempo limitado!
CoopEmoteAnimationCelebrationName,Reação Celebração
CoopEmoteAnimationCelebrationShortName,Celebração
CoopEmoteAnimationCelebrationDescription,Faça a contagem pro Ano Novo e faça sua resolução para alcançar um novo recorde de rodadas.
CoopEmoteAnimationFacepalmName,Reação Mão no Rosto
CoopEmoteAnimationFacepalmShortName,Mão no Rosto
CoopEmoteAnimationFacepalmDescription,Ben não compartilha dinheiro? Quincy deixa Bloons passarem por seu arco? Ezili mostra sua decepção com a mão no rosto em várias situações!
GameUIPowerSkinBaubleMineName,Poder Personalizado - Mina de Bugigangas
GameUIPowerSkinBaubleMineShortName,Mina de Bugigangas
GameUIPowerSkinBaubleMineDescription,Estoure MOABs e depois decore sua árvore de Natal! Item de colecionador por tempo limitado!
GameUIPowerSkinRetroTechbotName,Poder Personalizado - Robô Retrô
GameUIPowerSkinRetroTechbotShortName,Robô Retrô
GameUIPowerSkinRetroTechbotDescription,Fique de olho nas suas habilidades ativadas com este maneiríssimo robô retrô. Pilhas não inclusas. Item de colecionador por tempo limitado!
