//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
EmpoweredHeroes,Héroes empoderados
EmpoweredHeroesDescription,Los héroes comienzan cada partida en nivel 3.
AbilityMastery,Maestría de habilidades
AbilityMasteryDescription,"En el nivel 20, las habilidades de nivel 3 de los héroes se recuperan un 30 % más rápido."
BigBloonBlueprints,Planos de bloons grandes
BigBloonBlueprintsDescription,Los héroes hacen +1 de más daño a los bloons clase MOAB con los ataques básicos.
,
// Magic,
MagicTricks,Truco de magia
MagicTricksDescription,La magia guiada y la magia intensa cuestan 25 menos.
LingeringMagic,Magia prolongada
LingeringMagicDescription,"Los proyectiles del mono mago, el supermono, el mono ninja y el druida duran más."
SuperRange,Superalcance
SuperRangeDescription,Aumenta el alcance de la mejora superalcance.
DiversionTactics,Tácticas de distracción
DiversionTacticsDescription,Aumentan las probabilidades de distraer bloons con la mejora distracción.
SpeedyBrewing,Preparación veloz
SpeedyBrewingDescription,Todas las pociones del alquimista se recargan un 5 % más rápido.
WarmOak,Roble cálido
WarmOakDescription,Corazón de roble cuesta 100 menos.
CheaperDoubles,Dobles más baratos
CheaperDoublesDescription,El tiro doble del ninja cuesta 100 menos.
AcidStability,Estabilidad acídica
AcidStabilityDescription,Los charcos de ácido del alquimista duran 5 segundos más.
HotMagic,Magia caliente
HotMagicDescription,Todas las torres de tipo mágico revientan bloons congelados.
ArcaneImpale,Empalador arcano
ArcaneImpaleDescription,El clavo arcano hace más daño a los bloons clase MOAB y cerámicos.
ColdFront,Frente frío
ColdFrontDescription,Los impactos de Esfera de rayo tienen una probabilidad de congelar Bloons después de hacer daño.
FlameJet,Chorro de fuego
FlameJetDescription,Los proyectiles del aliento de dragón se mueven mucho más rápido.
StrikeDownTheFalse,Destrucción de los falsos
StrikeDownTheFalseDescription,El avatar del sol revienta bloons morados.
HeavyKnockback,Retroceso pesado
HeavyKnockbackDescription,Los bloons afectados por el retroceso del supermono reculan un poco más.
StrongTonic,Tónico fuerte
StrongTonicDescription,El tónico transformante dura más.
MoMonkeyMoney,Más mónares
MoMonkeyMoneyDescription,Las victorias de una partida otorgan un 10 % más de mónares en cualquier dificultad.
DeadlyTranquility,Tranquilidad letal
DeadlyTranquilityDescription,Bloonjitsu y Gran maestro ninja obtienen un shuriken más por tiro.
ManaShield,Escudo de maná
ManaShieldDescription,Crea un escudo especial que absorbe hasta 25 vidas gratis. Se recarga poco a poco en cada ronda si no se filtran bloons.
ThereCanBeOnlyOne,Solo puede haber uno
ThereCanBeOnlyOneDescription,Solo puede haber uno.
,
// Powers,
JustOneMore,Solo uno más
JustOneMoreDescription,Las pilas de Abrojos tienen 21 abrojos.
LongerBoosts,Potenciadores más duraderos
LongerBoostsDescription,El potenciador moneril dura más tiempo.
PreGamePrep,Preparación
PreGamePrepDescription,Empieza cada partida con una pila de abrojos permanentes al final del camino.
SupaGroFertilizer,Superpróspero
SupaGroFertilizerDescription,La prosperidad suma 30 % en vez de 25 %.
BudgetCashDrops,Entregas de dinero baratas
BudgetCashDropsDescription,Las Entregas de Dinero cuestan 20 Mónares menos.
LongerDartTime,Detención de tiempo más larga
LongerDartTimeDescription,La detención de tiempo dura más de lo normal.
PowerfulMonkeyStorm,Tormenta de supermonos poderosa
PowerfulMonkeyStormDescription,Supertormenta de supermonos que hace más daño.
FitFarmers,Bananeros ágiles
FitFarmersDescription,Los monos bananeros tienen un radio mayor.
CheaperLakes,Lagos más baratos
CheaperLakesDescription,El lago portátil cuesta 40 mónares.
BudgetPontoons,Pontones baratos
BudgetPontoonsDescription,El pontón cuesta 40 mónares.
MaulingMoabMines,Minas de MOAB mortales
MaulingMoabMinesDescription,Mina de MOAB hace más daño.
BiggerCamoTrap,Camutrampa más grande
BiggerCamoTrapDescription,La Camutrampa dura 600 Bloons.
SupersizeGlueTrap,Pegatrampa tamaño familiar
SupersizeGlueTrapDescription,La pegatrampa desacelera a los bloons clase MOAB pero gasta más pegamento cuando son más grandes.
SupaThrive,Superpróspero
SupaThriveDescription,La prosperidad suma 30 % en vez de 25 %.
,
Monkey Knowledge,Conocimiento moneril
Unlock More Amazing Skills,Desbloquea más habilidades increíbles
Choose a tower to get started,Elige una torre para empezar
Requires Points,Requiere\n{0} puntos
Complete,Completado
Needs,Necesita
Assign+1,Asignar+1
NEW HERO!,¡HÉROE NUEVO!
1 Monkey Knowledge Point!,¡1 punto de conocimiento moneril!
Level Up!,¡+1 nivel!
Max Level!,¡Nivel máx.!
Set Round,Establecer ronda
Set Round Description,Establece las ronda de los jugadores actuales. Ten en cuenta que el número de rondas aumentará cuando pulses Jugar.
Buy Insta Monkeys,Comprar instamonos
,
Mode Clicks,CHIMPS
Mode DoubleMoabHealth,MOAB de PV Doble
Mode AlternateBloonsRounds,Alternar rondas de bloons
Mode Impoppable,Imposibloon
Mode HalfStartingCash,Mitad del dinero inicial
Mode MagicOnly,Solo monos mágicos
Mode HalfCash,Mitad del Dinero
,
Requires internet connection,Requiere conexión a internet
Daily chest countdown,Vuelve en {0} h {1} min. para cobrar la próxima recompensa.
Daily challenge countdown,Regresa en {0} h {1} min. para el próximo desafío
,
// Language,
Chinese Simplified,Chino simplificado
Chinese Traditional,Chino tradicional
Danish,Danés
Dutch,Holandés
English,Inglés
French,Francés
German,Alemán
Italian,Italiano
Norwegian,Noruego
Portuguese,Portugués
Russian,Ruso
Spanish,Español
Swedish,Sueco
Turkish,Turco
Korean,Coreano
Japanese,Japonés
,
Backup,Respaldo
Profile,Cuenta
Copyright,© Ninja Kiwi versión {0}
,
IAP Failed AppNotKnown,No se pudo comprar. La tienda catalogó a la aplicación como desconocida.
IAP Failed NoProductsAvailable,No se pudo comprar. No hay productos disponibles.
IAP Failed PurchasingUnavailable,No se pudo comprar. Habilita las compras dentro de la aplicación en la configuración de dispositivo para continuar.
NaturesWardTotem,Tótem de Centinela de la naturaleza
Natures Ward Totem,Tótem de Centinela de la naturaleza
Max Level Reached,Nivel máx. alcanzado
Marine,Marine
,
Insta monkey roll,Rollo de instamonos
,
// Translated 19/2/2018,
Game Hints,Pistas del juego
Unavailable,No disponible
Auto Start,Inicio automático
Double Cash Mode,Modo dinero doble
Choose a monkey to unlock,Elige un mono para desbloquearlo
Level up monkeys,{0} monos
Unlock,Desbloquear
Upgrade Locked,Mejora bloqueada
Pause,Pausa
Pause Difficulty,Dificultad {0}
Military only,Solo militar
Activated Abilities,Habilidades activadas
Unlock at level,Se desbloquea en el nivel {0}
Restore Purchases,Restaurar compras
,
// NEW TEXT TO TRANSLATE,
,
// First Time Triggers,
ft_regrowbloonstitle,Bloons regenerativos 
ft_regrowbloonsdescription,¡Bloons regenerativos! Estos bloons adorables con forma de corazón regeneran las capas perdidas cada varios segundos.
ft_camobloonstitle,Camufloons
ft_camobloonsdescription,"¡Importante! Tus monos no afectan a los camufloons a menos que tengan una forma de detectarlos. Por ejemplo, Quincy puede hacerlo en nivel 5 y los monos darderos pueden si tienen la mejora Visión mejorada."
ft_leadbloonstitle,Bloons emplomados
ft_leadbloonsdescription,"Bloons emplomados. Están hechos de metal, así que no los dañan las cosas filosas. Usa bombas."
ft_ceramicbloonstitle,Bloons cerámicos
ft_ceramicbloonsdescription,Los bloons cerámicos están cubiertos con una coraza de arcilla endurecida. Debes acertarles varias veces para reventarlos.
ft_moabclassbloonstitle,Bloons clase M.O.A.B.
ft_moabclassbloonsdescription,Ten cuidado con los bloons MOAB. Estas fortalezas flotantes fatales requieren muchísimos impactos para reventar y sueltan bloons cerámicos cuando lo hacen.
ft_purplebloonstitle,Bloons morados
ft_purplebloonsdescription,"Los bloons morados contienen 2 bloons rosas, son rápidos y son inmunes a todos los efectos de tipo energía, fuego y plasma."
ft_activatedabilitiestitle,Habilidades activadas
ft_activatedabilitiesdescription,"¡Tienes una habilidad activada! Estas crean efectos temporales potentes que te ayudan a ganar. Pero elige con cuidado cuándo usarlas, ya que tienen un tiempo de recuperación entre usos."
ft_blackbloonstitle,Bloons negros
ft_blackbloonsdescription,"Los bloons negros son pequeños, pero contienen 2 rosas y son inmunes a las explosiones."
ft_whitebloonstitle,Bloons blancos
ft_whitebloonsdescription,"Los bloons blancos son como los negros, pero inmunes a los efectos de hielo."
ft_fortifiedbloonstitle,Bloons fortificados
ft_fortifiedbloonsdescription,¿Qué es esto? Estos bloons tienen un blindaje adicional que los hace más difíciles de reventar.
ft_trackremovabletitle,Objetos removibles
ft_trackremovabledescription,Algunos caminos tienen objetos que se pueden quitar a un cierto costo. Búscalos en algunos caminos intermedios y más difíciles.
ft_autostarttitle,Inicio automático
ft_autostartdescription,"El inicio automático está activado, es decir que cada ronda empieza de forma automática. Cambia la configuración en el menú Opciones."
ft_bananafarmtitle,Bananal
ft_bananafarmdescription,"¡Tienes un bananal! Estos generan bananas de forma automática durante cada ronda. Toca las bananas para convertirlas en dinero. Pero no tardes mucho, se pudren si no las recolectas."
ft_powerstitle,Poderes
ft_powersdescription,"¡Tienes un poder! Estos crean efectos temporales potentes que te ayudan a ganar, pero se gastan. ¡Elige bien cuándo usarlos!"
ft_monkeyknowledgetitle,Conocimiento moneril
ft_monkeyknowledgedescription,¡Desbloqueaste los secretos del conocimiento moneril! Cada conocimiento otorga beneficios permanentes a los monos.
ft_sandboxmodetitle,Entorno de pruebas
ft_sandboxmodedescription,¡Está listo el simulador de bloons del Dr. Mono! Aquí puedes armar cualquier combinación de monos y probarlos con bloons o incluso con rondas específicas.
ft_ultimatepowertitle,Poder definitivo
ft_ultimatepowerdescription,Los monos de grado 5 son los más poderosos. Solo puedes tener en juego uno de cada rama a la vez.
ft_zomgtitle,Z.O.M.G.
ft_zomgdescription,No hay duda de que esto es lo más grande que pueden enviarnos los bloons... ¿Verdad?
ft_badtitle,B.A.D.
ft_baddescription,"Este es el Bloon de Aniquilación Definitiva. Es grande, lento y muy difícil de derribar."
ft_loginprompttitle,¡Inicia sesión!
ft_loginpromptdescription,Inicia sesión en la nube de Ninja Wiki para hacer una copia de respaldo de tu progreso.
ft_camoremindertitle,¡Cuidado! ¡Camufloons!
ft_camoreminderdescription,Se acercan más camufloons. ¡Prepara las defensas! Hay muchas maneras de reventar camufloons. Prueba estas mejoras: Visión mejorada para los monos darderos o Gafas de visión nocturna para el mono francotirador. Busca otras con camufloons en los íconos de m
ft_upgradesremindertitle,¡Mejora los monos!
ft_upgradesreminderdescription,"Desbloqueaste las mejoras de forma permanente, pero tienes que aplicársela a los monos en el juego. Toca uno ahora para hacerlo. "
,
// Every Time Triggers,
et_clickstitle,C.H.I.M.P.S.
et_clicksdescription,"La verdadera prueba de un maestro de BTD. Sin continuaciones, corazones, ingresos, conocimiento moneril, poderes ni ventas."
et_deflationtitle,Deflación
et_deflationdescription,"Comienzas en la ronda {0} con {1} de dinero, pero no puedes ganar más."
et_apopalypsetitle,Apopalipsis
et_apopalypsedescription,"Enfrentas oleadas de bloons en aumento constante, sin descanso al final de cada ronda. ¿Hasta dónde puedes llegar?\nNota: las partidas guardadas comienzan en cuanto pulsas Jugar."
et_freeplaytitle,¡Juego libre!
et_freeplaydescription,Este es el modo libre y cambiaron las reglas. Los bloons se vuelven más fuertes y rápidos a medida que avanzas. Juega todo lo que puedas.
et_impoppabletitle,Imposibloon
et_impoppabledescription,Imposibloon pondrá a prueba tus habilidades para reventar bloons. Algunas reglas y dificultades del juego libre se aplican en las rondas más avanzadas. ¡Buena suerte!
et_halfcashtitle,Mitad del Dinero
et_halfcashdescription,"Mitad del dinero inicial, dinero de fin de asalto y toda generación de ingresos. ALERTA: ¡también la mitad de Entrega de Dinero y Continuar!"
,
DailyChallengeLocked,Bloqueado: debes tener al menos una torre desbloqueada.
,
// IAP Promo Strings - not in-game,
Pile of Monkey Money IAP Promo,¡3500 Mónares en oferta ahora!
Vault of Monkey Money IAP Promo,¡16 000 Mónares en oferta ahora!
Tier 3 Insta-Towers Pack,¡10 monos de grado 3 en oferta ahora!
,
Continue Round,Ronda {0}
Continue Saved Game?,¿Continuar la partida guardada?
Overwrite save heading,¿Sobrescribir la partida guardada?
Overwrite save details,"Si juegas una partida nueva, se reemplazará la que está guardada. ¿Seguro que quieres continuar?"
Time remaining,Tiempo restante: {0}
Daily challenge completed,Desafío diario completado. El próximo se desbloquea en {0}. 
Try me in the Next Game!,¡Pruébame en la partida siguiente!
GooglePlay login failed,Falló el inicio de sesión en Google Play. Verifica la conexión a Internet y la información de inicio de sesión.
Knowledge unlock tip,Comenzarás a ganar puntos de conocimiento moneril en el nivel 30.
Daily challenges unlock at,Los desafíos y eventos diarios se desbloquean en nivel {0}.
,
,
FriendLiNKLoginRequiredBody,Necesitas una cuenta para ver las puntuaciones de los amigos de Facebook. 
FriendLiNKLoginRequiredTitle,¿Iniciar sesión?
FriendLiNKLoginFailed,Falló el inicio de sesión en Facebook. Verifica la conexión a Internet y la información de inicio de sesión.
Do It,Hazlo
Restart?,¿Reiniciar?
Continue Details,Reintentar esta ronda con vidas y dinero reabastecidos.
Restart Details,¿Seguro que quieres salir y reiniciar?
Insta-Monkey!,¡Instamono!
Power!,¡Poder!
Optimizing,Optimizando...
Task Load Asset Bundles,Descargando contenido nuevo
Task Load global scene,Entrenando monos...
Task Get server time,Tomando un descanso...
Task Set up rendering,Inflando bloons...
Task Set up cameras,Juntando bananas...
Task Load game model,Preparando dardos...
Task Bake meshes,Podando los jardines...
Task Download sku settings,Liberando al Dios Sol Mono...
Task Load fonts,Despertando al dios del sol...
Task Localise,Invocando héroes...
Loading Step,Paso {0} de {1}
Task failed,fallo
downloading,descargando
Waiting for internet connection,esperando conexión a internet...
parsing,descifrando
Back up Successful!,¡Éxito!
Backing Up Data,Copiando datos...
Failed to Backup,Fallo
Quit Game,¿Salir del juego?
Quit Question,¿Seguro que quieres salir del juego?
Quit Cancel,Cancelar
Quit Confirmed,Salir
IAP Failed PurchasingUnavailableAndroid,Inicia sesión con tu cuenta de Google para realizar una compra
Gift received,Regalo recibido
Unlocked,Desbloqueado
Upgrade info,Información de mejora
Tap and hold,Mantén pulsados los íconos de las mejoras para recibir más información.
iveplayedbefore,Ya jugué
notnow,Ahora no
Knowledge Unlock,Desbloquear Conocimiento ahora
New Version,Versión nueva
Update now,Los monos requieren contenido nuevo y unas correcciones excelentes. ¡Actualiza ahora!
Update soon,Hay una actualización disponible. ¡Ven a buscarla!
keep playing,Seguir jugando
playing on another device,Sesión iniciada en otro dispositivo
Applies To This Monkey Only,Se aplica a este Mono solamente.
Applies For This Game Only,Se aplica a esta partida solamente.
All Knowledge On,Activar Conocimiento Moneril
All Knowledge Off,Activar Conocimiento Moneril
Bonus Rewards,Recompensas bonificadas:
FBFriends,Amigos
NewLabel,Nuevo
RateGameTitle,¡Califícanos ahora!
RateGameBody,¿Te gusta el juego? Tómate un momento para calificarnos.
UpdatePanelClose,Cerrar
UpdatePanelUpdate,Actualizar
Advanced Daily Challenge,Desafío avanzado
Max,Máx.
Bloon Health Increased,Aumentó la vida de los cerámicos
Bloon Health Decreased,Disminuyó la vida de los cerámicos
Bloon Speed Increased,Aumentó la velocidad de los bloons
Bloon Speed Decreased,Disminuyó la velocidad de los bloons
Monkey Knowledge Disabled,Se desactivó el conocimiento moneril
No Lives Lost,No se perdieron vidas
ContinuePrevious,Continuar anterior
Monkeys Excluded,Monos excluidos
Build Map Object,Construir por ${0}
Hero Audio Toggle,Audio del personaje
RequiresBananaFarm,Requiere bananal
Respec All Monkey Knowledge Button,Redistribuir conocimiento moneril
Respec Monkey Knowledge Confirm Title,¿Redistribuir el conocimiento moneril?
Respec Monkey Knowledge Confirm Body,Reinicia todo el Conocimiento Moneril para que puedas reasignar todos los puntos. Los Mónares gastados en desbloquear un Conocimiento determinado queda invertido ahí.
Respec Button,Redistribuir
Insta Monkeys UI Visibility,Instamonos
CoopQuickMatch,Partida rápida
CoopCreateMatch,Crear partida
CoopJoinMatch,Unirse a una partida
CoopTwoPlayer,2 jugadores
CoopThreePlayer,3 jugadores
CoopFourPlayer,4 jugadores
CoopTitle,Cooperativo
CoopLookingForMatch,Buscando una partida…
CoopEnterMatchCode,Escribe el código:
CoopPlayers,Jugadores:
CoopTrackType,Dificultad de mapa:
CoopTrackDifficulty,Dificultad de partida:
CoopSettings,Configuración:
CoopCopyCode,Copiar código
CoopPrivate,Privada
CoopPublic,Pública
Mode,Modo de juego
Ready,¡Listo!
CoopCalloutTowersPositive,Maestro constructor
CoopCalloutTowersNegative,Menos es más
CoopCalloutPopsPositive,Maestro reventador
CoopCalloutPopsNegative,Pacifista del reviente
CoopCalloutMOABsPositive,Habilidades superiores
CoopCalloutMOABsNegative,¿Qué MOAB?
CoopCalloutEcoPositive,Financista moneril
CoopCalloutEcoNegative,No hay bananas para ti
CoopCalloutAbilitiesPositive,Activador
CoopCalloutPowersPositive,Mucho poder
CoopCalloutInstasPositive,Ganador instantáneo
CoopMonkeyStar,Estrella moneril
CoopStatsTowers,Torres colocadas
CoopStatsPops,Bloons reventados
CoopStatsEco,Dinero generado
CoopStatsMOABs,MOAB reventados
CoopStatsAbilities,Habilidades usadas
CoopStatsPowers,Poderes usados
CoopStatsInstas,Instamonos usados
TechBot,Tecnobot
EnergisingTotem,Tótem energético
TechBot Description,Tecnobot puede activar las habilidades por ti en cuanto estén listas y así optimizar la eficiencia.
EnergisingTotem Description,¡Más energía! Este tótem incrementa la velocidad de ataque de todos los monos al alcance en 25 %. Dura 5 rondas y se puede recargar.
Recharge,Recargar
InvalidCode,Escribe un código válido.
SearchingForPlayer,Buscando jugador...
WaitingForPlayer,Esperando jugador...
Request,Solicitar $
CyberQuincySkinDescription,Muchos temían lo peor cuando un DDT nefasto dejó malherido a Quincy. Pero el Dr. Mono sabía que tenían la tecnología para reconstruirlo. Ahora es un Quincy evolucionado.
CyberQuincySkinName,Aspecto de Quincy Biónico
CashRequested,${0} solicitó dinero
CashReceived,${0} te envió ${1} de dinero
CountDownTimer,La partida comienza en…
Achievement 51 Name,Cooperación
Achievement 51 Description,Gana 1 mapa en modo cooperativo.
Achievement 52 Name,Cuatro veces mejor
Achievement 52 Description,Gana 1 mapa en modo cooperativo para 4.
Achievement 53 Name,Amenaza triple
Achievement 53 Description,Gana 1 mapa en modo cooperativo para 3.
Achievement 54 Name,¡Colabora!
Achievement 54 Description,Coloca 4 héroes en pantalla a la vez.
Achievement 55 Name,Cuando todo es más difícil...
Achievement 55 Description,Gana 10 partidas modo cooperativo (difícil)
Achievement 56 Name,Alma caritativa
Achievement 56 Description,Otorga 10 000 de dinero en modo cooperativo.
Achievement 57 Name,Buen samaritano
Achievement 57 Description,Otorga 50 000 de dinero en modo cooperativo.
Achievement 58 Name,Donador moneril
Achievement 58 Description,Otorga 100 000 de dinero en modo cooperativo.
Achievement 59 Name,Filántropo moneril
Achievement 59 Description,Otorga 1 000 000 de dinero en modo cooperativo.
Achievement 60 Name,Poder compartido
Achievement 60 Description,Usa 10 poderes en modo cooperativo.
Achievement 61 Name,¡Poder abrumador!
Achievement 61 Description,Usa 100 poderes en modo cooperativo.
Achievement 62 Name,Instadefensa
Achievement 62 Description,Usa 5 instamonos en modo cooperativo.
Achievement 63 Name,Reviente cooperativo
Achievement 63 Description,Revienta 10 000 000 bloons en modo cooperativo.
StaggeredMortarShot,Disperso
TT_TargetSelectedPoint,Establecer objetivo
MortarMessage,[I] para establecer el objetivo
RaceEvent,Evento de carrera
TopBadgeRewards,Mejores recompensas de insignia
RaceButton,Carrera!
RaceRewards,Recompensas de carrera
Leaderboard,Marcador
RaceEventTrigger,"El temporizador se inicia cuando pulsas Jugar. Envía las próximas rondas antes para mejorar el tiempo, pero ten cuidado. Las partidas de carrera no se guardan, así que no las abandones. El mejor tiempo gana en el marcador global. ¡Buena suerte!"
ScientistGwendolinSkinName,Aspecto de Gwendolin científica
ScientistGwendolinSkinDescription,"Si mis cálculos son correctos, veremos mucha goma quemada cuando esta belleza llegue a 1121 grados centígrados."
RaceAgain,Correr de nuevo
RaceVictoryText,¡Muy buen final! Trata de superar ese tiempo para ascender en el marcador.
RaceNewBestTime,¡Récord nuevo!
RaceLeaderboard,Marcadores de carreras
RaceCurrentRewards,Recompensas actuales:
RaceRewardsButton,Recompensas
Click & Drop,Clic y soltar
Screen Size,Tamaño de pantalla
Fullscreen,Pantalla completa
Moab Health Increased,Aumentó la vida de los MOAB
Moab Health Decreased,Disminuyó la vida de los MOAB
Selling Disabled,Ventas desactivadas
Powers Disabled,Poderes desactivados
No Continues,Sin continuaciones
Switching Resolution Body,El cambio de resolución solo se activa cuando recargas el juego.
Switching Resolution Title,Cambiando resolución
RaceEventBanner,Evento de carrera activo
RaceEventBannerRewards,¡Gana insignias y trofeos!
RacePreviousBestTime,Récord:
RaceAgainQuestion,¿Correr de nuevo?
RaceAgainDescription,Corre ahora y trata de mejorar el tiempo.
TrophiesEarned,Trofeos obtenidos:
FreeEntryIn,Entrada gratis en:
RaceSubmissionFail,No se pueden enviar los resultados de la carrera
LeaderboardRank,Rango
LeaderboardPlayerName,Nombre del jugador
LeaderboardBadges,Insignias
LeaderboardBestTime,Récord:
RaceEventEndsIn,El evento termina en:
LoadingPlayer,Cargando jugador
Rank1st,1º
Rank2nd,2º
Rank3rd,3º
RewardsTopPercent,Mejores {0} %
RaceEventEnded,¡Terminó el evento de carrera!
RaceFinishedPlaceAndTime,Completaste {0} con un récord de {1}.
Heartstopper Ability,Infartador
Sacrificial Totem Ability,Tótem sacrificial
MOAB Hex Ability,Maleficio de MOAB
RaceClock,Reloj de carrera
LoginRequiredTitle,Requiere inicio de sesión
LoginRequiredBody,Debes iniciar sesión para tener acceso a esta función
EventRewardsTitle,Recompensas de evento
TT_FollowMouse,Seguir mouse
SteamLoadingMessage,Descomprimiendo recursos
SentaiCaptainChurchillSkinName,Aspecto Churchill sentai
SentaiCaptainChurchillSkinDescription,Que el poder de las bombas láser galácticas cuánticas rápidas como el rayo te proteja.
KartsNDarts,Carros y dardos
Upgrade Path 1,Camino de mejora 1
Upgrade Path 2,Camino de mejora 2
Upgrade Path 3,Camino de mejora 3
ChangeTargeting,Cambiar puntería
ReverseChangeTargeting,Invertir cambio de puntería
PauseDeselect,Pausar/deseleccionar
PlayFastForward,Reproducir/avanzar
SendNextRound,Enviar ronda siguiente (carreras)
Activated Ability 1,Habilidad activada 1
Activated Ability 2,Habilidad activada 2
Activated Ability 3,Habilidad activada 3
Activated Ability 4,Habilidad activada 4
Activated Ability 5,Habilidad activada 5
Activated Ability 6,Habilidad activada 6
Activated Ability 7,Habilidad activada 7
Activated Ability 8,Habilidad activada 8
Activated Ability 9,Habilidad activada 9
Activated Ability 10,Habilidad activada 10
Activated Ability 11,Habilidad activada 11
Activated Ability 12,Habilidad activada 12
SendRedBloon,Enviar bloon rojo
SendBlueBloon,Enviar bloon azul
SendGreenBloon,Enviar bloon verde
SendYellowBloon,Enviar bloon amarillo
SendPinkBloon,Enviar bloon rosa
SendBlackBloon,Enviar bloon negro
SendPurpleBloon,Enviar bloon morado
SendWhiteBloon,Enviar bloon blanco
SendLeadBloon,Enviar bloon emplomado
SendZebraBloon,Enviar bloon cebra
SendRainbowBloon,Enviar bloon arcoíris
SendCeramicBloon,Enviar bloon cerámico
SendTestBloon,Enviar bloon de prueba
SendMoabBloon,Enviar bloon MOAB
SendBfbBloon,Enviar bloon BFB
SendZomgBloon,Enviar bloon ZOMG
SendDdtBloon,Enviar bloon DDT
SendBadBloon,Enviar bloon BAD
RestoreDefaults,Restaurar predeterminados
SaveHotkeyChanges,¿Guardar cambios de atajos?
Hotkeys,Atajos
Monkeys,Monos
Gameplay,Jugabilidad
Revert,Revertir
Save,Guardar
HotkeyModeDescription,Los atajos solo se pueden usar en modo Clic y soltar.
DemoSplashText,Esta versión de Bloons TD 6 se creó solo para fines demostrativos
EditorClearSaveProgressWarning,El desafío tiene modificaciones que cambian el juego y esto eliminará el progreso guardado actual.
EditorInfiniteMaxTowers,Sin límite
EditorDefaultValue,Predeterminado
EditorLoadingChallenge,Cargando…
EditorGeneratingCode,Generando…
EditorEnterCode,Escribe el código
EditorShareError,Error de compartición de desafío.
EditorSubmitError,Error de envío de desafío.
EditorLoadError,Error de carga de desafío.
EditorLevelLockMsg,El editor de desafíos desbloquea en el nivel {0}
EditorCreateChallenge,Crear desafío
EditorPlayChallenge,Jugar desafío
EditorEditChallenge,Editar desafío
EditorShare,Compartir
EditorShareChallenge,Compartir desafío:
EditorSubmit,Enviar
EditorChallengeCode,Código de desafío:
EditorEnterChallengeCode,Escribe el código de desafío:
EditorSubmissionForm,Formulario de envío
EditorSubmissionDescription,Envía tu desafío a Ninja Kiwi y lo consideraremos para los futuros desafíos diarios o avanzados.
EditorFridayStinger,Aguijón de viernes
EditorRemainAnonymous,Permanecer anónimo
EditorChallengeEditor,Editor de desafíos
EditorUndo,Deshacer
EditorReset,Restablecer
EditorRandom,Aleatorio
EditorDifficulty,Dificultad:
EditorGameMode,Modo de juego:
EditorStartingCash,Dinero inicial:
EditorStartingLives,Vidas iniciales
EditorMaxLives,Máx. de vidas:
EditorStartRound,Ronda inicial:
EditorEndRound,Ronda final:
EditorMonkeysExcluded,Monos excluidos
EditorMonkeysIncluded,Monos incluidos
EditorMaxMonkeys,Máx. de monos:
EditorAdd,Agregar 
EditorBloonSpeed,Velocidad de bloons
EditorMoabSpeed,Velocidad de MOAB
EditorCeramicHealth,Vida de cerámicos
EditorMoabHealth,Vida de MOAB
EditorPowers,Poderes:
EditorSelling,En venta:
EditorMonkeyKnowledge,Conocimiento moneril:
EditorContinues,Continuaciones:
EditorLockedSubmitButtonDescription,Ya enviaste este desafío.
EditorLockedShareButtonDescription,"Para compartir el desafío, debes demostrar que es posible y compartir la pantalla de victoria en modo de prueba."
ConflictScreenChoose,Elige una partida guardada
ConflictThisDevice,Este dispositivo
ConflictCloud,En la nube
ConflictTimeHours,Se guardó hace {0} horas
ConflictUseButton,Usar
ConflictNoData,No hay datos
ConflictTimeMinutes,Se guardó hace {0} minutos
ConflictTimeSeconds,Se guardó hace {0} segundos
ConflictTimeDays,Se guardó hace {0} días
FasterMoabs,Aumentó la velocidad de los MOAB
SlowerMoabs,Disminuyó la velocidad de los MOAB
BikerBonesSkinName,Aspecto Biker Bones
BikerBonesSkinDescription,La furia del Dios del Sol ni se compara con la de Biker Bones sin límites.
PatsPond,Estanque de Pat
InappropriateChallengeName,Usa un nombre menos inadecuado e inténtalo de nuevo.
DCVictoryBody,¡Felicitaciones! Completaste {0}.
EditorCreateVictoryBody,¡Felicitaciones! Ahora puedes compartir el desafío con otros.
EditorOlderVersion,Este desafío se creó en la versión {0} y quizá ya no sea posible completarlo.
EditorNewerVersion,Este desafío se creó en una versión más nueva del juego. Actualiza a la más reciente para jugarlo.
DefeatScreenRetryLastRound,Reintentar la última ronda
CoopDoubleCash,(solo un jugador)
EditorThanksForSubmission,Gracias por tu aporte para mejorar aún más Bloons TD6. Esperamos que tu desafío quede elegido y aparezca en la rotación.
SpringSpring,Saltos primaverales
ObynOceanGuardianSkinName,Aspecto de guardián oceánico
ObynOceanGuardianSkinDescription,Vinimos de los océanos y a ellos regresaremos.
CollectionEventHeader,Evento de colección
CoopTriggerText,"En todas las partidas cooperativas se comparten el dinero y los PE de héroe por igual. En esta partida, juegas: {0} – {1}"
Achievement 64 Name,Bloons grandes
Achievement 64 Description,A Pat le gusta aún más abrazar a los bloons grandes
OptionsExtras,Extras
DoubleCashHelper,Aquí encontrarás el modo dinero doble
BigBloonsMode,Bloons grandes
CollectionMonkeyText,Gana en cualquier mapa para obtener recompensas de colección
CoopQuickGame,Partida rápida
CoopMediumGame,Partida intermedia
CoopLongGame,Partida larga
CoopContinuePrompt,La partida continúa en...
CoopRestartPrompt,La partida se reinicia en...
CoopFreeplayPrompt,El juego libre comienza en...
