//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
GameUIProfileAvatar23Name,أفاتار مخصص - برايت إتيان
GameUIProfileAvatar23ShortName,أفاتار إتيان
GameUIProfileAvatar23Description,على رأس فئته وعلى استعداد للطيران، يقوم إيتيان بالخدمة!
GameUIProfileAvatar24Name,أفاتار مخصص - ضمان جودة مدفع الهوان
GameUIProfileAvatar24ShortName,أفاتار الهاون
GameUIProfileAvatar24Description,ضمان جودة المدفعية الثقيلة ليس من عمل القرود!
GameUIProfileAvatar25Name,أفاتار مخصص - للقرد الصريح
GameUIProfileAvatar25ShortName,أفاتار القرد فرانكين
GameUIProfileAvatar25Description,"كلمة فرانكنمانكي المفضلة: ""بلوووووووونز"" عنصر جامعي الوقت المحدود!"
GameUIProfileAvatar26Name,أفاتار مخصص - القرد المستذئب
GameUIProfileAvatar26ShortName,أفاتار القرد المستذئب
GameUIProfileAvatar26Description,أروع أفاتار في المدرسة، القرد المستذئب المراهق هو أروع طفل في الساحة. عنصر جامعي الوقت المحدود!
GameOverScreen,انتهت اللعبة
TowerProjectileBananaFarmCandyCornName,حلوى مزرعة الموز الذرة نانس
TowerProjectileBananaFarmCandyCornShortName,مزرعة حلوى الذرة
TowerProjectileBananaFarmCandyCornDescription,الموز حلو، لكن نانات كاندي كورن تصنع ألعابًا أكثر حلاوة. عنصر جامع الوقت المحدود!
GameUIPowerSkinHalloweenFarmerName,القوة المخصصة - المزارع القاتم
GameUIPowerSkinHalloweenFarmerShortName,المزارع القاتم
GameUIPowerSkinHalloweenFarmerDescription,تدق الأجراس لمحاصيل المزارع الخاصة بك، والمزارع القاتم موجود هنا للجمع. عنصر جامعي الوقت المحدود!
GameUIPowerSkinCoffinDropName,قوة مخصصة - سقوط النعش
GameUIPowerSkinCoffinDropShortName,سقوط النعش
GameUIPowerSkinCoffinDropDescription,عمليات تسليم الخفافيش المليئة بالمال شيء تمامًا، والطائرات بدون طيار هي تحديث سابق. عنصر جامعي الوقت المحدود!
GameUIMusicTrackMusicFiestaSynthwaveMixName,صندوق الموسيقى: فييستا فلامنكو - سينثوايف ميكس
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,فلامنكو - سينثوايف
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,يحصل مسار الفلامنكو المفضل لديك على علاج الثمانينيات. الشعر الكبير اختياري!
TowerProjectileMonkeyAceBonesName,سهام عظمية للقرد الطيار
TowerProjectileMonkeyAceBonesShortName,سهام عظمية للقرد الطيار
TowerProjectileMonkeyAceBonesDescription,تنهمر عظام غول المطر من أعلى مع جميع قرودك الطيارة إرسالك من القرود. عنصر جامعي الوقت المحدود!
TowerPetMonkeySubRubberDuckName,القرد الغواص الحبيب المطاط الحيوانات الأليفة
TowerPetMonkeySubRubberDuckShortName,غواصة البط الأليف
TowerPetMonkeySubRubberDuckDescription,راب - أ - داب - داب، إنه حيوان أليف للغواصة! البط المطاطي لطيف لجميع الغواصات. هيونك!
PlayerStatsNecroBloons,إعادة إحياء بالونات النيكرو
Achievement 102 Name,قرود مكتنزة
Achievement 102 Description,أنا أحبها كبيرة، ومكتنزة
Achievement 103 Name,الحانثون بالعهد
Achievement 103 Description,أعد إحياء 250000 بالونات للقتال إلى جانبك باستخدام معالج مستحضر الأرواح
HiddenAchievementQuestionMarkString,؟؟؟
Achievement 104 Name,العيش على الحافه
Achievement 104 Description,اربح أي لعبة غير تابعة لتشيمبس/استحالة الفرقعة مع بقاء حياة واحدة فقط
Achievement 105 Name,فريكي فرايداي
Achievement 105 Description,استخدم قدرات منشط التحويل الخاص بالكيميائي 100 مرة
PlayerStatsTransformingTonics,المقويات التحويلية المستخدمة
Achievement 106 Name,نادي المعجبين بالقرود
Achievement 106 Description,قم بإنشاء أو تسجيل الدخول إلى حساب نينجا كيواي الخاص بك لحفظ تقدمك على السحابة
Total Transformation Ability,التحول الكلي
Jungles Bounty Ability,مكافأة الغابة
Spirit of the Forest Ability,روح الغابة
Ultraboost Ability,المعزز الفائق
Dark Knight Ability,التنقل في الظلام
Dark Champion Ability,التنقل في الظلام
Door Gunner Ability,مدفعجي الباب
SearchText,بحث...
DartlingGunnerLockedIn,محبوس!
TowerEffectAllMonkeysPlacementUpgradesGhostsName,وضع الأشباح وتأثيرات الترقية
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,المؤثرات الصوتية لترقية الشبح
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,أضف ذوقًا خارقًا إلى كل موضع في برج القرد وقم بالترقية باستخدام تأثير الأشباح الجديد
BloonsAllBloonsPopsBonesName,بونز بوب اف اكس
BloonsAllBloonsPopsBonesShortName,بونز بوب اف اكس
BloonsAllBloonsPopsBonesDescription,هل لدى البالونات عظام؟ يود أخصائيو التشريح معرفة ذلك! عنصر جامعي الوقت المحدود!
OdysseyThemeBloonRush,وقت الذروة للبالونات
OdysseyThemeSpecificBloonRush,{0} وقت الذروة للبالونات
OdysseyThemeMegaBloon,{0} ميغا
OdysseyThemeRoundMashUp,هرس دائري
OdysseyThemeRoundMixUp,خلط دائري
OdysseyThemeEntryMixUp,دخول فوضوي
OdysseyStars,نجوم
DisableNudgeMode,تعطيل وضع الدفع
More Pops To Open,المزيد من الفرقعة للفتح!
Most Pops Tip,احصل على أكبر عدد من الفرقعة في الأدوار المتوسطة والصعبة واللعب الحر!
btd6_churchillbundle,حزمة البطل
btd6_churchillbundle Description,• البطل\n\n• مظهر البطل\n\n• حركة المواضع\n\n• أفاتار
btd6_ezilibundle,حزمة البطل
btd6_ezilibundle Description,• البطل\n\n• مظهر البطل\n\n• حيوان البطل\n\n• أفاتار
btd6_benjaminbundle,حزمة البطل
btd6_benjaminbundle Description,• البطل\n\n• مظهر البطل\n\n• حركة المواضع\n\n• أفاتار
btd6_patfustybundle,حزمة البطل
btd6_patfustybundle Description,• البطل\n\n• مظهر البطل\n\n• حيوان البطل\n\n• أفاتار
Red,أحمر
Blue,أزرق
Green,أخضر
Yellow,أصفر
Pink,وردي
Purple,أرجواني
Lead,رصاص
Black,أسود
White,أبيض
Zebra,مخطط بنمط الحمار الوحشي
Rainbow,قوس قزح
Ceramic,سيراميك
MOAB,موآب
BFB,بي إف بي
ZOMG,زومجينيتور
DDT,دي دي تي
BAD,بي إيه دي
Insta Monkey Collection,مجموعة القرود الجاهزة
Most Experienced Monkey,القرد الأكثر خبرة
Most Experienced Monkey Xp,نقاط خبرة القرد الأكثر خبرة
Collection Chests Opened,فتح صناديق التجميع
btd6_moremoneypack_sale,تخفيضات حزمة بمزيد من الأموال!
btd6_moremoneypack_sale Description,كل الصلاحيات الصحيحة للحصول على المال بسرعة - 20 قطرة نقدية، و 5 مزارعين قرود، و 5 مزارعي! تخفيضات لفترة محدودة!
EditorRegrowSpeed,معدل إعادة النمو
HeroBundle,حزمة البطل
GetItAllNow,احصل عليه الآن!
PlacementAnimation,وضع الرسوم المتحركة
XFactor,إكس فاكتور
Skates,زلاجات
DartlingGunner Short Description,القرد العسكري
btd6_starterheroskinbundle Description,• 2 مظاهر كوينسي\n• 2 مظاهر جوين\n• 2 مظاهر المهاجم\n• 2 مظاهر أوبين
btd6_starterheroskinbundle,باقة ضخمة
ObynMountainGuardianSkinName,مظهر حارس الجبل
ObynMountainGuardianSkinDescription,إيقاظ أرواح الجبل
HeroesPatPetPenguinName,فوتسي سنومان على شكل البطريق الأليف
HeroesPatPetPenguinShortName,سنومان على شكل بطريق أليف
HeroesPatPetPenguinDescription,البطاريق هي أفضل صديق لرجل الثلج! على الرغم من أن هذا الشخص يبدو أنه يخطط لشيء ما... فوستي ذا سنومان فقط. عنصر جامعي الوقت المحدود!
HeroesAdmiralBrickellPetParrotName,ببغاء بريكل الأليف
HeroesAdmiralBrickellPetParrotShortName,ببغاء بريكل
HeroesAdmiralBrickellPetParrotDescription,جواك! بلونز أهوي، بلونز أهوي! رهبة بريكل القراصنة فقط
TowerPetMonkeyVillageElfName,الإلف الأليف لقرية القرود
TowerPetMonkeyVillageElfShortName,إلف القرية
TowerPetMonkeyVillageElfDescription,"هذا مثل إلف موجود على الرف إلا مع المزيد من الشعر والذيل. يحب ترك ""الهدايا"" حول القرية أيضًا. عنصر جامعي الوقت المحدود!"
TowerEffectAllMonkeysPlacementUpgradesPresentsName,وضع الهدايا وتأثيرات الترقية
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,المؤثرات الصوتية لترقية الهدايا
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,كل يوم هو عيد ميلاد مجيد عندما تنفجر جميع ترقياتك بالهدايا! عنصر جامعي الوقت المحدود!
TowerProjectileBoomerangCandyCaneName,خشبات مرتدة على شكل حلوى قصب السكر لقرد الخشبة المرتدة
TowerProjectileBoomerangCandyCaneShortName,خشبات مرتدة على شكل حلوى قصب السكر
TowerProjectileBoomerangCandyCaneDescription,يمكنك فرقعة البالونات بحلوى قصب الحلوى اللذيذة هذه! عنصر جامعي الوقت المحدود!
BloonsAllBloonsSantaHatsName,قبعات سانتا
BloonsAllBloonsSantaHatsShortName,قبعات سانتا
BloonsAllBloonsSantaHatsDescription,بالونات + قبعات سانتا، أشياء من الكوابيس أو أفضل هدية على الإطلاق؟ عنصر جامعي الوقت المحدود!
BloonsAllBloonsRudolphNoseName,ملصق الأنف الأحمر
BloonsAllBloonsRudolphNoseShortName,الأنف الأحمر
BloonsAllBloonsRudolphNoseDescription,قم بإضاءة الطريق أمام بالونات الأخرى، وقم بتجهيز موآب الخاصة بك بهذه الأنوف اللامعة! عنصر جامعي الوقت المحدود!
BloonsAllBloonsPopsSnowflakesName,المؤثرات الخاصة لفرقعة رقاقات الثلج
BloonsAllBloonsPopsSnowflakesShortName,المؤثرات الخاصة لفرقعة رقاقات الثلج
BloonsAllBloonsPopsSnowflakesDescription,اجعل كل بالون ندفة ثلجية خاصة، عن طريق فرقعته!
BloonsMOABSkinGlacierName,"منطاد ""موآب"" الجليدي المتجمد"
BloonsMOABSkinGlacierShortName,"منطاد ""موآب"" الجليدي المتجمد"
BloonsMOABSkinGlacierDescription,قرد الكهف يحذر قرد آخر. بالون كبير يأتي. بالون كبير بارد متجمّد. قرد الكهف جائع. هل لديك أي موز؟
CoopEmoteAnimationHappyHolidaysName,رمز معبر لإجازات سعيدة
CoopEmoteAnimationHappyHolidaysShortName,إجازات سعيدة
CoopEmoteAnimationHappyHolidaysDescription,أتمنى للجميع موسم أعياد سعيد مع تعبيرات جامع الوقت المحدود هذه!
CoopEmoteAnimationCelebrationName,رمز معبر عن الاحتفال
CoopEmoteAnimationCelebrationShortName,الاحتفال
CoopEmoteAnimationCelebrationDescription,عد في العام الجديد ثم اتخذ قرارًا للوصول إلى أعلى جولة شخصية جديدة
CoopEmoteAnimationFacepalmName,رمز التعبير عن الخيبة والإحباط
CoopEmoteAnimationFacepalmShortName,تغطية الوجه باليد للتعبير عن الخيبة والإحباط
CoopEmoteAnimationFacepalmDescription,بن لا يشارك النقود؟ (كوينسي) ترك (البالونات) تتجاوز قوسه؟ راحة يد إيزيلي مناسبة في كثير من المواقف!
GameUIPowerSkinBaubleMineName,طاقة مخصصة - منجم الحلي
GameUIPowerSkinBaubleMineShortName,منجم الحلي
GameUIPowerSkinBaubleMineDescription,تفجير موآب ثم تزيين شجرة عيد الميلاد! عنصر جامعي الوقت المحدود!
GameUIPowerSkinRetroTechbotName,قوة مخصصة - بوتقة تكنولوجيا رجعية
GameUIPowerSkinRetroTechbotShortName,بوتقة تكنولوجيا رجعية
GameUIPowerSkinRetroTechbotDescription,ابق على اطلاع بقدراتك النشطة مع هذا الروبوت الرائع . بطارية ليست مرفقة. عنصر جامعي الوقت المحدود!
GameUIPowerSkinIcebergPontoonName,قوة مخصصة - عوامة الجبل الجليدي
GameUIPowerSkinIcebergPontoonShortName,عوامة الجبل الجليدي
GameUIPowerSkinIcebergPontoonDescription,شاهد متاعب بالونك تتلاشى مع هذا الجليد الرائع من عوامة الجبل الجليدي.
GameUIProfileAvatar27Name,أفاتار مخصص - القرد الطيار
GameUIProfileAvatar27ShortName,أفاتار القرد الطيار
GameUIProfileAvatar27Description,القرد الطيار متجه لعملية إنقاذ! يمكنك التحكم في السماء بهذا الأفاتار الرائع
GameUIProfileAvatar28Name,أفاتار مخصص - مدفعجي الدارتلنج
GameUIProfileAvatar28ShortName,أفاتار مدفعجي الدارتلنج
GameUIProfileAvatar28Description,لقد رأيت برج القرد، احصل الآن على أفاتار! أظهر حبك لمرفقع البالونات المفضل عتيق الطراز!
GameUIProfileAvatar29Name,أفاتار مخصص - نينجا الشتاء
GameUIProfileAvatar29ShortName,أفاتار نينجا الشتاء
GameUIProfileAvatar29Description,استعد لقضاء العطلات مع صورة النينجا الرمزية الرائعة هذه. عنصر جامعي الوقت المحدود!
GameUIProfileAvatar30Name,أفاتار مخصص - رقعة أيام العطلة
GameUIProfileAvatar30ShortName,أفاتار رقعة أيام العطلة
GameUIProfileAvatar30Description,تنطوي الرقعة على تحديث لك، عيد ميلاد سعيد وسنة جديدة سعيدة! عنصر جامعي الوقت المحدود!
RecurringRangs,خشبات مرتدة متكررة
RecurringRangsDescription,سيتم إلقاء خشبات مرتدة والتي تعود إلى قرد الخشبة المرتدة مرة ثانية.
FirstLastLineOfDefense,أول وآخر خط دفاع
FirstLastLineOfDefenseDescription,سعر شراء أول مصنع مسامير شائكة لكل لعبة هو 150 دولارًا على أقل سعر.
FlankingManeuvers,مناورات تطويقية
FlankingManeuversDescription,"هجوم القناص وغواصة القرود والقرد القرصان أسرع بنسبة 10٪ عند التعيين على أولوية الاستهداف ""الأخيرة""."
EmergencyUnlock,فتح الطوارئ
EmergencyUnlockDescription,القدرة المفعلة: يفتح قفل مدفعجي الدارتلنج المقفول ويعزز سرعة الدوران لديهم لفترة قصيرة.
GorgonStorm,عاصفة الغورغون
GorgonStormDescription,عاصفة صواريخ هيدروليكية تصعق البالونات التالفة لفترة قصيرة.
CrossTheStreams,عبور التيارات
CrossTheStreamsDescription,عندما تتقاطع أشعة البلازما أو الموت على المسار فإنها تخلق تجمعات بلازما مؤقتة.
MonkeysTogetherStrong,القرود معا قوية
MonkeysTogetherStrongDescription,يحصل الأبطال على خبرة إضافية بنسبة 5٪ لكل بطل يتم وضعه.
GrandPrixSpree,سباق الجائزة الكبرى مرح
GrandPrixSpreeDescription,يتم تقليل تكلفة أموال القرود لدخول السباقات بنسبة 10٪.
ChallengeBrowser,متصفح التحدي
Trending,تريندنج
Casual,غير رسمي
Newest,الأحدث
Expert,خبير
MostLiked,الأكثر إعجابًا
Favorites,المفضلة
Played,تم اللعب
MyChallenges,تحدياتي
ChallengeName,اسم التحدي
Creator,المنشئ
Likes,الإعجابات
WinPercent,٪ فوز
Create,إنشاء
PageXofY,الصفحة {0} من {1}
ChallengeInfo,معلومات التحدي:
TimeUploaded,وقت التحميل
Last24Hours,أخر 24 ساعة
LastWeek,الأسبوع الماضي
LastMonth,الشهر الماضي
AllTime,طوال الوقت
NoChallengesFound,لم يتم العثور على تحديات
Shared,مشاركة
DeleteThisSave,حذف هذا المحفوظ؟
DeleteThisChallenge,هل تريد حذف هذا التحدي نهائيًا؟
ShareAgainIn,شارك مرة أخرى في:
ShareAgainExplanation,شارك مرة أخرى عندما يبدأ العد التنازلي. يجب عليك التغلب على التحدي من أجل مشاركته.
MySavedGames,ألعابي المحفوظة
ConfirmShare,تأكيد المشاركة؟ سيظهر على متصفح المحتوى في غضون بضع دقائق.
Custom,العادة
ChallengeSearch,البحث / رمز التحدي...
IncludeOldVersions,إدراج الإصدارات القديمة
Achievement 107 Name,هل أنت جاهز أيها اللاعب رقم واحد؟
Achievement 107 Description,استضف واربح 10 ألعاب تعاونية
Achievement 108 Name,كراش أوف ذا تايتنز
Achievement 108 Description,"تجريد التحصينات من مناطيد ""دي.دي.تي"" المحصنة بمقدار 3000 مرة"
Achievement 109 Name,الشفرة
Achievement 109 Description,قم بإرسال تحدي إلى متصفح المحتوى
Achievement 110 Name,إعطاء الهدية مرة ثانية
Achievement 110 Description,فرقعة مليون بالونة باستخدام مدفعجية دارتلنج
Achievement 111 Name,كوبون مجنون
Achievement 111 Description,أنفق 50 جائزة على الأقل في متجر الجوائز.
Achievement 112 Name,الإرضاء الفوري
Achievement 112 Description,استخدم قرد جاهز على المستوى 5. ملاحظة: حتى بعد استخدامها، لا تزال القرود الجاهزة تحتسب ضمن مجموعتك!
Achievement 113 Name,قرن القرود الجاهزة
Achievement 113 Description,استخدم 100 قرد جاهز. ملاحظة: حتى بعد استخدامها، لا تزال القرود الجاهزة تحتسب ضمن مجموعتك!
Achievement 114 Name,جولة محدودة
Achievement 114 Description,اشتر بند واحد جديد على الأقل لفترة محدودة من متجر الجوائز
Achievement 115 Name,أدوات لداروين
Achievement 115 Description,"ترقية الأبراج 20,000 مرة"
Achievement 116 Name,الإستراتيجية العنيدة
Achievement 116 Description,فقط لأنه يمكن عمل شيء ما، لا يعني أنه يجب القيام به
ChallengeBrowserDescription,تشغيل وإنشاء وتقييم محتوى المجتمع!
VerifiedUser,مستخدم تم التحقق منه
TrophyBadgesEmpty,فز بالمباريات لتحصل على ميداليات!
,
// External cleaning app (not in binary),
cleaner.oops.title,أُووبس!
cleaner.oops.message,الرجاء تحديد خيار صالح ...
cleaner.warning.title,هل أنت واثق؟
cleaner.warning.message,تحذير: لا يمكن التراجع عنه!
cleaner.title,{0} ماسح
cleaner.Message,الرجاء تحديد خيار:
cleaner.RadioButton_CleanAll,مسح الجميع
cleaner.RadioButton_Keep,حافظ على الإعدادات والتقدم
cleaner.RadioButton_CleanSelective,مسح انتقائي
cleaner.CheckBox_Preferences,التفضيلات
cleaner.CheckBox_Progress,التقدم
cleaner.Button_Run,استمرار
cleaner.Button_Exit,خروج
cleaner.allDone,كل شيء جاهز!
// External cleaning lines complete,
,
ChallengeBrowserError,حدث خطأ أثناء تحميل متصفح المحتوى
OverwriteChallengeBrowserText,سيتم الكتابة فوق أقدم حفظ لك. هل أنت واثق؟
OverwriteChallengeBrowserHeader,هل تريد تجاوز الحفظ؟
GameUIMusicTrackMusicJingleBloonsName,صندوق الموسيقى: بالونات جِنجل
GameUIMusicTrackMusicJingleBloonsShortName,بالونات جِنجل
GameUIMusicTrackMusicJingleBloonsDescription,احتفل بالأعياد مع مسار بالونات الأصلي الجديد الرائع هذا. انغمس على طول الطريق!\nمكّن الموسيقى عبر صندوق الموسيقى في إعدادات القائمة الرئيسية
Favorite,المفضل
FasterRegen,زيادة معدل التجديد
SlowerRegen,انخفاض معدل التجديد
NewTower,برج جديد
MapUnlockTutorHeader,فتح الخرائط
MapUnlockTutorBody,اربح خريطة لأول مرة في أي فئة لإلغاء تأمين خريطة واحدة في الفئة التالية.\n\n• يفتح المبتدئ الوسيط\n•فتح القفل الوسيط متقدم\n•يفتح المتقدم الخبير
HideCompleted,اكتمل الإخفاء
Ravine,إفجيج
GameUIProfileAvatar31Name,أفاتار مخصص - نينجا كابوكي
GameUIProfileAvatar31ShortName,أفاتار نينجا كابوكي
GameUIProfileAvatar31Description,يتميز قرد النينجا بأن لديه أفضل مكياج مسرحي
GameUIProfileAvatar32Name,أفاتار مخصص - طائرة مروحية
GameUIProfileAvatar32ShortName,أفاتار قائد الطائرة المروحية
GameUIProfileAvatar32Description,الى السماوات! يجمع أفاتار قائد الطائرة المروحية بين الجاذبية والفعالية
BloonsAllBloonsTruckerHatsName,قبعات سائق الشاحنة
BloonsAllBloonsTruckerHatsShortName,قبعات سائق الشاحنة
BloonsAllBloonsTruckerHatsDescription,تلك البالونات موجودة فيه لفترة طويلة! حافظ على قيادة الشاحنة يا رفيقي
BloonsAllBloonsPopsPowName,المؤثرات الخاصة لفرقعة باو
BloonsAllBloonsPopsPowShortName,المؤثرات الخاصة لفرقعة باو
BloonsAllBloonsPopsPowDescription,باو! بام! فرقعة! انحر المزيد من البالونات مع هذه الرسوم المتحركة الرائعة لباو بوب.
BloonsBFBSkinLanternName,"فانوس منطاد ""بي إف بي"""
BloonsBFBSkinLanternShortName,"فانوس منطاد ""بي إف بي"""
BloonsBFBSkinLanternDescription,"اجلب الحظ والازدهار والضوء إلى ساحة المعركة مع هذا الجلد الرائع من منطاد ""بي إف بي"""
TowerProjectileSpikeFactoryPineapplesName,أناناس مصنع المسامير
TowerProjectileSpikeFactoryPineapplesShortName,أناناس مصنع المسامير
TowerProjectileSpikeFactoryPineapplesDescription,ما هو الشيء الأكثر احتواء على أشواك ونتوءات من الكرة المسننة؟ حسنًا إنه الأناناس بالطبع! أوقات سعيدة بوبين. ترقية الكرات المسننة فقط.
GameUIMusicTrackMusicBMCStreetPartyName,صندوق الموسيقى: حفلة في شارع بي إم سي
GameUIMusicTrackMusicBMCStreetPartyShortName,حفلة في شارع بي إم سي
GameUIMusicTrackMusicBMCStreetPartyDescription,لقد عاد الاحتفال! حسب الطلب الشعبي، حفلة شوارع من مدينة القرود في بلونز!
FirstTimeContinue,أوه لا! البالونات تعبر! يمكنك المتابعة هذه المرة الأولى مجانًا، ولكن بعد ذلك ستكلف أموال القرود
Follow,متابعة
Unfollow,إلغاء المتابعة
Following,متابعة
Primary Knowledge,المعرفة الأساسية
Military Knowledge,المعرفة العسكرية
Magic Knowledge,المعرفة السحرية
Support Knowledge,المعرفة الداعمة
Heroes Knowledge,معرفة الأبطال
Powers Knowledge,معرفة القوى
Block followers,حظر المتابعين
Unblock followers,فك حظر المتابعين
Followers,متابعون
Submitted Challenges,التحديات المقدمة
TurnOnNotificationsCreator,هل تريد تشغيل الإشعارات لهذا المنشئ؟
TurnOffNotificationsCreator,هل تريد إيقاف تشغيل الإشعارات لهذا المنشئ؟
TargetingOptionFirstTimePopup,يمكن أن يساعد تغيير خيارات الاستهداف في بعض الأحيان في الجولات الصعبة!
et_challengefreeplaytitle,تحدي اللعب الحر!
et_challengefreeplaydescription,هذا هو وضع اللعب الحر للتحديات. يمكنك الاستمرار في اللعب ولكنك لن تتلقى نقاط خبرة أو أي مكافآت.
GameServicesBlockedText,هناك شيء ما يمنع الوصول إلى خدمات الألعاب لدينا. قد تتأثر طريقة اللعب، قم بتعطيل خدمة الحظر لتجنب المشكلات غير المتوقعة. لمزيد من المعلومات: https://ninja.kiwi/btd6_network
DoubleCashDisabled,تم تعطيل مضاعفة النقود
UnableToAccessDomain,يتعذر الوصول إلى {0}، قم بتعطيل خدمات الحظر وحاول مرة أخرى
Custom Rounds,جولات مخصصة
Warning,تحذير
Player Completion Rate,معدل إتمام اللاعب
Win Rate,معدل الفوز
HeroesBenjaminPlacementMatrixName,وضع وترقية مصفوفة بنيامين
HeroesBenjaminPlacementMatrixShortName,مصفوفة بنيامين
HeroesBenjaminPlacementMatrixDescription,واو، الآن أعرف رياضة الكونغ فو! بنيامين الأصلي فقط
HeroesObynPetBunnyName,أوبين الأرنب الأليف
HeroesObynPetBunnyShortName,أوبين الأرنب الأليف
HeroesObynPetBunnyDescription,هذا الأرنب الصغير اللطيف هو أحد أفضل أصدقاء أوبين. أوبين الأصلي فقط. عنصر جامعي الوقت المحدود!
TowerProjectileDartlingEasterEggsName,حبيبات دارتلينج بيض عيد الفصح
TowerProjectileDartlingEasterEggsShortName,دارتلينج بيض عيد الفصح
TowerProjectileDartlingEasterEggsDescription,تحميل مع الشوكولاتة اللذيذة واطلق القذائف بعيدًا! ترقيات الرصاص والصواريخ فقط. عنصر جامعي الوقت المحدود!
TowerPetNinjaMonkeyKiwiName,نينجا قرد الكيوي الأليف
TowerPetNinjaMonkeyKiwiShortName,نينجا الكيوي الأليف
TowerPetNinjaMonkeyKiwiDescription,طائر الكيوي الشجاع الذي لا يطير، أنبل الصاحب لقرد النينجا
BloonsMOABSkinChocolateName,"منطاد ""موآب"" بيض بالشوكولاتة"
BloonsMOABSkinChocolateShortName,"منطاد ""موآب"" بيض بالشوكولاتة"
BloonsMOABSkinChocolateDescription,"قد تكون مغطاة بالشوكولاتة، لكن منطاد ""موآب"" لا يزال يحتوي على 4 قطع خزفية بداخله! عنصر جامعي الوقت المحدود!"
BloonsBFBSkinChocolateName,"منطاد ""بي إف بي"" بيض بالشوكولاتة"
BloonsBFBSkinChocolateShortName,"منطاد ""بي إف بي"" بالشوكولاتة"
BloonsBFBSkinChocolateDescription,"نقاط المكافأة إذا كان منطاد ""بي إف بي"" بالشوكولاتة الخاص بك يحتوي على مناطيد ""موآب"" بالشوكولاتة بداخله. عنصر جامعي الوقت المحدود!"
BloonsAllBloonsBunnyEarsName,بالونات أذن الأرنب
BloonsAllBloonsBunnyEarsShortName,بالونات أذن الأرنب
BloonsAllBloonsBunnyEarsDescription,البالونات أصبحت أجمل مع تزيينها بأذني الأرنب! عنصر جامعي الوقت المحدود!
BloonsAllBloonsPopsFlowersName,المؤثرات الخاصة لفرقعة الزهور
BloonsAllBloonsPopsFlowersShortName,المؤثرات الخاصة لفرقعة الزهور
BloonsAllBloonsPopsFlowersDescription,كل فرقعة هي انفجار لون مع باستعمال الزهور التي تفرقع الألعاب النارية
CoopEmoteAnimationPixelMonkeyDanceName,رمز معبر للقرد الراقص
CoopEmoteAnimationPixelMonkeyDanceShortName,القرد الراقص
CoopEmoteAnimationPixelMonkeyDanceDescription,ارقص من أجلي، ارقص من أجلي، ارقص من أجلي، أوه أوه...
CoopEmoteAnimationFlowerBloomName,رمز معبر للزهور المتفتحة
CoopEmoteAnimationFlowerBloomShortName,الزهور المتفتحة
CoopEmoteAnimationFlowerBloomDescription,الربيع أتى، الطيور تغرد، والنحل يطن والزهور تتفتح!
GameUIProfileAvatar33Name,أفاتار مخصص - بيض أوبين
GameUIProfileAvatar33ShortName,أفاتار بيض أوبين
GameUIProfileAvatar33Description,حماية هذه البيض الثمين لدى أوبين. عنصر جامعي الوقت المحدود!
GameUIProfileAvatar34Name,أفاتار مخصص - قرد المسامير الشائكة
GameUIProfileAvatar34ShortName,أفاتار قرد المسامير الشائكة
GameUIProfileAvatar34Description,أفاتار الفائز هو موتاماركي
GameUIProfileAvatar35Name,أفاتار مخصص - سينتاي القوي
GameUIProfileAvatar35ShortName,أفاتار سينتاي القوي
GameUIProfileAvatar35Description,أفاتار الفائز هو كوزويكو
GameUIProfileAvatar36Name,أفاتار مخصص - الساحر القوي
GameUIProfileAvatar36ShortName,أفاتار الساحر القوي
GameUIProfileAvatar36Description,أفاتار الفائز هو كونسيليابول
Balance,استقرار
Blons,بالونات
Latest Save,أحدث حفظ
Sauda,ساودا
Sauda Short Description,سيد السيوف
Sauda Description,مع الغضب الهادئ، يمكن أن تنحت ساودا البالونات بسيفيها التوأم الحاد.
Sauda Level 1 Description,عن طريق التمزيق بكلا السيفين في مكان قريب من البالونات. بإمكانها فرقعة البالونات المموهة.
Sauda Level 2 Description,فرقعة المزيد من البالونات لكل هجوم.
Sauda Level 3 Description,هجوم السيف الوثَّاب: الهجوم الوثاب بالقيادة الدرامية لساودا يعصف بالبالونات المستهدفة.
Sauda Level 4 Description,سيفا ساودا تقطع عبر طبقتين من البالونات.
Sauda Level 5 Description,ساودا تهاجم بشكل أسرع.
Sauda Level 6 Description,زيادة نطاق الهجوم وقوة الفرقعة.
Sauda Level 7 Description,تفترس ساودا ضعف الكم من البالونات، وتتسبب في أضرار إضافية في حال تعرضت للصعق، ويمكنها الآن فرقعة البالونات المتجمدة.
Sauda Level 8 Description,ساودا تهاجم بشكل أسرع.
Sauda Level 9 Description,نزيف البالونات: تعمل ساودا على الفرقعة عبر 3 طبقات من البالونات مع كل ضربة، وتتسبب في إحداث ضرر بطيء بمرور الوقت.
Sauda Level 10 Description,شحذ السيف: انزلاق ساودا على طول المسار بأكمله، ومن ثم تدمير البالونات وهي تمضي في طريقها.
