//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
CoopEmoteAnimationFacepalmName,Utanma Emojisi
CoopEmoteAnimationFacepalmShortName,Utanma
CoopEmoteAnimationFacepalmDescription,"Ben nakit paylaşmıyor mu? Quincy, bloon’ların yayından kaçmasına izin mi veriyor? Ezili utanma halleri her tür duruma uygun!"
GameUIPowerSkinBaubleMineName,Özel Güç - Biblo Madeni
GameUIPowerSkinBaubleMineShortName,Biblo Madeni
GameUIPowerSkinBaubleMineDescription,MOAB’ları patlatıp Yılbaşı ağacını süsle! Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIPowerSkinRetroTechbotName,Özel Güç - Retro Tech bot
GameUIPowerSkinRetroTechbotShortName,Retro Tech bot
GameUIPowerSkinRetroTechbotDescription,Bu süper modern retro tech bot ile etkinleştirilen yeteneklerinden haberdar ol. Piller dahil değildir. Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIPowerSkinIcebergPontoonName,Özel Güç - Buz Dağı Dubası
GameUIPowerSkinIcebergPontoonShortName,Buz Dağı Dubası
GameUIPowerSkinIcebergPontoonDescription,Bu süper harika Buz Dağı Dubası ile Bloon belalarının eriyip gidişini izle.
GameUIProfileAvatar27Name,Özel Avatar - Pilot Maymun
GameUIProfileAvatar27ShortName,Pilot Maymun Avatarı
GameUIProfileAvatar27Description,Pilot Maymun kurtarmaya gidiyor! Bu harika avatarla göklerin hâkimi ol
GameUIProfileAvatar28Name,Özel Avatar - Ok Nişancısı
GameUIProfileAvatar28ShortName,Ok Nişancısı Avatarı
GameUIProfileAvatar28Description,"Maymun Atıcıyı gördün, şimdi avatarı kap! Bu geleneksel favori Bloon patlatma patlangacına sevgini göster!"
GameUIProfileAvatar29Name,Özel Avatar - Kış Ninjası
GameUIProfileAvatar29ShortName,Kış Ninjası Avatarı
GameUIProfileAvatar29Description,Bu buzul harika Ninja avatarıyla Yılbaşına hazırlan. Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIProfileAvatar30Name,Özel Avatar - Yılbaşı Yaması
GameUIProfileAvatar30ShortName,Yılbaşı Yaması Avatarı
GameUIProfileAvatar30Description,"Yamanın sizin için bir güncellemesi var, Yeni Yılınız Kutlu Olsun ve Mutlu Yıllar! Sınırlı Süreli Koleksiyoncu Eşyası!"
RecurringRangs,Geri Gelen Halkalar
RecurringRangsDescription,Bumerang Maymuna geri gelen Bumeranglar ikinci kez atılır.
FirstLastLineOfDefense,Son Savunma Hattının Ön Cephesi
FirstLastLineOfDefenseDescription,Her oyunda ilk Çivi Fabrikası satın alma fiyatı $150 daha az.
FlankingManeuvers,Yan Manevralar
FlankingManeuversDescription,"Keskin Nişancı, Maymun Denizaltı ve Korsan Maymun, “Son” hedefleme önceliğine ayarlandığında %10 daha hızlı saldırır."
EmergencyUnlock,Acil Durum Kilit Açılması
EmergencyUnlockDescription,Etkinleştirilmiş yetenekler: Kilitli Ok Nişancılarını açar ve kısa süreliğine fırdöndü hızlarını artırır.
GorgonStorm,Gorgon Fırtınası
GorgonStormDescription,"Hidra Roket Fırtınası, hasarlı Bloon’ları kısa süreliğine sersemletir."
CrossTheStreams,Akışları Geçmek
CrossTheStreamsDescription,"Plazma ve Kıyamet ışınları, parkurda geçtikleri yerlerde geçici plazma havuzları oluşturur."
MonkeysTogetherStrong,Maymunlar Birlikte Güçlü
MonkeysTogetherStrongDescription,"Kahramanlar, yerleştirilen her Kahraman için %5 daha fazla deneyim kazanır."
GrandPrixSpree,Büyük Ödül Eğlencesi
GrandPrixSpreeDescription,Yarışlara girmek için gereken Maymun Parası maliyeti %10 azaltıldı.
ChallengeBrowser,Görev Tarayıcısı
Trending,Popüler
Casual,Gündelik
Newest,En Yeni
Expert,Uzman Seviye
MostLiked,En Beğenilen
Favorites,Favoriler
Played,Oynanılan
MyChallenges,Görevlerim
ChallengeName,Görev Adı
Creator,Oluşturan
Likes,Beğeni
WinPercent,Galibiyet Yüzdesi
Create,Oluşturma
PageXofY,Sayfa {0}/{1}
ChallengeInfo,Görev Bilgisi:
TimeUploaded,Yüklenme Zamanı
Last24Hours,Son 24 Saat
LastWeek,Son Hafta
LastMonth,Son Ay
AllTime,Tüm Zamanlar
NoChallengesFound,Görev Bulunamadı
Shared,Paylaşılan
DeleteThisSave,Bu kayıt silinsin mi?
DeleteThisChallenge,Bu görev kalıcı olarak silinsin mi?
ShareAgainIn,Tekrar Paylaş:
ShareAgainExplanation,Zamanlayıcı geriye doğru saydığında tekrar paylaş. Görevi paylaşabilmen için onu başarman gerekiyor.
MySavedGames,Kayıtlı Oyunlarım
ConfirmShare,Paylaşımı onaylıyor musun? Paylaşımın birkaç dakika içinde İçerik Tarayıcısında görünür.
Custom,Özel
ChallengeSearch,Arama/Görev Kodu...
IncludeOldVersions,Eski Sürümleri Dahil Et
Achievement 107 Name,İlk Oyuncu Hazır Mı?
Achievement 107 Description,10 İşbirliği oyununa ev sahipliği yap ve kazan
Achievement 108 Name,Titanların Çarpışması
Achievement 108 Description,Güçlendirilmiş DDT’lerin güçlendirmelerini 3000 kez kaldır
Achievement 109 Name,Kodlu
Achievement 109 Description,İçerik Tarayıcısına bir Görev Gönder
Achievement 110 Name,Yeteneğine Kavuşma
Achievement 110 Description,Ok Nişancılarıyla 1.000.000 Bloon patlat
Achievement 111 Name,Kupon Delisi
Achievement 111 Description,Ganimet Mağazasında en az 50 Ganimet harca
Achievement 112 Name,Anlık Memnuniyet
Achievement 112 Description,"5. Kademe Anlık Maymun Kullan. NOT: Kullanıldıktan sonra bile, Anlıklar koleksiyonunu etkilemeye devam eder!"
Achievement 113 Name,Anlık Yüzyıl
Achievement 113 Description,"100 Anlık Maymun Kullan. NOT: Kullanıldıktan sonra bile, Anlıklar koleksiyonunu etkilemeye devam eder!"
Achievement 114 Name,Sınırlı Koşu
Achievement 114 Description,Ganimet Mağazasından en az 1 yeni Sınırlı Süreli eşya satın al
Achievement 115 Name,Darwin Araçları
Achievement 115 Description,Atıcıları 20.000 kez yükselt
Achievement 116 Name,İnatçı Strateji
Achievement 116 Description,"Bir şeyin yapılabiliyor olması, onun yapılmasını zorunlu kılmaz"
ChallengeBrowserDescription,"Topluluk içeriğini oyna, oluştur ve değerlendir!"
VerifiedUser,Doğrulanmış Kullanıcı
TrophyBadgesEmpty,Madalyalar edinmek için oyunları kazan!
,
// External cleaning app (not in binary),
cleaner.oops.title,Hop!
cleaner.oops.message,Lütfen geçerli bir seçenek belirle...
cleaner.warning.title,Emin misin?
cleaner.warning.message,UYARI: Geri alınamaz!
cleaner.title,{0} Temizleyici
cleaner.Message,Lütfen bir seçenek belirle:
cleaner.RadioButton_CleanAll,Tümünü temizle
cleaner.RadioButton_Keep,Ayarları ve ilerlemeyi koru
cleaner.RadioButton_CleanSelective,Seçici temizleme
cleaner.CheckBox_Preferences,Tercihler
cleaner.CheckBox_Progress,İlerleme
cleaner.Button_Run,Devam et
cleaner.Button_Exit,Çıkış
cleaner.allDone,Tümü bitti!
// External cleaning lines complete,
,
ChallengeBrowserError,İçerik Tarayıcısı yüklenirken bir hata oluştu
OverwriteChallengeBrowserText,En eski kaydının üzerine yazılacak. Emin misin?
OverwriteChallengeBrowserHeader,Üzerine kaydedilsin mi?
GameUIMusicTrackMusicJingleBloonsName,Müzik Kutusu: Jingle Bloons
GameUIMusicTrackMusicJingleBloonsShortName,Jingle Bloons
GameUIMusicTrackMusicJingleBloonsDescription,"Yılbaşını bu muhteşem, yeni ve orijinal Bloons parçasıyla kutla. Yol boyunca şıngırdat!\nMüziği, Ana Menü Ayarlarındaki Müzik Kutusundan etkinleştir"
Favorite,Favori
FasterRegen,Yeniden Canlanma Oranı Arttı
SlowerRegen,Yeniden Canlanma Oranı Düştü
NewTower,Yeni Atıcı
MapUnlockTutorHeader,Haritalar Açılıyor
MapUnlockTutorBody,Sonraki kategoriden bir haritanın kilidini açmak için herhangi bir kategoriden bir haritayı ilk defa bitir.\n\n•Acemi Orta Seviyenin kilidini açar\n•Orta Seviye Zor Seviyenin kilidini açar\n•Zor Seviye Uzman Seviyenin kilidini açar
HideCompleted,Tamamlananı Gizle
Ravine,Yarık
GameUIProfileAvatar31Name,Özel Avatar - Kabuki Ninjası
GameUIProfileAvatar31ShortName,Kabuki Ninjası Avatarı
GameUIProfileAvatar31Description,Ninja Maymun en iyi kumadori makyajına sahip
GameUIProfileAvatar32Name,Özel Avatar - Helikopter Pilotu
GameUIProfileAvatar32ShortName,Helikopter Pilotu Avatarı
GameUIProfileAvatar32Description,"Göklere! Bu Helikopter Pilotu, şirinliği etkililikle birleştiriyor"
BloonsAllBloonsTruckerHatsName,Kamyoncu Şapkası
BloonsAllBloonsTruckerHatsShortName,Kamyoncu Şapkası
BloonsAllBloonsTruckerHatsDescription,Bu Bloon’lar uzun zamandır bu işte! Denemeye devam et ortak!
BloonsAllBloonsPopsPowName,Bum Patlatma Efekti
BloonsAllBloonsPopsPowShortName,Bum Patlatma Efekti
BloonsAllBloonsPopsPowDescription,Bum! Bam! Pat! Bu muhteşem Bum patlatma animasyonuyla daha fazla Bloon katlet
BloonsBFBSkinLanternName,Fener BFB
BloonsBFBSkinLanternShortName,Fener BFB
BloonsBFBSkinLanternDescription,"Bu muhteşem BFB dış görünümüyle savaş alanına şans, ikbal ve ışık getir"
TowerProjectileSpikeFactoryPineapplesName,Çivi Fabrikası Ananaslar
TowerProjectileSpikeFactoryPineapplesShortName,Çivi Fabrikası Ananaslar
TowerProjectileSpikeFactoryPineapplesDescription,Çivili toptan daha çivileyici ne olabilir ki? Tabii ki ananas! İyi günlerin şerefine. Yalnızca Çivili Topların yükseltmesi.
GameUIMusicTrackMusicBMCStreetPartyName,Müzik Kutusu: BMC Sokak Partisi
GameUIMusicTrackMusicBMCStreetPartyShortName,BMC Sokak Partisi
GameUIMusicTrackMusicBMCStreetPartyDescription,"Geri döndüüüü! Genel istek üzerine, Bloon Maymun Şehri’nden Sokak Partisi!"
FirstTimeContinue,"Ah, hayır! Bloon’lar başardı! Buna ilk seferde Ücretsiz Devam Edebilirsin ama sonrasında Maymun Parasına mal olur"
Follow,Takip Et
Unfollow,Takibi Bırak
Following,Takip Ediliyor
Primary Knowledge,Birincil Bilgi
Military Knowledge,Askeri Bilgi
Magic Knowledge,Büyü Bilgisi
Support Knowledge,Destek Bilgisi
Heroes Knowledge,Kahramanlar Bilgisi
Powers Knowledge,Güçler Bilgisi
Block followers,Takipçileri Engelle
Unblock followers,Takipçilerin Engelini Kaldır
Followers,Takipçiler
Submitted Challenges,Gönderilen Görevler
TurnOnNotificationsCreator,Bu oluşturan için bildirimler açılsın mı?
TurnOffNotificationsCreator,Bu oluşturan için bildirimler kapatılsın mı?
TargetingOptionFirstTimePopup,Hedefleme seçeneklerini değiştirmek bazen zorlu turlara yardımcı olabilir!
et_challengefreeplaytitle,Ücretsiz Görev Oyunu!
et_challengefreeplaydescription,"Bu, Görevler için bir ücretsiz oyun modudur. Oynamaya devam edebilirsin ama XP veya herhangi bir ödül kazanamazsın."
GameServicesBlockedText,"Bir şey, oyun hizmetlerimize erişimi engelliyor. Oyun deneyimi etkilenebilir; beklenmedik sorunları önlemek için engelleme hizmetini devre dışı bırak. Daha fazla bilgi için: https://ninja.kiwi/btd6_network"
DoubleCashDisabled,Çifte Nakit Devre Dışı Bırakıldı
UnableToAccessDomain,"Şuna erişilemiyor: {0}, herhangi bir engelleme hizmetini devre dışı bırak ve yeniden dene"
Custom Rounds,Özel Turlar
Warning,Uyarı
Player Completion Rate,Oyuncu Tamamlama Oranı
Win Rate,Galibiyet Oranı
HeroesBenjaminPlacementMatrixName,Benjamin Matrix Yerleştirmesi ve Yükseltmesi
HeroesBenjaminPlacementMatrixShortName,Benjamin Matrix
HeroesBenjaminPlacementMatrixDescription,"Hop, artık kung fu biliyorum! Yalnızca Orijinal Benjamin"
HeroesObynPetBunnyName,Obyn Tavşan Evcil Hayvan
HeroesObynPetBunnyShortName,Obyn Tavşan Evcil Hayvan
HeroesObynPetBunnyDescription,"Bu tatlı küçük tavşan, Obyn’in en iyi arkadaşlarından biridir. Yalnızca Orijinal Obyn. Sınırlı Süreli Koleksiyoncu Eşyası!"
TowerProjectileDartlingEasterEggsName,Ok Nişancısı Paskalya Yumurtası Topları
TowerProjectileDartlingEasterEggsShortName,Ok Nişancısı Paskalya Yumurtaları
TowerProjectileDartlingEasterEggsDescription,Çikolatalı iyilikle şarj ol ve silahını ateşle! Yalnızca Saçma ve Roket yükseltmeleri. Sınırlı Süreli Koleksiyoncu Eşyası!
TowerPetNinjaMonkeyKiwiName,Ninja Maymun Kiwi Evcil Hayvan
TowerPetNinjaMonkeyKiwiShortName,Ninja Kiwi Evcil Hayvan
TowerPetNinjaMonkeyKiwiDescription,"Yürekli, uçmayan Kiwi kuşu, Ninja Maymunun en asil yardımcısı"
BloonsMOABSkinChocolateName,Çikolatalı Yumurta MOAB
BloonsMOABSkinChocolateShortName,Çikolatalı MOAB
BloonsMOABSkinChocolateDescription,Çikolatayla kaplı olsa da bu MOAB’ın içinde hâlâ 4 seramik var! Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsBFBSkinChocolateName,Çikolatalı Yumurta BFB
BloonsBFBSkinChocolateShortName,Çikolatalı BFB
BloonsBFBSkinChocolateDescription,Çikolatalı BFB’nin içinde Çikolatalı MOAB’lar varsa bonus puanlar gelir. Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsAllBloonsBunnyEarsName,Tavşan Kulaklı Bloon’lar
BloonsAllBloonsBunnyEarsShortName,Tavşan Kulaklı Bloon’lar
BloonsAllBloonsBunnyEarsDescription,Bloon’lar üzerlerinde tavşan kulakları varken daha tatlılar! Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsAllBloonsPopsFlowersName,Çiçekler Patlatma Efekti
BloonsAllBloonsPopsFlowersShortName,Çiçekler Patlatma Efekti
BloonsAllBloonsPopsFlowersDescription,"Her patlatma, Çiçekler patlatma efekti ile bir renk patlamasına dönüşür"
CoopEmoteAnimationPixelMonkeyDanceName,Dans Eden Maymun Emojisi
CoopEmoteAnimationPixelMonkeyDanceShortName,Dans Eden Maymun
CoopEmoteAnimationPixelMonkeyDanceDescription,"Benim için dans et, benim için dans et, benim için dans et, oh oh oh..."
CoopEmoteAnimationFlowerBloomName,Açan Çiçekler Emojisi
CoopEmoteAnimationFlowerBloomShortName,Açan Çiçekler
CoopEmoteAnimationFlowerBloomDescription,"Bahar geldi, kuşlar ötüyor, arılar vızıldıyor ve çiçekler açıyor!"
GameUIProfileAvatar33Name,Özel Avatar - Obyn’in Yumurtaları
GameUIProfileAvatar33ShortName,Obyn’in Yumurtaları Avatarı
GameUIProfileAvatar33Description,Obyn ile bu özel yumurtaları koru. Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIProfileAvatar34Name,Özel Avatar - Çivili Maymun
GameUIProfileAvatar34ShortName,Çivili Maymun Avatarı
GameUIProfileAvatar34Description,"Mutamarkl, Avatar galibi"
GameUIProfileAvatar35Name,Özel Avatar - Güçlü Sentai
GameUIProfileAvatar35ShortName,Güçlü Sentai Avatarı
GameUIProfileAvatar35Description,"Kuzuyku, Avatar galibi"
GameUIProfileAvatar36Name,Özel Avatar - Kuvvetli Sihirbaz
GameUIProfileAvatar36ShortName,Kuvvetli Sihirbaz Avatarı
GameUIProfileAvatar36Description,"_Concilliabule_, Avatar galibi"
Balance,Denge
Blons,Blon’lar
Latest Save,En Son Kayıt
Sauda,Sauda
Sauda Short Description,Kılıç Ustası
Sauda Description,"Sauda, sakin gazabıyla jilet keskini ikiz kılıçlarını kullanarak Bloon’ları parçalar."
Sauda Level 1 Description,Yakındaki Bloon’ları iki kılıçla birden keser. Kamuflajlı patlatabilir.
Sauda Level 2 Description,Saldırı başına daha fazla Bloon patlatır.
Sauda Level 3 Description,Seken Kılıç Saldırısı: Sauda’nın Kurşun patlatan dramatik sekme saldırısı hedeflenen Bloon’ları hızla indirir.
Sauda Level 4 Description,Sauda’nın kılıçları Bloon’ların 2 katmanını parçalar.
Sauda Level 5 Description,Sauda daha hızlı saldırır.
Sauda Level 6 Description,Yüksek saldırı menzili ve patlatma gücü.
Sauda Level 7 Description,"Sauda, Bloon’ları zayıf yönleri sayesinde tuzağa düşürür, sersemlemişlerse ekstra hasar verir ve artık donmuş Bloon’ları patlatabilir."
Sauda Level 8 Description,Sauda çok daha hızlı saldırır.
Sauda Level 9 Description,"Bloon Sızıntısı: Sauda, her bir vuruşla Bloon’un 3 katmanını patlatır ve zaman geçtikçe yavaş bir hasar verir."
Sauda Level 10 Description,"Kılıç Yükü: Sauda, geçtiği yerlerde Bloon’ları yıkarak tüm parkuru biçer."
Sauda Level 11 Description,"Sauda, yavaşlatılmış, hareketsizleştirilmiş veya zaman geçtikçe diğer maymunlardan hasar almış herhangi bir Bloon’a ekstra hasar verir."
Sauda Level 12 Description,Seken Kılıç Saldırısı kullanılırken büyük ölçüde artar.
Sauda Level 13 Description,Büyülü kılıçlar daha fazla hasar verir ve Sauda’nın tüm Bloon’lara hasar vermesini sağlar.
Sauda Level 14 Description,Sauda çok daha hızlı saldırır.
Sauda Level 15 Description,"Yüksek saldırı menzili ve patlatma gücü, bunun yanı sıra Seken Kılıç Saldırısı daha fazla hasar verir."
Sauda Level 16 Description,Kılıç Yükü büyük ölçüde yüksek hasar verir.
Sauda Level 17 Description,Sauda’nın kılıç saldırıları tek seferde birçok Bloon katmanını parçalar.
Sauda Level 18 Description,Sauda’nın kılıç saldırısı görünmez bir hıza ulaşır.
Sauda Level 19 Description,"Büyülü Kılıçlar; Yeniden Şişen, Güçlendirilmiş ve Kamuflajlı Bloon’lara ekstra hasar verir."
Sauda Level 20 Description,Daha güçlü bir Kılıç Yükü tüm parkur yollarını üç kez süpürür! Seken Kılıç gücü büyük ölçüde arttı.
SushiBentoBenjaminSkinName,Suşi Bento Dış Görünümü
SushiBentoBenjaminSkinDescription,Menüdeki suşileri sipariş et!
Leaping Sword Attack Ability,Seken Kılıç Saldırısı
Leaping Sword Attack Ability Description,Sauda’nın Kurşun patlatan dramatik sekme saldırısı hedeflenen Bloon’ları hızla indirir.
Sword Charge Ability,Kılıç Yükü
Sword Charge Ability Description,"Sauda, geçtikçe Bloon’ları yıkarak tüm parkuru biçer."
Playing,{0} Kişi Oynuyor
Solo,Tek Kişilik
Custom Challenge,Özel Görev
Browsing,{0} Kişi Tarıyor
Menues,Menüler
Challenges,Görevler
GoldenBloonsPopped,Patlatılan Altın Bloon’lar
ChallengeStats,Görev İstatistikleri
Attempts,Girişimler
Wins,Galibiyetler
Fails,Başarısızlıklar
Unique Players,Benzersiz Oyuncular
Victorious Players,Galip Oyuncular
FirstWinner,İlk Kazanan
MostRecentWinner,En Son Kazanan
DiskFullMessage,"Disk dolu, lütfen biraz yer açıp yeniden dene"
RacePassRemaining,Kalan Yarışlar:
RacePassHeader,Yarış Pasosu
RacePassDescription,"Sana, haftalık yarış başına sınırsız yarış girişimi sağlar!\nZamanlayıcı yok, Maymun Parası yok, sadece yarış!"
4RacesPass,4 Yarış Pasosu
12RacesPass,12 Yarış Pasosu
ft_goldentitle,Altın Bloon’lar
ft_goldendescription,Ekstra Maymun Parası kazanmak için Altın Bloon patlat! Patlatmak ustalık ister ancak kaçarsa hiç can kaybetmezsin.\nAltın Bloon her oyunda birden fazla kez ortaya çıkar ve her göründüğünde gelişir!\nİyi şanslar!
TapToUnlock,Kilidi açmak için [I]
btd6_4racespass Description,4 yarış için istediğin kadar yarış!
btd6_4racespass,4 Yarış Pasosu
btd6_12racespass Description,12 yarış için istediğin kadar yarış!
btd6_12racespass,12 Yarış Pasosu
GetHeroBooster,Kahraman Desteği al
IntermediateUnlockText,Bir Orta Seviye haritanın kilidini açmak için bir Acemi Haritasını ilk defa bitir
AdvancedUnlockText,Bir Zor Seviye haritanın kilidini açmak için bir Orta Seviye Haritayı ilk defa bitir
ExpertUnlockText,Bir Uzman Seviye haritanın kilidini açmak için bir Zor Seviye Haritayı ilk defa bitir
HeroesSaudaPetCraneName,Sauda Turna Evcil Hayvan
HeroesSaudaPetCraneShortName,Sauda Turna Evcil Hayvan
HeroesSaudaPetCraneDescription,"Cilala, parlat. Sauda’nın nazik yeni yan tekmesiyle Turna tekniğini çalış! Yalnızca orijinal Sauda"
HeroesPatFustyPlacementSuperjumpName,Pat Süper Zıplama Yerleştirmesi ve Yükseltmesi
HeroesPatFustyPlacementSuperjumpShortName,Pat Süper Zıplama
HeroesPatFustyPlacementSuperjumpDescription,"Pat, MOAB’ları; yükseltmeler ve harekete geçen Süper Zıplamalar ile kucaklamaya can atıyor! Yalnızca orijinal Pat Fusty"
TowerPetBananaFarmChickenName,Muz Çiftliği Tavuğu
TowerPetBananaFarmChickenShortName,Çiftlik Tavuğu
TowerPetBananaFarmChickenDescription,Tavuksuz bir çiftlik tam bir çiftlik sayılmaz. Neden tavuk? Çünkü o bir tavuk!!! Buaaak!!!
TowerPropMonkeyVillageBrazilFlagName,Maymun Köyü Brezilya Bayrağı
TowerPropMonkeyVillageBrazilFlagShortName,Köy Brezilya Bayrağı
TowerPropMonkeyVillageBrazilFlagDescription,GOOOOOOOOOOL! Bu Maymun Köyü Bayrağı ile all things Brazil için desteğini göster. Tüm yükseltmeler için gösterir
TowerPropMonkeyVillageUSAFlagName,Maymun Köyü ABD Bayrağı
TowerPropMonkeyVillageUSAFlagShortName,Köy ABD Bayrağı
TowerPropMonkeyVillageUSAFlagDescription,ABD! ABD! Yıldız ve çizgileri Maymun Köyünün göğünde gururla dalgalandır. Tüm yükseltmeler için gösterir
BloonsAllBloonsPopsPewpewName,Pew pew Patlatma Efekti
BloonsAllBloonsPopsPewpewShortName,Pew pew Patlatma Efekti
BloonsAllBloonsPopsPewpewDescription,Duygularını araştır bunu şimdi almalısın ve 4 Mayıs’ta seninle olmalı! Son Derece Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsMOABSkinBtd4RetroName,BTD4 Retro MOAB
BloonsMOABSkinBtd4RetroShortName,Retro MOAB
BloonsMOABSkinBtd4RetroDescription,Ah nostalji. Şu toz pembe gözlükleri tak ve daha erken model bir MOAB’ı kontrol et
BloonsBFBSkinBtd4RetroName,BTD4 Retro BFB
BloonsBFBSkinBtd4RetroShortName,Retro BFB
BloonsBFBSkinBtd4RetroDescription,"Eskiler gibisi yok, bir zamanlar bu, gökyüzündeki en büyük şeydi!"
CoopEmoteAnimationTrophyName,Ganimet Galibi Emojisi
CoopEmoteAnimationTrophyShortName,Ganimet Galibi
CoopEmoteAnimationTrophyDescription,"Şampanyayı aç, patlat! Bu parıltılı altın Ganimetle zaferini kutla!"
CoopEmoteAnimationPlayerNumbersName,Oyuncu Numaraları Emojisi
CoopEmoteAnimationPlayerNumbersShortName,Oyuncu Numaraları
CoopEmoteAnimationPlayerNumbersDescription,Bu kullanışlı oyuncu numarası emojileri sayesinde diğer oyuncularla daha kolay iletişime geç. Lütfen Oyuncu 3’e nazik davran.
GameUIProfileAvatar37Name,Özel Avatar - Keskin Sauda
GameUIProfileAvatar37ShortName,Keskin Sauda Avatarı
GameUIProfileAvatar37Description,"Sessizlik, beceri, duyarlılık. Bu muhteşem Sauda avatarı seni bir oyuncu olarak tanımlıyor!"
GameUIProfileAvatar38Name,Özel Avatar - Penguen Arkadaş
GameUIProfileAvatar38ShortName,Penguen Arkadaş Avatarı
GameUIProfileAvatar38Description,"ReconScoutTeemo, Avatar galibi"
GameUIProfileAvatar39Name,Özel Avatar - Yapışkan Nişancı
GameUIProfileAvatar39ShortName,Yapışkan Nişancı Avatarı
GameUIProfileAvatar39Description,"Cyliia, Avatar galibi"
GameUIPowerSkinLavaLakeName,Özel Güç - Taşınabilir Lav Gölü
GameUIPowerSkinLavaLakeShortName,Taşınabilir Lav Gölü
GameUIPowerSkinLavaLakeDescription,Burası sıcaklaşıyor! Bu yanan lav havuzunda tüm kaygılarını bırak!
Resort,Resort
ETnEtienneSkinName,ETn Dış Görünümü
ETnEtienneSkinDescription,Beni liderine götür.
VeteranXP,Kıdemli XP
GameUIMusicTrackMusicSailsAgain,Sails Again
Leaderboards,Lider Tabloları
Global,Global
League,Lig
Race,Yarış
Mini-race,Mini Yarış
NoRaceDataYet,Bir mini yarışa katılmak için bir yarışı tamamla!
Kick,Tekme
MakePublic,Genel Yap
VeteranLevelsHeader,Kıdemli Seviyeleri
VeteranLevelsDescription,"Tebrikler, seviye zirvesine ulaştın! Bundan sonra Kıdemli XP kazanmaya ve Kıdemli Seviyelerine ulaşmaya başlayacaksın. Bu seviyeler normalden uzun sürer ve Bloon patlatma konusunda derin bir adanmışlık gerektirir!"
LevelCapIncreasedHeader,Seviye Zirvesi Artırıldı!
LevelCapIncreasedDescription,"Seviye zirvesi artırıldı! Seviye zirvesine tekrar ulaşana dek normal seviyeler kazanmaya devam edeceksin. Yine de endişelenme, Kıdemli XP ve Seviyelerin onları bıraktığın yerde ve yeni seviye zirvesine ulaştıktan sonra tekrar Kıdemli XP kazanmaya başlayac"
Rejoin,Tekrar Katıl
GameHasEnded,Oyun sona erdi
SlowInternet,İnternet bağlantısı yok veya yavaş
ErrorRejoining,Tekrar katılırken hata oluştu
RewardsTopPlacing,En İyi {0}
LostConnectionRejoin,Bağlantı kaybedildi. İşbirliği oyununa tekrar katılacak mısın?
Rejoining,Tekrar Katılıyorsun...
PlayerPositionClosed,Oyuncu sıralaması kapandı
YouFinished,Bitirdin:
BestTime,En İyi Süre:
Claim,Al
PlayerRejoinedGame, oyuna tekrar katıldı
PlayerKickedFromGame, oyundan çıkarıldı
ConfirmKickPlayer,{0} için çıkarma işlemi yapmak istediğinden emin misin?
Remove,Çıkar
MiniRacesFirstTimeTitle,Mini Yarışlar!
MiniRacesFirstTimeDescription,"Bir Yarışı tamamladıktan sonra ana Yarış Lider Tablosunun yanı sıra, Mini Yarış lider tablosuna da yerleştirilirsin. Yarış bittiğinde daha fazla ödül kazanmak için Mini Yarışında diğer oyunculara karşı yarış!"
SharingCoop,Bloons TD 6’da işbirliği oyunuma katıl!
SharingChallenge,Bu Bloons TD 6 görevini başarabilir misin?
btd6_racespass,{0} Yarış Pasosu
btd6_racepass,1 Yarış Pasosu
OdysseyCrewConfirmed,Mürettebat Onaylandı
OdysseyCrewModified,Mürettebat Değiştirildi
Odysseys,Yolculuklar
InviteReceivedTitle,Davet Alındı
ChallengeInviteReceivedDescription,{0} görev kodunu denemeye davet edildin
CoopInviteReceivedDescription,{0} işbirliği oyununa katılmaya davet edildin
Join,Katıl
AccountPermissionRestriction,Bu Xbox hesabının çok oyunculu oyunlar oynama izni yok
AccountCommunityPermissionRestriction,Bu Xbox hesabının topluluk içeriğini görüntüleme veya oluşturma izni yok
dont have bloons,Bloons TD 6 oyununa sahip değil misin? Şimdi indir!
launch game,oyunu başlat
copy code,Kodu kopyalamak için buraya tıkla
game already opened,Oyun zaten açık mı?
Psi,Psi
Psi Short Description,Psionik Maymun
Psi Description,"Yetenekli maymun çocuk, Psi, Bloon’ları en iyi şekilde yok etmek için yalnızca zihin gücünü kullanır."
Psi Level 1 Description,"Menzil veya engel nasıl olursa olsun, Psi, tek seferde bir Bloon’u tamamen yok eden ölümcül titreşimler yayar. Kamuflajlıları hedefleyebilir."
Psi Level 2 Description,Psionik titreşimler Bloon’ları normalden daha hızlı yok eder.
Psi Level 3 Description,"Psişik Patlama: Psi, yakındaki Bloon’ları uzun süre için sersemleten bir güç dalgasını serbest bırakır."
Psi Level 4 Description,"Psi’nin saldırısı, hedeflenen Bloon’a çok yakınsa başka bir Bloon’u da vurabilir."
Psi Level 5 Description,Biraz daha hızlı saldırır.
Psi Level 6 Description,"Psi’nin güçlü zihni, Kurşun Bloon’lara nüfuz edebilir."
