//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Recharge,充能
InvalidCode,請輸入有效驗證碼
SearchingForPlayer,正在搜尋玩家……
WaitingForPlayer,正在等待玩家……
Request,需要 $
CyberQuincySkinDescription,Quincy被邪惡的DDT擊傷後，大家擔心將發生更可怕的事情。好在猴子博士知道有一項技術能夠重造他。於是，新一代Quincy誕生了。
CyberQuincySkinName,網路昆西皮膚
CashRequested,${0}已經申請現金
CashReceived,${0}已向你發送${1}現金
CountDownTimer,遊戲在......後開始
Achievement 51 Name,組隊模式
Achievement 51 Description,在組隊模式下通過1張地圖
Achievement 52 Name,享受四倍樂趣
Achievement 52 Description,在4人組隊模式下通過1張地圖
Achievement 53 Name,三重威脅
Achievement 53 Description,在3人組隊模式下通過1張地圖
Achievement 54 Name,聯合作戰！
Achievement 54 Description,螢幕上立即有4名英雄
Achievement 55 Name,穿荊度棘……
Achievement 55 Description,在組隊模式下在10次「困難」難度的遊戲中獲勝
Achievement 56 Name,樂善好施者
Achievement 56 Description,"在組隊模式下給出10,000現金"
Achievement 57 Name,慷慨捐助者
Achievement 57 Description,"在組隊模式下給出50,000現金"
Achievement 58 Name,猴子貢獻者
Achievement 58 Description,"在組隊模式下給出100,000現金"
Achievement 59 Name,猴子慈善家
Achievement 59 Description,"在組隊模式下給出1，000,000現金"
Achievement 60 Name,分享力量
Achievement 60 Description,在組隊模式下使用10個力量
Achievement 61 Name,勢不可擋！
Achievement 61 Description,在組隊模式下使用100個力量
Achievement 62 Name,即時防禦
Achievement 62 Description,在組隊模式下使用5個即時猴子
Achievement 63 Name,組隊作戰擊破高手
Achievement 63 Description,"在組隊模式下射擊10,000,000個氣球"
StaggeredMortarShot,交錯式臼砲彈
TT_TargetSelectedPoint,設定目標
MortarMessage,透過[I] 設定目標
RaceEvent,競速活動
TopBadgeRewards,頂級徽章獎勵
RaceButton,競速!
RaceRewards,競速獎勵
Leaderboard,排行榜
RaceEventTrigger,按開始之後開始計時。提前發送下一輪氣球能夠提高你的時間成績，但是一定要多加小心！跑步比賽將不會存檔，所以盡量不要中途退出比賽。最好成績將登上全球排行榜-祝你好運！
ScientistGwendolinSkinName,科學家格溫多蘭皮膚
ScientistGwendolinSkinDescription,如果我的計算正確的話，我們會在這個寶寶的體溫達到1121攝氏度的時候聞到橡膠嚴重的燒焦味！
RaceAgain,再跑一次。
RaceVictoryText,完美的結局！現在開始衝擊最好成績，準備登上排行榜吧！
RaceNewBestTime,最新的最佳成績！
RaceLeaderboard,競速排行榜
RaceCurrentRewards,當前獎勵：
RaceRewardsButton,獎勵
Click & Drop,點選 & 掉落
Screen Size,螢幕尺寸
Fullscreen,全屏
Moab Health Increased,MOAB生命值增加
Moab Health Decreased,MOAB生命值減少
Selling Disabled,已停用出售選項
Powers Disabled,已停用力量
No Continues,無可繼續的存檔
Switching Resolution Body,切換解析度需要重新加載遊戲。
Switching Resolution Title,切換解析度
RaceEventBanner,競速活動現已開始
RaceEventBannerRewards,贏取徽章與獎杯！
RacePreviousBestTime,最好成績：
RaceAgainQuestion,再跑一次？
RaceAgainDescription,馬上開始競速並且盡力提高成績！
TrophiesEarned,已獲得獎杯：
FreeEntryIn,免費入場：
RaceSubmissionFail,無法提交競速成績
LeaderboardRank,排名
LeaderboardPlayerName,玩家姓名
LeaderboardBadges,徽章
LeaderboardBestTime,最好成績
RaceEventEndsIn,距活動結束還有：
LoadingPlayer,正在載入玩家
Rank1st,第 1 名
Rank2nd,第 2 名
Rank3rd,第 3 名
RewardsTopPercent,前{0}%
RaceEventEnded,競速活動已經結束！
RaceFinishedPlaceAndTime,你完成了{0}，最好成績為{1}
Heartstopper Ability,禁止心跳
Sacrificial Totem Ability,犧牲圖騰
MOAB Hex Ability,MOAB魔法
RaceClock,競速計時器
LoginRequiredTitle,需要登入
LoginRequiredBody,你需要登錄才能使用此功能
EventRewardsTitle,活動獎勵
TT_FollowMouse,跟隨滑鼠
SteamLoadingMessage,打開資產
SentaiCaptainChurchillSkinName,Churchill戰隊皮膚
SentaiCaptainChurchillSkinDescription,願超級星系無敵漫畫光速量子激光炸彈保佑你！
KartsNDarts,卡丁車與飛鏢
Upgrade Path 1,升級路線1
Upgrade Path 2,升級路線2
Upgrade Path 3,升級路線3
ChangeTargeting,更改目标
ReverseChangeTargeting,反转更改目标
PauseDeselect,暂停/取消选择
PlayFastForward,开始游戏/快进游戏
SendNextRound,发送下一回合（竞赛）
Activated Ability 1,啟用技能1
Activated Ability 2,啟用技能2
Activated Ability 3,啟用技能3
Activated Ability 4,啟用技能4
Activated Ability 5,啟用技能5
Activated Ability 6,啟用技能6
Activated Ability 7,啟用技能7
Activated Ability 8,啟用技能8
Activated Ability 9,啟用技能9
Activated Ability 10,啟用技能10
Activated Ability 11,啟用技能11
Activated Ability 12,啟用技能12
SendRedBloon,发送红色气球
SendBlueBloon,发送蓝色气球
SendGreenBloon,发送绿色气球
SendYellowBloon,发送黄色气球
SendPinkBloon,发送粉色气球
SendBlackBloon,发送黑色气球
SendPurpleBloon,发送紫色气球
SendWhiteBloon,发送白色气球
SendLeadBloon,发送铅气球
SendZebraBloon,发送斑马条纹气球
SendRainbowBloon,发送彩虹气球
SendCeramicBloon,发送陶瓷气球
SendTestBloon,发送测试气球
SendMoabBloon,发送MOAB气球
SendBfbBloon,发送BFB气球
SendZomgBloon,发送ZOMG气球
SendDdtBloon,发送DDT气球
SendBadBloon,发送BAD气球
RestoreDefaults,恢复默认
SaveHotkeyChanges,要保存热键更改吗？
Hotkeys,热键
Monkeys,猴子
Gameplay,游戏玩法
Revert,還原
Save,儲存
HotkeyModeDescription,熱鍵僅可以在點擊和下拉模式下使用
DemoSplashText,此版本的BTD6僅作演示用途。
EditorClearSaveProgressWarning,您的挑戰包含了改變遊戲設定的修改，您當前的遊戲儲存進度會被清除
EditorInfiniteMaxTowers,無限
EditorDefaultValue,默認
EditorLoadingChallenge,加載中……
EditorGeneratingCode,生成中……
EditorEnterCode,輸入代碼
EditorShareError,分享本挑戰時出現問題
EditorSubmitError,提交本挑戰時出現問題
EditorLoadError,加載本挑戰時出現問題
EditorLevelLockMsg,挑戰編輯器將在第 {0} 級解鎖
EditorCreateChallenge,創建挑戰
EditorPlayChallenge,暢玩挑戰
EditorEditChallenge,編輯挑戰
EditorShare,分享
EditorShareChallenge,分享挑戰：
EditorSubmit,送出
EditorChallengeCode,挑戰代碼：
EditorEnterChallengeCode,輸入挑戰代碼：
EditorSubmissionForm,提交表格
EditorSubmissionDescription,將您的挑戰提交給 Ninja Kiwi，作為未來每日挑戰或高級挑戰的考慮方案
EditorFridayStinger,週五的毒刺挑戰
EditorRemainAnonymous,繼續匿名
EditorChallengeEditor,挑戰編輯器
EditorUndo,撤銷
EditorReset,重置
EditorRandom,隨機
EditorDifficulty,難度：
EditorGameMode,遊戲模式：
EditorStartingCash,起始現金：
EditorStartingLives,起始生命數：
EditorMaxLives,最大生命數：
EditorStartRound,起始回合：
EditorEndRound,結束回合：
EditorMonkeysExcluded,不包括的猴子
EditorMonkeysIncluded,包括的猴子
EditorMaxMonkeys,最大猴子數量：
EditorAdd,新增
EditorBloonSpeed,氣球速度
EditorMoabSpeed,Moab 速度
EditorCeramicHealth,陶瓷生命
EditorMoabHealth,Moab 生命
EditorPowers,力量：
EditorSelling,出售：
EditorMonkeyKnowledge,猴子智慧：
EditorContinues,繼續：
EditorLockedSubmitButtonDescription,您已經提交了本挑戰
EditorLockedShareButtonDescription,如果想分享您的挑戰，您必須在測試模式下證明本挑戰能夠完成！
ConflictScreenChoose,選擇一個已儲存的遊戲
ConflictThisDevice,本裝置
ConflictCloud,從雲存儲上
ConflictTimeHours,{0} 小時前儲存
ConflictUseButton,使用
ConflictNoData,無數據
ConflictTimeMinutes,{0} 分鐘前儲存
ConflictTimeSeconds,{0} 秒前儲存
ConflictTimeDays,{0} 天前儲存
FasterMoabs,Moab速度
SlowerMoabs,Moab速度
BikerBonesSkinName,車手骨頭皮膚
BikerBonesSkinDescription,太陽神可不像被解放的車手骨頭那麼憤怒！
PatsPond,Pat 的池塘
InappropriateChallengeName,請使用更合適的挑戰名稱，然後再試一次
DCVictoryBody,恭喜！你已經完成了{0}次！
EditorCreateVictoryBody,恭喜！你現在可以與其他人分享你的挑戰！
EditorOlderVersion,此挑戰在{0}版本中創建，可能無法再完成
EditorNewerVersion,此挑戰在較新版本的遊戲中創建，請更新到最新版本完成此挑戰
DefeatScreenRetryLastRound,重試上一回合遊戲
CoopDoubleCash,（僅限單人）
EditorThanksForSubmission,感謝你的提交，這會讓《氣球塔防6》更出色！如果你的挑戰被選中，我們希望在未來的遊戲輪換中看到它！
SpringSpring,躍動的春天
ObynOceanGuardianSkinName,海洋衛士皮膚
ObynOceanGuardianSkinDescription,我們來自海洋，我們將回到海洋。
CollectionEventHeader,收集活動
CoopTriggerText,所有協作遊戲將平均分享現金和英雄經驗值。在本遊戲中，參與的玩家人數：{0} – {1}
Achievement 64 Name,大氣球
Achievement 64 Description,Pat更喜歡擁抱大氣球了
OptionsExtras,附加功能
DoubleCashHelper,你可以在這裡找到「雙現金模式」
BigBloonsMode,大氣球
CollectionMonkeyText,透過贏取任何地圖賺取「收集獎勵」！
CoopQuickGame,快速遊戲
CoopMediumGame,中等遊戲
CoopLongGame,持久游戲
CoopContinuePrompt,遊戲在......後繼續
CoopRestartPrompt,遊戲在......後重啟
CoopFreeplayPrompt,免費遊戲在......後開始
CollectionRewardsDelivered,你的「收集活動」獎勵已經拆箱，就在你的「即時猴子」庫存里！
CoopSyncMessage,正在與其他玩家同步......
CoopPlayerLeftMessage,離開了比賽
CollectionEventEnded,「收集活動」已結束
CoopPublicGameStart,遊戲即將開始......
CalloutMasterBuild,建築大師
CalloutLessIsMore,少即是多
CalloutPopMaster,流行大師
CalloutPopPacifist,流行和平主義者
CalloutBossSkillz,魔王技能
CalloutWhatMOABs,MOAB是什麼？
CalloutMonkeyFinancier,猴子金融家
CalloutNoBananas4U,沒有香蕉給你
CalloutActivator,催化剂
CalloutPoweredUp,已充電
CalloutInstaWinner,及時贏家
CalloutMasterBuildDesc,放置了{0}個塔
CalloutLessIsMoreDesc,放置了{0}個塔
CalloutPopMasterDesc,擊破了{0} 個氣球
CalloutPopPacifistDesc,擊破了{0} 個氣球
CalloutBossSkillzDesc,擊破了{0} 個MOAB
CalloutWhatMOABsDesc,擊破了{0} 個MOAB
CalloutMonkeyFinancierDesc,生成了{0}現金
CalloutNoBananas4UDesc,生成了{0}現金
CalloutActivatorDesc,使用了{0}個技能
CalloutPoweredUpDesc,使用了{0}能量
CalloutInstaWinnerDesc,使用了{0}個即時猴子
CoopLobbyNotFound,無法找到遊戲
CoopLobbyIsFull,遊戲已滿
CoopLobbyNotCompatible,遊戲版本不兼容，請嘗試更新本遊戲。
CheckInternet,無法連接。請檢查網際網路連接。
SacrificialTotem,犧牲圖騰
SandboxSetRound,設定回合：
SandboxSpacing,間隔：
SandboxCount,計數：
CoopDisconnected,已斷開。
CoopDisconnectedMessage,很不幸，您的遊戲連線已斷開。請返回主選單。
CoopCreatingLobby,正在創建遊戲…
CoopHostDisconnected,創建本遊戲的玩家以中斷連線。
CoopNoPublicOption,這些遊戲設定只能作為私人對戰儲存。
CoopBuildZoneMessage,在綠色區域建造您的猴子塔。
Cargo,貨物
BenJamminSkinName,本傑明DJ皮膚。
BenJamminSkinDescription,這個派對真的嗨爆了！
EditorAllCamo,所有偽裝氣球
EditorAllRegrow,所有重生氣球
AllCamoDescription,MOAB級以外的所有氣球都是偽裝氣球
AllRegrowDescription,MOAB級以外的所有氣球都是重生氣球
CoopGiveCashText,給予
CoopWaitingMessage,等待其他玩家……
CoopReconnectMessage,正在重聯至您的遊戲……
Achievement 65 Name,煉金超人與氣球遊俠
Achievement 65 Description,你把它設置成了迷你的M，它應該是烏布的W才對
SmudgeCattSkinName,髒髒貓皮膚
SmudgeCattSkinDescription,髒髒貓的注視讓你昏昏欲睡，召喚著你撕碎周圍所有的氣球。她渴望着復仇，當然還有更多的貓糧。
Workshop,車間
SmallBloonsMode,小氣球
Achievement 66 Name,2TC
Achievement 66 Description,僅使用2座猴子塔完成CHIMPS難度的遊戲
Achievement 67 Name,彈指一揮
Achievement 67 Description,使用一半起始生命與一半起始現金完成遊戲
Achievement 68 Name,比爾·格瑞茨
Achievement 68 Description,"一次性向合作的隊友發送$500,000"
Achievement 69 Name,氣球狂飚500
Achievement 69 Description,獲得500次競速參賽資格
Achievement 70 Name,年度菜鳥
Achievement 70 Description,在10分鐘內完成一次競速
Achievement 71 Name,新星
Achievement 71 Description,在5分鐘內完成一次競速
Achievement 72 Name,問鼎冠軍
Achievement 72 Description,在3分鐘內完成一次競速
Achievement 73 Name,最偉大的挑戰
Achievement 73 Description,創建或完成200次挑戰
Achievement 74 Name,光彩照人
Achievement 74 Description,使用任何英雄的某個皮膚在100次遊戲中獲勝
Achievement 75 Name,瑟珀關
Achievement 75 Description,在半島上擊破{0}個氣球
Achievement 76 Name,瘋狂的氣球大師
Achievement 76 Description,與氣球大師煉金術士輸出10億傷害
Achievement 77 Name,我看見你了
Achievement 77 Description,使用微光顯示{0}個氣球
Achievement 78 Name,機關重重
Achievement 78 Description,一次在一張地圖上佈置50座猴子塔
Achievement 79 Name,天降橫財
Achievement 79 Description,使用虹吸資金獲得{0}
Achievement 80 Name,萬象歸一
Achievement 80 Description,在任意困難級別遊戲中，在熒幕上始終只有1座猴子塔的條件下獲勝
Achievement 81 Name,生命大師
Achievement 81 Description,在單次遊戲中一次性獲得1000條命
Achievement 82 Name,彩虹即是魔法
Achievement 82 Description,使用魔法猴子擊破{0}個彩虹氣球
Emote.Hi,嗨！
Emote.Welldone,做得好
Emote.Ready,準備！
Emote.Slow,慢一點！
Emote.Thanks,謝謝
Emote.AFK,暫時離開
Emote.Sorry,對不起！
Emote.Goodjob,不錯哦
Emote.Gg,GG
Emote.Freeplay,自由行動
Emote.Eco,經濟
CoopGameUnavailable,本遊戲已不再可用。
CalloutHeadDetective,頭部偵探
CalloutHeadDetectiveDesc,擊破{0}個偽裝氣球
CalloutMetalMuncher,金屬剋星
CalloutMetalMuncherDesc,擊破{0}個鉛氣球
CalloutFumigator,熏蒸者
CalloutFumigatorDesc,擊破{0}個重生氣球
CalloutFiredUp,火力全開
CalloutFiredUpDesc,擊破{0}個陶瓷氣球
CalloutBfbBrawler,BFB剋星
CalloutBfbBrawlerDesc,擊破{0}個BFB氣球
CalloutZomgZapper,ZOMG捕手
CalloutZomgZapperDesc,擊破{0}個ZOMG級氣球
CalloutDdtDestroyer,DDT摧毀者
CalloutDdtDestroyerDesc,擊破{0}個DDT級氣球
CalloutMostGenerous,慷慨大方
CalloutMostGenerousDesc,贈出{0}現金
CoopDailyChallenge,每日合作挑戰
Spillway,洩洪道
Sentry,哨兵
SentryBoom,爆炸哨兵
SentryCrushing,钉球哨兵
SentryCold,冷凍哨兵
SentryEnergy,能量哨兵
SentryParagon,冠軍哨兵
EditorNumberOfPlayers,玩家人數
EditorCoopAreaDivision,地圖劃分
InvalidTarget,無效目標
Adora,安多拉
Adora Short Description,高級女祭司
Adora Description,安多拉的虔誠驅使她使用憤怒的復仇打倒氣球。
Adora Level 1 Description,神聖閃電將尋找並摧毀氣球。
Adora Level 2 Description,攻擊範圍增大。
Adora Level 3 Description,光之長臂：在短時間內大幅增加攻擊範圍與能量，可對所有氣球類型造成傷害。
Adora Level 4 Description,發射2個神聖閃電。
Adora Level 5 Description,神聖閃電能夠擊破更多氣球。
Adora Level 6 Description,每次發射3個神聖閃電。
Adora Level 7 Description,血祭：犧牲一個目標塔，使安多拉獲得大量經驗值，並在短時間內擴大她的攻擊範圍和加快她的攻擊速度。
Adora Level 8 Description,每次發射4個神聖閃電。
Adora Level 9 Description,攻擊範圍增大。
Adora Level 10 Description,光球：發出一個能量球，擊倒氣球。
Adora Level 11 Description,安多拉的攻擊速度增加。
Adora Level 12 Description,每次發射5個神聖閃電。
Adora Level 13 Description,神聖閃電能夠擊破更多氣球。
Adora Level 14 Description,每次發射6個神聖閃電。
Adora Level 15 Description,神聖閃電能夠額外燒毀一層氣球。
Adora Level 16 Description,光之長臂變得更加致命。
Adora Level 17 Description,安多拉的攻擊速度進一步增加。
Adora Level 18 Description,每次發射8個神聖閃電。
Adora Level 19 Description,攻擊範圍增大。
Adora Level 20 Description,光球大幅度提升。
Carved,鬼臉南瓜
BloodyPuddles,血腥水坑
TechBotRequiresAbility,需要具有啟動技能的猴子塔
AdorasTemple,安多拉神廟
WinterPark,冬季公園
FustyTheSnowmanSkinName,雪人Fusty
FustyTheSnowmanSkinDescription,曾是砰砰快樂靈魂
WorkshopReverseMotor,啟動反向電動機
WorkshopTrackExtensions,啟動路徑延長
Achievement 83 Name,不可思議地可愛
Achievement 83 Description,行星排列得如此令人滿意
Achievement 84 Name,Josh的常數
Achievement 84 Description,打敗猩猩模式下的任何專家地圖，並在一間針刺工廠花費至少$40870
Achievement 85 Name,代價是什麼？- 全部
Achievement 85 Description,在遊戲中將每一種塔獻祭給神廟
Achievement 86 Name,2百萬擊破
Achievement 86 Description,猩猩模式下，在一座塔造成超過2百萬傷害的情況下完成一局遊戲
Achievement 87 Name,寶箱時刻
Achievement 87 Description,在任何收集活動中打開一個鑽石寶箱
Achievement 88 Name,浩劫軸心
Achievement 88 Description,猩猩模式下的一局遊戲中，每種T5狙擊手都有一個
Achievement 89 Name,塔守護者
Achievement 89 Description,庫存里同時有200個即時猴子
Achievement 90 Name,全年無休
Achievement 90 Description,打開每日寶箱365次
Achievement 91 Name,Kali Maaaaaaaa
Achievement 91 Description,在一個回合獲得10級Adora
Blood Sacrifice Ability,血祭
Blood Sacrifice Ability Description,血祭：犧牲一個目標塔，使安多拉獲得大量經驗值，並在短時間內擴大她的攻擊範圍和加快她的攻擊速度。
The Long Arm of Light Ability,光之長臂
The Long Arm of Light Ability Description,大幅增加攻擊範圍與能量，可對所有氣球類型造成傷害。
Ball of Light Ability,光球
Ball of Light Ability Description,發出一個能量球，擊倒氣球。
SunAvatarMini,太陽化身
TrueSunAvatarMini,太陽化身
ComeOnEverybody,大家加油！
ComeOnEverybodyDescription,初級塔在全部低於3階時，攻擊速度增加5%，如果全部為3階或4階，花費減少5%。
Wingmonkey,翼猴
WingmonkeyDescription,高級飛行路徑，能夠協調多個猴子王牌飛行員開展交叉攻擊時的起飛
TT_Wingmonkey,翼猴
TinyTornadoes,小小龍捲風
TinyTornadoesDescription,督伊德龍捲風在消失時生成3個小型龍捲風
HealthyBananas,健康香蕉
HealthyBananasDescription,市井現在每一回合產生1條生命，中央市場每一回合產生3條生命
WeakPoint,弱點
WeakPointDescription,所有英雄向陶瓷氣球&強化氣球輸出的傷害+1
WolfpackQuincySkinName,Wolfpack Quincy
WolfpackQuincySkinDescription,在久遠的狂野歲月裡，所有的獵人都很強壯，隊伍也更強大，那個人就是Quincy，Quincy一族的祖先。
Infernal,無間地獄
DownloadButton,下載
DownloadDescription,正在下載額外文檔。建議使用Wi-fi。資料大小{0}MB
ViewCollectionButton,查看收藏
ViewInventoryButton,查看庫存
CollectionDescription,即時猴子在您的收藏中一直可見，即使在使用之後。
CollectionNoInventory,從每日寶箱、挑戰和活動中收集的即時猴子將在這裡出現。
MatchIncompatible,遊戲類型不兼容
CollectionEventBonusRewards,獎勵
SteamOverlay,購買時需要安裝並登入Steam。
CollectionEventFeaturedInstas,精選秒殺王
CollectionEventChangesIn,更改：
CollectionEventChooseInsta,選擇精選秒殺王
JoanOfArcAdoraSkinName,聖女貞德
JoanOfArcAdoraSkinDescription,所有戰鬥的勝負首先在心裡見分曉。
EditorRules,規則
EditorModifiers,修改器
PathRestricted,路徑受限
UpgradeRestricted,升級受限
ChallengeEditorRestrict,限制
ConfirmApplyAll,將這些限制應用於所有可用的猴子塔嗎？
ConfirmResetAll,將所有可用的猴子塔重置為5-5-5？
Geared,準備就緒
ChallengeEditorTowerRestrictions,塔限制
ChallengeEditorApplyAll,全部套用
ChallengeEditorResetAll,全部重設
CandyFalls,糖果瀑布
HarlegwenGwendolinSkinName,瘋狂格溫皮膚
HarlegwenGwendolinSkinDescription,我是出了名的難對付
CoopLobbyHackerDetected,無法加入遊戲，偵測到不相容。如果需要幫助，請瀏覽https://ninja.kiwi/btd6_coop。
TechBotSetAmbush,設置伏兵
TechBotSetAmbushInstruction,選擇靠近路徑的伏兵區域
AmbushTech,伏兵科技
AmbushTechDescription,科技機器人獲得目標選項，只在氣球進入特定路徑區域觸發。
DoorGunner,通道槍手
DoorGunnerDescription,特別擊破直升機可讓4階和以下的猴子塔攻擊正在移動的氣球。
DoorGunnerDenied,無法將這種塔轉變成通道槍手
AmbidextrousRangs,雙手並用
AmbidextrousRangsDescription,知識和訓練可讓迴旋鏢猴換手，以此作為目標選項和優化迴旋鏢攻擊。
BoomerangTargetingSwitchHands,換手
VineRupture,藤蔓破裂
VineRuptureDescription,賦予森林督伊德之靈一種新技能，可破裂路徑上的所有藤蔓，對所有非鉛氣球造成大量傷害。新的藤蔓會在破裂後重生。
BankDeposits,銀行存款
BankDepositsDescription,4階及以上的猴子銀行可儲存遊戲中的現金。
MonkeyBankDeposit,存款
Achievement 92 Name,黃金票券
Achievement 92 Description,Bloompa-loompa-doompa-dee-doo！
SmallMonkeysMode,小猴子
CaveMonkey,洞穴猴子
DarkKnightDarkshift,[I]黑暗轉移至範圍內
DarkChampionDarkshift,[I]黑暗轉移至任何有效位置
SmallTowersMode,小猴子塔
BigTowersMode,大猴子塔
UpdatePopupTitle,更新 31！
UpdatePopupDescription,新内容更新！\n• 新英雄！神秘店主Geraldo帶著他琳琅滿目的擊破氣球物品來了！\n• 新頭目！致命空中主宰Vortex猶如猛獸出籠！\n• 全新新手地圖：廢品場，在那裡享受破壞氣球的樂趣吧\n• 新增9個獎盃商店物品，包括一首新混音\n• 挑戰瀏覽器：加入最少現金和最低階特殊勝利條件，助你享受完成挑戰的樂趣\n• 新增英雄選單，進一步改善生活素質，平衡性修改，完整內容，請查看更新說明！
ResetDailyChest,重設每日寶箱
JukeboxName,自動唱機
EnableFunction,啟用
JukeboxSongs,歌
JukeboxPlaylist,播放清單
JukeboxAddAll,全部新增
JukeboxRemoveAll,全部移除
MonkeysLeft,剩餘猴子
ChallengeRules,挑戰規則
JukeboxMusicFiestaMain,假日佛朗明哥舞曲
JukeboxMusicSunshineMain,陽光小夜曲
JukeboxMusicSunsetMain,日落森巴舞曲
JukeboxMusicTropicalMain,熱帶狂歡
JukeboxMusicTribesMain,部落與苦難
JukeboxMusicWinterMain,冬夜
JukeboxMusicJazzMain,爵士主題
DoorGunnerSelect,將一座防禦塔選為艙門槍手
PlayerStatsSettings,玩家統計數據
PlayerStatsPublicStats,公開統計數據
HiddenAchievements,隱藏成就
PlayerStatsTopHeroes,頂級英雄
PlayerStatsTopMonkeys,頂級猴子
PlayerStatsGamesPlayed,玩過的遊戲
PlayerStatsGamesWon,獲勝的遊戲
PlayerStatsHighestRound,最高回合
PlayerStatsMonkeysPlaced,放置的猴子
PlayerStatsPopCount,擊破總計
PlayerStatsCoopPopCount,組隊擊破總計
PlayerStatsCamoPopped,擊破的迷彩氣球
PlayerStatsLeadPopped,擊破的迷彩氣球
PlayerStatsPurplePopped,擊破的紫色氣球
PlayerStatsRegrowPopped,擊破的重生氣球
PlayerStatsCeramicPopped,擊破的陶瓷氣球
PlayerStatsMoabsPopped,擊破的MOAB級氣球
PlayerStatsBfbsPopped,擊破的BFB級氣球
PlayerStatsZomgsPopped,擊破的ZOMG級氣球
PlayerStatsDdtsPopped,擊破的DDT級氣球
PlayerStatsBadsPopped,擊破的BAD級氣球
PlayerStatsBloonsLeaked,漏氣的氣球
PlayerStatsCashGenerated,產生的金錢
PlayerStatsCashGifted,贈送的現金
PlayerStatsAbilitiesUsed,使用的技能
PlayerStatsPowersUsed,使用的力量
PlayerStatsInstaMonkeysUsed,使用的Insta猴子
PlayerStatsDailysOpened,打開的每日獎勵寶箱
PlayerStatsChallengesCompleted,完成的挑戰
PlayerStatsMaxPublicSelected,已選擇最大公開統計數據
PlayerStatsOdysseysCompleted,完成的征程
PlayerStatsMedals,獎牌
PlayerStatsAvatar,化身
PlayerStatsOverallStats,整體統計數據
PlayerStatsSharing,分享{0}/7
JukeboxMusicThemeMain,主題
et_odysseytitle,征程活動！
et_odysseydescription,歡迎！每個征程包括一系列相關地圖和挑戰，為您帶來獎盃及其它獎勵！關鍵規則：\n• 生命數由所有地圖共享\n• 征程一旦開始，你就無法更改團隊或難度，除非您選擇重新開始\n• 在最後一張地圖獲勝後，你將贏得獎盃及其它獎勵\n• 難度獎勵不會累積 – 完成困難征程可獲得最高獎勵
OdysseyEventName,征程活動
OdysseyThemeCustomRules,自訂規則
OdysseyThemeRapidBloons,快速氣球
OdysseyThemeNoReturn,無退貨規定
OdysseyThemeInstructions,未包括指示
OdysseyThemeFasterHigher,更快。更高。更強。
OdysseyThemeGottaGoFast,速度第一
OdysseyThemeAllCamo,時時迷彩
OdysseyThemeAllRegrow,時時重生
OdysseyThemeFastTrack,快速路徑
OdysseyThemeHighlander,山地人征程
OdysseyThemeMonkeyTeams,猴子小隊
OdysseyThemeExtremeOdyssey,極端征程
OdysseyLives,生命：
OdysseyLife,{0}條生命！
OdysseyLivesLeft,剩餘生命：
OdysseyStart,開始征程
CollectAll,全部收集
OdysseyThemeSlowButDeadly,緩慢但致命
OdysseyIslandRules,島嶼規則
OdysseyCrew,團隊
OdysseyCrewDetails,團隊詳細資料
OdysseyCrewDetailsSubtext,建立一支由命運之選的猴子和力量組成的史詩團隊
OdysseySeats,數量：{0}
OdysseyMax,最大：{0}
OdysseyPowersAvailable,可用力量：
OdysseySpaces,空間：{0}
OdysseySelectCrew,選擇你的組員
OdysseyTotal,總計：{0}
OdysseyPlay,開始遊戲
OdysseyContinue,繼續征程
OdysseyAddCrew,請為你的團隊添加更多猴子以開始征程
LeaderboardHacker,未找到數據。
Bazaar,集市
FloodedValley,水淹山谷
AdmiralBrickell,海軍上將Brickell
AdmiralBrickell Short Description,海軍司令
AdmiralBrickell Description,指揮所有水面猴子取得決定性勝利。需要放置在水面。
AdmiralBrickell Level 1 Description,投下強力水雷，找出並摧毀氣球。
AdmiralBrickell Level 2 Description,攻擊速度增加。
AdmiralBrickell Level 3 Description,海軍策略 - 短時間內大幅加快附近水面猴子的攻擊速度。
AdmiralBrickell Level 4 Description,水雷擊破力增加。
AdmiralBrickell Level 5 Description,海軍策略可增強擊破力，使受影響的猴子能夠擊中除迷彩氣球外的所有氣球。
AdmiralBrickell Level 6 Description,增加水雷和手槍攻擊造成的傷害。
AdmiralBrickell Level 7 Description,Brickell獲得攻擊範圍增加和僞裝氣球偵測。
AdmiralBrickell Level 8 Description,海軍策略可使受影響的猴子能夠擊中僞裝氣球。作用範圍内的水塔獲得額外穿透力。
AdmiralBrickell Level 9 Description,水雷造成額外傷害。
AdmiralBrickell Level 10 Description,巨型水雷：在任何水域部署一枚破壞力巨大的水雷，引爆MOAB級氣球並且擊暈附近的氣球。巨型水雷持續3個回合。
AdmiralBrickell Level 11 Description,加快水雷的部署速度。
AdmiralBrickell Level 12 Description,手槍攻擊的速度和傷害得到增強，水雷造成的傷害增加。
AdmiralBrickell Level 13 Description,巨型水雷的冷卻時間縮短。
AdmiralBrickell Level 14 Description,海軍策略的持續時間增加。
AdmiralBrickell Level 15 Description,增強型水雷的爆炸範圍更大，可對黑色氣球造成傷害，並解除迷彩氣球的偽裝。
AdmiralBrickell Level 16 Description,攻擊和水雷的部署範圍大幅增加。
AdmiralBrickell Level 17 Description,水雷造成的傷害大幅增加。
AdmiralBrickell Level 18 Description,巨型水雷的冷卻時間進一步縮短。
