//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
BloonsAllBloonsPopsBonesDescription,Onko blooneilla luita? Bloonianatomistit haluaisivat tietää! Rajallisen ajan keräilykappale!
OdysseyThemeBloonRush,Blooniryntäys
OdysseyThemeSpecificBloonRush,{0} bloonin ryntäys
OdysseyThemeMegaBloon,Mega {0}
OdysseyThemeRoundMashUp,Kierrosyhdistelmä
OdysseyThemeRoundMixUp,Kierrossekoitus
OdysseyThemeEntryMixUp,Sisäänkäyntisekoitus
OdysseyStars,Tähdet
DisableNudgeMode,Poista tönäisytila käytöstä
More Pops To Open,Lisää poksautuksia avattavaksi!
Most Pops Tip,"Hanki useimmat poksautukset keskitason, vaikean tason ja maksuttomissa peleissä!"
btd6_churchillbundle,Sankaripakkaus
btd6_churchillbundle Description,• Sankari \n• Sankarin ulkoasu \n• Asetusanimaatio \n• Avatar
btd6_ezilibundle,Sankaripakkaus
btd6_ezilibundle Description,• Sankari \n• Sankarin ulkoasu\n• Sankarilemmikki\n• Avatar
btd6_benjaminbundle,Sankaripakkaus
btd6_benjaminbundle Description,• Sankari \n• Sankarin ulkoasu \n• Asetusanimaatio \n• Avatar
btd6_patfustybundle,Sankaripakkaus
btd6_patfustybundle Description,• Sankari \n• Sankarin ulkoasu\n• Sankarilemmikki\n• Avatar
Red,Punainen
Blue,Sininen
Green,Vihreä
Yellow,Keltainen
Pink,Vaaleanpunainen
Purple,Purppura
Lead,Johda
Black,Musta
White,Valkoinen
Zebra,Seepra
Rainbow,Sateenkaari
Ceramic,Keraaminen
MOAB,MOAB
BFB,BFB
ZOMG,ZOMG
DDT,DDT
BAD,BAD
Insta Monkey Collection,Välitön apinakokoelma
Most Experienced Monkey,Kaikkein kokenein apina
Most Experienced Monkey Xp,Kaikkein kokenein apina-XP
Collection Chests Opened,Kokoelma-arkut avattu
btd6_moremoneypack_sale,Lisää rahaa -pakettikampanja!
btd6_moremoneypack_sale Description,"Kaikki oikeat voimat rahan nopeaan hankkimiseen – 20 käteisen toimitusta, 5 apinafarmaria ja 5 menestystä! Myynnissä vain rajoitetun ajan!"
EditorRegrowSpeed,Uudelleen kasvatuksen nopeus
HeroBundle,Sankaripakkaus
GetItAllNow,Hanki kokonaisuudessaan heti!
PlacementAnimation,Sijoitusanimaatio
XFactor,X-tekijä
Skates,Luistimet
DartlingGunner Short Description,Sotilasapina
btd6_starterheroskinbundle Description,• 2 Quincy-ulkoasua \n\n• 2 Gwen-ulkoasua \n\n• 2 Iskijä-ulkoasua \n\n• 2 Obyn-ulkoasua
btd6_starterheroskinbundle,Mega-pakkaus
ObynMountainGuardianSkinName,Vuorivartija-ulkoasu
ObynMountainGuardianSkinDescription,Vuoren henget heräävät.
HeroesPatPetPenguinName,Lumiukko-Fusty-ulkoasu
HeroesPatPetPenguinShortName,Lumiukon pingviinilemmikki
HeroesPatPetPenguinDescription,Pingviinit ovat lumiukon paras kaveri! Vaikka tämä tuntuu suunnittelevan jotakin... Vain Lumiukko-Fusty Rajoitetun ajan keräilijänimike!
HeroesAdmiralBrickellPetParrotName,Brickellin papukaijalemmikki
HeroesAdmiralBrickellPetParrotShortName,Brickell-papukaija
HeroesAdmiralBrickellPetParrotDescription,"Gwaak! Bloonit ohoi, bloonit ohoi! Vain kuollut piraatti Brickell"
TowerPetMonkeyVillageElfName,Apinakylän keijulemmikki
TowerPetMonkeyVillageElfShortName,Kyläkeiju
TowerPetMonkeyVillageElfDescription,"Tämä on kuten keijukainen hyllyllä paksummalla turkilla ja hännällä. Tykkää myös jättää ""lahjoja"" kylän ympäristöön. Rajoitetun ajan keräilijänimike!"
TowerEffectAllMonkeysPlacementUpgradesPresentsName,Esittää sijoituksen ja päivittää tehosteet
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,Esittää versiopäivityksen FX
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,"Jokainen päivä on joulu, kun kaikki versiopäivityksesi räjähtävät lahjoilla! Rajoitetun ajan keräilijänimike!"
TowerProjectileBoomerangCandyCaneName,Bumerangiapina Karkkitanko bumerangit
TowerProjectileBoomerangCandyCaneShortName,Karkkitanko bumerangit
TowerProjectileBoomerangCandyCaneDescription,Poksauta bloonit näillä herkullisilla karkkitangoilla! Rajoitetun ajan keräilijänimike!
BloonsAllBloonsSantaHatsName,Joulupukkihatut
BloonsAllBloonsSantaHatsShortName,Joulupukkihatut
BloonsAllBloonsSantaHatsDescription,"Bloonit + joulupukkihatut, painajaistavaraa vai paras lahja koskaan? Rajoitetun ajan keräilijänimike!"
BloonsAllBloonsRudolphNoseName,Punanenä tarra
BloonsAllBloonsRudolphNoseShortName,Punanenä
BloonsAllBloonsRudolphNoseDescription,"Tien valaiseminen muita blooneja varten, aseta MOABisi esille näillä kiiltävillä nenillä! Rajoitetun ajan keräilijänimike!"
BloonsAllBloonsPopsSnowflakesName,Lumihiutalepoksahdustehoste
BloonsAllBloonsPopsSnowflakesShortName,Lumihiutalepoksahdustehoste
BloonsAllBloonsPopsSnowflakesDescription,Tee kustakin bloonista erityinen lumihiutale poksauttamalla sen!
BloonsMOABSkinGlacierName,Jäädytetty jäätikkö MOAB
BloonsMOABSkinGlacierShortName,Jäädytetty jäätikkö MOAB
BloonsMOABSkinGlacierDescription,Luola-apina varoittaa toista apinaa. Suuri blooni tulkoon Suuri blooni jäätynyt kylmäksi. Luola-apina nälkäinen. Onko banaania?
CoopEmoteAnimationHappyHolidaysName,Hyvää lomaa -emote
CoopEmoteAnimationHappyHolidaysShortName,Hyvää lomaa
CoopEmoteAnimationHappyHolidaysDescription,Toivota kaikille hyvää loma-aikaa tällä rajoitetun ajan keräilijän emotella!
CoopEmoteAnimationCelebrationName,Juhlaemote
CoopEmoteAnimationCelebrationShortName,Juhla
CoopEmoteAnimationCelebrationDescription,Laske uuteen vuoteen asti ja tee sitten päätös saavuttaa uusi henkilökohtainen korkein kierros
CoopEmoteAnimationFacepalmName,Facepalm-emote
CoopEmoteAnimationFacepalmShortName,Facepalm
CoopEmoteAnimationFacepalmDescription,Ben ei jaa käteistä? Quincy päästää bloonit jousensa ohi? Ezilin facepalmit ovat kohdallaan monissa tilanteissa!
GameUIPowerSkinBaubleMineName,Mukautettua tehoa - Bauble-kaivos
GameUIPowerSkinBaubleMineShortName,Bauble-kaivos
GameUIPowerSkinBaubleMineDescription,"Räjäytä MOABit, koristele sitten joulukuusi! Rajoitetun ajan keräilijänimike!"
GameUIPowerSkinRetroTechbotName,Mukautettua tehoa - Retro-tekniikkobotti
GameUIPowerSkinRetroTechbotShortName,Retro-tekniikkobotti
GameUIPowerSkinRetroTechbotDescription,Hallitse aktivoituja kyvykkyyksiäsi tällä super-jännällä retro-tekniikkobotilla. Ei sisällä paristoja. Rajoitetun ajan keräilijänimike!
GameUIPowerSkinIcebergPontoonName,Mukautettua tehoa - Jäävuoriponttooni
GameUIPowerSkinIcebergPontoonShortName,Jäävuoriponttooni
GameUIPowerSkinIcebergPontoonDescription,Katsele bloonien ongelmien sulavan pois tällä super-jännällä jäävuoriponttoonilla.
GameUIProfileAvatar27Name,Mukautettu avatar - Apinaässä
GameUIProfileAvatar27ShortName,Apinaässä avatar
GameUIProfileAvatar27Description,"Apinaässä pelastaa! Komenna taivaita, tällä erinomaisella avattarella"
GameUIProfileAvatar28Name,Mukautettu avatar - Konetikka-ase
GameUIProfileAvatar28ShortName,Konetikka-ase avatar
GameUIProfileAvatar28Description,"Olet nähnyt apinatornin, nappaa nyt avatar! Näytä rakkautesi tälle vanhan ajan suosikkibloonipoksauttajalle!"
GameUIProfileAvatar29Name,Mukautettu avatar - Talvininja
GameUIProfileAvatar29ShortName,Talvininjan avatar
GameUIProfileAvatar29Description,Valmistaudu lomiin tällä tosi jännällä ninja-avattarella. Rajoitetun ajan keräilijänimike!
GameUIProfileAvatar30Name,Mukautettu avatar - Lomapaikalla
GameUIProfileAvatar30ShortName,Lomapaikka-avatar
GameUIProfileAvatar30Description,"Paikalla on päivitys sinua varten, Hyvää joulua ja uutta vuotta! Rajoitetun ajan keräilijänimike!"
RecurringRangs,Uudelleen esiin tulevat bumerangit
RecurringRangsDescription,Bumerangiapinalle palaavat bumerangit heitetään toiseen kertaan.
FirstLastLineOfDefense,Puolustuksen ensimmäinen viimeinen linja
FirstLastLineOfDefenseDescription,Ensimmäisen piikkitehtaan hankintahinta kussakin pelissä on $150 vähemmän.
FlankingManeuvers,Reunustusliikkeet
FlankingManeuversDescription,"Tarkka-ampuja, sukellusvene, apinamerirosvo hyökkää 10 % nopeammin, kun asetettu 'Viimeinen' -kohdennusprioriteetille."
EmergencyUnlock,Hätäavauslaite
EmergencyUnlockDescription,Aktivoitu kyvykkyys: avaa lukitut konetikka-aseet ja tehostaa niiden kääntönopeutta hetken ajan.
GorgonStorm,Gorgon-myrsky
GorgonStormDescription,Hydra-rakettimyrsky tyrmää vahingoittuneet bloonit hetkellisesti.
CrossTheStreams,Ylitä virtaukset
CrossTheStreamsDescription,"Siellä, missä plasma- tai tuomiosäteet menevät ristiin kentällä, ne luovat väliaikaisia plasma-altaita."
MonkeysTogetherStrong,Apinat yhdessä voimakkaasti
MonkeysTogetherStrongDescription,Sankarit vastaanottavat 5 % enemmän kokemusta kullekin sijoitetulle sankarille.
GrandPrixSpree,Grand Prix -rellestys
GrandPrixSpreeDescription,Apinarahakustannusta kilpailuun pääsemiseksi vähennettiin 10 %.
ChallengeBrowser,Haasteselain
Trending,Trendejä muodostumassa
Casual,Rento
Newest,Uusimmat
Expert,Asiantuntija
MostLiked,Kaikkein pidetyimmät
Favorites,Suosikit
Played,Pelatut
MyChallenges,Omat haasteet
ChallengeName,Haasteen nimi
Creator,Kehittäjä
Likes,Pitää
WinPercent,Voitto %
Create,Luo
PageXofY,Sivu {0} / {1}
ChallengeInfo,Haastetiedot:
TimeUploaded,Latausaika
Last24Hours,Viimeiset 24 tuntia
LastWeek,Viime viikolla
LastMonth,Viime kuussa
AllTime,Kaikkien aikojen
NoChallengesFound,Ei löydettyjä haasteita
Shared,Jaettu
DeleteThisSave,Poista tämä tallennus?
DeleteThisChallenge,Poista tämä haaste pysyvästi?
ShareAgainIn,Jaa uudelleen sisällössä:
ShareAgainExplanation,"Jaa uudelleen, kun ajastin laskee loppuun. Sinun täytyy voittaa haaste, jotta voit jakaa sen."
MySavedGames,Omat tallennetut pelit
ConfirmShare,Vahvistetaanko jakaminen? Se tulee näkyviin sisältöselaimessa muutaman minuutin sisällä.
Custom,Mukautettu
ChallengeSearch,Hae/haasta koodi...
IncludeOldVersions,Sisällytä vanhat versiot
Achievement 107 Name,Valmis pelaaja yksi?
Achievement 107 Description,Isännöis ja voita 10 Yhteistyöpeliä
Achievement 108 Name,Titaanien yhteentörmäys
Achievement 108 Description,Revi vahvistukset vahvistetuista DDT:stä 3 000 kertaa
Achievement 109 Name,A La -koodi
Achievement 109 Description,Lähetä haaste sisältöselaimeen
Achievement 110 Name,Uudelleen lahjoitettu
Achievement 110 Description,Poksauta 1 000 000 bloonia konetikka-aseella
Achievement 111 Name,Kuponkihullu
Achievement 111 Description,Kuluta ainakin 50 pokaalia pokaalikaupassa
Achievement 112 Name,Välitön tyydytys
Achievement 112 Description,"Käytä tasolla 5 välitön apina HUOM.: jopa käytön jälkeen, välittömät sisällytetään yhä kokoelmaasi kohti!"
Achievement 113 Name,Välitön vuosisata
Achievement 113 Description,"Käytä 100 välitöntä apinaa HUOM.: jopa käytön jälkeen, välittömät sisällytetään yhä kokoelmaasi kohti!"
Achievement 114 Name,Rajoitettu käyttö
Achievement 114 Description,Hanki ainakin 1 uusi rajoitetun ajan nimike pokaalikaupassa
Achievement 115 Name,Työkaluja Darwinille
Achievement 115 Description,Päivitä tornit 20 000 kertaa
Achievement 116 Name,Itsepäinen strategia
Achievement 116 Description,"Vain se, että asia voidaan suorittaa, ei tarkoita, että se tulee suorittaa"
ChallengeBrowserDescription,"Pelaa, luo ja arvostele yhteisön luomuksia!"
VerifiedUser,Varmistettu käyttäjä
TrophyBadgesEmpty,Voita pelejä ja ansaitse mitaleita!
,
// External cleaning app (not in binary),
cleaner.oops.title,Hups!
cleaner.oops.message,Valitse kelvollinen vaihtoehto...
cleaner.warning.title,Oletko varma?
cleaner.warning.message,VAROITUS: Tätä ei voi perua!
cleaner.title,Puhdistaja: {0}
cleaner.Message,Valitse vaihtoehto:
cleaner.RadioButton_CleanAll,Puhdista kaikki
cleaner.RadioButton_Keep,Pidä asetukset ja edistyminen
cleaner.RadioButton_CleanSelective,Valikoiva puhdistus
cleaner.CheckBox_Preferences,Määritykset
cleaner.CheckBox_Progress,Edistyminen
cleaner.Button_Run,Jatka
cleaner.Button_Exit,Lopeta
cleaner.allDone,Valmista!
// External cleaning lines complete,
,
ChallengeBrowserError,Sisältöselaimen lataamisessa ilmeni ongelma.
OverwriteChallengeBrowserText,Aiemman tallennuksesi päälle tallennetaan. Oletko varma?
OverwriteChallengeBrowserHeader,Korvaa tallennus?
GameUIMusicTrackMusicJingleBloonsName,Jukebox: Kulkusbloonit
GameUIMusicTrackMusicJingleBloonsShortName,Kulkusbloonit
GameUIMusicTrackMusicJingleBloonsDescription,Juhlista lomapäiviä tällä uskomattomalla uudella alkuperäisellä bloonikappaleella. Riemuin helkkäile!\nOta käyttöön musiikki Jukeboxin välityksellä päävalikon asetuksissa
Favorite,Suosikki
FasterRegen,Nopeampi uudistuminen
SlowerRegen,Hitaampi uudistuminen
NewTower,Uusi torni
MapUnlockTutorHeader,Karttojen avaaminen
MapUnlockTutorBody,Voittamalla kartan ensimmäistä kertaa missä tahansa kategoriassa avaat yhden kartan seuraavassa kategoriassa.\n\n•Aloittelija avaa keskitason\n•Keskitaso avaa edistyneen\n•Edistynyt avaa asiantuntijan
HideCompleted,Piilota saavutetut
Ravine,Rotko
GameUIProfileAvatar31Name,Oma avatar – Kabuki-ninja
GameUIProfileAvatar31ShortName,Kabuki-ninja-avatar
GameUIProfileAvatar31Description,Ninja-apinalla on parhaat kumadori-meikit
GameUIProfileAvatar32Name,Oma avatar – Kopterilentäjä
GameUIProfileAvatar32ShortName,Kopterilentäjä-avatar
GameUIProfileAvatar32Description,Taivaalle! Tämä kopterilentäjä-avatar yhdistää söpöyden tehokkuuteen
BloonsAllBloonsTruckerHatsName,Rekkailijahatut
BloonsAllBloonsTruckerHatsShortName,Rekkailijahatut
BloonsAllBloonsTruckerHatsDescription,Nämä bloonit ovat valmiita pitkälle matkalle! Karavaani kulkee!
BloonsAllBloonsPopsPowName,Pow-poksahdustehoste
BloonsAllBloonsPopsPowShortName,Pow-poksahdustehoste
BloonsAllBloonsPopsPowDescription,Pow! Bam! Pop! Tuhoa enemmän blooneja tällä mahtavalla pow-poksahdusanimaatiolla
BloonsBFBSkinLanternName,Lyhty-BFB
BloonsBFBSkinLanternShortName,Lyhty-BFB
BloonsBFBSkinLanternDescription,"Tuo onnea, menestystä ja valoa taistelukentälle tällä mahtavalla BFB-ulkoasulla"
TowerProjectileSpikeFactoryPineapplesName,Piikkitehdas-ananakset
TowerProjectileSpikeFactoryPineapplesShortName,Piikkitehdas-ananakset
TowerProjectileSpikeFactoryPineapplesDescription,Mikä on piikkipalloa piikikkäämpää? Tietysti ananas! Hyviä poksautteluhetkiä. Vain piikkipallopäivitys.
GameUIMusicTrackMusicBMCStreetPartyName,Jukeboksi: BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyShortName,BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyDescription,Täällä taas! Yleisön pyynnöstä Bloons Monkey Citystä tuttu Street Party!
FirstTimeContinue,"Voi ei! Bloonit pääsivät läpi! Voit jatkaa ensimmäisen kerran ilmaiseksi, mutta sen jälkeen se maksaa apinarahaa"
Follow,Seuraa
Unfollow,Ei seuraa
Following,Seuraamassa
Primary Knowledge,Perustietämys
Military Knowledge,Sotilastietämys
Magic Knowledge,Taikatietämys
Support Knowledge,Tukitietämys
Heroes Knowledge,Sankaritietämys
Powers Knowledge,Voimatietämys
Block followers,Estä seuraajia
Unblock followers,Poista seuraajien esto
Followers,Seuraajia
Submitted Challenges,Lähetetyt haasteet
TurnOnNotificationsCreator,Kytketäänkö ilmoitukset päälle tälle kehittäjälle?
TurnOffNotificationsCreator,Kytketäänkö ilmoitukset pois päältä tälle kehittäjälle?
TargetingOptionFirstTimePopup,Kohdistusasetusten muuttaminen voi joskus auttaa vaikeiden kierrosten kanssa!
et_challengefreeplaytitle,Vapaa haastepeli!
et_challengefreeplaydescription,"Tämä on vapaa pelitila haasteille. Voit jatkaa pelaamista, mutta et saa kokemusta tai palkintoja."
GameServicesBlockedText,Jokin estää pääsyn pelipalvelimillemme. Tämä voi vaikuttaa pelaamiseen. Poista estopalvelut käytöstä odottamattomien ongelmien estämiseksi. Katso lisätietoja: https://ninja.kiwi/btd6_network
DoubleCashDisabled,Tuplaraha pois käytöstä
UnableToAccessDomain,"{0} ei ole käytettävissä, poista mahdolliset torjuntapalvelut käytöstä ja yritä uudelleen"
Custom Rounds,Mukautetut kierrokset
Warning,Varoitus
Player Completion Rate,Pelaajan suoritussuhde
Win Rate,Voittosuhde
HeroesBenjaminPlacementMatrixName,Benjaminin matrixin asettelu ja päivitys
HeroesBenjaminPlacementMatrixShortName,Benjaminin Matrix
HeroesBenjaminPlacementMatrixDescription,"Vou, nyt osaan kungfun! Vain alkuperäinen Benjamin"
HeroesObynPetBunnyName,Obynin pupulemmikki
HeroesObynPetBunnyShortName,Obynin pupulemmikki
HeroesObynPetBunnyDescription,Tämä söpö pupu on yksi Obynin parhaista kavereista. Vain alkuperäinen Obyn. Rajallisen ajan keräilykappale!
TowerProjectileDartlingEasterEggsName,Konetikka-aseen pääsiäismuna-ammukset
TowerProjectileDartlingEasterEggsShortName,Konetikka-aseen pääsiäismunat
TowerProjectileDartlingEasterEggsDescription,Lataa suklaaherkkuja ja ammu pois! Vain haulikko- ja rakettipäivitykset. Rajallisen ajan keräilykappale!
TowerPetNinjaMonkeyKiwiName,Ninja-apinan kiivilemmikki
TowerPetNinjaMonkeyKiwiShortName,Ninjan kiivilemmikki
TowerPetNinjaMonkeyKiwiDescription,"Sisukas lentokyvytön kiivilintu, ninja-apinan merkittävin apuri"
BloonsMOABSkinChocolateName,Suklaamuna-MOAB
BloonsMOABSkinChocolateShortName,Suklaa-MOAB
BloonsMOABSkinChocolateDescription,"Ehkä tämä MOAB on täynnä suklaata, mutta sen sisällä on silti 4 keraamista bloonia! Rajallisen ajan keräilykappale!"
BloonsBFBSkinChocolateName,Suklaamuna-BFB
BloonsBFBSkinChocolateShortName,Suklaa-BFB
BloonsBFBSkinChocolateDescription,"Bonuspisteitä, jos suklaa-BFB:n sisällä on suklaa-MOABeja. Rajallisen ajan keräilykappale!"
BloonsAllBloonsBunnyEarsName,Pupunkorvabloonit
BloonsAllBloonsBunnyEarsShortName,Pupunkorvabloonit
BloonsAllBloonsBunnyEarsDescription,Bloonit ovat söpömpiä pupukorvilla! Rajallisen ajan keräilykappale!
BloonsAllBloonsPopsFlowersName,Kukkapoksahdustehoste
BloonsAllBloonsPopsFlowersShortName,Kukkapoksahdustehoste
BloonsAllBloonsPopsFlowersDescription,Jokainen poksahdus on värikäs räjähdys kukkapoksahdustehosteella
CoopEmoteAnimationPixelMonkeyDanceName,Tanssiva apina -emote
CoopEmoteAnimationPixelMonkeyDanceShortName,Tanssiva apina
CoopEmoteAnimationPixelMonkeyDanceDescription,"Tanssi minulle tanssi, tanssi oo oo oo..."
CoopEmoteAnimationFlowerBloomName,Kukkivat kukat -emote
CoopEmoteAnimationFlowerBloomShortName,Kukkivat kukat
CoopEmoteAnimationFlowerBloomDescription,"Kevät on alkanut, linnut laulavat, mehiläiset pörisevät ja kukat kukkivat!"
GameUIProfileAvatar33Name,Oma avatar – Obynin munat
GameUIProfileAvatar33ShortName,Obynin munat -avatar
GameUIProfileAvatar33Description,Suojaa näitä kallisarvoisia munia Obynilla. Rajallisen ajan keräilykappale!
GameUIProfileAvatar34Name,Oma avatar – Nasta-apina
GameUIProfileAvatar34ShortName,Nasta-apina-avatar
GameUIProfileAvatar34Description,"Voittaja-avatar, mutamarkl"
GameUIProfileAvatar35Name,Oma avatar – Voimakas Sentai
GameUIProfileAvatar35ShortName,Voimakas Sentai -avatar
GameUIProfileAvatar35Description,"Voittaja-avatar, Kuzuyku"
GameUIProfileAvatar36Name,Oma avatar – Intensiivinen velho
GameUIProfileAvatar36ShortName,Intensiivinen velho -avatar
GameUIProfileAvatar36Description,"Voittaja-avatar, _Concilliabule_"
Balance,Saldo
Blons,Blonsit
Latest Save,Viimeisin tallennus
Sauda,Sauda
Sauda Short Description,Miekkamestari
Sauda Description,Rauhallisen raivokas Sauda voi viipaloida blooneja kahdella terävällä miekallaan.
Sauda Level 1 Description,Huitoo lähellä olevia blooneja molemmilla miekoilla. Voi poksauttaa maastokuvioituja blooneja.
Sauda Level 2 Description,Poksauttaa enemmän blooneja hyökkäyksillä.
Sauda Level 3 Description,Hyppäävä miekkahyökkäys: Saudan dramaattinen lyijyä poksauttava loikkahyökkäys iskee tähdättyihin blooneihin.
Sauda Level 4 Description,Saudan miekka leikkaa 2 bloonikerroksen läpi.
Sauda Level 5 Description,Sauda hyökkää nopeammin.
Sauda Level 6 Description,Suurempi hyökkäyksen kantama ja poksautusteho.
Sauda Level 7 Description,"Sauda saalistaa heikkoja blooneja tehden lisävahinkoa, jos ne ovat tyrmättyjä, ja nyt hän voi poksauttaa jäätyneitä blooneja."
Sauda Level 8 Description,Sauda hyökkää entistä nopeammin.
Sauda Level 9 Description,Bloonien vuoto: Sauda poksauttaa 3 bloonikerrosta joka iskulla ja aiheuttaa hitaan vahinkoa ajan mittaan tekevän vaikutuksen.
Sauda Level 10 Description,Miekkarynnäkkö: Sauda liukuu koko radalla tuhoten blooneja matkallaan.
Sauda Level 11 Description,"Sauda tekee lisävahinkoa hidastetuille ja pysäytetyille blooneille sekä sellaisille, jotka ottavat vahinkoa ajan mittaan muilta apinoilta saaduista vaikutuksista."
Sauda Level 12 Description,Hyppäävä miekkahyökkäys on paljon tehokkaampi.
Sauda Level 13 Description,Lumotut miekat tekevät enemmän vahinkoa ja antavat Saudan vahingoittaa kaikkia blooneja.
Sauda Level 14 Description,Sauda hyökkää entistä nopeammin.
Sauda Level 15 Description,"Suurempi hyökkäyksen kantama ja poksautusteho, ja hyppäävä miekkahyökkäys aiheuttaa enemmän vahinkoa."
Sauda Level 16 Description,Miekkarynnäkkö tekee paljon enemmän vahinkoa.
Sauda Level 17 Description,Saudan miekkahyökkäykset leikkaavat useita bloonikerroksia kerralla.
Sauda Level 18 Description,Saudan miekkahyökkäykset ovat sumentavan nopeita.
Sauda Level 19 Description,"Lumotut miekat tekevät lisävahinkoa regeneroituville, vahvistetuille ja maastokuvioiduille blooneille."
Sauda Level 20 Description,Vahvempi miekkarynnäkkö pyyhkäisee kaikki polut kolmeen kertaan! Hyppäävän miekkahyökkäyksen teho on kasvanut huomattavasti.
SushiBentoBenjaminSkinName,Sushi Bento -ulkoasu
SushiBentoBenjaminSkinDescription,"Tilaa nyt, sushia tarjolla!"
Leaping Sword Attack Ability,Hyppäävä miekkahyökkäys
Leaping Sword Attack Ability Description,Saudan dramaattinen lyijyä poksauttava loikkahyökkäys iskee tähdättyihin blooneihin.
Sword Charge Ability,Miekkarynnäkkö
Sword Charge Ability Description,Sauda liukuu koko radalla tuhoten blooneja matkallaan.
Playing,Pelaamassa {0}
Solo,Soolo
Custom Challenge,Oma haaste
Browsing,Selaamassa {0}
Menues,Valikot
Challenges,Haasteet
GoldenBloonsPopped,Kultaisia blooneja poksautettu
ChallengeStats,Haastetilastot
Attempts,Yrityksiä
Wins,Voittoja
Fails,Epäonnistumisia
Unique Players,Uniikkeja pelaajia
Victorious Players,Voittavia pelaajia
FirstWinner,Ensimmäinen voittaja
MostRecentWinner,Viimeisin voittaja
DiskFullMessage,"Levy täynnä, vapauta levytilaa ja yritä uudelleen"
RacePassRemaining,Kisoja jäljellä:
RacePassHeader,Kisapassi
RacePassDescription,"Saat rajattoman määrän kisayrityksiä viikoittaiseen kisaan!\nEi ajastinta, ei apinarahaa, pelkkää kisaa!"
4RacesPass,4 kisapassia
12RacesPass,12 kisapassia
ft_goldentitle,Kultaiset bloonit
ft_goldendescription,"Poksauta kultainen blooni ansaitaksesi lisää apinarahaa! Se on vaikea poksauttaa, mutta et menetä elämiä, jos se pakenee.\nKultainen blooni esiintyy useita kertoja kussakin pelissä ja kehittyy jokaisella esiintymiskerralla.\nOnnea matkaan!"
TapToUnlock,[I] avataksesi
btd6_4racespass Description,Kisaa niin paljon kuin haluat 4 kisan ajan!
btd6_4racespass,4 kisapassia
btd6_12racespass Description,Kisaa niin paljon kuin haluat 12 kisan ajan!
btd6_12racespass,12 kisapassia
GetHeroBooster,Hanki sankaritehostin
IntermediateUnlockText,"Läpäise Aloittelija-kartta ensimmäistä kertaa, jotta saat avattua keskitason kartan"
AdvancedUnlockText,"Läpäise keskitason kartta ensimmäistä kertaa, jotta saat avattua edistyneen kartan"
ExpertUnlockText,"Läpäise edistynyt kartta ensimmäistä kertaa, jotta saat avattua asiantuntijan kartan"
HeroesSaudaPetCraneName,Saudan kurkilemmikki
HeroesSaudaPetCraneShortName,Saudan kurkilemmikki
HeroesSaudaPetCraneDescription,"Vaha pintaan, vaha pois Opiskele kurkitekniikka Saudan sirolla uudella apurilla! Vain alkuperäinen Sauda"
HeroesPatFustyPlacementSuperjumpName,Patin superhypyn asettelu ja päivitys
HeroesPatFustyPlacementSuperjumpShortName,Patin superhyppy
HeroesPatFustyPlacementSuperjumpDescription,"Pat on niin innokas halimaan MOABeja, että superhyppää toimintaan päivitysten kanssa! Vain alkuperäinen Pat Fusty"
TowerPetBananaFarmChickenName,Banaanifarmikana
TowerPetBananaFarmChickenShortName,Farmikana
TowerPetBananaFarmChickenDescription,Yksikään farmi ei ole valmis ilman kanaa. Miksi kana? Koska se on kana!!! Kotkot!!!
TowerPropMonkeyVillageBrazilFlagName,Apinakylän Brasilian lippu
TowerPropMonkeyVillageBrazilFlagShortName,Kylän Brasilian lippu
TowerPropMonkeyVillageBrazilFlagDescription,MAAAAALI! Näytä tukesi kaikelle brasilialaiselle tällä apinakylän lipulla. Näkyy kaikissa päivityksissä
TowerPropMonkeyVillageUSAFlagName,Apinakylän USA:n lippu
TowerPropMonkeyVillageUSAFlagShortName,Kylän USA:n lippu
TowerPropMonkeyVillageUSAFlagDescription,USA! USA! Lennätä tähtilippua ylväänä apinakyläsi yllä. Näkyy kaikissa päivityksissä
BloonsAllBloonsPopsPewpewName,Piu piu poks -tehoste
BloonsAllBloonsPopsPewpewShortName,Piu piu poks -tehoste
BloonsAllBloonsPopsPewpewDescription,"Tutki tunteitasi – tiedät, että sinun on ostettava nyt nämä sotaisat tähdet! Erittäin rajallisen ajan keräilykappale!"
BloonsMOABSkinBtd4RetroName,BTD4-retro-MOAB
BloonsMOABSkinBtd4RetroShortName,Retro-MOAB
BloonsMOABSkinBtd4RetroDescription,Ah kuinka nostalgista. Ruusunsävyiset lasit päähän ja katsomaan vanhaa MOAB-mallia.
BloonsBFBSkinBtd4RetroName,BTD4-retro-BFB
BloonsBFBSkinBtd4RetroShortName,Retro-BFB
BloonsBFBSkinBtd4RetroDescription,"Mikään ei vedä vertoja vanhalla ajalle, jolloin tämä oli taivaiden suurin asia!"
CoopEmoteAnimationTrophyName,Pokaalivoittaja-emote
CoopEmoteAnimationTrophyShortName,Pokaalivoittaja
CoopEmoteAnimationTrophyDescription,Poksauttakaa samppanja auki! Juhlista voittoasi tällä kuplivan kultaisella pokaalilla!
CoopEmoteAnimationPlayerNumbersName,Pelaajanumerot-emote
