//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
ft_autostarttitle,Avvio automatico
ft_autostartdescription,L'avvio automatico è stato attivato. Ciò che significa che ogni round inizierà automaticamente. Modifica l'impostazione nel menu opzioni.
ft_bananafarmtitle,Vivaio di banane
ft_bananafarmdescription,"Possiedi un vivaio di banane! Esso genera automaticamente banane durante ogni round. Tocca le banane per convertirle in contanti ma non impiegarci troppo a farlo perché, se non vengono raccolte, le banane si guastano."
ft_powerstitle,Poteri
ft_powersdescription,Possiedi un potere! I poteri creano dei potenti effetti temporanei utili per ottenere la vittoria. Tale creazione ne causa l'esaurimento perciò scegli con cura il momento più adatto per utilizzarli!
ft_monkeyknowledgetitle,Sapienza scimmiesca
ft_monkeyknowledgedescription,Hai sbloccato i segreti della sapienza scimmiesca! Ogni punto conoscenza conferisce benefici permanenti alle scimmie.
ft_sandboxmodetitle,Modalità sandbox
ft_sandboxmodedescription,Il simulatore di bloon del Dott. Scimmia è pronto! Qui potrai provare tutte le combinazioni scimmiesche possibili e persino inviare loro bloon o round specifici.
ft_ultimatepowertitle,Potere massimo
ft_ultimatepowerdescription,Le scimmie di livello 5 sono le più potenti del gioco. Ti è concesso averne solo una per ciascun tracciato.
ft_zomgtitle,Z.O.M.G.
ft_zomgdescription,Direi questo è il bloon più grande che potevano mandarci contro! Vero...?
ft_badtitle,B.A.D.
ft_baddescription,Il bloon portatore di morte e distruzione. Dimensioni e lentezza lo rendono incredibilmente difficile da abbattere.
ft_loginprompttitle,Accedi
ft_loginpromptdescription,Effettua l'accesso al cloud di Ninja Kiwi per eseguire un back up dei tuoi progressi!
ft_camoremindertitle,Attenzione! Bloon mimetizzati!
ft_camoreminderdescription,Altri bloon mimetizzati in avvicinamento. Allestisci le tue difese. Ci sono molti modi per far scoppiare i bloon mimetizzati. Prova con questi potenziamenti: Vista avanzata per scimmie a freccette oppure Visore notturno per scimmia cecchino. Cercane altri
ft_upgradesremindertitle,Potenzia le tue scimmie!
ft_upgradesreminderdescription,"Hai sbloccato potenziamenti permanentemente, ma devi ancora applicarlo alle tue scimmie a ogni partita. Tocca una scimmia per applicare i potenziamenti."
,
// Every Time Triggers,
et_clickstitle,C.H.I.M.P.S.
et_clicksdescription,"Dimostra di essere un autentico sterminatore di bloon! Senza continua, cuori persi, entrate, sapienza scimmiesca, poteri o vendita."
et_deflationtitle,Sgonfiamento
et_deflationdescription,Inizia dal {0} round con {1} in contanti ma non guadagnerai più niente.
et_apopalypsetitle,Apocalisse
et_apopalypsedescription,"Ondate di bloon in continuo aumento, senza interruzioni tra un round e l'altro. Fin dove arriverai?\nNota: le partite salvate iniziano appena si seleziona Gioca."
et_freeplaytitle,Gioco libero
et_freeplaydescription,Nella modalità gioco libero le regole cambiano! Avanzando nel gioco e più i bloon diventano più forti più veloci. Continua a giocare il più a lungo che puoi!
et_impoppabletitle,Impervio
et_impoppabledescription,Impostando il livello di difficoltà su inscoppiabile le tue abilità verranno messe duramente alla prova. Nei round più avanzati potrebbero essere applicate alcune regole e difficoltà della modalità gioco libero. Buona fortuna!
et_halfcashtitle,Metà contante
et_halfcashdescription,"Contante inziale, contante di fine round e tutte le forme di reddito dimezzate. AVVISO: anche il denaro ottenuto da Sgancio di contante e Continua viene dimezzato!"
,
DailyChallengeLocked,Bloccata: è necessario sbloccare almeno una torre
,
// IAP Promo Strings - not in-game,
Pile of Monkey Money IAP Promo,3500 MM in offerta già da ora!
Vault of Monkey Money IAP Promo,16000 MM in offerta già da ora!
Tier 3 Insta-Towers Pack,10 scimmie di livello 3 in offerta da subito!
,
Continue Round,Round {0}
Continue Saved Game?,Desideri continuare la partita salvata?
Overwrite save heading,Sovrascrivere i dati salvati?
Overwrite save details,"Se inizi una nuova partita, quella già esistente verrà sostituita. Sei sicuro di voler continuare?"
Time remaining,Tempo rimentente: {0}
Daily challenge completed,Sfida giornaliera completata. La prossima si sbloccherà tra {0}
Try me in the Next Game!,Usami nella prossima partita!
GooglePlay login failed,Impossibile accedere a Google Play. Controlla la connessione Internet e le informazioni di accesso.
Knowledge unlock tip,Inizierai a guadagnare punti Sapienza scimmiesca dal livello 30.
Daily challenges unlock at,Le sfide giornaliere e gli eventi si sbloccano al livello {0}
,
,
FriendLiNKLoginRequiredBody,Per visualizzare i punteggi degli amici di Facebook è necessario disporre di un account.
FriendLiNKLoginRequiredTitle,Accedere?
FriendLiNKLoginFailed,Impossibile accedere a Facebook. Controlla la connessione Internet e le informazioni di accesso.
Do It,Esegui!
Restart?,Riavviare?
Continue Details,Ritenta questo round con rifornimento di vite e contanti.
Restart Details,Sei sicuro di voler uscire e riavviare?
Insta-Monkey!,Insta-scimmia!
Power!,Potere!
Optimizing,Ottimizzazione in corso…
Task Load Asset Bundles,Download nuovi contenuti in corso…
Task Load global scene,Addestramento scimmie in corso…
Task Get server time,Pausa in corso…
Task Set up rendering,Gonfiaggio bloon in corso…
Task Set up cameras,Raccolta banane in corso…
Task Load game model,Preparazione freccette in corso…
Task Bake meshes,Potatura giardini in corso…
Task Download sku settings,Liberazione della Scimmia Dio del sole in corso…
Task Load fonts,Risveglio dio del sole in corso…
Task Localise,Richiamo eroi in corso…
Loading Step,Fase {0} di {1}...
Task failed,non riuscita
downloading,download in corso
Waiting for internet connection,in attesa della connessione Internet…
parsing,decifrazione in corso
Back up Successful!,Operazione completata!
Backing Up Data,Backup dei dati in corso…
Failed to Backup,Operazione non riuscita
Quit Game,Uscire dalla partita?
Quit Question,Sei sicuro di voler uscire dalla partita?
Quit Cancel,Annulla
Quit Confirmed,Esci
IAP Failed PurchasingUnavailableAndroid,Accedi con il tuo account Google per effettuare un acquisto
Gift received,Dono ricevuto
Unlocked,Sbloccato
Upgrade info,Informazioni sul potenziamento
Tap and hold,Tieni premute le icone potenziamento per maggiori informazioni!
iveplayedbefore,Ho già giocato
notnow,Non adesso
Knowledge Unlock,Sblocca sapienza adesso
New Version,Nuova versione
Update now,"Le scimmie richiedono incredibili nuovi contenuti e correzioni. Aggiorna ora! Se non sono disponibili aggiornamenti, visita https://ninja.kiwi/btd6_update per ottenere aiuto"
Update soon,Nuovo aggiornamento disponibile! Installalo subito!
keep playing,Continua a giocare.
playing on another device,Accesso eseguito su un altro dispositivo
Applies To This Monkey Only,Vale solo per questa scimmia:
Applies For This Game Only,Vale solo per questa partita.
All Knowledge On,Attiva Sapienza scimmiesca
All Knowledge Off,Disattiva Sapienza scimmiesca
Bonus Rewards,Ricompense bonus:
FBFriends,Amici
NewLabel,Novità
RateGameTitle,Vota ora!
RateGameBody,Ti stai divertendo? Esprimi una valutazione!
UpdatePanelClose,Chiudi
UpdatePanelUpdate,Aggiorna
Advanced Daily Challenge,Sfida avanzata
Max,Max
Bloon Health Increased,Salute ceramica aumentata
Bloon Health Decreased,Salute ceramica diminuita
Bloon Speed Increased,Velocità bloon aumentata
Bloon Speed Decreased,Velocità bloon diminuita
Monkey Knowledge Disabled,Sapienza scimmiesca disattivata
No Lives Lost,Nessuna vita perduta
ContinuePrevious,Continua partita precedente
Monkeys Excluded,Scimmie escluse
Build Map Object,Costruisci al costo di ${0}
Hero Audio Toggle,Audio dell'eroe
RequiresBananaFarm,Vivaio di banane necessario
Respec All Monkey Knowledge Button,Azzera tutta la sapienza scimmiesca
Respec Monkey Knowledge Confirm Title,Azzerare la sapienza scimmiesca?
Respec Monkey Knowledge Confirm Body,Azzera tutta la sapienza scimmiesca per riassegnare tutti i punti. Il denaro speso per sbloccare un certo tipo di sapienza vi rimane investito.
Respec Button,Azzera
Insta Monkeys UI Visibility,Insta-scimmie
CoopQuickMatch,Partita veloce
CoopCreateMatch,Crea partita
CoopJoinMatch,Partecipa a una partita
CoopTwoPlayer,2 giocatori
CoopThreePlayer,3 giocatori
CoopFourPlayer,4 giocatori
CoopTitle,Cooperativa
CoopLookingForMatch,Ricerca partita in corso…
CoopEnterMatchCode,Inserisci il codice:
CoopPlayers,Giocatori:
CoopTrackType,Difficoltà mappa:
CoopTrackDifficulty,Difficoltà partita:
CoopSettings,Impostazioni:
CoopCopyCode,Copia codice
CoopPrivate,Privata
CoopPublic,Pubblica
Mode,Modalità di gioco
Ready,Pronto
CoopCalloutTowersPositive,Mastro costruttore
CoopCalloutTowersNegative,Meno è meglio
CoopCalloutPopsPositive,Mastro scoppiatore
CoopCalloutPopsNegative,Pacifista
CoopCalloutMOABsPositive,Abilità da boss
CoopCalloutMOABsNegative,Quali MOAB?
CoopCalloutEcoPositive,Finanziatore scimmiesco
CoopCalloutEcoNegative,Niente banane per te
CoopCalloutAbilitiesPositive,Attivatore
CoopCalloutPowersPositive,Potenziamento
CoopCalloutInstasPositive,Insta-vincitore
CoopMonkeyStar,Scimmia stella
CoopStatsTowers,Torri collocate
CoopStatsPops,Bloon fatti scoppiare
CoopStatsEco,Contante generato
CoopStatsMOABs,MOAB fatti scoppiare
CoopStatsAbilities,Abilità usate
CoopStatsPowers,Poteri usati
CoopStatsInstas,Insta usati
TechBot,Robot assistente
EnergisingTotem,Totem energizzante
TechBot Description,Il robot assistente può attivare le tue abilità non appena sono pronte e in perfetta efficienza.
EnergisingTotem Description,Una botta di energia grazie a questo totem capace di accrescere del 25% la velocità di attacco di tutte le scimmie nel suo raggio di azione. Dura 5 round e può essere ricaricato.
Recharge,Ricarica
InvalidCode,Inserisci un codice valido
SearchingForPlayer,Ricerca giocatore in corso...
WaitingForPlayer,In attesa del giocatore...
Request,Richiedi $
CyberQuincySkinDescription,"Quando Quincy è stato ferito da un temibile DDT, si è temuto il peggio, ma grazie alla tecnologia del Dott. Scimmia, è stato possibile ricostruirlo trasformandolo in Cyber Quincy."
CyberQuincySkinName,Skin Cyber Quincy
CashRequested,${0} ha richiesto del contante
CashReceived,${0} ti ha inviato contante pari a ${1}
CountDownTimer,La partita inizia tra…
Achievement 51 Name,Cooperazione
Achievement 51 Description,Supera 1 mappa in modalità cooperativa
Achievement 52 Name,Divertimento quadruplo
Achievement 52 Description,Supera 1 mappa in modalità cooperativa a 4 giocatori
Achievement 53 Name,Minaccia tripla
Achievement 53 Description,Supera 1 mappa in modalità cooperativa a 3 giocatori
Achievement 54 Name,Collaborazione
Achievement 54 Description,Gioca con 4 eroi contemporaneamente
Achievement 55 Name,Quando il gioco si fa duro...
Achievement 55 Description,Vinci 10 partite a difficoltà Difficile in modalità Cooperativa
Achievement 56 Name,Magnanimo benefattore
Achievement 56 Description,"Elargisci contante pari a 10,000 in modalità cooperativa"
Achievement 57 Name,Generoso benefattore
Achievement 57 Description,"Elargisci contante pari a 50,000 in modalità cooperativa"
Achievement 58 Name,Scimmia munifica
Achievement 58 Description,"Elargisci contante pari a 100,000 in modalità cooperativa"
Achievement 59 Name,Scimmia filantropa
Achievement 59 Description,"Elargisci contante pari a 1,000,000 in modalità cooperativa"
Achievement 60 Name,Potere condiviso
Achievement 60 Description,Usa 10 poteri in modalità cooperativa
Achievement 61 Name,Potere soverchiante!
Achievement 61 Description,Usa 100 poteri in modalità cooperativa
Achievement 62 Name,Insta-difesa
Achievement 62 Description,Usa 5 Insta-scimmie in modalità cooperativa
Achievement 63 Name,Cecchino cooperativo
Achievement 63 Description,"Fai scoppiare 10,000,000 bloon in modalità cooperativa"
StaggeredMortarShot,Disorientato
TT_TargetSelectedPoint,Imposta bersaglio
MortarMessage,[I] per impostare il bersaglio
RaceEvent,Evento gara
TopBadgeRewards,Ricompensa distintivo top
RaceButton,Gara!
RaceRewards,Ricompense gara
Leaderboard,Classifica
RaceEventTrigger,Il timer parte quando inizi a la gara. Dai via libera alla prossima ondata di bloon per migliorare il tuo tempo ma non farti sopraffare. Accelerare il timer non influisce sul tuo tempo di gara e non è possibile salvare questo genere di partite perciò cerca di non abbandonare nel bel mezzo del gioco. Sigla il tuo record per scalare la classifica mondiale. In bocca al lupo!
ScientistGwendolinSkinName,Skin Gwendolin scienziata
ScientistGwendolinSkinDescription,"Se i miei calcoli sono corretti, non appena questa bestiolina avrà raggiunto i 1121 gradi centigradi, ne vedremo delle belle!"
RaceAgain,Gareggia di nuovo
RaceVictoryText,Che finale! Ora prova a battere il record per scalare la classifica!
RaceNewBestTime,Nuovo record!
RaceLeaderboard,Classifiche della gara
RaceCurrentRewards,Ricompense attuali:
RaceRewardsButton,Ricompense
Click & Drop,Fai clic su & Rilascia
Screen Size,Dimensioni schermo
Fullscreen,Schermo intero
Moab Health Increased,Punti vita moab aumentati
Moab Health Decreased,Punti vita moab diminuiti
Selling Disabled,Vendita disabilitata
Powers Disabled,Poteri disabilitati
No Continues,Impossibile continuare
Switching Resolution Body,Per modificare la risoluzione è necessario riavviare il gioco.
Switching Resolution Title,Modifica risoluzione
RaceEventBanner,Evento gara in corso adesso
RaceEventBannerRewards,Conquista distintivi e trofei!
RacePreviousBestTime,Record:
RaceAgainQuestion,Vuoi gareggiare di nuovo?
RaceAgainDescription,Gareggia ora e prova a migliorare il tuo tempo!
TrophiesEarned,Trofei conquistati:
FreeEntryIn,Ingresso gratis tra:
RaceSubmissionFail,Impossibile inserire i risultati della gara
LeaderboardRank,Rango
LeaderboardPlayerName,Nome giocatore
LeaderboardBadges,Distintivi
LeaderboardBestTime,Record
RaceEventEndsIn,L'evento termina tra: 
LoadingPlayer,Caricamento giocatore…
Rank1st,1°
Rank2nd,2°
Rank3rd,3°
RewardsTopPercent,Top {0} %
RaceEventEnded,L'evento gara è terminato!
RaceFinishedPlaceAndTime,Ti sei piazzato {0} con un record di {1}
Heartstopper Ability,Cuore in gola
Sacrificial Totem Ability,Totem sacrificale
MOAB Hex Ability,Maledizione MOAB
RaceClock,Gara contro il tempo
LoginRequiredTitle,Accesso necessario
LoginRequiredBody,Effettua l'accesso per usufruire di questa funzionalità
EventRewardsTitle,Ricompense evento
TT_FollowMouse,Segui il mouse
SteamLoadingMessage,Apertura risorse
SentaiCaptainChurchillSkinName,Skin Sentai Churchill
SentaiCaptainChurchillSkinDescription,Che il potere delle super mega turbo bombe laser fulminee dei manga della galassia quantica sia con te!
KartsNDarts,Kart e freccette
Upgrade Path 1,Potenzia percorso 1
Upgrade Path 2,Potenzia percorso 2
Upgrade Path 3,Potenzia percorso 3
ChangeTargeting,Cambia mira
ReverseChangeTargeting,Annulla Cambia mira
PauseDeselect,Pausa/Deseleziona
PlayFastForward,Riproduci/Avanti veloce
SendNextRound,Invia prossimo round (Corse)
Activated Ability 1,Abilità 1 attivata
Activated Ability 2,Abilità 2 attivata
Activated Ability 3,Abilità 3 attivata
Activated Ability 4,Abilità 4 attivata
Activated Ability 5,Abilità 5 attivata
Activated Ability 6,Abilità 6 attivata
Activated Ability 7,Abilità 7 attivata
Activated Ability 8,Abilità 8 attivata
Activated Ability 9,Abilità 9 attivata
Activated Ability 10,Abilità 10 attivata
Activated Ability 11,Abilità 11 attivata
Activated Ability 12,Abilità 12 attivata
SendRedBloon,Invia bloon rosso
SendBlueBloon,Invia bloon blu
SendGreenBloon,Invia bloon verde
SendYellowBloon,Invia bloon giallo
SendPinkBloon,Invia bloon rosa
SendBlackBloon,Invia bloon nero
SendPurpleBloon,Invia bloon viola
SendWhiteBloon,Invia bloon bianco
SendLeadBloon,Invia bloon di piombo
SendZebraBloon,Invia bloon zebrato
SendRainbowBloon,Invia bloon arcobaleno
SendCeramicBloon,Invia bloon di ceramica
SendTestBloon,Invia bloon di prova
SendMoabBloon,Invia bloon MOAB
SendBfbBloon,Invia bloon BFB
SendZomgBloon,Invia bloon ZOMG
SendDdtBloon,Invia bloon DDT
SendBadBloon,Invia bloon BAD
RestoreDefaults,Ripristina predefiniti
SaveHotkeyChanges,Salvare modifiche alle combinazioni?
Hotkeys,Combinazioni
Monkeys,Scimmie
Gameplay,Gioco
Revert,Ripristina
Save,Salva
HotkeyModeDescription,I tasti rapidi possono esser usati solo in modalità Clicca e rilascia
DemoSplashText,Questa versione di Bloons TD6 è stata creata appositamente per scopi dimostrativi
EditorClearSaveProgressWarning,"La tua sfida comprende modifiche allo stile di gioco, e questo eliminerà i tuoi progressi di salvataggio in gioco attuali"
EditorInfiniteMaxTowers,Illimitato
EditorDefaultValue,Predefinito
EditorLoadingChallenge,Caricamento...
EditorGeneratingCode,Generazione...
EditorEnterCode,Inserisci codice
EditorShareError,Si è verificato un problema durante la condivisione di questa sfida
EditorSubmitError,Si è verificato un problema durante l'invio di questa sfida
EditorLoadError,Si è verificato un problema durante il caricamento di questa sfida
EditorLevelLockMsg,L'Editor delle sfide si sblocca al livello {0}
EditorCreateChallenge,Crea sfida
EditorPlayChallenge,Gioca sfida
EditorEditChallenge,Modifica sfida
EditorShare,Condividi
EditorShareChallenge,Condividi sfida:
EditorSubmit,Invia
EditorChallengeCode,Codice sfida:
EditorEnterChallengeCode,Inserisci codice sfida:
EditorSubmissionForm,Modulo di invio
EditorSubmissionDescription,Invia la tua sfida a Ninja Kiwi perché venga tenuta in considerazione per future sfide giornaliere o avanzate.
EditorFridayStinger,Trappolone del venerdì
EditorRemainAnonymous,Mantieni l'anonimato
EditorChallengeEditor,Editor delle sfide
EditorUndo,Annulla
EditorReset,Azzera
EditorRandom,Casuale
EditorDifficulty,Difficoltà:
EditorGameMode,Modalità di gioco:
EditorStartingCash,Denaro iniziale:
EditorStartingLives,Vite iniziali
EditorMaxLives,Vite massime:
EditorStartRound,Avvia round:
EditorEndRound,Termina round:
EditorMonkeysExcluded,Scimmie escluse
EditorMonkeysIncluded,Scimmie incluse
EditorMaxMonkeys,Scimmie massime:
EditorAdd,Aggiungi
EditorBloonSpeed,Velocità dei Bloon
EditorMoabSpeed,Velocità dei MOAB
EditorCeramicHealth,Salute ceramica
EditorMoabHealth,Salute MOAB
EditorPowers,Poteri:
EditorSelling,Vendita:
EditorMonkeyKnowledge,Conoscenza scimmie:
EditorContinues,Tentativi:
EditorLockedSubmitButtonDescription,Hai già inviato questa sfida
EditorLockedShareButtonDescription,Per condividere la tua sfida devi dimostrare che sia possibile raggiungere la schermata di vittoria nella modalità di prova!
ConflictScreenChoose,Seleziona una partita salvata
ConflictThisDevice,Questo dispositivo
ConflictCloud,Sul cloud
ConflictTimeHours,Salvata {0} ore fa
ConflictUseButton,Usa
ConflictNoData,Nessun dato
ConflictTimeMinutes,Salvata {0} minuti fa
ConflictTimeSeconds,Salvata {0} secondi fa
ConflictTimeDays,Salvata {0} giorni fa
FasterMoabs,Velocità dei MOAB aumentata
SlowerMoabs,Velocità dei MOAB diminuita
BikerBonesSkinName,Skin Ossa da biker
BikerBonesSkinDescription,Il Dio del Sole non è nulla in confronto a Ossa da biker scatenato!
PatsPond,Stagno di Pat
InappropriateChallengeName,Utilizza un nome della sfida più appropriato e riprova
DCVictoryBody,Complimenti! Hai completato {0}!
EditorCreateVictoryBody,Complimenti! Ora puoi condividere la tua sfida con altri!
EditorOlderVersion,Questa sfida è stata creata nella versione {0} e potrebbe non essere più possibile completarla
EditorNewerVersion,Questa sfida è stata creata in una versione più recente del gioco: aggiornalo all'ultima versione per affrontare questa sfida
DefeatScreenRetryLastRound,Riprova l'ultimo round
CoopDoubleCash,(solo giocatore singolo)
EditorThanksForSubmission,"Grazie per l'invio e per aver reso Bloons TD6 ancora migliore! Speriamo di vedere la tua sfida in una rotazione futura, se verrà scelta!"
SpringSpring,Un salto in primavera
ObynOceanGuardianSkinName,Skin Guardiano dell'oceano
ObynOceanGuardianSkinDescription,Dall'oceano arriviamo e all'oceano ritorneremo.
CollectionEventHeader,Evento di raccolta
CoopTriggerText,Tutte le partite cooperative condividono equamente denaro e PE dell'eroe. Per questa partita giochi: {0} – {1}
Achievement 64 Name,Bloon grandi
Achievement 64 Description,A Pat piace abbracciare i Bloon grandi ancora di più
OptionsExtras,Extra
DoubleCashHelper,Qui puoi trovare la modalità Denaro doppio
BigBloonsMode,Bloon grandi
CollectionMonkeyText,Ottieni le ricompense della raccolta vincendo qualsiasi mappa!
CoopQuickGame,Partita veloce
CoopMediumGame,Partita media
CoopLongGame,Partita lunga
CoopContinuePrompt,La partita continua tra...
CoopRestartPrompt,La partita ricomincia tra...
CoopFreeplayPrompt,La partita libera comincia tra...
CollectionRewardsDelivered,Le tue ricompense dell'evento di raccolta sono state aperte e si trovano nel tuo inventario Insta-scimmia!
CoopSyncMessage,Sincronizzazione con altri giocatori in corso...
CoopPlayerLeftMessage,ha abbandonato la partita
CollectionEventEnded,L'evento di raccolta è terminato
CoopPublicGameStart,La partita comincerà presto...
CalloutMasterBuild,Esperto costruttore
CalloutLessIsMore,Il vantaggio della semplicità
CalloutPopMaster,Maestro delle esplosioni
CalloutPopPacifist,Pacifista delle esplosioni
CalloutBossSkillz,Ti spakko il boss
CalloutWhatMOABs,Quali MOAB?
CalloutMonkeyFinancier,Scimmia finanziera
CalloutNoBananas4U,Niente banane x te
CalloutActivator,Attivatore
CalloutPoweredUp,Potenziato
CalloutInstaWinner,Insta-vincitore
CalloutMasterBuildDesc,{0} torri posizionate
CalloutLessIsMoreDesc,{0} torri posizionate
CalloutPopMasterDesc,{0} Bloon scoppiati
CalloutPopPacifistDesc,{0} Bloon scoppiati
CalloutBossSkillzDesc,{0} MOAB scoppiati
CalloutWhatMOABsDesc,{0} MOAB scoppiati
CalloutMonkeyFinancierDesc,{0} denaro generato
CalloutNoBananas4UDesc,{0} denaro generato
CalloutActivatorDesc,{0} abilità usate
CalloutPoweredUpDesc,{0} poteri usati
CalloutInstaWinnerDesc,{0} Insta-scimmie usate
CoopLobbyNotFound,Partita non trovata
CoopLobbyIsFull,La partita è al completo
CoopLobbyNotCompatible,"Versioni del gioco non compatibili, prova a effettuare l’aggiornamento del gioco."
CheckInternet,Impossibile connettersi. Controllare la connessione a Internet.
SacrificialTotem,Totem sacrificale
SandboxSetRound,Imposta round:
SandboxSpacing,Distanza:
SandboxCount,Numero:
CoopDisconnected,Disconnesso
CoopDisconnectedMessage,Purtroppo il gioco ha perso al connessione. Torna al menu principale.
CoopCreatingLobby,Creazione partita...
CoopHostDisconnected,Il giocatore che ha creato la partita si è scollegato
CoopNoPublicOption,Con queste impostazioni di gioco si può giocare solo una partita privata
CoopBuildZoneMessage,Costruisci le tue torri scimmia nell'area verde
Cargo,Carico
BenJamminSkinName,Skin Benjammin DJ
BenJamminSkinDescription,Sarà una festa esplosiva!
EditorAllCamo,Tutti mimetizzati
EditorAllRegrow,Tutti rigeneranti
AllCamoDescription,Tutti i bloon non di classe MOAB sono mimetizzati
AllRegrowDescription,Tutti i bloon non di classe MOAB sono rigeneranti
CoopGiveCashText,Dai
CoopWaitingMessage,In attesa degli altri giocatori...
CoopReconnectMessage,Collegamento alla partita in corso...
Achievement 65 Name,Alchermistman e Superbloon
Achievement 65 Description,Per passare da mini a maxi giralo al contrario
SmudgeCattSkinName,Skin Smudge il gatto
SmudgeCattSkinDescription,Lo sguardo ipnotico di Smudge il gatto ti invita a perforare tutti quei bloon. Ha sete di vendetta e ha fame di cibo per gatti.
Workshop,Officina
SmallBloonsMode,Bloon piccoli
Achievement 66 Name,2TS
Achievement 66 Description,Completa una partita con difficoltà SCIMPANZÉ con solo 2 torri scimmia
Achievement 67 Name,Schiocca le dita
Achievement 67 Description,Completa una partita con l’esatta metà delle vite iniziali e del contante iniziale
Achievement 68 Name,Dispensatore di beni
Achievement 68 Description,Invia 500.000 $ tutti in una volta a un alleato in modalità cooperativa
Achievement 69 Name,Bloontona 500
Achievement 69 Description,Ottieni l’ingresso a 500 gare
Achievement 70 Name,Pivello dell’anno
Achievement 70 Description,Completa una gara in meno di 10 minuti
Achievement 71 Name,Stella nascente
Achievement 71 Description,Completa una gara in meno di 5 minuti
Achievement 72 Name,Migliore della partita
Achievement 72 Description,Completa una gara in meno di 3 minuti
Achievement 73 Name,La sfida migliore
Achievement 73 Description,Crea o partecipa a 200 sfide
Achievement 74 Name,Un aspetto favoloso
Achievement 74 Description,Vinci 100 partite usando la skin di un eroe
Achievement 75 Name,Scoppiopoli
Achievement 75 Description,Fai scoppiare {0} bloon in Penisola
Achievement 76 Name,Maestro scoppiatore bloon
Achievement 76 Description,Infliggi un milione di danni col Maestro alchimista bloon
Achievement 77 Name,Vederci bene
Achievement 77 Description,Individua {0} bloon col luccichio
Achievement 78 Name,Tetrimino
Achievement 78 Description,Posiziona in una sola volta 50 torri scimmia su una mappa
Achievement 79 Name,Spiccioli dal cielo
Achievement 79 Description,Usa Dirottamento di fondi per ottenere {0}
Achievement 80 Name,Uno per tutti e tutti per uno
Achievement 80 Description,Vinci una partita con 1 sola torre scimmia sullo schermo in qualsiasi momento in una qualsiasi partita di difficoltà difficile
Achievement 81 Name,Maestro di vita
Achievement 81 Description,Cerca di avere 1000 vite durante la stessa partita
Achievement 82 Name,L’arcobaleno è magico
Achievement 82 Description,Fai scoppiare {0} bloon arcobaleno con le scimmie magiche
Emote.Hi,Salve!
Emote.Welldone,Bene
Emote.Ready,Pronto!
Emote.Slow,Rallenta!
Emote.Thanks,Grazie
Emote.AFK,AFK
Emote.Sorry,Spiacente!
Emote.Goodjob,Ottimo
Emote.Gg,Perfetto
Emote.Freeplay,Gioco libero
Emote.Eco,Risparmio
CoopGameUnavailable,La Partita non è più disponibile
CalloutHeadDetective,Ispettore capo
CalloutHeadDetectiveDesc,{0} bloon mimetizzati scoppiati
CalloutMetalMuncher,Mangia-metallo
CalloutMetalMuncherDesc,{0} bloon di piombo scoppiati
CalloutFumigator,Fumigatore
CalloutFumigatorDesc,{0} bloon rigeneranti scoppiati
CalloutFiredUp,Infuocato
CalloutFiredUpDesc,{0} bloon di ceramica scoppiati
CalloutBfbBrawler,Sterminatore di BFB
CalloutBfbBrawlerDesc,{0} BFB scoppiati
CalloutZomgZapper,Distruggi ZOMG
CalloutZomgZapperDesc,{0} ZOMG scoppiati
CalloutDdtDestroyer,Distruttore di DDT
CalloutDdtDestroyerDesc,{0} DDT distrutti
CalloutMostGenerous,Il più generoso
CalloutMostGenerousDesc,{0} contante donato
CoopDailyChallenge,Sfida giornaliera in modalità cooperativa
Spillway,Piena
Sentry,Sentinella
SentryBoom,Sentinella esplosiva
SentryCrushing,Sentinella palla chiodata
SentryCold,Sentinella fredda
SentryEnergy,Sentinella energetica
SentryParagon,Sentinella Vincitore
EditorNumberOfPlayers,Numero di giocatori
EditorCoopAreaDivision,Divisone schermo in modalità cooperativa
InvalidTarget,Bersaglio non valido
Adora,Adora
Adora Short Description,Grande sacerdotessa
Adora Description,La venerazione di Adora spinge quest’ultima a colpire bloon con furiosa vendetta.
Adora Level 1 Description,La saetta divina individua e distrugge.
Adora Level 2 Description,Portata di attacco aumentata.
Adora Level 3 Description,Il lungo braccio della luce: aumenta in modo considerevole la portata e la potenza di attacco per un breve lasso di tempo e danneggia tutti i tipi di bloon.
Adora Level 4 Description,Lancia saette divine doppie.
Adora Level 5 Description,Le saette divine distruggono più bloon
Adora Level 6 Description,Spara 3 saette divine per volta.
Adora Level 7 Description,Sacrificio di sangue: sacrifica una torre presa di mira per conferire a Adora una grande quantità di PE e per potenziarne la portata di attacco e la cadenza di fuoco per un breve lasso di tempo.
Adora Level 8 Description,Spara 4 saette divine per volta.
Adora Level 9 Description,Portata di attacco aumentata.
Adora Level 10 Description,Sfera di luce: crea una potente sfera di energia che abbatte i bloon.
Adora Level 11 Description,Adora aumenta la velocità d’attacco.
Adora Level 12 Description,Spara 5 saette divine per volta.
Adora Level 13 Description,Le saette divine distruggono ancora più bloon.
Adora Level 14 Description,Spara 6 saette divine per volta.
Adora Level 15 Description,Le saette divine distruggono un ulteriore strato di bloon e la sfera di luce infligge più danni.
Adora Level 16 Description,L’Autorità della luce diviene ancora più letale.
Adora Level 17 Description,Adora aumenta ancora di più la velocità d’attacco.
Adora Level 18 Description,Spara 8 saette divine per volta.
Adora Level 19 Description,Portata di attacco aumentata.
